"inst_3795" "inst_3877" "inst_4353" "inst_4531"
"1007_s_at" 11603 19657 15960 8161
"1053_at" 19465 6226 16405 8976
"117_at" 15749 14874 6186 243
"121_at" 11622 984 2506 8948
"1255_g_at" 6075 12767 3447 15241
"1294_at" 15583 9331 21610 446
"1316_at" 17934 284 1893 11566
"1320_at" 18897 2964 848 17053
"1405_i_at" 8168 11564 3982 14221
"1431_at" 4321 10955 11517 19058
"1438_at" 9559 19547 11826 5388
"1487_at" 13434 21216 10845 11561
"1494_f_at" 1352 374 3104 20197
"1598_g_at" 13645 19593 2895 19509
"160020_at" 11606 303 16903 7414
"1729_at" 12044 20858 2087 4686
"1773_at" 21208 16648 10158 5666
"177_at" 9302 17466 20887 19771
"179_at" 21669 18776 1829 1984
"1861_at" 20524 21338 16861 2680
"200000_s_at" 9516 15868 11017 11278
"200001_at" 17261 15761 11856 8320
"200002_at" 11580 8948 12118 8623
"200003_s_at" 5806 11239 4831 13984
"200004_at" 3467 6472 12398 10318
"200005_at" 9741 8814 11721 7634
"200006_at" 11788 8480 11742 9230
"200007_at" 12370 8188 12270 8021
"200008_s_at" 20995 7110 20063 9492
"200009_at" 12408 15596 11405 6580
"200010_at" 9847 8240 9513 9707
"200011_s_at" 9912 15647 9873 12072
"200012_x_at" 3231 16448 4787 19687
"200013_at" 10107 15877 4739 19270
"200014_s_at" 12595 5450 14181 10544
"200015_s_at" 10507 3562 13563 9989
"200016_x_at" 5736 8274 4736 11508
"200017_at" 5905 11348 4958 14061
"200018_at" 5897 11333 4947 11888
"200019_s_at" 3730 16224 4910 11580
"200020_at" 10114 16054 12175 5598
"200021_at" 6015 11447 5084 14137
"200022_at" 13603 11251 4853 10771
"200023_s_at" 11797 8571 14248 6674
"200024_at" 3882 7261 2920 11835
"200025_s_at" 10802 9174 4945 9800
"200026_at" 6021 16470 5087 19994
"200027_at" 12640 7098 12822 4526
"200028_s_at" 14276 16800 14278 4123
"200029_at" 4200 15385 8943 11937
"200030_s_at" 9593 15676 9054 18038
"200031_s_at" 5888 11323 4938 14042
"200032_s_at" 5909 11349 4963 19902
"200033_at" 10903 6041 10508 11277
"200034_s_at" 9700 5725 3220 18520
"200035_at" 1093 19858 11385 10518
"200036_s_at" 14038 8765 9469 11333
"200037_s_at" 14640 6679 12637 17910
"200038_s_at" 9963 11426 5058 11686
"200039_s_at" 14056 17474 14319 4550
"200040_at" 2317 7938 13772 7283
"200041_s_at" 10490 16014 14184 18061
"200042_at" 11555 8871 13975 5347
"200043_at" 2361 7005 10177 10497
"200044_at" 15614 8444 12528 8232
"200045_at" 13701 15807 12917 5456
"200046_at" 13383 18270 9846 3814
"200047_s_at" 12981 6204 16485 7677
"200048_s_at" 13535 7705 11989 8008
"200049_at" 18522 15187 20543 8533
"200050_at" 9926 4778 9204 10351
"200051_at" 12473 16620 9502 20294
"200052_s_at" 17335 8673 15012 5526
"200053_at" 14988 3011 19468 5278
"200054_at" 16649 20170 16140 4385
"200055_at" 12155 18788 14020 7823
"200056_s_at" 16212 4459 16659 8631
"200057_s_at" 3017 5387 10029 19533
"200058_s_at" 12089 18505 14373 8231
"200059_s_at" 13729 7112 13798 11197
"200060_s_at" 15375 16404 14100 6176
"200061_s_at" 5887 11321 4936 14041
"200062_s_at" 5793 11226 4815 13975
"200063_s_at" 5940 11383 4998 14084
"200064_at" 4403 16305 10951 9643
"200065_s_at" 3124 8735 9858 7613
"200066_at" 4405 17175 11627 19848
"200067_x_at" 13072 6685 10102 6362
"200068_s_at" 10835 8007 12918 7777
"200069_at" 4433 20175 17456 10522
"200070_at" 13177 17673 10850 2626
"200071_at" 16703 9002 13858 7732
"200072_s_at" 4062 7867 18814 11504
"200073_s_at" 14190 3789 11110 19837
"200074_s_at" 12909 9084 2720 18170
"200075_s_at" 14570 9179 13433 5320
"200076_s_at" 13709 18277 17847 2828
"200077_s_at" 10676 6918 2736 11941
"200078_s_at" 15740 18580 10755 6494
"200079_s_at" 12022 6978 10616 6247
"200080_s_at" 11129 4064 8859 19962
"200081_s_at" 12141 7171 10143 9119
"200082_s_at" 5930 15249 4985 19809
"200083_at" 9644 15407 18805 9762
"200084_at" 13158 5682 12623 5852
"200085_s_at" 14834 18800 13998 5899
"200086_s_at" 13305 18366 9348 4911
"200087_s_at" 15715 3687 11256 11657
"200088_x_at" 5802 11235 4826 13981
"200089_s_at" 12910 5360 9815 18261
"200090_at" 12563 17862 18176 10648
"200091_s_at" 3548 2073 3250 20554
"200092_s_at" 3779 11386 5005 18572
"200093_s_at" 12098 4580 10470 19018
"200094_s_at" 9783 16981 3202 5382
"200095_x_at" 6003 11437 5071 14128
"200096_s_at" 18070 19292 8775 3892
"200097_s_at" 14605 5444 12956 9279
"200098_s_at" 12422 9314 14586 6341
"200099_s_at" 5951 11389 5009 19005
"200593_s_at" 13007 16848 18523 12000
"200594_x_at" 3013 1975 11415 11461
"200595_s_at" 12088 6571 18077 9055
"200596_s_at" 1964 18460 10857 10104
"200597_at" 2627 9169 13920 6778
"200598_s_at" 14873 4424 10227 7323
"200599_s_at" 4137 2258 13579 19524
"200600_at" 9595 14046 5185 18741
"200601_at" 20577 8052 8965 3497
"200602_at" 20272 16504 19333 8748
"200603_at" 11440 2701 16135 19341
"200604_s_at" 20400 6319 14680 1966
"200605_s_at" 16754 4966 17457 6600
"200606_at" 15606 5333 13027 5594
"200607_s_at" 18049 7440 18200 4509
"200608_s_at" 13180 1485 14864 19976
"200609_s_at" 18945 16182 11431 3381
"200610_s_at" 13581 7586 16897 6240
"200611_s_at" 13960 15899 14719 6826
"200612_s_at" 10318 5486 11897 19924
"200613_at" 10796 19961 13839 7299
"200614_at" 2688 4989 4837 9506
"200615_s_at" 19092 19791 18985 8229
"200616_s_at" 4371 8135 9237 8156
"200617_at" 10764 20630 13730 12039
"200618_at" 9981 19356 15024 9691
"200619_at" 2766 18654 20391 3111
"200620_at" 13025 8011 11147 17961
"200621_at" 14440 9319 17004 7380
"200622_x_at" 17879 19709 16357 4772
"200623_s_at" 11279 19670 20030 21843
"200624_s_at" 15374 3470 19670 4580
"200625_s_at" 14666 7217 10903 18842
"200626_s_at" 13170 6860 18936 10891
"200627_at" 9865 4988 9526 18958
"200628_s_at" 18612 15641 11585 5635
"200629_at" 10931 17930 15316 9826
"200630_x_at" 3126 15336 3068 18722
"200631_s_at" 10773 7224 12793 4380
"200632_s_at" 1722 4461 10311 5774
"200633_at" 5886 11320 4935 14040
"200634_at" 10105 8675 11869 18549
"200635_s_at" 14531 17716 10011 6187
"200636_s_at" 10634 19006 18604 9866
"200637_s_at" 14411 19575 11533 2911
"200638_s_at" 11146 8100 14003 8914
"200639_s_at" 3970 4401 16206 20038
"200640_at" 3108 8666 12730 11641
"200641_s_at" 19686 6437 12000 11635
"200642_at" 10204 15632 9642 8565
"200643_at" 14183 17979 19711 20110
"200644_at" 12425 8085 11564 18952
"200645_at" 11866 16203 15053 7354
"200646_s_at" 20059 5065 10380 21496
"200647_x_at" 4341 16268 9931 7076
"200648_s_at" 21318 4788 20850 11311
"200649_at" 12396 20676 9588 18103
"200650_s_at" 5759 16662 4771 13947
"200651_at" 10561 11421 5051 19340
"200652_at" 14908 3600 16980 11390
"200653_s_at" 15799 5727 16391 11863
"200654_at" 2106 16959 13387 18131
"200655_s_at" 9584 5681 11607 9518
"200656_s_at" 15560 6283 15354 19073
"200657_at" 9995 17368 4838 18852
"200658_s_at" 15874 8911 16565 11659
"200659_s_at" 12783 8608 18414 3890
"200660_at" 10982 9055 9251 10768
"200661_at" 10549 17482 10983 7964
"200662_s_at" 15062 4536 12714 4904
"200663_at" 11597 8526 12935 18452
"200664_s_at" 20817 19242 15587 1968
"200665_s_at" 330 10699 8352 2995
"200666_s_at" 14759 16135 12849 10844
"200667_at" 13223 15835 13864 9902
"200668_s_at" 13023 5591 14209 8206
"200669_s_at" 17931 3608 14872 7116
"200670_at" 20390 3005 16992 10089
"200671_s_at" 20928 525 19345 22249
"200672_x_at" 15243 15525 21526 19555
"200673_at" 13932 4123 12757 10749
"200674_s_at" 5957 11395 5017 19492
"200675_at" 13096 16192 13385 10653
"200676_s_at" 14459 20495 21702 8912
"200677_at" 11954 17074 11462 5845
"200678_x_at" 12250 19557 10618 7484
"200679_x_at" 13053 6990 9830 5910
"200680_x_at" 6006 11440 5076 11557
"200681_at" 2642 16829 14774 9374
"200682_s_at" 16768 6584 15144 18095
"200683_s_at" 16221 15471 13948 5213
"200684_s_at" 20968 7601 13723 6103
"200685_at" 19481 2952 16725 11144
"200686_s_at" 10307 1711 21594 4463
"200687_s_at" 15155 15776 16001 10341
"200688_at" 10810 20395 18564 9999
"200689_x_at" 9949 17734 5068 11535
"200690_at" 16498 5774 14617 5785
"200691_s_at" 12015 7721 17608 8269
"200692_s_at" 14179 2518 14818 5139
"200693_at" 13732 8275 13354 8985
"200694_s_at" 14273 15802 13394 6288
"200695_at" 17122 16907 2673 6189
"200696_s_at" 2150 6724 19992 8402
"200697_at" 11023 20156 14093 10501
"200698_at" 4320 7408 17703 10630
"200699_at" 3503 7429 16063 19946
"200700_s_at" 16180 9063 14963 10726
"200701_at" 14198 16049 15530 6657
"200702_s_at" 15766 4140 14695 9240
"200703_at" 12185 8132 10185 18746
"200704_at" 13166 16763 18549 10750
"200705_s_at" 11454 15470 2987 19335
"200706_s_at" 20724 7436 11428 10050
"200707_at" 15971 20688 12372 21655
"200708_at" 13455 16917 13055 7900
"200709_at" 14400 16047 18483 10795
"200710_at" 2357 20679 15046 7093
"200711_s_at" 12359 5059 10752 4195
"200712_s_at" 20309 2796 19036 5930
"200713_s_at" 13237 16022 12140 8256
"200714_x_at" 18318 7369 9290 20218
"200715_x_at" 13555 18298 12764 10708
"200716_x_at" 5996 11427 5059 11476
"200717_x_at" 5883 11318 4933 14039
"200718_s_at" 3735 8437 4880 11860
"200719_at" 16387 6763 2567 10078
"200720_s_at" 19682 15919 17815 3538
"200721_s_at" 15452 19852 11570 19648
"200722_s_at" 21568 17941 10375 18406
"200723_s_at" 16441 8355 13899 7152
"200724_at" 21283 226 13851 21803
"200725_x_at" 2812 16359 4886 18156
"200726_at" 11705 2480 13969 9554
"200727_s_at" 19430 7352 13402 2682
"200728_at" 13109 3119 18379 4470
"200729_s_at" 15977 4273 17737 3029
"200730_s_at" 17753 3170 17663 4723
"200731_s_at" 17823 4132 14298 9171
"200732_s_at" 10233 6668 18133 10046
"200733_s_at" 10359 1435 20035 9625
"200734_s_at" 14090 6113 11117 7462
"200735_x_at" 5945 11384 5003 10285
"200736_s_at" 17979 5656 6906 9081
"200737_at" 13663 3082 19383 7205
"200738_s_at" 6023 8481 12865 18302
"200739_s_at" 19921 16732 10101 18369
"200740_s_at" 12045 7509 11674 10171
"200741_s_at" 5794 11227 4816 18843
"200742_s_at" 18038 8557 16619 17878
"200743_s_at" 11359 15953 13252 9324
"200744_s_at" 14787 17686 17884 7068
"200745_s_at" 9526 5515 18406 4285
"200746_s_at" 9664 5990 16024 10401
"200747_s_at" 3692 20405 15032 9859
"200748_s_at" 6018 16037 2417 20842
"200749_at" 13227 6104 15684 9056
"200750_s_at" 5866 11294 4899 11430
"200751_s_at" 20143 2024 18558 11142
"200752_s_at" 11649 7595 10045 9658
"200753_x_at" 18235 6081 12448 5376
"200754_x_at" 10790 16968 11025 10045
"200755_s_at" 16694 15736 14028 11653
"200756_x_at" 21212 15859 13158 4171
"200757_s_at" 9459 8377 15137 9383
"200758_s_at" 16982 19388 14006 20927
"200759_x_at" 1664 6229 12128 19602
"200760_s_at" 20216 8380 18111 1914
"200761_s_at" 18751 8032 15998 6347
"200762_at" 11367 19126 2629 18101
"200763_s_at" 5963 11400 5020 19147
"200764_s_at" 14931 17510 10326 1289
"200765_x_at" 8467 8409 13956 13943
"200766_at" 10043 8157 12316 11763
"200767_s_at" 9828 19361 16004 4474
"200768_s_at" 13349 15580 10650 19608
"200769_s_at" 21990 7117 14958 11260
"200770_s_at" 2762 16267 17647 2431
"200771_at" 3652 5302 15557 8319
"200772_x_at" 5917 15461 3007 18982
"200773_x_at" 3637 6141 2859 19861
"200774_at" 12157 8112 9826 6992
"200775_s_at" 10268 5084 14935 18846
"200776_s_at" 19521 4118 17494 4414
"200777_s_at" 10708 6127 11822 11295
"200778_s_at" 19051 7309 14595 5375
"200779_at" 13157 18148 9961 8518
"200780_x_at" 2511 6600 2984 9340
"200781_s_at" 4059 11301 4908 20288
"200782_at" 12106 5076 12279 8349
"200783_s_at" 14952 7120 10506 2436
"200784_s_at" 16706 10837 7875 19510
"200785_s_at" 21848 12764 8562 15481
"200786_at" 14529 16607 12605 9064
"200787_s_at" 11696 17825 16657 6932
"200788_s_at" 3209 16733 12825 6067
"200789_at" 16856 1641 11741 11097
"200790_at" 5908 17470 13976 9997
"200791_s_at" 13108 16656 19790 3851
"200792_at" 10551 15949 12506 10576
"200793_s_at" 11290 19149 20507 7038
"200794_x_at" 14395 9105 12390 7467
"200795_at" 2354 2205 20891 13901
"200796_s_at" 22282 3287 20967 1099
"200797_s_at" 3023 17634 19870 1838
"200798_x_at" 20726 4430 16710 2824
"200799_at" 4413 6617 9827 10783
"200800_s_at" 2443 16878 9369 5287
"200801_x_at" 5767 11186 4778 13951
"200802_at" 15464 17143 14540 4521
"200803_s_at" 19885 6556 2942 6527
"200804_at" 13381 8500 10160 7295
"200805_at" 17181 6200 20141 11094
"200806_s_at" 15358 7768 9399 11991
"200807_s_at" 5775 11201 4795 11836
"200808_s_at" 15072 21249 14013 18567
"200809_x_at" 3489 11209 4801 11854
"200810_s_at" 17391 15672 16368 10365
"200811_at" 15625 3563 15017 18228
"200812_at" 14885 16922 16302 7368
"200813_s_at" 16125 9022 21259 7214
"200814_at" 18699 18070 14879 2665
"200815_s_at" 9436 5325 14176 8733
"200816_s_at" 10733 6238 15663 10166
"200817_x_at" 5778 11203 4797 13961
"200818_at" 12140 17902 9198 9116
"200819_s_at" 5890 11325 4940 10210
"200820_at" 14458 15777 15216 9550
"200821_at" 15675 3774 20279 2988
"200822_x_at" 10801 5885 15901 20324
"200823_x_at" 9750 8058 9724 6098
"200824_at" 20070 2689 21930 9107
"200825_s_at" 9879 19271 11769 11737
"200826_at" 3649 17018 12578 10055
"200827_at" 3212 16429 15783 18202
"200828_s_at" 20699 7434 14408 3281
"200829_x_at" 14715 7442 14668 3646
"200830_at" 11683 18636 11087 11025
"200831_s_at" 19994 6246 10513 18786
"200832_s_at" 11621 3315 10511 20780
"200833_s_at" 11617 6099 20008 4085
"200834_s_at" 5827 11252 4854 14000
"200835_s_at" 18717 2463 2542 7715
"200836_s_at" 10936 3773 227 20763
"200837_at" 3211 19792 12278 11236
"200838_at" 18937 7704 18158 3004
"200839_s_at" 13644 15383 12989 18226
"200840_at" 10274 8623 4758 7889
"200841_s_at" 20964 5172 16349 2134
"200842_s_at" 10572 15706 13217 3821
"200843_s_at" 3380 15917 11840 9900
"200844_s_at" 12456 19254 11434 18287
"200845_s_at" 11548 5089 11579 11502
"200846_s_at" 12433 8824 10452 8782
"200847_s_at" 12134 5995 11835 10922
"200848_at" 10164 17584 16715 1415
"200849_s_at" 3614 9165 17477 8012
"200850_s_at" 12003 17927 15993 2583
"200851_s_at" 13912 18992 11010 2214
"200852_x_at" 18375 17805 8735 19926
