"inst_1742" "inst_2891" "inst_5111" "inst_5536"
"1007_s_at" 2036 16275 9313 17253
"1053_at" 7563 14570 7096 8048
"117_at" 3160 194 2 10612
"121_at" 18203 21646 8119 8043
"1255_g_at" 11210 8310 11964 8267
"1294_at" 20525 20967 6424 2035
"1316_at" 1853 3805 22000 3594
"1320_at" 17281 335 361 13238
"1405_i_at" 8574 7188 15570 8563
"1431_at" 9965 313 5510 11268
"1438_at" 8790 724 1198 3385
"1487_at" 20428 17864 17090 18725
"1494_f_at" 5729 6439 2152 919
"1598_g_at" 18123 17058 9428 17333
"160020_at" 2046 18471 2244 3070
"1729_at" 107 18761 9354 5844
"1773_at" 6474 3986 6998 3696
"177_at" 2695 5479 20830 14174
"179_at" 6407 21390 8927 21427
"1861_at" 14269 18091 18749 16623
"200000_s_at" 4930 3194 2454 19804
"200001_at" 4100 12684 6044 5048
"200002_at" 18083 11757 16855 5772
"200003_s_at" 7714 6771 18499 5086
"200004_at" 3418 14490 8812 19873
"200005_at" 20082 13130 6280 15174
"200006_at" 5217 4624 8684 7923
"200007_at" 8350 11783 4400 16164
"200008_s_at" 5874 18796 20945 3970
"200009_at" 7935 13702 18189 6570
"200010_at" 4685 11948 7090 3828
"200011_s_at" 7862 15123 9360 18585
"200012_x_at" 20190 3561 16872 16523
"200013_at" 5285 12526 7528 15034
"200014_s_at" 17957 16168 7372 7182
"200015_s_at" 6463 15816 16342 15002
"200016_x_at" 7386 12095 16472 16864
"200017_at" 5228 4652 4176 7296
"200018_at" 7943 3765 16828 5371
"200019_s_at" 19456 4620 7971 4795
"200020_at" 20227 15140 8803 6483
"200021_at" 22216 14418 18719 10153
"200022_at" 8570 3795 6629 4311
"200023_s_at" 6700 12895 7451 16624
"200024_at" 5329 3535 6621 4889
"200025_s_at" 8087 12271 9621 15295
"200026_at" 5167 4034 9194 8135
"200027_at" 20106 13452 5989 7625
"200028_s_at" 20274 14523 8722 5260
"200029_at" 19014 4246 7275 18112
"200030_s_at" 6696 14106 8889 7478
"200031_s_at" 18832 6872 16177 15375
"200032_s_at" 7809 11965 8757 15438
"200033_at" 2373 12720 7753 6917
"200034_s_at" 5115 14326 7749 7556
"200035_at" 8384 3771 9709 2943
"200036_s_at" 18358 12822 9612 7726
"200037_s_at" 6433 15006 16458 17118
"200038_s_at" 8012 3541 8124 7002
"200039_s_at" 18839 16402 7751 4461
"200040_at" 5880 12716 6577 6901
"200041_s_at" 19211 13589 6967 6448
"200042_at" 18372 3415 5290 17747
"200043_at" 8021 14417 17260 18073
