"inst_2465" "inst_2826" "inst_4065" "inst_4146"
"1007_s_at" 15234 2273 12991 6640
"1053_at" 17268 21266 7667 2977
"117_at" 21708 10260 5408 7954
"121_at" 19784 12081 16724 17575
"1255_g_at" 7646 4901 13761 10110
"1294_at" 17614 15469 18843 3353
"1316_at" 14304 14002 20153 2577
"1320_at" 9602 6877 19192 20360
"1405_i_at" 15781 9986 13868 8414
"1431_at" 806 817 6721 20230
"1438_at" 12469 12488 240 13965
"1487_at" 16532 11137 1878 14873
"1494_f_at" 18424 2551 19527 6508
"1598_g_at" 21973 1799 20487 2051
"160020_at" 3675 1994 4181 911
"1729_at" 2749 1564 2791 4659
"1773_at" 21053 20092 680 17339
"177_at" 16380 4633 5849 19708
"179_at" 21611 14852 7819 2112
"1861_at" 20974 17819 9112 1567
"200000_s_at" 13422 11925 11019 13694
"200001_at" 4688 14087 4170 14737
"200002_at" 3537 13834 9119 4865
"200003_s_at" 8423 3408 12942 8146
"200004_at" 5978 14468 17223 5643
"200005_at" 5852 14474 11560 14767
"200006_at" 3777 13957 9844 5085
"200007_at" 2624 13636 9971 12469
"200008_s_at" 20718 14262 2236 17739
"200009_at" 16273 11718 4452 13561
"200010_at" 8425 11615 5440 14045
"200011_s_at" 5253 13390 9205 3390
"200012_x_at" 14893 12482 18556 6386
"200013_at" 8334 14510 9252 12751
"200014_s_at" 5963 17497 8164 13271
"200015_s_at" 5245 16876 5905 3542
"200016_x_at" 8332 3345 12895 8050
"200017_at" 8561 13004 12993 8266
"200018_at" 8544 11892 12989 8254
"200019_s_at" 8506 3401 17704 5181
"200020_at" 21207 11909 17358 13624
"200021_at" 3076 12548 13043 8390
"200022_at" 8442 3007 7120 8163
"200023_s_at" 5524 12774 11028 4490
"200024_at" 8510 13042 17898 5209
"200025_s_at" 8540 11910 10875 8251
"200026_at" 8709 12325 16776 15773
"200027_at" 4932 15952 11258 6556
"200028_s_at" 5244 11455 10073 6272
"200029_at" 8485 2189 9190 3872
"200030_s_at" 13537 13977 17255 12336
"200031_s_at" 8531 11159 12982 8242
"200032_s_at" 8563 11318 10970 8268
"200033_at" 13233 14612 8023 5388
"200034_s_at" 13845 11933 9907 8152
"200035_at" 20224 579 8639 13851
"200036_s_at" 4172 12180 10586 4885
"200037_s_at" 5704 17239 5371 12588
"200038_s_at" 8678 3246 8849 8368
"200039_s_at" 4885 15101 9379 6213
"200040_at" 4357 14208 16648 13256
"200041_s_at" 4729 14658 5447 15316
"200042_at" 5587 16683 17277 15895
"200043_at" 5263 14879 10739 13305
"200044_at" 5738 18100 4778 13034
"200045_at" 4152 3349 11403 18071
"200046_at" 13568 18472 5559 5812
"200047_s_at" 5545 15004 5767 3993
"200048_s_at" 2495 16592 5500 4683
"200049_at" 2313 12599 10814 15603
"200050_at" 20073 20628 5970 14909
"200051_at" 18067 14435 7683 17557
"200052_s_at" 4476 17017 3117 16135
"200053_at" 19941 15654 3462 4735
"200054_at" 2635 15008 4693 5638
"200055_at" 1931 11972 17660 4781
"200056_s_at" 2584 21062 5861 12159
"200057_s_at" 6293 14020 18110 5140
"200058_s_at" 3906 12321 9159 3291
"200059_s_at" 5456 14218 7547 6244
"200060_s_at" 13549 16585 11044 5658
"200061_s_at" 8529 3375 18515 8240
"200062_s_at" 8402 5959 12935 8127
"200063_s_at" 8599 11299 13008 8301
"200064_at" 15821 13937 8251 13533
"200065_s_at" 4810 12590 6352 12878
"200066_at" 19407 15899 9383 17943
"200067_x_at" 5807 15990 11300 4734
"200068_s_at" 13645 11660 11041 6279
"200069_at" 4464 12303 9378 15216
"200070_at" 18867 21526 17430 15622
"200071_at" 19169 18216 4300 12894
"200072_s_at" 17290 11617 8606 14413
"200073_s_at" 1978 17172 4401 14548
"200074_s_at" 4551 14063 7155 5434
"200075_s_at" 15259 18219 3153 16055
"200076_s_at" 4509 14297 10088 16459
"200077_s_at" 4656 12603 10359 4911
"200078_s_at" 3038 16077 7360 12965
"200079_s_at" 15043 14938 10266 14482
