"inst_3002" "inst_3340" "inst_4244" "inst_4828"
"1007_s_at" 6560 2448 5063 3597
"1053_at" 6464 17576 16307 18647
"117_at" 20294 8335 101 6500
"121_at" 2711 13179 3936 13424
"1255_g_at" 8691 8676 9815 9940
"1294_at" 5391 18481 17065 18798
"1316_at" 2356 21501 19010 2980
"1320_at" 10791 7854 179 11619
"1405_i_at" 21443 5033 8960 2350
"1431_at" 21160 4285 12863 353
"1438_at" 12561 13081 6296 333
"1487_at" 16416 18977 14515 16356
"1494_f_at" 4075 20987 15860 19897
"1598_g_at" 6635 2771 17859 4073
"160020_at" 2651 22057 5019 19092
"1729_at" 17594 16429 17128 14290
"1773_at" 20158 15974 4192 3326
"177_at" 20281 10574 20638 15622
"179_at" 1119 21384 2379 18997
"1861_at" 18569 19879 3347 13802
"200000_s_at" 4829 15040 19552 3234
"200001_at" 7044 11466 4234 2095
"200002_at" 13919 4169 6575 5495
"200003_s_at" 9735 11930 8304 2975
"200004_at" 13971 15774 14266 14325
"200005_at" 5614 13173 14361 3432
"200006_at" 13773 13889 5180 14147
"200007_at" 14233 3187 13864 13819
"200008_s_at" 16569 13413 12596 20122
"200009_at" 7136 14617 12270 13446
"200010_at" 14042 11954 4354 2747
"200011_s_at" 4151 15867 15637 4081
"200012_x_at" 14186 11603 6695 5187
"200013_at" 15863 14421 5580 12688
"200014_s_at" 4663 13562 5878 17214
"200015_s_at" 18262 17577 7044 17974
"200016_x_at" 13713 3818 13209 13146
"200017_at" 9825 6913 8357 13327
"200018_at" 9813 6898 8353 13539
"200019_s_at" 6414 4567 13875 4770
"200020_at" 4142 17904 5428 14527
"200021_at" 18521 7072 8402 7939
"200022_at" 9746 3775 2576 2794
"200023_s_at" 6391 11761 13794 15021
"200024_at" 14228 12722 6579 3336
"200025_s_at" 7315 4685 5601 13671
"200026_at" 9917 4704 6946 15184
"200027_at" 7742 13738 5666 19147
"200028_s_at" 5734 13259 14434 15851
"200029_at" 5740 3125 6473 5651
"200030_s_at" 6016 3451 13474 12931
"200031_s_at" 9806 6882 8347 5547
"200032_s_at" 9829 6916 12682 14677
"200033_at" 14823 14195 13108 16292
"200034_s_at" 14925 15188 7048 3634
"200035_at" 1375 14457 14707 1933
"200036_s_at" 15870 12931 4699 14319
"200037_s_at" 4723 13560 5204 18841
"200038_s_at" 9901 13147 6035 4555
"200039_s_at" 17147 15404 6907 14769
"200040_at" 6583 12904 14308 18530
"200041_s_at" 5679 15388 17188 2878
"200042_at" 4593 11793 15909 5436
"200043_at" 6710 12549 14362 5389
"200044_at" 15384 12563 15643 15448
"200045_at" 6737 15049 16604 5428
"200046_at" 14585 4420 6691 13182
"200047_s_at" 3670 15881 6950 17096
"200048_s_at" 14728 14661 16570 16235
"200049_at" 2662 13139 5445 4326
"200050_at" 18335 11362 3067 15638
"200051_at" 15141 15897 17573 13898
"200052_s_at" 14753 19832 6207 5343
"200053_at" 3178 18583 14744 290
"200054_at" 16385 18551 12582 14259
"200055_at" 16138 16972 12660 14329
"200056_s_at" 20154 17941 15736 21774
"200057_s_at" 6575 2975 16417 13908
"200058_s_at" 7440 17864 6472 4985
"200059_s_at" 7807 12514 4966 14169
"200060_s_at" 14610 18635 15829 12685
"200061_s_at" 9805 6880 8346 3685
"200062_s_at" 9720 6767 8298 7735
"200063_s_at" 14354 6963 8370 16202
"200064_at" 15401 4441 4207 2774
"200065_s_at" 7658 12529 6945 2326
"200066_at" 3918 16927 19436 13483
"200067_x_at" 7217 13922 5883 16931
"200068_s_at" 6996 11317 3812 15106
"200069_at" 17763 13813 6826 17751
"200070_at" 15948 12833 3519 16137
"200071_at" 6578 18825 12437 19171
"200072_s_at" 17049 14708 16002 14038
"200073_s_at" 7656 15753 13629 15378
"200074_s_at" 14037 13408 5766 3214
"200075_s_at" 6509 14666 6948 4996
"200076_s_at" 3828 15812 17724 15535
"200077_s_at" 13786 3501 5564 5173
"200078_s_at" 7706 13745 16019 15897
"200079_s_at" 4671 3571 14373 12562
"200080_s_at" 7834 3478 6346 4221
"200081_s_at" 6926 4749 6449 3384
"200082_s_at" 13964 3310 6412 4357
"200083_at" 4615 15882 15309 15015
"200084_at" 16495 15242 14470 15020
"200085_s_at" 17273 13844 6278 3463
"200086_s_at" 16837 14288 12979 13729
"200087_s_at" 4844 15755 5765 15993
"200088_x_at" 9730 6778 4522 7747
"200089_s_at" 7716 15334 4158 12778
"200090_at" 7464 19948 2765 20187
"200091_s_at" 16281 15385 13861 12975
"200092_s_at" 6854 3124 4507 3007
"200093_s_at" 16925 15823 12675 18276
"200094_s_at" 13947 18029 13252 4020
"200095_x_at" 9907 7054 8397 7929
"200096_s_at" 6422 14130 5137 17497
"200097_s_at" 14300 16461 7218 18427
"200098_s_at" 17420 19630 5159 13901
"200099_s_at" 9862 6981 6166 5144
"200593_s_at" 16802 18378 6478 16255
"200594_x_at" 5847 14216 4294 13578
"200595_s_at" 6244 17944 19768 18567
"200596_s_at" 14280 18498 16286 5424
"200597_at" 2507 2701 19959 17992
"200598_s_at" 7829 2636 3871 18732
"200599_s_at" 2924 15060 13113 14716
"200600_at" 5310 2418 13979 9342
"200601_at" 14461 19962 14089 13844
"200602_at" 5489 20381 5101 21288
"200603_at" 17421 15444 4014 19627
"200604_s_at" 19076 4720 14313 13540
"200605_s_at" 17143 16071 12848 20682
"200606_at" 665 4446 1761 5174
"200607_s_at" 16658 15217 12953 18734
"200608_s_at" 15249 17884 13395 17611
"200609_s_at" 2807 4528 18520 20205
"200610_s_at" 7529 11350 15723 13772
"200611_s_at" 17261 15029 3937 3341
"200612_s_at" 5080 18702 16025 952
"200613_at" 3913 12906 15963 2038
"200614_at" 14979 3290 16406 14248
"200615_s_at" 4483 2113 3797 19619
"200616_s_at" 6047 11503 5727 13292
"200617_at" 6800 18301 13974 1944
"200618_at" 14096 13492 16404 4771
"200619_at" 3260 4034 3256 3133
"200620_at" 17506 16121 6319 14957
"200621_at" 16916 13233 15407 5444
"200622_x_at" 16643 15156 12816 12791
"200623_s_at" 16765 19903 22108 15868
"200624_s_at" 7444 14604 17156 20389
"200625_s_at" 7634 3174 15944 14114
"200626_s_at" 4186 3758 17539 17672
"200627_at" 16627 3149 16751 14201
"200628_s_at" 16137 2915 4090 5503
"200629_at" 16661 12496 12810 3256
"200630_x_at" 4811 13532 13097 13257
"200631_s_at" 7818 12315 13923 13654
"200632_s_at" 20126 4215 3580 1051
"200633_at" 13907 6879 8345 13785
"200634_at" 16231 3542 18242 1329
"200635_s_at" 9205 12799 4127 3295
"200636_s_at" 8632 14458 5885 12646
"200637_s_at" 9484 17568 2795 3111
"200638_s_at" 14680 12564 14105 16139
"200639_s_at" 5041 20154 3465 4168
"200640_at" 17051 12914 6334 3849
"200641_s_at" 17615 2984 16454 19795
"200642_at" 14284 14188 5795 13963
"200643_at" 3066 21240 18056 14497
"200644_at" 21765 15976 15634 18890
"200645_at" 13899 2570 15822 5011
"200646_s_at" 4184 12862 21624 3934
"200647_x_at" 5757 3563 3364 3533
"200648_s_at" 2262 15326 2349 16242
"200649_at" 5061 16664 17221 1993
"200650_s_at" 7816 2384 8277 17315
"200651_at" 6980 3541 2596 2320
"200652_at" 14137 13221 3933 2359
"200653_s_at" 17623 11727 2111 3923
"200654_at" 5538 12034 13491 3241
"200655_s_at" 13986 15693 13684 18093
"200656_s_at" 15432 17178 1929 3285
"200657_at" 6222 3163 12257 14104
"200658_s_at" 6140 13928 3917 2943
"200659_s_at" 5196 11911 16514 4017
"200660_at" 18133 16890 6126 3400
"200661_at" 7504 3717 14222 14606
"200662_s_at" 4895 1373 14490 17160
"200663_at" 7067 14985 4315 4950
"200664_s_at" 7458 2379 3804 13774
"200665_s_at" 13302 4980 10137 10369
"200666_s_at" 6154 14589 2187 3639
"200667_at" 6343 3271 12339 19927
"200668_s_at" 7547 12362 16775 17906
"200669_s_at" 7152 16629 15001 13711
"200670_at" 14915 1686 14861 16227
"200671_s_at" 1258 744 12676 22110
"200672_x_at" 17362 21712 13258 18666
"200673_at" 4379 13947 5735 14682
"200674_s_at" 6288 2474 13417 4569
"200675_at" 5075 4334 12377 4161
"200676_s_at" 20724 3171 4757 537
"200677_at" 4166 4690 15287 15940
"200678_x_at" 14422 13345 5763 4446
"200679_x_at" 17016 15575 4063 3664
"200680_x_at" 6614 4300 6077 12981
"200681_at" 5724 15194 12947 15404
"200682_s_at" 17235 13363 6307 13498
"200683_s_at" 16425 13556 13904 17576
"200684_s_at" 2563 15129 17316 15311
"200685_at" 4456 12720 15805 21041
"200686_s_at" 6851 20247 4685 21741
"200687_s_at" 7422 17193 20015 13400
"200688_at" 16021 20465 19471 15049
"200689_x_at" 4969 3387 6987 4178
"200690_at" 20415 18602 13271 3933
"200691_s_at" 7604 13055 5913 17211
"200692_s_at" 17491 18776 16577 14087
"200693_at" 13676 17240 5800 14351
"200694_s_at" 6984 15066 14169 15781
"200695_at" 21433 13676 17239 924
"200696_s_at" 3338 12576 6237 14220
"200697_at" 2055 18817 13913 14129
"200698_at" 15302 17605 6568 18735
"200699_at" 19459 13443 6033 4192
"200700_s_at" 17200 14448 14344 16973
"200701_at" 19174 17600 6386 2105
"200702_s_at" 7128 15238 4244 5432
"200703_at" 19358 11637 14309 16215
"200704_at" 14418 16010 20294 14578
"200705_s_at" 16386 4474 13757 16756
"200706_s_at" 7189 12866 1549 13128
"200707_at" 14317 17693 19318 1395
"200708_at" 15765 4523 13943 13312
"200709_at" 16752 12571 20099 14766
"200710_at" 7732 17870 15931 2609
"200711_s_at" 4492 13975 13983 18828
"200712_s_at" 17216 16654 6115 20506
"200713_s_at" 7551 3579 2835 13954
"200714_x_at" 16125 17911 16550 1096
"200715_x_at" 13973 3313 4088 5013
"200716_x_at" 9902 7044 7062 3461
"200717_x_at" 9802 6876 8343 12828
"200718_s_at" 14743 4495 12313 13219
"200719_at" 14439 17154 17207 15072
"200720_s_at" 6796 4371 5397 12589
"200721_s_at" 19072 16863 6787 12775
"200722_s_at" 6759 1605 20684 16651
"200723_s_at" 7468 14980 18447 17077
"200724_at" 9405 11757 13247 18957
"200725_x_at" 6729 4403 6965 14712
"200726_at" 14540 12631 13111 19097
"200727_s_at" 16874 13488 5207 15984
"200728_at" 17164 17736 15324 20796
"200729_s_at" 14471 14947 6521 18114
"200730_s_at" 16898 12360 5068 17952
"200731_s_at" 17650 19671 3390 20775
"200732_s_at" 15990 14699 3259 17483
"200733_s_at" 7722 13762 2780 17822
"200734_s_at" 6835 18286 18213 15105
"200735_x_at" 9857 6974 5378 5199
"200736_s_at" 14224 7219 6825 9126
"200737_at" 17965 4136 13453 13463
"200738_s_at" 16799 12583 12237 14557
"200739_s_at" 4243 11424 18724 13489
"200740_s_at" 5053 11308 4184 17610
"200741_s_at" 9721 6769 8299 7736
"200742_s_at" 3866 19976 19880 19278
"200743_s_at" 6568 12589 17513 15568
"200744_s_at" 15301 14092 4157 5005
"200745_s_at" 6809 16731 6113 4417
"200746_s_at" 5948 3796 16140 15674
"200747_s_at" 14054 15766 20423 563
"200748_s_at" 17670 15221 6321 2523
"200749_at" 6830 14504 12786 19612
"200750_s_at" 16972 14840 12370 13038
"200751_s_at" 14920 15905 4816 18370
"200752_s_at" 1924 16036 20738 5104
"200753_x_at" 17251 15180 5318 18507
"200754_x_at" 5335 4480 14586 5297
"200755_s_at" 5820 3066 13970 4160
"200756_x_at" 15973 4396 15144 21998
"200757_s_at" 4592 2831 12584 12691
"200758_s_at" 19447 14268 6059 5265
"200759_x_at" 19530 1775 13191 3066
"200760_s_at" 6937 17207 3282 13322
