"inst_2134" "inst_2790" "inst_4391" "inst_4568"
"1007_s_at" 7456 16701 3374 17455
"1053_at" 5368 20485 18313 13222
"117_at" 2958 13816 5522 1014
"121_at" 7903 4350 4818 2478
"1255_g_at" 15408 9163 5360 8281
"1294_at" 21373 17337 1417 125
"1316_at" 4132 19511 18143 21312
"1320_at" 10567 14589 20253 8291
"1405_i_at" 6022 15433 10322 9955
"1431_at" 17733 17824 13453 21858
"1438_at" 11594 18817 19726 20186
"1487_at" 4216 3273 18114 16925
"1494_f_at" 1456 18121 3519 15313
"1598_g_at" 22102 6556 11844 15731
"160020_at" 20230 166 694 14947
"1729_at" 5197 17622 4833 15972
"1773_at" 1884 2727 19371 3125
"177_at" 17842 9119 3351 21287
"179_at" 21480 7289 3502 21078
"1861_at" 18710 19674 21257 14238
"200000_s_at" 19800 3583 12542 21236
"200001_at" 6741 5209 11102 5212
"200002_at" 9876 16672 12782 14046
"200003_s_at" 12173 7649 6811 8913
"200004_at" 6343 8706 15601 5211
"200005_at" 6653 4842 11010 7017
"200006_at" 6421 7118 11712 6333
"200007_at" 7675 5511 15665 13529
"200008_s_at" 3541 6876 20828 16396
"200009_at" 6335 6536 10957 6052
"200010_at" 9533 16598 14548 16499
"200011_s_at" 7556 4978 13336 18850
"200012_x_at" 18824 17009 4897 4295
"200013_at" 8221 7161 11684 14346
"200014_s_at" 8374 7366 12730 6244
"200015_s_at" 8534 3750 16721 17598
"200016_x_at" 9788 16876 11445 13406
"200017_at" 12223 11491 6935 14000
"200018_at" 12351 8447 6926 14912
"200019_s_at" 18419 8175 12643 15276
"200020_at" 1173 8569 12152 17612
"200021_at" 7577 8072 7068 9122
"200022_at" 12029 8788 6829 13646
"200023_s_at" 5958 6829 15238 13781
"200024_at" 9312 16137 4429 5708
"200025_s_at" 9408 17211 6923 14527
"200026_at" 12058 17441 7071 13048
"200027_at" 8667 6579 12535 6226
"200028_s_at" 8835 16530 11050 15279
"200029_at" 12229 6800 11921 4813
"200030_s_at" 6676 6525 11147 13599
"200031_s_at" 12269 11456 6916 8996
"200032_s_at" 12083 11497 6940 6309
"200033_at" 4109 8271 17601 17483
"200034_s_at" 7947 16616 5024 14904
"200035_at" 17344 19031 11115 20631
"200036_s_at" 17446 8249 11269 4221
"200037_s_at" 7380 6307 15120 14141
"200038_s_at" 12288 16159 7039 4758
"200039_s_at" 9125 16892 4398 6669
"200040_at" 9152 4813 14980 15965
"200041_s_at" 5395 5290 12401 5773
"200042_at" 7692 4139 14004 13879
"200043_at" 5305 5494 16066 18023
"200044_at" 8983 16264 16266 4304
"200045_at" 18264 2685 4666 13211
"200046_at" 2013 6075 18761 16565
"200047_s_at" 6298 4909 18369 6922
"200048_s_at" 6877 8257 14078 5706
"200049_at" 3280 17650 15952 19343
"200050_at" 3888 8210 18066 6598
"200051_at" 5824 8799 10877 14962
"200052_s_at" 5430 4915 13483 17144
"200053_at" 8046 18994 17487 5798
"200054_at" 5609 16854 18854 3536
"200055_at" 7837 1628 3936 13215
"200056_s_at" 6114 19791 20457 16655
"200057_s_at" 6853 7011 12677 17063
"200058_s_at" 7123 3063 11387 5367
"200059_s_at" 7634 6703 16063 16184
"200060_s_at" 9080 6115 15569 4401
"200061_s_at" 12303 11455 6914 8995
"200062_s_at" 12381 11309 6791 8898
"200063_s_at" 12143 17257 6972 9047
"200064_at" 4223 15974 12247 14233
"200065_s_at" 3677 3981 11343 5501
"200066_at" 4685 8203 13394 13319
"200067_x_at" 9639 2513 15261 4360
"200068_s_at" 7938 17840 4333 13824
"200069_at" 1305 1333 17948 16058
"200070_at" 6240 966 11905 14523
"200071_at" 6869 6488 20375 5086
"200072_s_at" 7106 6134 11514 16473
"200073_s_at" 17994 16747 16920 14382
"200074_s_at" 7421 18072 13632 5440
"200075_s_at" 9540 6900 5047 6662
"200076_s_at" 4322 5071 12526 16748
"200077_s_at" 17706 18021 13049 15867
"200078_s_at" 7207 4396 17104 15932
"200079_s_at" 5590 3550 13146 6609
"200080_s_at" 8896 19280 16543 19434
"200081_s_at" 17469 7296 11967 5407
"200082_s_at" 12077 16643 6962 5341
"200083_at" 8296 7516 12380 15975
"200084_at" 8453 16869 18604 15191
"200085_s_at" 9711 8827 11570 5033
"200086_s_at" 8939 6036 12085 6358
"200087_s_at" 6665 16415 13768 14771
"200088_x_at" 12375 11325 6805 8909
"200089_s_at" 9606 17007 12717 5278
"200090_at" 5072 2607 4750 3044
"200091_s_at" 18184 19689 15533 17817
"200092_s_at" 12166 17774 6981 4115
"200093_s_at" 6442 8432 16245 19224
"200094_s_at" 17607 6376 11270 6938
"200095_x_at" 12326 11655 7051 9111
"200096_s_at" 1244 7691 16728 3210
"200097_s_at" 4148 17181 15055 4692
"200098_s_at" 9451 6364 14093 3991
"200099_s_at" 12261 11576 6986 13484
"200593_s_at" 17187 17419 12513 17631
"200594_x_at" 9284 6527 12584 18336
"200595_s_at" 8275 17952 20166 6171
"200596_s_at" 7954 2693 12473 17991
"200597_at" 3544 20247 18107 15945
"200598_s_at" 8572 6585 16715 6960
"200599_s_at" 8836 18613 19071 17487
"200600_at" 8183 14232 6297 15444
"200601_at" 5298 20150 17595 17306
"200602_at" 5666 8858 10607 20499
"200603_at" 7881 17487 20123 18324
"200604_s_at" 910 6514 16758 19713
"200605_s_at" 17751 16964 16783 6233
"200606_at" 13175 8242 17650 18867
"200607_s_at" 4395 18532 12210 6995
"200608_s_at" 7843 8708 19641 15458
"200609_s_at" 18381 3249 16093 3602
"200610_s_at" 5291 7795 13452 18194
"200611_s_at" 4517 7003 18682 13487
"200612_s_at" 17682 151 20197 13537
"200613_at" 17065 5343 11305 5980
"200614_at" 8086 17008 11625 14762
"200615_s_at" 9520 2469 16997 13038
"200616_s_at" 6405 17413 4542 6313
"200617_at" 18540 6739 12398 18576
"200618_at" 8431 3368 11585 3986
"200619_at" 17910 1878 17920 14086
"200620_at" 16968 16974 11164 16210
"200621_at" 18028 7534 15468 16983
"200622_x_at" 6936 8243 10756 6353
"200623_s_at" 18680 5245 14876 17773
"200624_s_at" 6639 4140 21343 12930
"200625_s_at" 4929 5160 19458 19142
"200626_s_at" 7385 19461 18641 20022
"200627_at" 3145 7000 11924 13812
"200628_s_at" 2348 6160 20594 6128
"200629_at" 4074 2111 3650 5920
"200630_x_at" 6228 18061 16293 19016
"200631_s_at" 9718 1553 12254 16081
"200632_s_at" 6862 613 3084 7010
"200633_at" 18592 8268 6913 8993
"200634_at" 9298 18536 13539 18583
"200635_s_at" 8150 8633 4840 18216
"200636_s_at" 12784 1089 14402 17315
"200637_s_at" 12573 6407 12436 18476
"200638_s_at" 4498 6679 16949 16950
"200639_s_at" 18438 16796 13620 3632
"200640_at" 7357 16860 12756 15858
"200641_s_at" 5189 15900 19454 14588
"200642_at" 9816 8356 12728 13473
"200643_at" 3596 8273 11262 16278
"200644_at" 21784 4080 17868 18331
"200645_at" 8594 3813 11426 16929
"200646_s_at" 19466 2051 10604 14118
"200647_x_at" 9009 2800 15393 18648
"200648_s_at" 8008 20170 20006 2744
"200649_at" 18950 1284 4681 13413
"200650_s_at" 17781 17443 12484 8857
"200651_at" 18458 17258 7034 14830
"200652_at" 17140 8606 15697 13592
"200653_s_at" 2815 8499 11818 15941
"200654_at" 7509 3333 16585 19062
"200655_s_at" 2775 17184 12178 13023
"200656_s_at" 5169 6959 14047 15956
"200657_at" 7340 18133 10778 13546
"200658_s_at" 5363 7439 12491 16698
"200659_s_at" 19058 3152 12511 14611
"200660_at" 8922 6066 12686 6042
"200661_at" 18026 3934 3655 6787
"200662_s_at" 4121 17728 16581 6182
"200663_at" 5932 7499 14013 6932
"200664_s_at" 2381 16759 12109 3469
"200665_s_at" 10106 10221 5668 21792
"200666_s_at" 9282 7072 15781 16498
"200667_at" 17424 3085 2646 3956
"200668_s_at" 4857 3237 13134 6484
"200669_s_at" 4097 3509 17762 4362
"200670_at" 5202 16512 20933 14917
"200671_s_at" 497 17637 22137 1543
"200672_x_at" 19241 20490 21561 20377
"200673_at" 3823 8652 18872 17364
"200674_s_at" 18401 7242 6994 4835
"200675_at" 6510 7486 16086 16779
"200676_s_at" 4279 3668 20232 21248
"200677_at" 1063 4579 11621 6004
"200678_x_at" 5795 5967 15617 6394
"200679_x_at" 5717 17615 3407 14596
"200680_x_at" 9268 16735 7056 16015
"200681_at" 19054 3885 15672 15027
"200682_s_at" 4389 4976 13747 13857
"200683_s_at" 4717 1415 10782 14667
"200684_s_at" 9024 6860 20454 19513
"200685_at" 3582 16999 21415 5357
"200686_s_at" 6141 1552 19033 6207
"200687_s_at" 2470 16265 11580 16650
"200688_at" 2526 6901 2956 2335
"200689_x_at" 17698 8360 10725 13648
"200690_at" 5883 18445 13389 4682
"200691_s_at" 5893 5887 11404 19304
"200692_s_at" 8747 16949 18217 16151
"200693_at" 3410 4095 19585 5573
"200694_s_at" 5731 6183 14419 15117
"200695_at" 18658 20038 16979 17847
"200696_s_at" 17407 20290 20520 21031
"200697_at" 20032 8840 12114 13722
"200698_at" 8744 17112 16810 14981
"200699_at" 18632 3607 3204 14193
"200700_s_at" 20216 16630 15740 5768
"200701_at" 18348 3411 16335 15687
"200702_s_at" 5259 20022 4004 14856
"200703_at" 4518 17417 17082 6273
"200704_at" 5000 1802 15641 20258
"200705_s_at" 9362 7008 4170 5538
"200706_s_at" 1443 20316 13924 3525
"200707_at" 9747 18003 4416 14883
"200708_at" 17621 3797 13211 17244
"200709_at" 9513 5739 16146 16422
"200710_at" 17311 2063 14171 18349
"200711_s_at" 4691 3580 16324 17807
"200712_s_at" 3487 8463 20856 16089
"200713_s_at" 6903 4991 11252 17877
"200714_x_at" 18394 2811 12294 16906
"200715_x_at" 9787 6872 3478 14158
"200716_x_at" 12255 11650 7040 13775
"200717_x_at" 12370 11452 6911 8992
"200718_s_at" 5908 6079 6863 15953
