"inst_1559" "inst_5777"
"1007_s_at" 18382 17183
"1053_at" 16376 18746
"117_at" 16516 11576
"121_at" 4305 6818
"1255_g_at" 12742 7695
"1294_at" 15504 2395
"1316_at" 18397 19223
"1320_at" 10876 1682
"1405_i_at" 1834 11691
"1431_at" 7637 20663
"1438_at" 7716 21631
"1487_at" 18954 2874
"1494_f_at" 300 15698
"1598_g_at" 17831 20893
"160020_at" 2079 17214
"1729_at" 308 4797
"1773_at" 6227 4307
"177_at" 724 11164
"179_at" 18094 15108
"1861_at" 11393 6527
"200000_s_at" 4120 15843
"200001_at" 1454 16090
"200002_at" 18792 14701
"200003_s_at" 16876 14240
"200004_at" 18722 6647
"200005_at" 16087 6690
"200006_at" 21479 14273
"200007_at" 16647 15770
"200008_s_at" 15792 14981
"200009_at" 3465 14779
"200010_at" 3909 14686
"200011_s_at" 18149 17112
"200012_x_at" 1897 16379
"200013_at" 4526 15363
"200014_s_at" 15642 7530
"200015_s_at" 1486 19641
"200016_x_at" 15889 13789
"200017_at" 4377 13807
"200018_at" 16686 7273
"200019_s_at" 19573 7558
"200020_at" 16779 15358
"200021_at" 1846 5844
"200022_at" 20589 6531
"200023_s_at" 19495 13909
"200024_at" 3261 7020
"200025_s_at" 2613 14250
"200026_at" 2445 15598
"200027_at" 20059 3006
"200028_s_at" 4229 7136
"200029_at" 3939 6114
"200030_s_at" 4451 17505
"200031_s_at" 16083 9034
"200032_s_at" 2436 7358
"200033_at" 19880 17250
"200034_s_at" 18419 14770
"200035_at" 19216 15816
"200036_s_at" 4555 13593
"200037_s_at" 18357 17888
"200038_s_at" 15655 14006
"200039_s_at" 17543 14912
"200040_at" 19824 16969
"200041_s_at" 17344 13442
"200042_at" 20370 6573
"200043_at" 19314 13883
"200044_at" 17261 13171
"200045_at" 3307 13226
"200046_at" 3532 7381
"200047_s_at" 21640 4764
"200048_s_at" 16430 5935
"200049_at" 18200 13348
"200050_at" 19654 2945
"200051_at" 20543 5761
"200052_s_at" 19214 13273
"200053_at" 18803 7593
"200054_at" 19635 3440
"200055_at" 17441 14718
"200056_s_at" 20668 13502
"200057_s_at" 15589 14975
"200058_s_at" 19738 15805
"200059_s_at" 3897 6654
"200060_s_at" 20494 3441
"200061_s_at" 15353 9033
"200062_s_at" 16933 9003
"200063_s_at" 16541 14015
"200064_at" 18846 17637
"200065_s_at" 19307 5743
"200066_at" 1877 16651
"200067_x_at" 17121 17200
"200068_s_at" 3156 3571
"200069_at" 21480 13367
"200070_at" 19537 19619
"200071_at" 17571 2639
"200072_s_at" 18783 17645
"200073_s_at" 21515 13820
"200074_s_at" 2621 14684
"200075_s_at" 4622 7226
"200076_s_at" 1030 18356
"200077_s_at" 17857 6391
"200078_s_at" 16804 5617
"200079_s_at" 3975 6430
"200080_s_at" 21525 15726
"200081_s_at" 3965 14239
"200082_s_at" 4151 13077
"200083_at" 16263 17953
"200084_at" 18730 7077
"200085_s_at" 17324 15269
"200086_s_at" 16251 15859
"200087_s_at" 20296 3178
"200088_x_at" 3585 6385
"200089_s_at" 17955 13130
"200090_at" 21743 4712
"200091_s_at" 19916 15208
"200092_s_at" 18564 14057
"200093_s_at" 20267 7351
