"inst_1463" "inst_1883" "inst_1963" "inst_4183" "inst_4769"
"1007_s_at" 6365 3488 604 18387 16625
"1053_at" 8192 19983 21980 16747 21050
"117_at" 9570 12907 10270 16120 7778
"121_at" 2525 18294 19587 15641 2509
"1255_g_at" 10778 10275 12016 11598 5015
"1294_at" 20849 5080 21580 21683 11832
"1316_at" 2924 2104 16314 20932 3481
"1320_at" 12436 12457 15060 8582 9264
"1405_i_at" 11317 12494 15443 21547 6988
"1431_at" 10558 14268 5344 1222 20050
"1438_at" 20253 12309 2474 3871 15974
"1487_at" 8210 6977 18261 16282 12665
"1494_f_at" 21546 20383 16055 10213 1905
"1598_g_at" 19772 17913 2576 20564 4527
"160020_at" 21507 4109 22242 3802 12458
"1729_at" 19550 19126 16776 5532 18757
"1773_at" 1566 21807 15103 2569 13586
"177_at" 14427 10758 17733 21529 18687
"179_at" 19774 19464 22209 21546 20555
"1861_at" 5537 21136 1368 15370 20753
"200000_s_at" 4341 21822 3171 18481 21222
"200001_at" 17781 21030 22101 15851 19601
"200002_at" 6637 18865 19178 6199 16811
"200003_s_at" 17037 18498 4227 14769 19581
"200004_at" 7910 4159 20760 14065 11971
"200005_at" 6813 20810 2612 13320 17940
"200006_at" 8574 5011 17198 14389 13193
"200007_at" 5334 5849 18431 2241 11856
"200008_s_at" 5698 20764 20504 5553 21826
"200009_at" 8502 6485 18503 4711 3375
"200010_at" 8224 22112 18440 5855 21582
"200011_s_at" 16809 3485 3515 17721 11992
"200012_x_at" 18306 6172 17140 7281 2912
"200013_at" 17822 19308 16275 14529 14587
"200014_s_at" 8667 6176 16027 5313 16336
"200015_s_at" 3303 16979 19117 6692 14351
"200016_x_at" 7317 2965 19374 6351 3473
"200017_at" 8075 2786 3284 8952 16460
"200018_at" 17012 5162 3633 15962 16462
"200019_s_at" 17128 18720 4091 15347 18337
"200020_at" 6808 19989 19429 7528 3590
"200021_at" 11207 3381 2830 9008 6922
"200022_at" 16965 20331 15269 7705 17458
"200023_s_at" 8348 20070 16425 13189 16618
"200024_at" 7891 17171 17837 14029 17039
"200025_s_at" 5884 1805 15378 6067 4178
"200026_at" 18160 6975 19378 13956 14664
"200027_at" 5670 4843 16044 5955 15021
"200028_s_at" 7165 18187 16746 4338 3214
"200029_at" 6692 17986 16270 5581 13911
"200030_s_at" 8688 18684 19059 12994 11810
"200031_s_at" 17053 18853 4108 8943 13267
"200032_s_at" 18390 4055 15140 14001 6807
"200033_at" 6740 2421 17884 5878 19396
"200034_s_at" 16548 18415 3033 15504 13026
"200035_at" 4805 22257 3503 18959 13757
"200036_s_at" 17026 17380 15438 5845 11805
"200037_s_at" 17787 1753 15529 5905 4366
"200038_s_at" 8706 17075 17580 6575 15132
"200039_s_at" 19698 17210 18472 13615 18096
"200040_at" 7292 4447 21173 6608 13129
"200041_s_at" 5696 19193 20063 19766 14579
"200042_at" 17622 17204 18053 15730 18517
"200043_at" 7734 6256 17771 17791 16939
"200044_at" 7635 19945 16190 14150 14859
"200045_at" 6120 19408 2697 14920 13988
"200046_at" 6720 5519 20062 17159 19473
"200047_s_at" 7321 620 19648 1578 13359
"200048_s_at" 7343 4170 2276 14755 4457
"200049_at" 18111 5639 18603 19020 16836
"200050_at" 1784 5474 16319 3202 13743
"200051_at" 18041 4537 17050 15289 19718
"200052_s_at" 6753 19625 19873 15838 17230
"200053_at" 1090 22085 16021 3191 13824
"200054_at" 2074 6958 3310 5241 15707
"200055_at" 7237 19056 16139 14681 16794
"200056_s_at" 5587 559 17913 7062 15781
"200057_s_at" 8199 3884 1749 4937 12030
"200058_s_at" 7628 3910 3967 14866 16722
"200059_s_at" 7638 5578 16568 5714 17444
"200060_s_at" 6580 4162 18451 19321 12150
"200061_s_at" 17263 17185 17640 8942 3369
"200062_s_at" 11139 6568 3971 8890 6678
"200063_s_at" 8104 1740 20755 8968 6854
"200064_at" 5657 21537 17237 13266 12109
"200065_s_at" 6938 21430 15852 15646 18209
"200066_at" 19998 20503 2529 17129 12063
"200067_x_at" 5869 2312 21594 3504 14580
"200068_s_at" 7341 4587 16475 3423 3131
"200069_at" 3435 1461 16317 818 13339
"200070_at" 21785 2136 21211 19517 12059
"200071_at" 5041 1193 19302 3043 2824
"200072_s_at" 6710 21487 15530 13307 3183
"200073_s_at" 7924 1173 17021 5182 11809
"200074_s_at" 18370 17277 17328 13066 16248
"200075_s_at" 8241 5131 17163 19294 21810
"200076_s_at" 6425 19656 19435 14092 18958
"200077_s_at" 6282 6801 16167 14337 3509
"200078_s_at" 7502 18227 16254 17224 19467
"200079_s_at" 17466 18607 19634 5807 18619
"200080_s_at" 17634 532 17943 4235 3610
"200081_s_at" 18818 21224 19334 14600 16122
"200082_s_at" 17812 18631 17746 16847 17261
"200083_at" 5518 5650 17712 3779 12565
"200084_at" 7669 2993 21578 4544 13293
"200085_s_at" 7206 21113 15389 14910 17156
"200086_s_at" 8083 17322 16482 6086 14842
"200087_s_at" 5586 2958 20082 14542 3766
"200088_x_at" 17730 18656 15644 14229 6687
"200089_s_at" 7342 4510 20031 4938 12629
"200090_at" 6592 2408 612 7548 20582
"200091_s_at" 19014 5039 15537 14806 18094
"200092_s_at" 7460 17836 18349 4105 3086
"200093_s_at" 8167 2612 18183 7256 15655
"200094_s_at" 8473 17747 15302 15529 13468
"200095_x_at" 16799 5275 18209 9002 6916
"200096_s_at" 17271 20020 19167 5915 20034
"200097_s_at" 4755 2876 21059 5308 12368
"200098_s_at" 6611 6065 2279 4471 12354
"200099_s_at" 18360 2750 19094 13433 6863
"200593_s_at" 20046 20395 18061 17476 13856
"200594_x_at" 7385 3987 16461 5682 3127
"200595_s_at" 16537 4164 19820 19173 14273
"200596_s_at" 19073 19984 2811 6018 2041
"200597_at" 3258 773 17802 15965 12661
"200598_s_at" 17547 2894 19949 14507 16779
"200599_s_at" 4000 5360 21728 14300 16964
"200600_at" 9945 4891 16012 17220 1788
"200601_at" 2147 3963 203 6668 13029
"200602_at" 18261 1233 17090 3655 18832
"200603_at" 6376 865 21816 12952 13817
"200604_s_at" 5687 22064 971 4945 19307
"200605_s_at" 2610 4867 22213 3848 12318
"200606_at" 1151 2375 6090 4289 12917
"200607_s_at" 3787 21668 18535 7192 19604
"200608_s_at" 5278 314 19694 13686 14593
"200609_s_at" 17314 20166 734 14748 15957
"200610_s_at" 3150 5272 22186 2022 852
"200611_s_at" 7043 21609 2800 7416 19021
"200612_s_at" 1994 20978 20631 14473 17147
"200613_at" 6277 19086 4036 16187 19578
"200614_at" 7435 6355 15988 14006 12630
"200615_s_at" 19699 22068 2044 14628 20452
