"inst_2153" "inst_4009" "inst_4127"
"1007_s_at" 20987 19124 8317
"1053_at" 4925 18666 4625
"117_at" 10742 13834 13451
"121_at" 20012 9591 3625
"1255_g_at" 14673 13862 14420
"1294_at" 4033 16203 12066
"1316_at" 5193 21929 1508
"1320_at" 14592 15356 1585
"1405_i_at" 7629 21978 2513
"1431_at" 9446 18257 8794
"1438_at" 16451 8625 11235
"1487_at" 10462 19754 2476
"1494_f_at" 21922 3277 12788
"1598_g_at" 171 21313 8264
"160020_at" 621 21574 21933
"1729_at" 2417 9352 5504
"1773_at" 4375 6508 11007
"177_at" 2436 863 19650
"179_at" 2498 20691 12638
"1861_at" 720 21244 20915
"200000_s_at" 4962 18000 20986
"200001_at" 5349 19081 11626
"200002_at" 10583 18187 9461
"200003_s_at" 13239 19942 12643
"200004_at" 8685 16381 6912
"200005_at" 10597 16541 10235
"200006_at" 18006 17496 11279
"200007_at" 6914 3746 10468
"200008_s_at" 18506 15653 11170
"200009_at" 18133 10101 9918
"200010_at" 18095 18098 12139
"200011_s_at" 18658 16504 8414
"200012_x_at" 19539 9087 20778
"200013_at" 10327 18636 18607
"200014_s_at" 7983 7203 10686
"200015_s_at" 8918 8938 7284
"200016_x_at" 10825 9122 10332
"200017_at" 13244 12227 14760
"200018_at" 13264 18278 14747
"200019_s_at" 10339 18532 11277
"200020_at" 2127 8562 6293
"200021_at" 9647 12296 19083
"200022_at" 13047 20469 19623
"200023_s_at" 6421 9226 8002
"200024_at" 9129 17442 12113
"200025_s_at" 10530 9302 8849
"200026_at" 13237 9921 21088
"200027_at" 19008 8230 5729
"200028_s_at" 18311 5623 6138
"200029_at" 13039 9578 12216
"200030_s_at" 7511 16114 11578
"200031_s_at" 13226 12219 14736
"200032_s_at" 13029 16955 14764
"200033_at" 4991 9015 6917
"200034_s_at" 18155 19919 18586
"200035_at" 8162 9766 9122
"200036_s_at" 9718 16400 11932
"200037_s_at" 5069 9685 3784
"200038_s_at" 13364 16097 18578
"200039_s_at" 18286 17929 10488
"200040_at" 6702 8760 8683
"200041_s_at" 10782 20101 12007
"200042_at" 18540 9034 7682
"200043_at" 3966 17572 10249
"200044_at" 8366 8892 8612
"200045_at" 20303 7964 12184
"200046_at" 1453 19711 6997
"200047_s_at" 3774 4837 1840
"200048_s_at" 7804 8136 6924
"200049_at" 6092 18370 8332
"200050_at" 8442 4853 5174
"200051_at" 1921 19245 10859
"200052_s_at" 6267 20646 12453
"200053_at" 19093 21849 10774
"200054_at" 10491 10062 6187
"200055_at" 5888 18026 11738
"200056_s_at" 5199 8801 2868
"200057_s_at" 9846 6157 10518
"200058_s_at" 5751 19538 12104
"200059_s_at" 7660 7932 7985
"200060_s_at" 10149 15920 11300
"200061_s_at" 13086 12218 18646
"200062_s_at" 13136 12151 14609
"200063_s_at" 13054 12250 14801
"200064_at" 9879 9487 11750
"200065_s_at" 9084 19498 12267
"200066_at" 9941 18736 7373
"200067_x_at" 7114 5538 8617
"200068_s_at" 18687 8206 8455
"200069_at" 6443 4759 4780
"200070_at" 1473 8924 6007
"200071_at" 4439 3507 1676
"200072_s_at" 9933 8437 12618
"200073_s_at" 8927 7300 4986
"200074_s_at" 8963 18115 10697
"200075_s_at" 4434 17532 11967
"200076_s_at" 7366 10377 12402
"200077_s_at" 6554 9028 10345
"200078_s_at" 8021 17479 7176
"200079_s_at" 9642 16650 18978
"200080_s_at" 10485 9860 8340
"200081_s_at" 8832 18723 19475
"200082_s_at" 13095 19633 19953
"200083_at" 6074 5271 7313
"200084_at" 8161 9000 5319
"200085_s_at" 6108 18938 11219
"200086_s_at" 5765 16225 10441
"200087_s_at" 18946 8043 9560
"200088_x_at" 13150 16123 14625
"200089_s_at" 8646 16573 11368
"200090_at" 18527 4426 10871
"200091_s_at" 10057 16681 8918
"200092_s_at" 18145 8727 20048
"200093_s_at" 8754 15773 5082
"200094_s_at" 6077 18387 19951
"200095_x_at" 13322 12288 14889
"200096_s_at" 18716 9917 12760
"200097_s_at" 19841 9689 4457
"200098_s_at" 6595 6390 10103
"200099_s_at" 13118 17414 14819
"200593_s_at" 18248 9380 11198
"200594_x_at" 10011 7551 9619
"200595_s_at" 9075 17891 2713
"200596_s_at" 6351 15729 19956
"200597_at" 18757 3483 4666
"200598_s_at" 10683 5500 8138
"200599_s_at" 5744 8873 2311
"200600_at" 9243 17153 10221
"200601_at" 427 3680 7025
"200602_at" 3248 6765 470
"200603_at" 4448 17046 5062
"200604_s_at" 8120 18425 7723
"200605_s_at" 9650 5294 4778
"200606_at" 13760 4332 2031
"200607_s_at" 4732 15677 6280
"200608_s_at" 5096 16966 4408
"200609_s_at" 19617 19167 5344
"200610_s_at" 8762 6618 11230
"200611_s_at" 6216 18146 11988
"200612_s_at" 6847 20351 20812
"200613_at" 7033 19495 9462
"200614_at" 5885 16722 11602
"200615_s_at" 5504 3373 12486
"200616_s_at" 10164 6114 9126
"200617_at" 3173 20423 19427
"200618_at" 10760 18145 18626
"200619_at" 4750 8409 7979
"200620_at" 4086 17971 10507
"200621_at" 7577 16494 4309
"200622_x_at" 7186 19043 11423
"200623_s_at" 4599 19521 11312
"200624_s_at" 8224 16770 2645
"200625_s_at" 5566 20185 10081
"200626_s_at" 7431 9862 5004
"200627_at" 18226 16127 11784
"200628_s_at" 8216 19126 19916
"200629_at" 19105 18134 12684
"200630_x_at" 19780 15894 12015
"200631_s_at" 10467 10048 9252
"200632_s_at" 7894 8019 7396
"200633_at" 10306 12217 12759
"200634_at" 8816 21217 12440
"200635_s_at" 12828 4105 2494
"200636_s_at" 12220 16868 6386
"200637_s_at" 13586 17371 20000
"200638_s_at" 9308 9204 6045
"200639_s_at" 18038 20159 12411
"200640_at" 18072 16685 11829
"200641_s_at" 5925 6360 9138
"200642_at" 8211 17774 19244
"200643_at" 9284 19506 9177
"200644_at" 20626 10410 5652
"200645_at" 4879 17393 11176
"200646_s_at" 3434 22028 21429
"200647_x_at" 19910 4179 18834
"200648_s_at" 8111 17109 10023
"200649_at" 21975 21049 9266
"200650_s_at" 8648 12126 8563
"200651_at" 18449 19958 11679
"200652_at" 8939 18364 11252
"200653_s_at" 2231 18744 1449
"200654_at" 7600 17488 8408
"200655_s_at" 4943 9381 9937
"200656_s_at" 5161 19555 12649
"200657_at" 8868 9441 11112
"200658_s_at" 9412 18799 20346
"200659_s_at" 21914 17138 12653
"200660_at" 9674 21779 21065
"200661_at" 5556 20855 11673
"200662_s_at" 5746 10424 3041
"200663_at" 10360 17734 10540
"200664_s_at" 2054 6834 4324
"200665_s_at" 13017 11549 15259
"200666_s_at" 3581 8588 7361
"200667_at" 20137 16882 7471
"200668_s_at" 10495 9669 9675
"200669_s_at" 9077 16129 6414
"200670_at" 5748 5528 3800
"200671_s_at" 15 2048 4638
"200672_x_at" 553 5189 19524
"200673_at" 6699 8542 2921
"200674_s_at" 19249 15759 18845
"200675_at" 9026 18495 3301
"200676_s_at" 2163 16045 10109
"200677_at" 5426 8544 5693
"200678_x_at" 6930 19362 9779
"200679_x_at" 5623 16292 11910
"200680_x_at" 9205 9239 12225
"200681_at" 10855 9350 8058
"200682_s_at" 7742 20081 20545
"200683_s_at" 5489 17670 11156
"200684_s_at" 3953 20801 12164
"200685_at" 19022 17918 6152
"200686_s_at" 3110 2018 4614
"200687_s_at" 7632 5312 8937
"200688_at" 4820 17647 12574
"200689_x_at" 9358 7526 12470
"200690_at" 9275 16358 12110
"200691_s_at" 19216 16148 9958
"200692_s_at" 3611 20024 7283
"200693_at" 8302 17898 7641
"200694_s_at" 7317 15719 10939
"200695_at" 8826 21816 21029
"200696_s_at" 9947 21811 2771
"200697_at" 19812 9188 12625
"200698_at" 19951 10470 10395
"200699_at" 19821 10009 10273
"200700_s_at" 10505 8078 8217
"200701_at" 6503 17922 18683
"200702_s_at" 19051 6429 8153
"200703_at" 2821 17080 4527
"200704_at" 20777 7903 9845
"200705_s_at" 19887 8843 18682
"200706_s_at" 19401 21665 8247
"200707_at" 6909 20225 19543
"200708_at" 19279 10416 9667
"200709_at" 18135 16280 6500
"200710_at" 3942 17102 19119
"200711_s_at" 8243 9351 6478
"200712_s_at" 6257 6879 4081
"200713_s_at" 10401 9486 8630
"200714_x_at" 5078 9887 12819
"200715_x_at" 8666 17212 9834
"200716_x_at" 13396 19972 19086
"200717_x_at" 13198 12215 14729
"200718_s_at" 7301 8135 11733
"200719_at" 8763 7884 7991
"200720_s_at" 4074 17314 19312
"200721_s_at" 4192 16298 11535
"200722_s_at" 8736 9750 5587
"200723_s_at" 18200 8120 10906
"200724_at" 1468 16351 3952
"200725_x_at" 9976 16431 12694
"200726_at" 9192 10078 8175
"200727_s_at" 1553 15891 1913
"200728_at" 9130 7786 9554
"200729_s_at" 4171 17943 1978
"200730_s_at" 20659 9476 10303
"200731_s_at" 18701 16595 8354
"200732_s_at" 18877 17130 10255
"200733_s_at" 8895 7958 2407
"200734_s_at" 20086 8418 19306
"200735_x_at" 13034 16639 14812
"200736_s_at" 10513 21248 13169
"200737_at" 1709 10505 7955
"200738_s_at" 10739 16311 10448
"200739_s_at" 4916 18481 5456
"200740_s_at" 9277 5965 8460
"200741_s_at" 13040 12152 14611
"200742_s_at" 9153 10286 12191
"200743_s_at" 9162 6848 9386
"200744_s_at" 3901 10036 19163
"200745_s_at" 10229 3950 6624
"200746_s_at" 5666 8257 2159
"200747_s_at" 2678 16962 20515
"200748_s_at" 18009 20516 21179
"200749_at" 9843 7734 5499
"200750_s_at" 7367 16763 12798
"200751_s_at" 3186 18384 11260
"200752_s_at" 2164 19363 10080
"200753_x_at" 3030 18414 5288
"200754_x_at" 9278 15775 7387
"200755_s_at" 7891 4986 2752
"200756_x_at" 8024 18997 10999
"200757_s_at" 3215 9111 7587
"200758_s_at" 5046 19131 11105
"200759_x_at" 20767 17200 3854
"200760_s_at" 5810 15772 7889
"200761_s_at" 5535 8689 2095
"200762_at" 7532 4072 9547
"200763_s_at" 13390 15958 12183
"200764_s_at" 5072 13020 9933
"200765_x_at" 19925 13840 10820
"200766_at" 10131 17540 6109
"200767_s_at" 1767 16150 10956
"200768_s_at" 8697 15977 11364
"200769_s_at" 3415 4858 1846
"200770_s_at" 4479 4184 20356
"200771_at" 20036 7766 20433
"200772_x_at" 19204 18631 20520
"200773_x_at" 9906 17231 11625
"200774_at" 19189 5672 10570
"200775_s_at" 9193 19961 12094
"200776_s_at" 6349 8783 4277
"200777_s_at" 9556 17644 10513
"200778_s_at" 7824 5657 6235
"200779_at" 9138 17702 10754
"200780_x_at" 10097 17828 19943
"200781_s_at" 13261 18652 19920
"200782_at" 6028 8073 3548
"200783_s_at" 4698 17359 8123
"200784_s_at" 15714 980 17278
"200785_s_at" 12627 2014 17134
"200786_at" 9737 17070 12389
"200787_s_at" 5101 7014 19501
"200788_s_at" 7879 18580 11931
"200789_at" 20520 16684 12479
"200790_at" 10715 15613 7807
"200791_s_at" 5516 10217 12430
"200792_at" 18267 8318 18999
"200793_s_at" 3341 17284 7280
"200794_x_at" 7630 8655 8082
"200795_at" 13868 14098 651
"200796_s_at" 1739 2079 12474
"200797_s_at" 5615 3710 6605
"200798_x_at" 3625 8222 3578
"200799_at" 13302 6192 7764
"200800_s_at" 3132 20642 20980
"200801_x_at" 10670 12131 14573
"200802_at" 4543 15744 11775
"200803_s_at" 4800 5818 10119
"200804_at" 7066 17520 12217
"200805_at" 4941 18430 18934
"200806_s_at" 7313 8003 7409
"200807_s_at" 18479 9100 14588
"200808_s_at" 4190 21169 19275
"200809_x_at" 13160 9577 12289
