"inst_1297" "inst_2651" "inst_5021" "inst_6675"
"1007_s_at" 2778 4258 3996 6662
"1053_at" 17553 19790 21146 19104
"117_at" 21747 13913 7744 743
"121_at" 18418 16849 6061 15370
"1255_g_at" 9571 14491 7835 13033
"1294_at" 224 16325 2125 17010
"1316_at" 16361 3250 615 1688
"1320_at" 7889 1087 1524 853
"1405_i_at" 17290 4523 598 1295
"1431_at" 7317 18570 6128 7201
"1438_at" 5808 4626 17450 14579
"1487_at" 21399 2573 5322 6536
"1494_f_at" 4582 6264 200 21705
"1598_g_at" 707 7368 5142 6582
"160020_at" 15876 1581 4501 2037
"1729_at" 21921 21677 15128 5364
"1773_at" 15244 4185 15834 4474
"177_at" 16891 13607 10466 22222
"179_at" 22130 21350 3840 2424
"1861_at" 21094 21313 13820 18567
"200000_s_at" 21193 8958 6335 17826
"200001_at" 15738 16795 14630 5683
"200002_at" 15452 17023 6081 6422
"200003_s_at" 16406 16511 5184 10098
"200004_at" 15823 16331 17351 8334
"200005_at" 16381 8138 13800 7333
"200006_at" 17472 16804 15764 8277
"200007_at" 17877 9346 3870 5830
"200008_s_at" 16172 17195 13983 17074
"200009_at" 15281 9038 15369 14897
"200010_at" 15622 17812 5429 6418
"200011_s_at" 5528 17837 17725 8381
"200012_x_at" 4633 9035 5873 7306
"200013_at" 17022 17081 14139 15178
"200014_s_at" 4513 16261 14155 15017
"200015_s_at" 17407 6327 16046 15850
"200016_x_at" 14996 8783 14710 14394
"200017_at" 5058 8546 8793 7760
"200018_at" 16247 8171 4474 7757
"200019_s_at" 16221 17582 3835 7531
"200020_at" 18190 19298 19284 5877
"200021_at" 2850 9171 8986 10235
"200022_at" 15050 9283 4757 4570
"200023_s_at" 16049 6930 3823 17247
"200024_at" 5423 8937 4819 6642
"200025_s_at" 4875 6966 5645 6852
"200026_at" 16552 7420 16389 7349
"200027_at" 17700 7283 13702 6233
"200028_s_at" 16852 17922 20851 18521
"200029_at" 5096 18999 13917 15305
"200030_s_at" 16667 16228 13412 14515
"200031_s_at" 4473 7987 6172 10151
"200032_s_at" 5282 16975 5890 6029
"200033_at" 19704 7076 4068 7625
"200034_s_at" 15692 7631 14076 7324
"200035_at" 5284 3968 16351 5728
"200036_s_at" 16808 9362 5219 7964
"200037_s_at" 16656 18134 17322 16806
"200038_s_at" 4459 9235 13944 7749
"200039_s_at" 18042 17804 4595 4001
"200040_at" 3119 7625 16339 15352
"200041_s_at" 17060 18243 14363 6820
"200042_at" 1203 6582 13826 5613
"200043_at" 19894 8532 4818 14945
"200044_at" 18530 8217 14865 14989
"200045_at" 4671 7997 18134 7629
"200046_at" 2471 6661 2216 4571
"200047_s_at" 14902 7766 16969 14038
"200048_s_at" 17742 9024 13832 14872
"200049_at" 14901 3771 5422 5761
"200050_at" 21025 6244 5882 5029
"200051_at" 2192 8110 13876 20429
"200052_s_at" 18306 8842 16926 7947
"200053_at" 15501 6380 4426 20160
"200054_at" 20621 6171 17625 4960
"200055_at" 15815 17068 3736 7537
"200056_s_at" 15092 18773 17467 17300
"200057_s_at" 4921 16767 16239 6905
"200058_s_at" 17810 8747 16185 15713
"200059_s_at" 17228 6689 5953 14551
"200060_s_at" 16873 7531 14452 5702
"200061_s_at" 5061 8961 6359 10150
"200062_s_at" 4959 11536 8622 10089
"200063_s_at" 1722 8516 8865 10181
"200064_at" 17504 8221 15448 15618
"200065_s_at" 16903 16844 3397 6320
"200066_at" 18759 4867 2539 18719
"200067_x_at" 4679 9143 5920 14695
"200068_s_at" 15771 5792 14141 6005
