"inst_3005" "inst_3343" "inst_4005" "inst_4123"
"1007_s_at" 1907 3859 6569 17026
"1053_at" 19351 16836 20728 15356
"117_at" 20079 8054 13427 14109
"121_at" 21760 20260 5326 19027
"1255_g_at" 10708 7359 14369 8801
"1294_at" 19472 13901 7114 4195
"1316_at" 1967 2185 21417 3688
"1320_at" 10665 6566 90 21030
"1405_i_at" 7311 7026 22003 12385
"1431_at" 17219 10630 19169 19954
"1438_at" 14615 2514 18520 18223
"1487_at" 16206 14120 8143 1823
"1494_f_at" 19256 374 21450 22157
"1598_g_at" 17518 2281 6447 20101
"160020_at" 2213 996 4570 19614
"1729_at" 19844 18068 16382 16686
"1773_at" 21003 16507 7994 20052
"177_at" 17242 8815 16704 7234
"179_at" 20134 2942 2683 21458
"1861_at" 19263 12981 16650 8398
"200000_s_at" 10044 3564 5293 7356
"200001_at" 7357 14282 10761 7153
"200002_at" 17212 11995 10194 4562
"200003_s_at" 11993 6052 12529 8250
"200004_at" 3905 11561 8819 4882
"200005_at" 6549 11348 8486 16042
"200006_at" 7682 13559 9956 7041
"200007_at" 7904 11472 8872 6988
"200008_s_at" 19433 19269 17001 15963
"200009_at" 9630 14680 9996 8093
"200010_at" 16811 13198 10541 5854
"200011_s_at" 3758 3571 9908 15692
"200012_x_at" 17571 12135 17587 16235
"200013_at" 16669 10763 16654 5007
"200014_s_at" 3592 11609 5825 7461
"200015_s_at" 6353 10923 8998 7235
"200016_x_at" 8869 3842 10118 7080
"200017_at" 12096 6187 12598 10550
"200018_at" 12082 6175 12595 10540
"200019_s_at" 9761 3522 17556 7514
"200020_at" 5988 3380 10529 14998
"200021_at" 6110 6343 12676 10700
"200022_at" 16647 10688 8715 17273
"200023_s_at" 6601 11239 17261 5459
"200024_at" 10194 11040 18840 4423
"200025_s_at" 9631 11311 16877 4701
"200026_at" 12186 11814 17414 7744
"200027_at" 5651 14794 7171 8508
"200028_s_at" 18257 13120 10974 15400
"200029_at" 17361 11779 18118 17464
"200030_s_at" 9416 10863 16823 16422
"200031_s_at" 12072 6164 12589 10527
"200032_s_at" 12100 6192 16992 10553
"200033_at" 6592 3223 10467 6880
"200034_s_at" 16308 12081 18400 3486
"200035_at" 2362 1377 17832 14990
"200036_s_at" 9849 4046 18777 7951
"200037_s_at" 3686 14935 5868 3402
"200038_s_at" 12168 11335 10682 8305
"200039_s_at" 9431 14613 18953 15216
"200040_at" 5779 12237 8922 8327
"200041_s_at" 8417 15435 7873 14540
"200042_at" 5180 16321 17354 5145
"200043_at" 5335 11419 10729 5862
"200044_at" 6941 13470 10326 3599
"200045_at" 17829 3785 17838 17289
"200046_at" 4223 11685 9549 7937
"200047_s_at" 4647 3462 5194 4593
"200048_s_at" 8384 4008 16887 5402
"200049_at" 9165 15148 4005 14900
"200050_at" 6894 15859 4540 7752
"200051_at" 18405 14928 10755 15802
"200052_s_at" 6218 16703 7340 5702
"200053_at" 3673 21225 19701 16408
"200054_at" 9785 13486 18670 7001
"200055_at" 8948 13745 17479 21032
"200056_s_at" 3857 16620 5269 4063
"200057_s_at" 6898 11718 9258 18808
"200058_s_at" 8892 17498 10381 6124
"200059_s_at" 9978 13929 8137 5932
"200060_s_at" 6774 11845 17032 6254
"200061_s_at" 12069 6162 12587 15835
"200062_s_at" 11982 6035 12514 10422
"200063_s_at" 12123 6235 12619 10596
"200064_at" 9892 13082 10266 4656
"200065_s_at" 8923 16316 8065 16215
"200066_at" 18859 18927 7978 6347
"200067_x_at" 6390 13290 8509 15107
"200068_s_at" 6270 13510 7946 4405
"200069_at" 4901 16051 6479 18167
"200070_at" 16362 3022 20968 21105
"200071_at" 2950 19371 2829 3906
"200072_s_at" 7204 12438 10844 15340
"200073_s_at" 9029 12684 6427 2274
"200074_s_at" 16194 3280 17284 6532
"200075_s_at" 19442 16046 10861 15515
"200076_s_at" 3776 3714 17311 4980
"200077_s_at" 7932 11026 16413 5397
"200078_s_at" 7477 16022 17573 17091
"200079_s_at" 6850 10821 8954 15059
"200080_s_at" 5464 2035 17462 6544
"200081_s_at" 17109 16173 10591 6172
"200082_s_at" 17741 10847 18191 16242
"200083_at" 7908 3198 5703 2000
"200084_at" 4386 17069 7272 6915
"200085_s_at" 18275 13832 17688 7464
"200086_s_at" 16043 12971 10899 7844
"200087_s_at" 16686 14277 6908 4323
"200088_x_at" 11990 6047 10892 10434
"200089_s_at" 8674 13279 17214 6488
"200090_at" 7134 17518 4162 17630
"200091_s_at" 8756 4053 17574 2309
"200092_s_at" 16045 11185 18659 7446
"200093_s_at" 2746 12481 7514 4671
"200094_s_at" 16341 14722 18249 17952
"200095_x_at" 12173 6331 12669 10688
"200096_s_at" 7380 14732 9810 17255
"200097_s_at" 3626 12710 8269 2912
"200098_s_at" 4113 17047 7648 15330
"200099_s_at" 12135 6254 18639 10617
"200593_s_at" 8406 16960 8582 1976
"200594_x_at" 2749 15343 2722 3385
"200595_s_at" 2170 11846 5375 2333
"200596_s_at" 8737 11103 10234 4256
"200597_at" 1495 3520 21007 4404
"200598_s_at" 5888 12065 6893 15003
"200599_s_at" 2350 11822 8689 1196
"200600_at" 6734 10151 5907 12501
"200601_at" 20074 14730 9952 4171
"200602_at" 2299 20262 16931 4727
"200603_at" 4179 13165 8236 2119
"200604_s_at" 20968 16174 10573 8145
"200605_s_at" 18207 18607 5207 3869
"200606_at" 18636 3870 5579 6122
"200607_s_at" 18701 3750 17103 3459
"200608_s_at" 8232 13508 8871 3400
"200609_s_at" 5116 14931 20456 5388
"200610_s_at" 5226 3815 6004 6352
"200611_s_at" 16383 14357 16941 15430
"200612_s_at" 20219 22161 9291 20333
"200613_at" 4779 3803 10969 5439
"200614_at" 5080 2485 17247 8014
"200615_s_at" 5482 14297 8772 20681
"200616_s_at" 5968 15320 8566 15142
"200617_at" 19152 16062 7865 18246
"200618_at" 9550 11307 16726 6739
"200619_at" 8131 19838 10269 4249
"200620_at" 19484 19648 9087 19192
"200621_at" 20037 11135 3956 6140
"200622_x_at" 17022 15874 9920 6594
"200623_s_at" 3499 19156 21123 19380
"200624_s_at" 5076 18439 5315 2614
"200625_s_at" 7087 12751 20154 7281
"200626_s_at" 3502 3461 16900 5629
"200627_at" 5893 15508 8931 15098
"200628_s_at" 8348 13569 10864 5786
"200629_at" 4286 18443 9185 18000
"200630_x_at" 4601 3021 7918 4273
"200631_s_at" 5348 10827 9714 14885
"200632_s_at" 9096 3356 10670 4348
"200633_at" 8966 6161 12586 8514
"200634_at" 8728 11514 17344 4006
"200635_s_at" 11167 16188 4410 2589
"200636_s_at" 11563 10785 7439 3550
"200637_s_at" 12415 17947 4110 5831
"200638_s_at" 7322 14346 9225 7675
"200639_s_at" 9076 14720 18019 14526
"200640_at" 7263 13085 10398 4004
"200641_s_at" 17168 16468 10407 7137
"200642_at" 8843 12040 17535 8177
"200643_at" 9648 17913 3336 4333
"200644_at" 7801 13052 17246 7024
"200645_at" 7207 15288 9660 18143
"200646_s_at" 4484 1844 19656 19893
"200647_x_at" 7543 11168 7669 17669
"200648_s_at" 20186 14690 16390 15425
"200649_at" 5743 19999 21102 17331
"200650_s_at" 8263 3855 12483 6299
"200651_at" 17498 11358 9616 3397
"200652_at" 3112 12885 5149 1087
"200653_s_at" 9879 3647 9302 2985
"200654_at" 6274 10886 10468 8402
"200655_s_at" 7387 3511 10743 6570
"200656_s_at" 5514 15993 10105 3497
"200657_at" 9448 3637 8093 8610
"200658_s_at" 7198 18531 9496 4035
"200659_s_at" 8376 15009 9135 4381
"200660_at" 5280 10739 18089 7056
"200661_at" 8535 10970 16548 15248
"200662_s_at" 6770 11156 8058 8122
"200663_at" 6689 14619 18454 16047
"200664_s_at" 9975 19525 20555 19639
"200665_s_at" 13989 4517 14622 14386
"200666_s_at" 5970 17688 7482 8391
"200667_at" 9294 15252 7720 17362
"200668_s_at" 4816 12666 6588 16798
"200669_s_at" 16537 16950 10109 16542
"200670_at" 1511 2658 17319 2987
"200671_s_at" 21499 2230 21116 1299
"200672_x_at" 17437 14885 10139 993
"200673_at" 4812 12274 5787 3908
"200674_s_at" 17231 2259 9710 19396
"200675_at" 5155 11921 7281 2948
"200676_s_at" 20614 20692 17486 2896
"200677_at" 3151 3813 6636 6998
"200678_x_at" 16224 13886 10402 19601
"200679_x_at" 17371 4100 18900 5686
"200680_x_at" 19296 3316 17801 8092
"200681_at" 8066 12454 7377 7268
"200682_s_at" 7241 12340 8827 15344
"200683_s_at" 7215 12315 19076 14696
"200684_s_at" 1389 15011 19317 5424
"200685_at" 6150 13585 18650 20291
"200686_s_at" 4992 19955 1654 6006
"200687_s_at" 6429 17029 10570 17839
"200688_at" 8977 14470 9285 1827
"200689_x_at" 8802 3701 6317 16252
"200690_at" 16871 16168 10960 16906
"200691_s_at" 7939 11684 5759 8342
"200692_s_at" 9769 4060 17503 1621
"200693_at" 5135 13786 7369 6345
"200694_s_at" 6726 13700 7030 5291
"200695_at" 7542 19318 20692 20065
"200696_s_at" 20290 11042 19091 14680
"200697_at" 18152 20324 4330 8500
"200698_at" 17704 19132 8432 7920
"200699_at" 17778 13319 7604 16210
"200700_s_at" 7410 13067 9631 15069
"200701_at" 19783 20120 9964 7656
"200702_s_at" 18432 18999 17721 7573
"200703_at" 4061 3095 10535 1716
"200704_at" 5204 2375 7013 16537
"200705_s_at" 17379 11225 8700 15446
"200706_s_at" 6075 15569 2314 5809
"200707_at" 8983 13773 6959 20988
"200708_at" 10218 12218 8991 14549
"200709_at" 18288 2006 18987 2260
"200710_at" 8957 21012 10052 14808
"200711_s_at" 1960 15280 8685 5688
"200712_s_at" 6452 17819 8412 6067
"200713_s_at" 10133 12611 2567 14785
"200714_x_at" 16996 17001 3009 16403
"200715_x_at" 16635 11664 10047 14753
"200716_x_at" 12169 6323 17338 10680
"200717_x_at" 12063 6158 12583 10522
"200718_s_at" 5173 3816 16507 4465
"200719_at" 18202 20113 10135 15781
"200720_s_at" 5168 11934 20172 7738
"200721_s_at" 2875 19349 3558 14931
"200722_s_at" 20055 12962 2241 20319
"200723_s_at" 8284 15028 5505 16506
"200724_at" 11660 22218 3116 17869
"200725_x_at" 16856 2573 9804 14798
"200726_at" 6097 13038 10821 15831
"200727_s_at" 17506 14035 17292 2105
"200728_at" 10013 12756 6451 4083
"200729_s_at" 7389 14718 7683 2213
"200730_s_at" 9244 18167 1797 7067
"200731_s_at" 20547 18698 4170 3277
"200732_s_at" 16604 18102 17966 7700
"200733_s_at" 9063 3827 2518 1509
"200734_s_at" 7068 17242 8121 17556
"200735_x_at" 12130 11272 9799 10610
"200736_s_at" 8720 4193 8585 12090
"200737_at" 5036 16350 7577 2299
"200738_s_at" 9840 13565 16817 7466
"200739_s_at" 7888 18383 18451 15622
"200740_s_at" 4372 10978 5966 14718
"200741_s_at" 11983 6037 12515 10423
"200742_s_at" 6715 13321 6799 19828
"200743_s_at" 8657 16722 5574 18148
"200744_s_at" 16953 11591 7391 18846
"200745_s_at" 7873 2173 5424 3814
"200746_s_at" 2940 13004 7006 3025
"200747_s_at" 18230 10642 5275 20111
"200748_s_at" 19245 13113 18000 18499
"200749_at" 8132 11834 3125 14534
"200750_s_at" 8048 11659 18221 6055
"200751_s_at" 8071 15076 16602 4389
"200752_s_at" 3328 17490 18188 6726
"200753_x_at" 7352 13317 16838 14978
"200754_x_at" 7258 10745 17650 7712
"200755_s_at" 16548 20148 4136 3664
"200756_x_at" 19373 20686 5165 15501
"200757_s_at" 18020 18995 6829 6520
"200758_s_at" 17190 19761 16763 5066
"200759_x_at" 6965 12934 10270 1795
"200760_s_at" 5854 10778 3221 4760
"200761_s_at" 6996 2820 5628 4127
"200762_at" 17649 20813 4903 8393
"200763_s_at" 12142 6264 18471 15955
"200764_s_at" 1066 18124 15337 7386
"200765_x_at" 8051 1663 14491 14581
"200766_at" 17216 19127 8775 16073
"200767_s_at" 8109 12416 9856 14571
"200768_s_at" 10095 12939 17334 5154
"200769_s_at" 20711 20588 4293 18312
"200770_s_at" 21726 3152 18388 3766
"200771_at" 9103 19894 6597 14618
"200772_x_at" 9771 4113 9504 7282
"200773_x_at" 8609 3861 9557 6015
"200774_at" 5676 13031 8923 15968
"200775_s_at" 6103 13524 7798 15936
"200776_s_at" 9319 16536 7351 17455
"200777_s_at" 8127 17990 10235 14603
"200778_s_at" 3887 3562 16965 18582
"200779_at" 16041 14176 17392 17640
"200780_x_at" 8262 2977 11015 15610
"200781_s_at" 16864 10805 18672 17330
"200782_at" 5786 12326 6397 3036
"200783_s_at" 1953 11762 18901 1859
"200784_s_at" 21223 8845 21906 13623
"200785_s_at" 15435 4772 12719 10768
"200786_at" 6376 14600 7475 16756
"200787_s_at" 17429 18890 19283 20580
"200788_s_at" 16858 15792 10164 6619
"200789_at" 8758 20661 18924 6150
"200790_at" 3729 14395 9828 16057
"200791_s_at" 9821 17156 6366 4153
"200792_at" 8921 13280 9383 15949
"200793_s_at" 7803 14436 7141 20713
"200794_x_at" 6158 14319 5536 4507
"200795_at" 700 695 5114 1833
"200796_s_at" 4568 20052 510 21471
"200797_s_at" 17239 19597 16518 14642
"200798_x_at" 5742 11031 3802 4983
"200799_at" 15051 11767 10304 6455
"200800_s_at" 19274 14437 10546 3309
"200801_x_at" 16518 5999 12488 10387
"200802_at" 9989 16029 10397 14555
"200803_s_at" 6590 12848 4370 6508
"200804_at" 17582 12061 8411 4758
"200805_at" 9181 13797 20447 6190
"200806_s_at" 5167 12349 9452 4650
"200807_s_at" 16273 3376 17267 14853
"200808_s_at" 5718 14054 20349 5354
"200809_x_at" 9789 3783 8914 17758
"200810_s_at" 8982 12447 10527 6046
"200811_at" 18090 16768 16585 16452
"200812_at" 8206 13151 6363 15868
"200813_s_at" 20004 17464 7693 1525
"200814_at" 6256 11902 17168 16075
"200815_s_at" 18793 16246 10931 15172
"200816_s_at" 6687 2897 3581 3423
"200817_x_at" 11968 6015 12499 10404
"200818_at" 8732 14933 10888 18395
"200819_s_at" 12075 3737 17090 8229
"200820_at" 18423 17235 7599 18439
"200821_at" 2296 13648 4126 2427
"200822_x_at" 16429 12578 9751 7794
"200823_x_at" 9815 12170 17562 8115
"200824_at" 16433 20759 6144 1054
"200825_s_at" 6522 16885 7509 15057
"200826_at" 7879 13890 17552 3996
"200827_at" 10001 19462 20491 16525
"200828_s_at" 8517 18328 8774 15797
"200829_x_at" 5795 16645 7218 8243
"200830_at" 5074 20511 16394 6295
"200831_s_at" 9556 1807 7342 5733
"200832_s_at" 7463 13628 3145 5807
"200833_s_at" 3921 13311 7070 6510
"200834_s_at" 12008 6069 12538 10458
"200835_s_at" 9835 12794 21260 5616
"200836_s_at" 3343 22084 18724 17186
"200837_at" 8789 12812 3409 6843
"200838_at" 6997 18556 17322 17151
"200839_s_at" 8040 10843 5990 8351
"200840_at" 4430 3980 10141 3785
"200841_s_at" 10040 17743 10060 4669
"200842_s_at" 9127 14325 9843 15492
"200843_s_at" 6727 11908 18203 17858
"200844_s_at" 9308 1815 9608 7869
"200845_s_at" 6527 13035 10337 8189
"200846_s_at" 18150 12693 9042 6525
"200847_s_at" 4119 11831 4699 5972
"200848_at" 5057 15565 8706 5183
"200849_s_at" 1338 10997 10007 2594
"200850_s_at" 7999 11166 17181 16763
"200851_s_at" 9497 18485 3899 20675
"200852_x_at" 17392 2257 18523 5622
"200853_at" 8524 2698 17692 6833
"200854_at" 4480 19636 7048 6487
"200855_at" 4531 22185 1467 5777
"200856_x_at" 6558 4061 2585 7146
"200857_s_at" 3532 16568 4181 6694
"200858_s_at" 18496 2785 9393 14660
"200859_x_at" 16190 15360 18587 17100
"200860_s_at" 7024 19602 4139 18953
"200861_at" 21060 21848 20239 17748
"200862_at" 6389 12952 8501 16240
"200863_s_at" 7874 14569 10106 17122
"200864_s_at" 1851 15945 1380 5428
"200865_at" 509 8438 20244 17297
"200866_s_at" 16158 14461 9646 17700
"200867_at" 18492 16192 10506 14919
"200868_s_at" 19130 17442 9634 15661
"200869_at" 11991 3846 18361 6616
"200870_at" 7007 11373 5786 15813
"200871_s_at" 8531 13409 7852 7393
"200872_at" 18010 16878 17422 17803
"200873_s_at" 8550 11169 19537 15162
"200874_s_at" 19873 11517 17878 7962
"200875_s_at" 9021 3841 18004 7209
"200876_s_at" 8046 12257 10643 3566
"200877_at" 16730 3674 17626 17759
"200878_at" 22206 2158 16899 4693
"200879_s_at" 14881 8485 21386 10707
"200880_at" 4784 13801 8726 7037
"200881_s_at" 9047 17923 17309 17076
"200882_s_at" 10104 3585 19138 7276
"200883_at" 3922 15750 4147 8324
"200884_at" 8664 15983 6681 7959
"200885_at" 6342 1858 20681 4740
"200886_s_at" 9020 3610 18208 15803
"200887_s_at" 2406 14823 6316 16311
"200888_s_at" 16099 12163 17015 5828
"200889_s_at" 9860 16586 16714 5032
"200890_s_at" 20636 19249 19848 7334
"200891_s_at" 18961 12439 4849 4367
"200892_s_at" 7142 16697 6962 5375
"200893_at" 6880 15570 9196 7902
"200894_s_at" 6801 4051 5312 5787
"200895_s_at" 1603 11427 2442 8521
"200896_x_at" 6088 11202 17143 6634
"200897_s_at" 19523 3256 10157 16881
"200898_s_at" 17404 21147 17756 21028
"200899_s_at" 6410 18261 3696 19189
"200900_s_at" 17255 15447 18327 4690
"200901_s_at" 8945 20312 9332 6953
"200902_at" 4102 15648 7587 3705
"200903_s_at" 2824 13715 8896 17626
"200904_at" 19188 22070 20233 21947
"200905_x_at" 6490 10823 17244 6305
"200906_s_at" 330 15107 19586 2718
"200907_s_at" 12987 17184 3825 7305
"200908_s_at" 9985 21693 20098 3141
"200909_s_at" 12025 13471 9154 4440
"200910_at" 7918 12373 10216 7921
"200911_s_at" 9633 18342 7745 18903
"200912_s_at" 8719 12965 8280 14604
"200913_at" 16124 20039 6257 8571
"200914_x_at" 2390 10853 16908 1582
"200915_x_at" 3653 12864 10446 6019
"200916_at" 16123 13202 7807 17298
"200917_s_at" 19855 2435 19667 20883
"200918_s_at" 6337 15070 6142 19156
"200919_at" 3297 17621 2531 2647
"200920_s_at" 19058 10862 18878 17351
"200921_s_at" 5601 13245 5374 2060
"200922_at" 2467 16132 10053 14975
"200923_at" 4589 19338 9861 15490
"200924_s_at" 2343 18478 7245 14974
"200925_at" 9135 13816 10373 4807
"200926_at" 12143 6265 12631 10631
"200927_s_at" 16201 18718 2534 8384
"200928_s_at" 1435 21180 1880 2888
"200929_at" 7159 11274 5078 4608
"200930_s_at" 3801 9171 21661 10016
"200931_s_at" 9720 17989 4850 18698
"200932_s_at" 4961 17194 5591 15201
"200933_x_at" 12113 6219 12609 10574
"200934_at" 9208 13193 5456 3265
"200935_at" 3478 14296 7927 14811
"200936_at" 18272 6226 12614 10583
"200937_s_at" 18054 2572 18065 5267
"200938_s_at" 13206 9736 13931 9422
"200939_s_at" 3911 12084 21958 16296
"200940_s_at" 3946 15719 19823 18657
"200941_at" 16797 14414 17599 6022
"200942_s_at" 17479 13697 7629 8166
"200943_at" 6511 3823 9207 3986
"200944_s_at" 8043 12754 20182 6554
"200945_s_at" 4313 12110 10828 15887
"200946_x_at" 9282 13775 7512 6591
"200947_s_at" 6764 13593 10155 6937
"200948_at" 6095 13144 9093 16186
"200949_x_at" 16523 11231 9936 8559
"200950_at" 17967 12275 10325 3607
"200951_s_at" 9467 8378 15242 10461
"200952_s_at" 9890 10296 17962 13695
"200953_s_at" 8128 9956 17481 5298
"200954_at" 18796 3463 5720 5254
"200955_at" 20760 16829 18026 6293
"200956_s_at" 18946 11116 16454 4538
"200957_s_at" 9548 17731 8541 15740
"200958_s_at" 8976 15350 7399 17480
"200959_at" 7223 17390 18101 7365
"200960_x_at" 18444 12665 9851 6324
"200961_at" 3431 2280 8445 7489
"200962_at" 1546 16892 4782 2045
"200963_x_at" 12145 10767 16863 10634
"200964_at" 8829 17535 10212 17949
"200965_s_at" 13845 18733 7445 5379
"200966_x_at" 8985 3913 8419 6403
"200967_at" 16748 3179 10531 4242
"200968_s_at" 9255 13711 17006 6072
"200969_at" 3625 17058 2415 5452
"200970_s_at" 6207 16144 7472 6416
"200971_s_at" 2555 12052 2992 14776
"200972_at" 4635 14667 8221 15814
"200973_s_at" 3860 21355 7731 18787
"200974_at" 18435 21859 21540 4990
"200975_at" 16059 14598 7674 7370
"200976_s_at" 5401 15124 16603 6890
"200977_s_at" 6543 15091 6033 6024
"200978_at" 6576 15560 5435 17967
"200979_at" 8991 21445 18193 1507
"200980_s_at" 9413 16071 17973 15853
"200981_x_at" 6891 2823 18613 7886
"200982_s_at" 20377 12444 17126 5105
"200983_x_at" 15577 14813 7362 19933
"200984_s_at" 21944 15507 6627 6498
"200985_s_at" 21517 15220 19796 19770
"200986_at" 12749 9263 13504 10785
"200987_x_at" 3412 13427 6542 18894
"200988_s_at" 4714 14402 7961 17175
"200989_at" 4442 11910 6523 4259
"200990_at" 16060 17575 9807 15642
"200991_s_at" 5792 2873 7502 4845
"200992_at" 9886 16671 5910 8580
"200993_at" 3632 16717 8131 5387
"200994_at" 2617 11617 7222 3904
"200995_at" 9744 16497 4058 7436
"200996_at" 6318 12594 8108 6860
"200997_at" 8404 13624 8902 3018
"200998_s_at" 3775 12342 9337 15368
"200999_s_at" 21668 4110 17979 8541
"201000_at" 8106 12485 9201 7679
"201001_s_at" 17186 11883 5462 6440
"201002_s_at" 4676 11853 16694 14584
"201003_x_at" 6114 2665 2349 17848
"201004_at" 9850 15951 16632 15699
"201005_at" 19987 15886 18293 6524
"201006_at" 16417 434 21448 18147
"201007_at" 4554 16082 10946 4427
"201008_s_at" 18480 21396 8272 18689
"201009_s_at" 19411 19846 6533 5200
"201010_s_at" 17061 18559 6620 6733
"201011_at" 17795 15576 18861 4663
"201012_at" 7015 17207 10963 861
"201013_s_at" 3928 10696 8353 6663
"201014_s_at" 6851 15689 6594 5489
"201015_s_at" 16096 3169 18980 19666
"201016_at" 6157 13057 8510 5068
"201017_at" 8090 13189 8263 15891
"201018_at" 953 12273 6006 5815
"201019_s_at" 3062 12372 16492 1761
"201020_at" 9336 21215 8148 3181
"201021_s_at" 8841 12932 10746 6687
"201022_s_at" 16428 12190 9450 7774
"201023_at" 3942 14656 7733 4020
"201024_x_at" 7986 14066 17831 5553
"201025_at" 7094 17185 4224 6014
"201026_at" 7730 19924 2216 6552
"201027_s_at" 6213 18468 4787 1771
"201028_s_at" 9134 19499 16539 17721
"201029_s_at" 8187 16436 5596 17880
"201030_x_at" 7914 4375 9226 12721
"201031_s_at" 6039 4080 8182 2114
"201032_at" 8857 14353 8776 14873
"201033_x_at" 16307 3281 12486 17914
"201034_at" 8059 18251 3569 18134
"201035_s_at" 18369 17385 3213 5455
"201036_s_at" 6053 15327 3174 7960
"201037_at" 5275 11555 2546 15429
"201038_s_at" 2416 12808 2791 516
"201039_s_at" 8901 17216 16982 8422
"201040_at" 17058 16798 16767 18234
"201041_s_at" 21498 20338 1766 19847
"201042_at" 15284 1918 5163 21422
"201043_s_at" 4861 21953 16852 6301
"201044_x_at" 22166 5758 19758 8970
"201045_s_at" 5540 13086 13833 2084
"201046_s_at" 2895 10943 19263 7017
"201047_x_at" 7318 15602 5384 19168
"201048_x_at" 4396 21877 1700 3578
"201049_s_at" 16317 6078 17125 10467
"201050_at" 14221 21170 18654 15091
"201051_at" 6225 11013 8273 4311
"201052_s_at" 16065 15419 7979 19919
"201053_s_at" 1376 1985 4894 5550
"201054_at" 7590 13546 5914 6399
"201055_s_at" 3246 16647 17971 21151
"201056_at" 2376 21734 8084 472
"201057_s_at" 5118 12541 5457 18855
"201058_s_at" 13487 6454 20308 11867
"201059_at" 8138 13180 2197 3628
"201060_x_at" 4048 2102 6942 4986
"201061_s_at" 17083 2870 19397 6928
"201062_at" 21316 697 21056 10156
"201063_at" 19953 217 7969 20300
"201064_s_at" 4741 14526 10233 5703
"201065_s_at" 8361 3097 4623 1967
"201066_at" 6161 15810 10860 7758
"201067_at" 5032 18744 4876 19773
"201068_s_at" 16965 11318 18604 7264
"201069_at" 20094 21450 377 19410
"201070_x_at" 9680 14391 10759 7695
"201071_x_at" 6399 15697 6402 6065
"201072_s_at" 5808 11805 18472 1576
"201073_s_at" 17005 14039 5519 20631
"201074_at" 6636 13033 9510 3405
"201075_s_at" 6350 12558 6591 4086
"201076_at" 4521 20075 3844 16494
"201077_s_at" 3045 12431 18073 16909
"201078_at" 4701 15352 7447 5837
"201079_at" 18025 3644 17972 8504
"201080_at" 6882 19691 21063 620
"201081_s_at" 20901 2043 4019 21133
"201082_s_at" 4066 3052 9322 3967
"201083_s_at" 7112 16685 7841 3537
"201084_s_at" 4088 11306 9000 8566
"201085_s_at" 7228 18448 17109 3660
"201086_x_at" 5046 13015 4618 3192
"201087_at" 13394 1573 9862 698
"201088_at" 2523 4042 6114 3604
"201089_at" 18458 21585 3081 19512
"201090_x_at" 16312 2901 16895 18792
"201091_s_at" 5426 10911 16723 1309
"201092_at" 3988 13600 8893 8660
"201093_x_at" 3692 2595 5416 4889
"201094_at" 16839 3775 10076 7371
"201095_at" 9951 20266 7127 2012
"201096_s_at" 6061 12674 10163 15856
"201097_s_at" 8424 11065 10765 4298
"201098_at" 5707 15587 7314 15898
"201099_at" 8995 12399 3476 5965
"201100_s_at" 16970 19278 4156 16080
