"inst_1278" "inst_2633" "inst_5297" "inst_6698"
"1007_s_at" 2150 19522 9856 18769
"1053_at" 2128 16514 2152 2639
"117_at" 21460 12743 13228 417
"121_at" 4227 1487 21404 17772
"1255_g_at" 8301 11492 15729 11398
"1294_at" 18790 3089 15813 20782
"1316_at" 1986 20576 15481 21568
"1320_at" 11595 11139 13317 5744
"1405_i_at" 17268 10685 19352 5560
"1431_at" 13660 2240 15941 21226
"1438_at" 9272 2206 20270 3607
"1487_at" 16477 1955 3153 5279
"1494_f_at" 10076 26 15368 1770
"1598_g_at" 21175 21208 20118 18231
"160020_at" 21564 19972 16287 1244
"1729_at" 20802 18357 1194 5970
"1773_at" 1875 3784 1042 5539
"177_at" 14020 11648 16105 5426
"179_at" 3727 21194 209 258
"1861_at" 20540 21123 610 6433
"200000_s_at" 17963 19061 1788 6294
"200001_at" 17514 16706 6905 6053
"200002_at" 3916 14407 6970 6927
"200003_s_at" 3801 15692 6212 9105
"200004_at" 16201 19169 3639 6815
"200005_at" 14576 20110 2775 3437
"200006_at" 15960 13752 5657 15853
"200007_at" 14269 13224 6941 14842
"200008_s_at" 863 20257 4498 1216
"200009_at" 15007 17481 9679 5026
"200010_at" 3252 17838 2314 2468
"200011_s_at" 17786 14160 4804 5095
"200012_x_at" 3173 5079 20483 6856
"200013_at" 14147 13947 7718 7181
"200014_s_at" 16931 15657 5052 16428
"200015_s_at" 16823 3749 2040 17962
"200016_x_at" 16604 5654 7595 15920
"200017_at" 15184 14255 9203 15089
"200018_at" 3370 13992 6166 13409
"200019_s_at" 15412 14930 5135 6729
"200020_at" 3134 15302 6877 5117
"200021_at" 2705 6038 21423 9219
"200022_at" 3752 14318 7740 5729
"200023_s_at" 16010 14593 4196 17299
"200024_at" 4133 14068 7464 7048
"200025_s_at" 15244 4204 8706 15388
"200026_at" 3076 17628 21243 16773
"200027_at" 15125 13365 5615 17103
"200028_s_at" 17339 15248 5039 15977
"200029_at" 14296 5183 19903 5526
"200030_s_at" 14977 13624 7848 4595
"200031_s_at" 3490 5246 9785 9149
"200032_s_at" 3939 13796 19843 14929
"200033_at" 2539 14114 1119 14282
"200034_s_at" 15947 17072 19923 5289
"200035_at" 22265 4932 9978 3049
"200036_s_at" 14454 13720 7610 16950
"200037_s_at" 15883 15792 6851 17915
"200038_s_at" 14234 14139 9241 7185
"200039_s_at" 14804 17459 5148 5906
"200040_at" 18160 14252 5043 15019
"200041_s_at" 18769 18613 3042 5907
"200042_at" 17295 4168 9036 7011
"200043_at" 16568 3952 5420 16465
"200044_at" 14154 15129 5929 4273
"200045_at" 19823 16024 5654 3979
"200046_at" 14797 17397 4206 7144
"200047_s_at" 15330 15974 4831 16872
"200048_s_at" 16516 13430 6470 18742
"200049_at" 15936 14953 4474 4322
"200050_at" 17070 20549 4110 18225
"200051_at" 14553 6436 4305 7576
"200052_s_at" 16068 16282 7117 4727
"200053_at" 15293 15992 10148 16976
"200054_at" 20067 20353 1261 15262
"200055_at" 18029 4625 19886 15936
"200056_s_at" 16863 16454 2614 19953
"200057_s_at" 14115 13315 6760 13826
"200058_s_at" 21144 13469 3863 18403
"200059_s_at" 4067 13331 6292 13706
"200060_s_at" 15290 5780 4805 14217
"200061_s_at" 4035 3304 21377 9147
"200062_s_at" 3743 8593 20831 9099
"200063_s_at" 1779 3656 21403 9174
"200064_at" 15578 14578 5419 4320
"200065_s_at" 14741 17448 9089 6540
"200066_at" 646 15029 4635 2038
"200067_x_at" 3706 6149 10319 17269
"200068_s_at" 15605 17680 9252 13722
"200069_at" 2563 20202 7040 18326
"200070_at" 21959 4369 20325 20086
"200071_at" 3043 5599 1100 16449
"200072_s_at" 2949 17696 2434 3998
"200073_s_at" 14100 5141 7759 16189
"200074_s_at" 14361 15909 4130 5697
"200075_s_at" 20169 18663 5717 6210
"200076_s_at" 16326 17727 8254 14919
"200077_s_at" 16014 16348 20418 13434
"200078_s_at" 16111 15303 3238 6942
"200079_s_at" 16277 17037 2388 6544
"200080_s_at" 15732 4960 6734 18063
"200081_s_at" 3018 16419 7340 1487
"200082_s_at" 2466 6264 9955 3952
"200083_at" 17974 6410 5483 13682
"200084_at" 15283 15064 4535 6796
"200085_s_at" 17882 15500 8042 13743
"200086_s_at" 15580 6104 7776 17126
"200087_s_at" 14399 14893 8702 5415
"200088_x_at" 3633 8605 19724 14428
"200089_s_at" 15198 13954 9522 15015
"200090_at" 16280 4802 10011 17937
