"inst_2388" "inst_5096" "inst_5521" "inst_7419"
"1007_s_at" 19152 3461 4987 20238
"1053_at" 3228 4003 15060 4499
"117_at" 5222 10781 10012 16247
"121_at" 2547 17398 18066 19212
"1255_g_at" 5728 6243 5717 12233
"1294_at" 263 21413 3536 15080
"1316_at" 20077 14593 3140 3291
"1320_at" 5974 8047 9147 9662
"1405_i_at" 21547 5408 11206 14677
"1431_at" 811 1244 1910 16650
"1438_at" 9173 1650 5183 7476
"1487_at" 18981 15931 19876 20339
"1494_f_at" 21497 1507 2774 10020
"1598_g_at" 2565 5729 14169 5267
"160020_at" 21998 17431 19863 15362
"1729_at" 3179 3802 20814 9075
"1773_at" 19075 5538 13055 677
"177_at" 21735 1704 8228 11208
"179_at" 2128 22180 16813 18427
"1861_at" 12237 19804 20023 19683
"200000_s_at" 17956 3086 19606 19830
"200001_at" 15151 5059 16797 18844
"200002_at" 14225 4275 12898 7874
"200003_s_at" 5757 15235 12709 8190
"200004_at" 14874 13389 12919 4135
"200005_at" 13675 5340 15410 8270
"200006_at" 12947 12979 13158 6304
"200007_at" 13996 12120 14761 9093
"200008_s_at" 16774 19391 15702 4560
"200009_at" 12096 15317 13834 7342
"200010_at" 13187 14520 14245 8751
"200011_s_at" 12993 3063 15107 6334
"200012_x_at" 2023 4644 3792 19022
"200013_at" 12660 4714 13463 7431
"200014_s_at" 13081 12059 13046 7088
"200015_s_at" 19216 14537 12912 4060
"200016_x_at" 15421 14349 13866 6574
"200017_at" 5746 2518 4175 7283
"200018_at" 5917 13214 4220 8111
"200019_s_at" 14498 5180 14783 9120
"200020_at" 12319 15505 4463 6527
"200021_at" 11664 7680 7531 18799
"200022_at" 12596 5267 13856 19402
"200023_s_at" 15480 16448 14322 6933
"200024_at" 2940 4856 4959 8537
"200025_s_at" 11993 5050 13381 7263
"200026_at" 5722 3896 3255 18759
"200027_at" 14113 15012 14550 5766
"200028_s_at" 13848 4391 14931 6092
"200029_at" 5853 3110 5541 19573
"200030_s_at" 11908 5738 14319 9063
"200031_s_at" 5734 7577 13267 9148
"200032_s_at" 5902 3586 14188 18610
"200033_at" 16267 5657 5543 6936
"200034_s_at" 12492 4528 12927 7531
"200035_at" 17510 16263 3718 21453
"200036_s_at" 11852 4708 12819 18256
"200037_s_at" 16464 14191 14404 3914
"200038_s_at" 5926 4270 5601 8984
"200039_s_at" 16194 5076 13141 3272
"200040_at" 15228 13375 5548 18323
"200041_s_at" 14930 12852 15166 18841
"200042_at" 15213 13291 21570 8892
"200043_at" 14149 18284 5263 4214
"200044_at" 12729 13335 13247 7720
