"inst_2501" "inst_2860" "inst_4102" "inst_4182"
"1007_s_at" 21612 14284 5902 10776
"1053_at" 7908 19216 11233 7262
"117_at" 5191 4708 15390 9257
"121_at" 9716 4876 17924 4827
"1255_g_at" 16267 7771 15089 19658
"1294_at" 20990 3582 1992 12468
"1316_at" 14183 863 324 3160
"1320_at" 18620 9906 19783 15330
"1405_i_at" 11241 11466 396 20275
"1431_at" 7000 14537 2726 7771
"1438_at" 18019 20676 19453 2124
"1487_at" 3749 21407 3122 4999
"1494_f_at" 13232 9594 21392 12278
"1598_g_at" 4558 13656 20803 14859
"160020_at" 22031 4035 1734 13930
"1729_at" 21948 19800 4983 9217
"1773_at" 9547 14397 18457 13737
"177_at" 13499 6145 2411 7222
"179_at" 2859 384 21420 6806
"1861_at" 13531 13262 5232 8349
"200000_s_at" 12354 12753 8371 11207
"200001_at" 8496 15323 11299 11435
"200002_at" 13743 14670 18357 15740
"200003_s_at" 17043 4248 13881 17938
"200004_at" 7141 14573 17140 11697
"200005_at" 12231 16945 9589 13382
"200006_at" 12488 13833 10717 15133
"200007_at" 12717 2456 10547 15700
"200008_s_at" 6466 16371 10689 11036
"200009_at" 13773 15778 10129 14329
"200010_at" 17044 14408 18089 15360
"200011_s_at" 10057 15139 11645 12355
"200012_x_at" 21102 4251 18386 21154
"200013_at" 16967 14848 17284 15578
"200014_s_at" 11087 16622 10585 11544
"200015_s_at" 9604 18248 9159 11991
"200016_x_at" 16966 4871 13836 17874
"200017_at" 17171 12944 13941 18028
"200018_at" 17157 4505 13939 18022
"200019_s_at" 17129 4018 17900 20988
"200020_at" 8768 16058 17001 12893
"200021_at" 21367 4262 13996 18125
"200022_at" 17065 3956 17395 20945
"200023_s_at" 13011 13061 9859 15798
"200024_at" 20866 14186 19780 21034
"200025_s_at" 17155 13374 17916 18020
"200026_at" 17300 14667 12173 18127
"200027_at" 11424 14166 10555 13351
"200028_s_at" 6395 15212 12238 13696
"200029_at" 17109 5063 18768 20859
"200030_s_at" 13676 15106 12177 20723
"200031_s_at" 17146 4779 13932 18011
"200032_s_at" 17174 14285 18252 18031
"200033_at" 12601 17453 11065 15277
"200034_s_at" 14288 16543 11588 17944
"200035_at" 21590 18734 18081 3404
"200036_s_at" 21060 4377 10770 15585
"200037_s_at" 11057 14668 8520 15121
"200038_s_at" 17272 4429 11106 18107
"200039_s_at" 12781 14970 11030 14189
"200040_at" 8715 15232 17588 10497
"200041_s_at" 9641 14637 11327 13234
"200042_at" 7440 19288 9801 10775
"200043_at" 8936 14057 18807 15258
"200044_at" 6619 16156 7537 13208
"200045_at" 9736 16768 11947 8873
"200046_at" 12008 18357 10265 14847
"200047_s_at" 10558 17688 9699 14480
"200048_s_at" 12452 14743 18999 15636
"200049_at" 6337 13324 11047 8874
"200050_at" 13584 19302 11560 12014
"200051_at" 8588 15092 7922 9698
"200052_s_at" 9920 17646 8289 13093
"200053_at" 14615 17401 8638 21588
"200054_at" 14559 18769 5310 2982
"200055_at" 14247 15316 10414 15703
"200056_s_at" 1370 4295 5413 8893
"200057_s_at" 13202 16363 12356 15314
"200058_s_at" 10652 13356 10131 8106
"200059_s_at" 12933 16720 10854 12984
"200060_s_at" 12017 4749 18581 13416
"200061_s_at" 17144 5032 13931 20826
"200062_s_at" 17026 7727 13874 17926
"200063_s_at" 17209 7968 13957 18057
"200064_at" 9662 15615 17201 14602
"200065_s_at" 13122 13871 12268 15067
"200066_at" 13845 18369 6962 7073
"200067_x_at" 13587 16271 10600 13904
"200068_s_at" 11041 14488 11215 14018
"200069_at" 8946 14558 8763 5204
"200070_at" 3297 18386 4081 3980
"200071_at" 11590 19546 4850 5493
"200072_s_at" 9921 14860 12144 9649
"200073_s_at" 8931 13886 6365 11790
"200074_s_at" 13626 16326 11801 15247
"200075_s_at" 5943 14050 18218 10904
"200076_s_at" 5395 20589 8974 7083
"200077_s_at" 14166 12697 11422 15326
"200078_s_at" 10716 4261 10890 14466
"200079_s_at" 8348 17339 11257 15013
"200080_s_at" 11698 14325 17218 18052
"200081_s_at" 13391 13573 8750 14923
"200082_s_at" 17197 4972 18207 18046
"200083_at" 10957 12908 10945 6772
"200084_at" 9210 3515 10080 12428
"200085_s_at" 13109 4491 8386 15078
"200086_s_at" 12358 4640 10383 15073
"200087_s_at" 8770 12947 11988 8624
"200088_x_at" 17040 7742 10869 17934
"200089_s_at" 20858 13936 11473 15369
"200090_at" 21293 2455 6165 13669
"200091_s_at" 12845 13378 4876 17969
"200092_s_at" 17219 4332 18540 21074
"200093_s_at" 10695 17209 10911 12084
"200094_s_at" 14448 17258 9786 15125
"200095_x_at" 17282 8069 13991 18116
"200096_s_at" 14672 17052 11517 13863
"200097_s_at" 8056 18041 10824 11420
"200098_s_at" 11177 16553 11289 12269
"200099_s_at" 17221 7984 17590 18070
"200593_s_at" 6537 19406 5438 3944
"200594_x_at" 7853 14467 10761 10178
"200595_s_at" 4011 18030 7943 5358
"200596_s_at" 3557 15237 6973 9592
"200597_at" 6849 15711 19602 2804
"200598_s_at" 9856 18091 8441 14672
"200599_s_at" 7641 17661 3476 1951
"200600_at" 9161 12157 9417 14203
"200601_at" 12432 21283 3133 21133
"200602_at" 6411 14321 422 6581
"200603_at" 7114 16986 6999 8332
"200604_s_at" 2450 15681 6552 8294
"200605_s_at" 4912 21770 10893 9091
"200606_at" 21324 20901 7905 12699
"200607_s_at" 11423 15259 5061 8577
"200608_s_at" 4797 17438 6540 8521
"200609_s_at" 5264 15245 4710 11734
"200610_s_at" 10023 14220 12251 9759
"200611_s_at" 10030 13956 4518 12425
"200612_s_at" 13673 2149 2489 9811
"200613_at" 13115 12897 10757 15778
"200614_at" 11086 12630 9145 17943
"200615_s_at" 11458 19667 7001 13349
"200616_s_at" 13618 16340 3823 14897
"200617_at" 5836 17344 11394 6087
"200618_at" 12292 15067 18134 8699
"200619_at" 10083 12818 7304 13855
"200620_at" 12042 17465 10790 10596
"200621_at" 10197 13966 12103 7279
"200622_x_at" 12014 4664 17626 8276
"200623_s_at" 14830 16288 11777 11671
"200624_s_at" 3236 17802 10392 6812
"200625_s_at" 11968 16701 12018 11197
"200626_s_at" 5675 13914 6205 12435
"200627_at" 12384 14753 11703 14002
"200628_s_at" 11628 14590 5803 6912
"200629_at" 10560 4510 6383 3250
"200630_x_at" 12762 4247 17239 15772
"200631_s_at" 12907 14438 9874 14865
"200632_s_at" 13694 12744 18725 13581
"200633_at" 14330 3888 13930 18009
"200634_at" 9393 16699 17238 14884
"200635_s_at" 21919 15415 4957 3666
"200636_s_at" 114 18774 7928 14639
"200637_s_at" 18056 14352 10986 13721
"200638_s_at" 12377 17951 11793 14984
"200639_s_at" 5161 20065 11501 13868
"200640_at" 10076 16274 11553 13331
"200641_s_at" 9120 17853 7973 12873
"200642_at" 12345 13282 10517 14444
"200643_at" 3373 15976 5096 3858
"200644_at" 6832 16662 8791 11009
"200645_at" 10387 14976 17886 13841
"200646_s_at" 232 15844 2387 4271
"200647_x_at" 13882 4943 18073 15431
"200648_s_at" 11507 2898 20212 10362
"200649_at" 531 17012 10185 7086
"200650_s_at" 16992 4146 13850 15856
"200651_at" 17263 3270 10934 18097
"200652_at" 9887 14137 8940 6953
"200653_s_at" 8265 18866 8545 20876
"200654_at" 13160 13597 10888 14469
"200655_s_at" 11947 4386 17087 9775
"200656_s_at" 8512 18845 10918 7760
"200657_at" 14044 4689 18273 21143
"200658_s_at" 8473 5091 6240 7777
"200659_s_at" 2142 3862 3825 4548
"200660_at" 12456 14393 10393 15339
"200661_at" 10918 15005 6901 8937
"200662_s_at" 11130 16447 10105 12784
"200663_at" 13087 17554 17426 14844
"200664_s_at" 7744 20257 10916 15001
"200665_s_at" 19786 5449 4805 1896
"200666_s_at" 10572 16489 8040 9656
"200667_at" 12074 5026 10975 12822
"200668_s_at" 12466 17849 7285 14140
"200669_s_at" 10118 17822 11099 12526
"200670_at" 2201 14469 8861 12532
"200671_s_at" 10702 2615 2169 13677
"200672_x_at" 2996 3328 2664 2000
"200673_at" 11832 4692 9667 13023
"200674_s_at" 17224 3046 18530 18075
"200675_at" 9886 13585 19266 10436
"200676_s_at" 10959 5108 17906 1733
"200677_at" 10014 17304 9139 14326
"200678_x_at" 11358 13950 10706 9752
"200679_x_at" 12411 18950 8854 15268
"200680_x_at" 12982 4701 13994 18120
"200681_at" 12547 17763 17492 14943
"200682_s_at" 9307 16686 7173 10623
"200683_s_at" 11722 16851 4305 6870
