"inst_2530" "inst_5831" "inst_6092" "inst_7187"
"1007_s_at" 6654 9182 19023 8779
"1053_at" 9401 4199 17125 5254
"117_at" 4234 10973 486 16310
"121_at" 7273 21046 4170 8821
"1255_g_at" 14595 11161 13904 6438
"1294_at" 5716 576 21832 15746
"1316_at" 8281 7673 1461 1010
"1320_at" 11233 10000 20206 12818
"1405_i_at" 7297 20562 1160 18809
"1431_at" 5042 3851 16300 11671
"1438_at" 12433 13764 7841 3416
"1487_at" 19723 17921 16962 5091
"1494_f_at" 9100 3738 21812 879
"1598_g_at" 21719 7343 8707 19907
"160020_at" 1675 21737 21578 12881
"1729_at" 2048 9516 20661 9228
"1773_at" 6001 22013 5550 20764
"177_at" 18995 8297 772 8745
"179_at" 4555 14447 19435 21919
"1861_at" 20480 9847 17413 5003
"200000_s_at" 9715 17822 8908 20263
"200001_at" 9399 3836 7393 8614
"200002_at" 19174 5962 17834 8945
"200003_s_at" 11897 8202 11748 10184
"200004_at" 17516 17690 10159 9843
"200005_at" 8280 5009 9320 8848
"200006_at" 8303 7576 9189 8370
"200007_at" 19757 18378 4402 9128
"200008_s_at" 3216 8540 6006 3060
"200009_at" 7539 5538 7904 8068
"200010_at" 17015 4594 9304 8851
"200011_s_at" 6131 6912 17599 10051
"200012_x_at" 17655 18640 9231 20042
"200013_at" 10089 9585 10127 8490
"200014_s_at" 7137 5455 17580 6318
"200015_s_at" 18231 8285 7100 5766
"200016_x_at" 16627 17653 16828 9935
"200017_at" 11971 17531 11830 9872
"200018_at" 11965 6011 11823 10328
"200019_s_at" 9103 5232 9820 10192
"200020_at" 16488 6094 17777 9218
"200021_at" 20117 19757 11912 19776
"200022_at" 11907 3721 11760 9112
"200023_s_at" 16733 4837 16947 7378
"200024_at" 7759 9009 7068 7840
"200025_s_at" 11964 17330 16886 19543
"200026_at" 12052 17342 11915 10872
"200027_at" 10237 8874 6883 4921
"200028_s_at" 17359 18795 18246 7344
"200029_at" 11930 18664 16582 10856
"200030_s_at" 9610 8015 9671 9849
"200031_s_at" 11957 18685 11815 19881
"200032_s_at" 11975 7112 11832 10104
"200033_at" 9053 6725 17519 9718
"200034_s_at" 10095 6400 18414 9238
"200035_at" 6906 17912 18016 21505
"200036_s_at" 6968 8596 7403 9708
"200037_s_at" 16955 8808 16838 6082
"200038_s_at" 12035 7066 11893 10535
"200039_s_at" 16396 7315 6560 8130
"200040_at" 9845 9805 9509 8373
"200041_s_at" 9947 7515 7963 9494
"200042_at" 5336 6320 6924 8105
"200043_at" 9705 8828 10151 5951
"200044_at" 10181 2913 9454 4095
"200045_at" 8135 3505 17178 10860
"200046_at" 18240 6434 7295 7687
"200047_s_at" 8691 8655 17520 7458
"200048_s_at" 17573 8442 16369 8081
"200049_at" 18338 1714 8543 20344
"200050_at" 9752 20120 17461 2485
"200051_at" 3094 1471 3844 20560
"200052_s_at" 16834 6969 4382 5649
"200053_at" 8921 4839 3794 21776
"200054_at" 6326 19217 18325 9552
"200055_at" 7814 7310 7849 20479
"200056_s_at" 8781 17596 15775 4386
"200057_s_at" 9445 8940 15872 10970
"200058_s_at" 6709 9434 6920 20081
"200059_s_at" 7329 17443 8650 8611
"200060_s_at" 16752 9322 10165 8780
"200061_s_at" 11955 9424 11813 20462
"200062_s_at" 11884 17347 11735 19582
"200063_s_at" 11998 20868 11850 20791
"200064_at" 9515 7926 8142 10031
"200065_s_at" 8488 7573 7317 9171
"200066_at" 8275 3905 3681 10861
"200067_x_at" 9293 18431 6918 8803
"200068_s_at" 18368 18169 15789 10800
"200069_at" 7232 9429 19425 6909
"200070_at" 4426 1306 19730 6782
"200071_at" 17913 18040 5446 8033
"200072_s_at" 7410 6885 6135 7944
"200073_s_at" 18609 17773 17080 5639
"200074_s_at" 8111 7004 8764 8633
"200075_s_at" 3795 2410 6627 6686
"200076_s_at" 5318 18035 6469 3201
"200077_s_at" 17112 18019 17322 9943
"200078_s_at" 19173 6614 16132 19382
"200079_s_at" 4834 5929 6156 6719
"200080_s_at" 17159 8598 19551 7653
"200081_s_at" 7926 17605 7787 9759
"200082_s_at" 11989 6628 11844 9091
"200083_at" 20327 6325 18661 1645
"200084_at" 6786 18970 9469 6317
"200085_s_at" 16690 5092 8215 9827
"200086_s_at" 16809 9762 16784 7920
"200087_s_at" 10271 3601 16691 4727
"200088_x_at" 11893 8634 11744 19977
"200089_s_at" 16802 9039 15924 10388
"200090_at" 20625 6252 16194 8668
"200091_s_at" 8624 8219 15832 10008
"200092_s_at" 12003 9541 15902 19523
"200093_s_at" 17274 17240 8820 9506
"200094_s_at" 10000 5835 16252 10730
"200095_x_at" 12043 18608 11903 19799
"200096_s_at" 18428 5666 5576 4271
"200097_s_at" 17499 7634 19106 5730
"200098_s_at" 17874 18626 9131 9771
"200099_s_at" 12005 9458 11858 19731
"200593_s_at" 17402 7648 8838 3603
"200594_x_at" 8845 18107 18394 6734
"200595_s_at" 17952 6508 16844 4543
"200596_s_at" 18062 17315 6497 3856
"200597_at" 9913 17540 18284 20991
"200598_s_at" 7415 8681 5816 5291
"200599_s_at" 4496 2466 17508 4440
"200600_at" 8683 9128 2267 12646
"200601_at" 7712 4665 20994 19989
"200602_at" 20976 6882 3541 6315
"200603_at" 7004 6776 9065 2798
"200604_s_at" 2110 3259 3148 3881
"200605_s_at" 3781 17620 2890 2270
"200606_at" 12253 19076 17775 7508
"200607_s_at" 5046 19161 5069 5365
"200608_s_at" 9903 19016 17218 4418
"200609_s_at" 17568 3964 7765 8618
"200610_s_at" 17688 20517 17155 19452
"200611_s_at" 7826 9492 9121 8811
"200612_s_at" 7162 21971 5918 3885
"200613_at" 6564 6051 16051 8583
"200614_at" 7819 9255 11751 10901
"200615_s_at" 4522 4090 4614 8075
"200616_s_at" 7467 7709 5571 6943
"200617_at" 7154 7163 10117 10676
"200618_at" 1337 18100 17743 9683
"200619_at" 8564 2162 17624 9283
"200620_at" 8000 18037 5567 5692
"200621_at" 9933 7647 15827 8143
"200622_x_at" 9333 2738 5512 6751
"200623_s_at" 16689 5140 17500 19275
"200624_s_at" 5352 21059 7707 4918
"200625_s_at" 18447 2123 17113 8377
"200626_s_at" 19187 2522 10128 7348
"200627_at" 16708 8265 7289 8154
"200628_s_at" 3260 6670 5174 6921
"200629_at" 16887 3129 4458 19766
"200630_x_at" 18777 9299 17159 10939
"200631_s_at" 18658 17829 9983 19469
"200632_s_at" 3843 1269 3854 3959
"200633_at" 9146 18013 11812 10769
"200634_at" 9722 5118 9807 9637
"200635_s_at" 12674 6292 19951 9122
"200636_s_at" 11133 3782 18259 9886
"200637_s_at" 12318 21400 18633 3813
"200638_s_at" 4319 7179 9405 6645
"200639_s_at" 2854 9597 7131 6583
"200640_at" 4543 9060 7817 10267
"200641_s_at" 2118 8608 4945 2122
"200642_at" 9706 6593 8176 9621
"200643_at" 4466 19574 7727 2512
"200644_at" 6710 6104 5280 20377
"200645_at" 4578 6426 17340 6136
"200646_s_at" 718 910 9015 8322
"200647_x_at" 8984 7340 8162 20385
"200648_s_at" 1400 4955 2809 4570
"200649_at" 1824 1162 9166 19305
"200650_s_at" 11858 9865 11703 10314
"200651_at" 12033 6501 11889 20543
"200652_at" 5649 19107 9313 6131
"200653_s_at" 6822 8467 4309 4068
"200654_at" 9295 6716 9479 19402
"200655_s_at" 9733 17177 15935 7993
"200656_s_at" 4258 3306 8032 5363
"200657_at" 16544 7152 9648 19801
"200658_s_at" 10108 4713 4943 7249
"200659_s_at" 21674 7980 9223 10674
"200660_at" 5383 4981 16533 10648
"200661_at" 4153 2788 9587 10739
"200662_s_at" 7968 7882 9416 2875
"200663_at" 17389 17710 17265 7116
"200664_s_at" 16568 5282 9150 7872
"200665_s_at" 15163 15337 13731 13304
"200666_s_at" 20468 18550 18161 8124
"200667_at" 8728 17939 16562 9001
"200668_s_at" 8756 7119 8154 5573
"200669_s_at" 6375 17940 5968 3458
"200670_at" 21013 4400 19245 8187
"200671_s_at" 7176 930 17809 5165
"200672_x_at" 20681 22134 8278 9695
"200673_at" 18355 7376 16996 6533
"200674_s_at" 12008 9771 11861 20336
"200675_at" 9771 4996 16275 8063
"200676_s_at" 7238 21795 3871 10234
"200677_at" 8272 6128 18724 8708
"200678_x_at" 4308 3590 17225 19925
"200679_x_at" 18073 7716 9712 9068
"200680_x_at" 19616 18677 11907 9739
"200681_at" 5186 17851 16594 7650
"200682_s_at" 8828 3532 8301 4018
"200683_s_at" 5421 6791 4838 7852
"200684_s_at" 18470 5398 3939 6363
"200685_at" 8737 20559 2017 237
"200686_s_at" 19392 4923 18445 3866
"200687_s_at" 18971 19331 9920 9837
"200688_at" 18642 543 3527 9207
"200689_x_at" 16786 9293 16339 19401
"200690_at" 8184 18813 3086 20153
"200691_s_at" 16446 17194 9485 9687
"200692_s_at" 18149 8742 16747 5728
"200693_at" 8491 7782 10114 6834
