"inst_1585" "inst_3202" "inst_5764" "inst_6240"
"1007_s_at" 18957 10115 4853 16260
"1053_at" 2436 18264 7225 13539
"117_at" 14398 2994 15802 10330
"121_at" 17987 2754 10406 16804
"1255_g_at" 7988 10871 15907 3920
"1294_at" 16125 261 21325 52
"1316_at" 18969 3097 12214 12005
"1320_at" 3095 990 15755 9177
"1405_i_at" 20694 14102 14925 7727
"1431_at" 4097 21290 527 11219
"1438_at" 11113 21652 1760 15004
"1487_at" 20453 5298 3379 2797
"1494_f_at" 17547 20892 17920 255
"1598_g_at" 14843 2057 20051 16292
"160020_at" 2670 9477 21422 17920
"1729_at" 22021 4980 20133 17600
"1773_at" 8348 21004 3674 1553
"177_at" 17922 10426 13149 10072
"179_at" 21175 7952 19019 21889
"1861_at" 1434 6803 6652 2597
"200000_s_at" 1020 19708 4616 21389
"200001_at" 15395 9915 11835 17372
"200002_at" 16393 17882 17941 12285
"200003_s_at" 14354 9709 11241 12497
"200004_at" 19823 17135 11535 17214
"200005_at" 14180 17648 11021 16870
"200006_at" 19192 10305 18966 16244
"200007_at" 17776 16073 10166 15146
"200008_s_at" 15297 6817 9527 17956
"200009_at" 19734 9883 19305 14666
"200010_at" 1355 10194 11881 14155
"200011_s_at" 14073 8759 9399 16762
"200012_x_at" 1168 16229 19631 1789
"200013_at" 15105 16374 11722 13519
"200014_s_at" 18167 16937 10713 16050
"200015_s_at" 18319 15701 8249 17990
"200016_x_at" 15191 8776 10172 12768
"200017_at" 15179 11704 11249 2361
"200018_at" 13580 16714 19718 12163
"200019_s_at" 17862 9629 11874 13336
"200020_at" 19766 8755 9528 16346
"200021_at" 600 11736 18980 6402
"200022_at" 2393 10137 11754 14893
"200023_s_at" 14711 16217 10574 17052
"200024_at" 1840 18445 20066 14176
"200025_s_at" 13484 16689 10156 12755
"200026_at" 17041 18061 18940 3132
"200027_at" 20945 9420 10679 17778
"200028_s_at" 20667 7766 8673 18940
"200029_at" 15312 8500 11737 13032
"200030_s_at" 15016 16158 18274 13223
"200031_s_at" 1741 11699 13964 12489
"200032_s_at" 13842 15894 18847 3035
"200033_at" 14422 18689 11530 14370
"200034_s_at" 15215 18485 18995 15334
"200035_at" 19536 5434 8003 17081
"200036_s_at" 14366 16941 9567 3292
"200037_s_at" 16277 9011 8617 12416
"200038_s_at" 14157 9762 18304 3137
"200039_s_at" 20466 16029 12236 16092
"200040_at" 21595 8742 17943 18029
"200041_s_at" 16194 17087 19065 17393
"200042_at" 19680 10069 10552 14840
"200043_at" 18592 17160 9294 17047
"200044_at" 14900 15689 10495 19511
"200045_at" 13814 8439 12243 16559
"200046_at" 17984 18498 8616 14017
"200047_s_at" 20245 7229 4923 19078
"200048_s_at" 20971 9640 9512 15001
"200049_at" 15150 16061 6204 18719
"200050_at" 20384 18805 10599 15739
