"inst_1295" "inst_2649" "inst_4676" "inst_5271" "inst_5636"
"1007_s_at" 20661 16000 8278 4011 15055
"1053_at" 5946 16620 19503 18904 20370
"117_at" 17753 12310 353 9240 7042
"121_at" 1590 17987 11568 6803 20961
"1255_g_at" 9664 10650 14618 11303 7429
"1294_at" 4728 1298 19771 18742 11761
"1316_at" 17586 1659 9252 2784 1889
"1320_at" 13199 830 20207 21467 695
"1405_i_at" 18789 12288 21619 2047 4544
"1431_at" 3913 20855 18303 21766 22094
"1438_at" 13470 20773 760 15106 20050
"1487_at" 1431 3072 6406 2738 10257
"1494_f_at" 3912 2646 3828 18011 3339
"1598_g_at" 21793 17424 18674 6055 16096
"160020_at" 324 2319 19489 19749 13017
"1729_at" 21016 13490 5810 2767 14088
"1773_at" 26 1684 3474 20202 10235
"177_at" 19935 11131 22149 3746 9333
"179_at" 22188 3757 2243 8773 2485
"1861_at" 21271 17663 2538 2936 19733
"200000_s_at" 3773 14750 4711 15501 17403
"200001_at" 5709 16370 18417 8778 16147
"200002_at" 16657 15475 19650 8352 10771
"200003_s_at" 4706 16350 14306 10859 5747
"200004_at" 15939 16161 10823 16855 11272
"200005_at" 16118 14427 10277 6197 14591
"200006_at" 5839 5525 11900 16119 15510
"200007_at" 3999 16049 11762 18604 15630
"200008_s_at" 20963 16258 5597 20228 11268
"200009_at" 16307 14654 18817 6891 10981
"200010_at" 4613 16231 11928 15350 10265
"200011_s_at" 18781 17305 6753 6157 18928
"200012_x_at" 15703 13775 20127 6886 3607
"200013_at" 16807 13801 10829 15642 10408
"200014_s_at" 16613 13561 9628 7926 18097
"200015_s_at" 20231 5808 7634 18035 16706
"200016_x_at" 15627 5354 19201 16183 11017
"200017_at" 15536 5877 19844 11026 5853
"200018_at" 4394 5230 14396 11011 5847
"200019_s_at" 18845 15641 10267 18009 17130
"200020_at" 1102 18280 9795 7433 13423
"200021_at" 4916 5424 14506 11219 5996
"200022_at" 5792 15573 8880 15862 5768
"200023_s_at" 17140 5821 11420 16085 18446
"200024_at" 17740 15148 12321 6443 4161
"200025_s_at" 5853 3975 19151 17162 11532
"200026_at" 5281 3411 10623 6556 6001
"200027_at" 17053 14596 10287 8231 13276
"200028_s_at" 15787 13980 12126 5702 17853
"200029_at" 5472 3893 19275 15668 2631
"200030_s_at" 5732 16145 11896 5668 10425
"200031_s_at" 16633 5855 14381 10990 5840
"200032_s_at" 5710 3951 10792 11028 5857
"200033_at" 4818 5558 11574 16290 10945
"200034_s_at" 3947 4509 10871 5643 3396
"200035_at" 2038 20631 10937 3750 19667
"200036_s_at" 15823 14058 10677 16609 13794
"200037_s_at" 2467 5663 18773 7953 12071
"200038_s_at" 5040 4763 12178 8418 5968
"200039_s_at" 18867 15238 18612 16468 12519
"200040_at" 4374 3845 10085 8737 13442
"200041_s_at" 16718 15519 11414 4975 14619
"200042_at" 18439 15679 5381 6366 14994
"200043_at" 15895 4232 21065 18641 12544
"200044_at" 18150 16284 11117 5430 15606
"200045_at" 15711 16534 7268 3072 15225
"200046_at" 16829 16012 12377 7971 18569
"200047_s_at" 3723 17545 19386 16371 16448
"200048_s_at" 4392 14157 18407 5878 17223
"200049_at" 20966 13740 4958 8154 14212
"200050_at" 15571 15651 8561 16164 3762
"200051_at" 4164 4387 7349 5597 15031
"200052_s_at" 17158 13242 9375 15393 15034
"200053_at" 852 17961 10165 8078 10742
"200054_at" 18818 14267 19565 5048 17287
"200055_at" 4815 4139 6653 4253 15695
"200056_s_at" 16783 17222 7793 20323 16320
"200057_s_at" 16876 18345 12115 6945 13702
"200058_s_at" 3945 14288 6354 15260 19036
"200059_s_at" 17322 14964 19208 21217 12043
"200060_s_at" 5804 5383 7090 6997 11663
"200061_s_at" 16917 12914 14380 10988 5838
"200062_s_at" 16828 7988 14291 10835 5732
"200063_s_at" 2601 3306 19664 11084 5895
"200064_at" 4873 13756 9271 16368 12475
"200065_s_at" 5284 15198 11789 7429 11480
"200066_at" 5446 18972 9026 19832 18648
"200067_x_at" 18038 14173 10954 15892 15380
"200068_s_at" 2944 16757 11937 6837 3833
"200069_at" 3664 21717 4687 5457 16590
"200070_at" 19210 14256 6965 4289 22212
"200071_at" 18624 19385 12093 8614 18123
"200072_s_at" 17163 16510 18575 15365 3977
"200073_s_at" 18397 5199 9869 8639 14590
"200074_s_at" 15822 14218 18844 16882 10495
"200075_s_at" 19742 13474 5726 6906 18565
"200076_s_at" 4323 15116 6550 8636 17489
"200077_s_at" 4108 12983 12063 15426 10322
"200078_s_at" 4963 18730 8382 7846 12932
"200079_s_at" 18043 13627 6474 5268 17060
"200080_s_at" 5355 4845 20710 16856 5889
"200081_s_at" 4609 15768 11288 6806 10532
"200082_s_at" 5581 13808 9968 15894 5881
"200083_at" 17177 19286 7887 4520 13346
"200084_at" 16036 17090 19359 17463 17695
"200085_s_at" 15969 14664 10313 7236 16816
"200086_s_at" 15612 5862 9389 15407 13238
"200087_s_at" 18296 17651 7555 6045 11430
"200088_x_at" 3961 7999 18968 10853 5744
"200089_s_at" 5190 13056 19134 15556 11048
"200090_at" 16447 14345 9326 5936 16919
"200091_s_at" 16292 2776 18153 18431 11063
"200092_s_at" 17632 3911 21235 11100 5908
"200093_s_at" 17880 5759 18640 18360 14416
"200094_s_at" 2992 5418 8693 16810 11111
"200095_x_at" 5528 8202 14494 11200 5981
"200096_s_at" 16200 13312 18636 8658 14728
"200097_s_at" 5626 14621 9296 16838 10397
"200098_s_at" 2387 17890 9445 15202 14688
"200099_s_at" 15887 4510 12279 11110 5913
"200593_s_at" 16940 16864 18761 2993 16250
"200594_x_at" 3227 17854 10926 7583 12883
"200595_s_at" 16584 15491 18322 6642 18436
"200596_s_at" 1792 4985 5600 2842 12532
"200597_at" 5432 20087 4925 5398 16896
"200598_s_at" 20272 13170 6334 2531 3399
"200599_s_at" 2156 5297 11217 5852 15399
"200600_at" 4736 9687 4089 12678 9468
"200601_at" 19840 17427 21350 268 10435
"200602_at" 16458 14375 5806 6617 12007
"200603_at" 15716 18226 18812 5882 12730
"200604_s_at" 21838 18011 11875 19935 16215
"200605_s_at" 20797 16090 20954 8855 12827
"200606_at" 15275 17227 4892 17549 14647
"200607_s_at" 18216 13905 9616 20540 11206
"200608_s_at" 4588 16075 10473 17094 13828
"200609_s_at" 18184 16988 4163 19387 12181
"200610_s_at" 5137 14782 20484 8616 10150
"200611_s_at" 18632 13123 8637 15119 14401
"200612_s_at" 1723 1511 22038 19 13695
"200613_at" 5604 13893 7026 4644 15916
"200614_at" 18647 15064 12311 17556 13972
"200615_s_at" 17577 4744 6405 4953 14141
"200616_s_at" 2902 16591 9956 4804 13023
"200617_at" 16016 14963 10607 4165 14630
"200618_at" 4273 19745 6817 6434 17742
"200619_at" 1502 5527 19119 19737 17268
"200620_at" 15584 17530 9205 16245 16762
"200621_at" 16456 13497 3057 15349 18778
"200622_x_at" 4840 5673 4282 5317 15301
"200623_s_at" 871 16077 9077 3264 11869
"200624_s_at" 18799 2944 20681 18924 18830
"200625_s_at" 18703 15191 8709 19468 19569
"200626_s_at" 2365 13473 9796 5859 13453
"200627_at" 16459 13912 9728 15656 3803
"200628_s_at" 16639 3864 3476 5792 1480
"200629_at" 4260 14466 5047 2177 12951
"200630_x_at" 5247 14584 20111 4756 10197
"200631_s_at" 4358 14672 19861 8783 13081
"200632_s_at" 18173 13172 5765 3209 17078
"200633_at" 4699 14704 14379 17195 11170
"200634_at" 18131 17744 19510 15767 13252
"200635_s_at" 7214 18830 9539 2133 20068
"200636_s_at" 12672 4257 3766 17543 18896
"200637_s_at" 9770 5886 1417 15246 4114
"200638_s_at" 17166 15232 9593 17119 12073
"200639_s_at" 19673 15333 12214 15216 13532
"200640_at" 3777 15234 18551 15750 11467
"200641_s_at" 21659 14791 8540 20820 11294
"200642_at" 17373 15388 18118 16231 12550
"200643_at" 18621 16580 4073 4909 12270
"200644_at" 16896 13823 12415 15679 15778
"200645_at" 16079 18182 10661 6299 14580
"200646_s_at" 17124 18866 9713 6643 20275
"200647_x_at" 4834 19762 21110 5758 15587
"200648_s_at" 21459 3959 6640 5924 4093
"200649_at" 22222 1887 1494 1150 3831
"200650_s_at" 18464 15561 14252 15903 13418
"200651_at" 16771 13878 11949 16761 5963
"200652_at" 18031 19461 6644 17710 17577
"200653_s_at" 891 13760 18793 5006 10717
"200654_at" 5806 15669 7361 6820 22085
"200655_s_at" 17316 5162 20792 5302 12621
"200656_s_at" 3035 16300 3969 7773 11099
"200657_at" 4003 15974 18263 15209 4077
"200658_s_at" 5488 14595 8158 15451 10426
"200659_s_at" 929 13044 7229 16647 10432
"200660_at" 4293 14152 10569 16497 12173
"200661_at" 1820 5740 4450 8807 17074
"200662_s_at" 3755 14397 8974 18107 15999
"200663_at" 5705 14748 18235 5928 2436
"200664_s_at" 21024 15485 1040 19967 2318
"200665_s_at" 6561 7942 14136 13819 4378
"200666_s_at" 18099 16291 5008 15428 17578
"200667_at" 20713 3789 7009 8170 12389
"200668_s_at" 17611 5916 8756 8799 14639
"200669_s_at" 19048 16347 11312 17970 11255
"200670_at" 17477 19327 9211 7003 10404
"200671_s_at" 8055 349 18510 19172 1673
"200672_x_at" 22001 21004 19708 15861 849
"200673_at" 5810 17535 12238 7125 12245
"200674_s_at" 16802 4592 18498 6743 5919
"200675_at" 16221 19614 7988 4100 16522
"200676_s_at" 21062 4598 5530 15175 18553
"200677_at" 1718 15400 10757 7203 12717
"200678_x_at" 15977 16954 4956 2919 21406
"200679_x_at" 16394 17201 20389 15343 11792
"200680_x_at" 3439 17244 8854 15998 5989
"200681_at" 19310 17180 11743 6908 16618
"200682_s_at" 5298 13807 8012 16400 17840
"200683_s_at" 19354 15618 9900 6174 19467
"200684_s_at" 957 5032 4362 7956 11904
"200685_at" 1604 16113 3730 3647 18049
"200686_s_at" 2704 2185 7170 19267 21102
"200687_s_at" 3431 5573 4003 7634 15256
"200688_at" 3668 16110 10888 5324 20541
"200689_x_at" 5502 16280 11846 6586 3053
"200690_at" 17234 2253 8584 8337 18016
"200691_s_at" 4062 14971 19927 15502 10472
"200692_s_at" 16825 4631 18630 17508 3611
"200693_at" 17430 13662 9181 17824 13512
"200694_s_at" 3835 16027 7499 5652 15162
"200695_at" 17467 20552 540 17531 16880
"200696_s_at" 4887 2841 3212 2632 11251
"200697_at" 4536 14526 5174 2792 2042
"200698_at" 18936 20062 11488 3982 11797
"200699_at" 4006 4396 18758 1778 14224
"200700_s_at" 17785 5084 20346 8536 13337
"200701_at" 1897 17109 10741 4274 13820
"200702_s_at" 3841 18478 5631 3184 13687
"200703_at" 5034 4073 11863 19884 17747
"200704_at" 2916 17228 11539 2747 17264
"200705_s_at" 16910 12976 9908 15883 3375
"200706_s_at" 19027 14455 1112 20902 14162
"200707_at" 5221 14987 3555 2162 15402
"200708_at" 4822 14783 11202 15373 16858
"200709_at" 16241 15978 20173 3539 17702
"200710_at" 3954 3175 3480 1533 14661
"200711_s_at" 16186 12883 6917 15522 16550
"200712_s_at" 21386 19316 11050 21439 19279
"200713_s_at" 16197 18234 11914 3979 3863
"200714_x_at" 16541 17314 6631 2765 14513
"200715_x_at" 16898 3910 10844 15168 2863
"200716_x_at" 5051 13127 11099 16113 5969
"200717_x_at" 5795 8080 14377 10982 5835
"200718_s_at" 4029 4596 19433 18563 12515
"200719_at" 4012 18242 9685 17457 12718
"200720_s_at" 15680 3589 6311 8321 17456
"200721_s_at" 17921 19852 7409 2447 3921
"200722_s_at" 19276 15691 1342 20391 10176
"200723_s_at" 19380 15044 8152 8291 15351
"200724_at" 10134 312 194 3262 1824
"200725_x_at" 5091 13667 18108 6975 2981
"200726_at" 18891 15104 20220 18986 18085
"200727_s_at" 19848 21090 19190 15593 16943
"200728_at" 17001 18291 11913 17302 10530
"200729_s_at" 17659 5835 18359 18997 16629
"200730_s_at" 3891 14587 8279 6644 11197
"200731_s_at" 20337 19962 9049 3128 3858
"200732_s_at" 20750 4051 6242 3144 12930
"200733_s_at" 4814 21351 10361 8097 15484
"200734_s_at" 18830 14210 5725 7804 12908
"200735_x_at" 4445 13030 11956 11096 5905
"200736_s_at" 16945 6876 10630 12473 4243
"200737_at" 19776 19037 8678 20168 19799
"200738_s_at" 5945 15296 19391 18062 14489
"200739_s_at" 20919 20444 5420 18103 14782
"200740_s_at" 16981 15115 12406 16596 2751
