"inst_1397" "inst_2080" "inst_2243" "inst_5757" "inst_6233"
"1007_s_at" 19596 19016 10704 19227 4330
"1053_at" 2741 4907 10208 3488 5109
"117_at" 13129 4196 16662 12517 17962
"121_at" 3873 21600 10096 2245 20666
"1255_g_at" 8588 13842 15362 11947 15283
"1294_at" 1685 19258 431 19028 15456
"1316_at" 3430 13689 6675 19560 14752
"1320_at" 14547 11916 14913 11633 15949
"1405_i_at" 20726 16054 16017 10222 14684
"1431_at" 13991 21171 22090 5268 14949
"1438_at" 12703 19932 3698 886 20245
"1487_at" 17981 20187 9137 16978 10670
"1494_f_at" 3475 16192 21604 581 13630
"1598_g_at" 4005 5834 9247 21327 21964
"160020_at" 1063 5054 21936 19886 21317
"1729_at" 1791 2418 17078 7832 19914
"1773_at" 2316 3739 10639 6102 8221
"177_at" 16720 17321 12280 5545 12789
"179_at" 6061 13313 5215 17762 8140
"1861_at" 18826 21326 3138 5985 7419
"200000_s_at" 672 17743 20134 6378 2106
"200001_at" 978 19301 7052 5471 3899
"200002_at" 5122 6373 17480 8530 8465
"200003_s_at" 6334 17715 12694 8601 10320
"200004_at" 17711 18120 9335 9321 4175
"200005_at" 3719 6552 9409 9385 4145
"200006_at" 19019 6000 6319 7292 5082
"200007_at" 16811 8469 17634 16537 9986
"200008_s_at" 17476 3966 7548 4227 7135
"200009_at" 5816 5079 8671 16241 6846
"200010_at" 4425 21322 17226 6376 7356
"200011_s_at" 4411 6535 7791 8188 9187
"200012_x_at" 3264 17581 18149 15911 20667
"200013_at" 2935 7813 17544 6938 10298
"200014_s_at" 20235 19755 6128 18623 5590
"200015_s_at" 1511 4361 6843 6858 2138
"200016_x_at" 21709 18213 18108 17002 9580
"200017_at" 19119 7096 12902 9398 9358
"200018_at" 18301 17702 12853 9597 10205
"200019_s_at" 5841 7359 17416 7245 9523
"200020_at" 17412 7505 9782 9040 4867
"200021_at" 17634 18219 12682 18356 19599
"200022_at" 16477 7008 17410 6685 10462
"200023_s_at" 4231 6996 8615 9341 4956
"200024_at" 2572 6369 10728 9962 7224
"200025_s_at" 4934 7016 10266 16446 9643
"200026_at" 21833 7352 12643 17261 6381
"200027_at" 19749 5061 8605 10109 5314
"200028_s_at" 4282 18951 10725 9195 5645
"200029_at" 3840 7355 7942 8128 20017
"200030_s_at" 4546 7945 9925 9662 8157
"200031_s_at" 17095 17522 12910 11738 20246
"200032_s_at" 20045 7687 12789 7112 10358
"200033_at" 21772 6693 10092 9317 6349
"200034_s_at" 4447 6542 17451 7543 9490
"200035_at" 909 2977 20518 5732 20363
"200036_s_at" 16917 17587 9902 8376 19674
"200037_s_at" 17880 4832 8368 8475 6382
"200038_s_at" 16495 6702 12924 15975 9052
"200039_s_at" 3656 5235 8254 6872 7796
"200040_at" 19517 17599 10543 7878 6108
"200041_s_at" 5372 2087 10049 6322 3448
"200042_at" 16932 5406 10405 10079 6603
"200043_at" 2915 21374 9013 6779 21365
"200044_at" 5797 8661 10253 16579 7883
"200045_at" 1402 7982 8361 4685 4303
"200046_at" 4244 18465 8343 8111 4607
"200047_s_at" 22032 17543 8995 16355 5355
"200048_s_at" 4930 18114 9163 8989 4864
"200049_at" 16574 6489 20146 17658 6452
"200050_at" 21511 18811 19404 19288 2947
"200051_at" 1170 20340 19475 7984 8406
"200052_s_at" 16644 8217 6181 8201 5578
"200053_at" 2446 5018 2850 1957 3242
"200054_at" 17545 7476 9175 4764 10584
"200055_at" 5050 4389 7838 5088 8671
"200056_s_at" 22132 18457 5553 17866 3983
"200057_s_at" 19933 8731 17589 17124 9035
"200058_s_at" 18480 3564 19173 6147 4383
"200059_s_at" 17906 6455 7324 17574 7461
"200060_s_at" 18104 1850 18617 17541 3733
"200061_s_at" 2226 6986 12823 11737 20614
"200062_s_at" 16813 17524 12935 11700 19822
"200063_s_at" 4838 5797 12653 9244 20251
"200064_at" 5988 6113 10051 17018 6859
"200065_s_at" 17279 18183 18576 6684 6690
"200066_at" 19018 18386 20388 16992 9824
"200067_x_at" 4565 19627 4553 16224 4600
"200068_s_at" 2773 7927 10545 8769 6547
"200069_at" 464 5111 7933 19877 19575
"200070_at" 17121 5669 21120 1893 21201
"200071_at" 20678 5781 8031 17907 3631
"200072_s_at" 17338 8714 18195 9062 4563
"200073_s_at" 21126 20240 10752 7055 6328
"200074_s_at" 6407 6137 8043 6381 9293
"200075_s_at" 2209 5971 7198 5033 4963
"200076_s_at" 3424 4649 8637 8237 4821
"200077_s_at" 18428 6766 10475 16611 9576
"200078_s_at" 16446 19116 7537 8446 9440
"200079_s_at" 6289 5618 10178 7943 6526
"200080_s_at" 21460 20228 3067 18184 8672
"200081_s_at" 2539 5280 9098 8858 9978
"200082_s_at" 16726 5384 9488 6163 9862
"200083_at" 5537 6414 8545 18144 7146
"200084_at" 17650 7870 8260 9389 6841
"200085_s_at" 3141 6955 10791 8833 10185
"200086_s_at" 20094 5667 9486 6059 6834
"200087_s_at" 17931 17578 7514 8758 3934
"200088_x_at" 16735 7925 12975 16043 19737
"200089_s_at" 20457 6733 10770 8144 9479
"200090_at" 21494 19988 4775 7118 8004
"200091_s_at" 21680 8824 10516 8398 7006
"200092_s_at" 18391 4700 18046 19733 9604
"200093_s_at" 19724 6370 9434 9509 10114
"200094_s_at" 20392 6200 18417 7589 7167
"200095_x_at" 4876 17585 12829 10016 19785
"200096_s_at" 18079 3645 17977 7584 5440
"200097_s_at" 18236 7719 5892 7672 3720
"200098_s_at" 3336 4618 10392 8373 1799
"200099_s_at" 20447 2709 12697 9297 9967
"200593_s_at" 4933 5846 9241 5301 4371
"200594_x_at" 5581 7707 18040 16553 3010
"200595_s_at" 21658 8143 9766 6533 2565
"200596_s_at" 18523 3281 19434 5863 6986
"200597_at" 19738 5695 17825 17276 1380
"200598_s_at" 21926 4236 2249 6656 7418
"200599_s_at" 21045 18035 19754 9919 3255
"200600_at" 18078 19617 13979 15874 3777
"200601_at" 19931 18109 5910 19773 10019
"200602_at" 19573 3014 840 3021 1170
"200603_at" 21118 7874 8417 8337 2732
"200604_s_at" 5347 21677 7009 8379 3895
"200605_s_at" 20086 7552 5602 17391 2686
"200606_at" 8450 6158 3961 19030 3758
"200607_s_at" 18219 1459 4861 8744 1542
"200608_s_at" 21643 4994 7961 8949 6050
"200609_s_at" 20728 2111 9617 7577 3674
"200610_s_at" 20416 21846 19811 16036 6771
"200611_s_at" 4547 17875 17405 8421 9506
"200612_s_at" 1205 21797 19655 21139 22144
"200613_at" 5893 17447 10719 6501 6320
"200614_at" 4482 7993 19943 8124 7752
"200615_s_at" 19158 6496 9524 8092 19751
"200616_s_at" 19686 4374 3553 6326 10355
"200617_at" 1401 6327 19838 4951 2355
"200618_at" 19025 8473 10555 9980 8242
"200619_at" 3831 19771 19205 20933 7831
"200620_at" 1872 18234 7105 6299 6781
"200621_at" 4748 3867 17640 7308 9750
"200622_x_at" 17693 2741 3232 5241 6470
"200623_s_at" 4314 19014 17491 8506 10467
"200624_s_at" 5100 19103 10395 19090 19915
"200625_s_at" 6078 6458 18412 5843 6062
"200626_s_at" 19890 21787 9788 19965 10210
"200627_at" 18244 7099 8754 16349 10435
"200628_s_at" 3834 5961 19554 17427 1829
"200629_at" 2455 3456 7561 5344 2474
"200630_x_at" 3621 5761 7739 9680 9377
"200631_s_at" 19231 5921 9669 15915 7125
"200632_s_at" 2094 18478 20942 6027 5117
"200633_at" 17655 17501 12956 11736 10246
"200634_at" 3533 17892 18208 9423 9274
"200635_s_at" 9086 18053 7125 18293 3798
"200636_s_at" 13956 3681 17649 2807 4230
"200637_s_at" 12038 825 2505 17913 1232
"200638_s_at" 4208 6921 10185 9126 6476
"200639_s_at" 4591 7988 17038 8899 1269
"200640_at" 6252 8527 18613 7868 7052
"200641_s_at" 19007 7636 17224 18461 9302
"200642_at" 5374 17634 18047 9777 19757
"200643_at" 18620 3121 21303 3910 7787
"200644_at" 257 8145 6947 7350 5680
"200645_at" 3095 18426 9422 5326 5190
"200646_s_at" 9357 6575 20665 1679 21702
"200647_x_at" 4079 5531 20271 5519 7522
"200648_s_at" 4316 21266 9397 6197 20225
"200649_at" 5838 7934 21377 4598 21033
"200650_s_at" 18099 21011 19586 11686 20533
"200651_at" 5024 19507 18862 6926 10015
"200652_at" 5470 17941 4671 9093 7321
"200653_s_at" 20426 5170 1645 16324 3301
"200654_at" 4587 18927 20305 9185 22173
"200655_s_at" 3418 7289 17881 7496 10551
"200656_s_at" 19372 19228 6422 6577 1265
"200657_at" 2924 5554 10713 9612 19650
"200658_s_at" 16575 4085 10378 6395 3488
"200659_s_at" 1742 6869 9923 7429 8661
"200660_at" 19512 7574 18287 4434 3148
"200661_at" 5125 7924 19331 3218 3694
"200662_s_at" 18868 20891 17478 19456 5567
"200663_at" 20786 6025 9731 7238 8328
"200664_s_at" 19275 4253 19141 9622 7649
"200665_s_at" 6680 15879 15686 15018 13768
"200666_s_at" 20886 17526 19442 9620 8667
"200667_at" 1409 20709 4603 3219 482
"200668_s_at" 19328 18629 4448 16469 4416
"200669_s_at" 21292 4270 8630 7432 7999
"200670_at" 17370 18813 7519 9700 8411
"200671_s_at" 7276 217 404 4125 105
"200672_x_at" 1169 2249 4392 19138 21302
"200673_at" 17415 17789 5040 16489 8472
"200674_s_at" 16953 17439 18853 8370 20766
"200675_at" 3775 18818 5886 8270 3765
"200676_s_at" 20576 19700 5592 2726 123
"200677_at" 3000 17862 5375 16778 9048
"200678_x_at" 5837 8503 4890 7923 5908
"200679_x_at" 19839 3974 9268 5486 10677
"200680_x_at" 16711 20599 12814 16635 20101
"200681_at" 5880 19921 7340 4813 8834
"200682_s_at" 18892 5551 8290 6580 6206
"200683_s_at" 17070 6358 10252 5962 20346
"200684_s_at" 16671 18391 7690 8795 5258
"200685_at" 21223 3999 9549 17071 3838
"200686_s_at" 16517 17483 8713 3858 5890
"200687_s_at" 2854 5765 18424 9222 3014
"200688_at" 17598 1799 4322 18037 270
"200689_x_at" 3123 5593 8847 7456 20268
"200690_at" 21714 7840 19469 9709 7902
"200691_s_at" 19823 8307 10578 10054 5388
"200692_s_at" 21148 6221 10331 3635 8397
"200693_at" 2584 7248 6764 16058 6155
"200694_s_at" 3920 18912 7555 16271 5701
"200695_at" 19792 3830 18214 8133 8544
"200696_s_at" 4677 21731 3614 3794 20635
"200697_at" 5639 19474 2694 18267 7143
"200698_at" 3119 5714 17820 7578 4694
"200699_at" 1459 6016 6340 4958 5094
"200700_s_at" 1343 8669 18037 16816 21207
"200701_at" 2331 17856 18364 8411 19526
"200702_s_at" 21225 145 3755 6304 3051
"200703_at" 18717 17966 18508 6805 5760
"200704_at" 19238 17722 4784 5381 4483
"200705_s_at" 16943 6047 9668 7958 8815
"200706_s_at" 3847 3533 7506 17919 4618
"200707_at" 1292 18266 20420 5484 3768
"200708_at" 20380 8227 8708 8218 6979
"200709_at" 16841 20890 18239 6285 7511
"200710_at" 6353 7216 8662 7424 3194
"200711_s_at" 16470 18281 8690 9024 6530
"200712_s_at" 18766 3315 4824 17379 6513
"200713_s_at" 1380 8097 3770 17817 6274
"200714_x_at" 4976 8067 21017 8383 8664
"200715_x_at" 6411 20333 8560 17296 19641
"200716_x_at" 3750 19176 12807 9269 8010
"200717_x_at" 18185 7672 12988 11735 19661
"200718_s_at" 21788 5708 9732 9676 9902
"200719_at" 5542 19573 10390 9064 7313
"200720_s_at" 1541 8796 18623 7875 3101
"200721_s_at" 5961 20531 4086 18112 7564
"200722_s_at" 19701 7768 4407 17137 19789
"200723_s_at" 3443 3923 6598 17426 7405
"200724_at" 9337 11176 6963 505 780
"200725_x_at" 17694 7249 9983 7918 21048
"200726_at" 16721 18330 8685 9470 6331
"200727_s_at" 21236 8272 883 7483 5856
"200728_at" 2765 2493 20000 6412 804
"200729_s_at" 18307 5141 5178 7138 3332
"200730_s_at" 20090 20051 9751 18689 4310
"200731_s_at" 21543 1410 19782 16444 3180
"200732_s_at" 5894 4860 10144 9070 8288
"200733_s_at" 22278 21387 4480 2177 958
"200734_s_at" 3609 20882 19219 8359 2413
"200735_x_at" 19734 8753 12740 16261 10683
"200736_s_at" 19226 8156 15177 8286 14596
"200737_at" 17881 20711 9420 10134 5375
"200738_s_at" 19900 8479 18327 17136 8784
"200739_s_at" 4617 5969 10233 4730 7879
"200740_s_at" 18616 18638 5559 17312 10353
"200741_s_at" 16703 7135 12931 6642 20838
"200742_s_at" 16609 19666 1838 4104 1032
"200743_s_at" 4317 4848 8711 16435 2579
"200744_s_at" 5176 8442 18401 7963 7618
"200745_s_at" 1497 4869 8518 6738 8941
"200746_s_at" 5945 18713 20553 16969 2701
"200747_s_at" 21993 3600 20770 6361 7011
"200748_s_at" 21814 4344 10740 6960 8816
"200749_at" 19152 19093 8127 17842 3693
"200750_s_at" 17774 5287 19570 9969 10141
"200751_s_at" 21195 1856 8476 6954 6067
"200752_s_at" 246 17448 10483 19410 2576
"200753_x_at" 21245 7601 7325 18410 7370
"200754_x_at" 5179 19067 20098 18637 10086
"200755_s_at" 21973 4263 1905 5518 1063
"200756_x_at" 5331 17783 18646 19837 20928
