"inst_2999" "inst_3338" "inst_4078" "inst_4159"
"1007_s_at" 1146 17507 15489 3888
"1053_at" 9167 14093 11693 13106
"117_at" 19535 8292 7359 6671
"121_at" 19990 10865 18082 16560
"1255_g_at" 13016 6445 9025 8571
"1294_at" 8640 1939 21716 874
"1316_at" 4918 20706 4106 3455
"1320_at" 4099 1382 12628 11364
"1405_i_at" 20212 6093 10118 9327
"1431_at" 21475 9051 2357 5191
"1438_at" 17166 12187 21793 16693
"1487_at" 7570 20986 13268 15897
"1494_f_at" 9266 14637 21466 3544
"1598_g_at" 19825 10214 20039 18395
"160020_at" 2651 20447 1554 22203
"1729_at" 4041 18471 5215 17454
"1773_at" 21555 20697 2494 16201
"177_at" 18872 8125 15756 21198
"179_at" 41 8831 1775 18530
"1861_at" 19529 10847 6034 17548
"200000_s_at" 11976 15053 6012 4637
"200001_at" 5106 16460 5461 15535
"200002_at" 10765 8893 6330 12442
"200003_s_at" 14259 9215 7545 7268
"200004_at" 8072 12164 13718 5363
"200005_at" 9488 12159 13267 12249
"200006_at" 11920 11089 5827 13112
"200007_at" 7291 9956 3352 12090
"200008_s_at" 4772 15600 2312 18058
"200009_at" 9128 9815 5566 16476
"200010_at" 11347 10177 3889 13976
"200011_s_at" 4135 13467 12684 3860
"200012_x_at" 19082 1074 5140 3397
"200013_at" 18139 9623 5071 12001
"200014_s_at" 10460 14316 12131 16382
"200015_s_at" 11606 14997 15580 11178
"200016_x_at" 11254 8964 7493 7186
"200017_at" 14349 4161 7600 7382
"200018_at" 14340 4150 7597 7372
"200019_s_at" 18840 8982 6063 4417
"200020_at" 6928 10295 11332 12031
"200021_at" 18595 4295 7652 7503
"200022_at" 14275 8681 4398 11278
"200023_s_at" 10876 10276 13637 13446
"200024_at" 18905 8769 4733 4438
"200025_s_at" 18536 1455 13016 7369
"200026_at" 14430 2114 11669 7506
"200027_at" 8854 13174 12932 11397
"200028_s_at" 7454 16549 5221 13959
"200029_at" 10473 1747 4834 4147
"200030_s_at" 9391 9396 6274 4226
"200031_s_at" 14331 4139 7590 7360
"200032_s_at" 14353 4164 11212 7385
"200033_at" 7604 9668 13478 5472
"200034_s_at" 12000 9096 11403 7274
"200035_at" 7821 16036 15959 3142
"200036_s_at" 18831 9112 5991 5296
"200037_s_at" 8965 13237 11567 17244
"200038_s_at" 14416 1907 4760 7482
"200039_s_at" 9533 11832 13102 5359
"200040_at" 8590 15594 16635 13866
"200041_s_at" 8161 13742 4033 11303
"200042_at" 10756 11145 11774 5264
"200043_at" 6875 9256 16958 5292
"200044_at" 3217 14811 14987 13141
"200045_at" 8615 14933 13672 11808
"200046_at" 4608 12277 6026 12517
"200047_s_at" 6462 9997 15193 14102
"200048_s_at" 9974 10437 5613 13036
"200049_at" 4761 16240 18305 15913
"200050_at" 8657 12931 14914 16939
"200051_at" 9720 20807 14657 16694
"200052_s_at" 8697 14669 4448 15379
"200053_at" 3843 8799 3147 13490
"200054_at" 19216 19606 14295 18280
"200055_at" 7275 9636 14885 4866
"200056_s_at" 20151 21153 16729 13871
"200057_s_at" 10524 11355 5899 3597
"200058_s_at" 8386 13297 13765 5399
"200059_s_at" 10615 12410 12229 16815
"200060_s_at" 4303 14139 12392 4769
"200061_s_at" 14330 4138 7589 7358
"200062_s_at" 14247 4014 7537 7253
"200063_s_at" 14374 4210 7613 7422
"200064_at" 10329 9763 2324 13642
"200065_s_at" 5500 12755 3338 12015
"200066_at" 3555 19085 15125 14394
"200067_x_at" 10846 14552 13860 16245
"200068_s_at" 3200 10957 13600 5192
"200069_at" 7029 21286 15873 18859
"200070_at" 9252 13964 18116 2998
"200071_at" 7718 16716 15241 12044
"200072_s_at" 5863 11559 13288 14404
"200073_s_at" 10066 15695 17123 15975
"200074_s_at" 18493 9979 11300 13399
"200075_s_at" 6705 19274 16019 13317
"200076_s_at" 6161 10469 13525 12499
"200077_s_at" 10779 2037 12426 12349
"200078_s_at" 6203 14622 12697 15253
"200079_s_at" 9992 14187 11251 11941
"200080_s_at" 18229 9050 14212 7415
"200081_s_at" 11834 9336 4349 17431
"200082_s_at" 18668 9680 6156 11097
"200083_at" 6973 15545 14703 18605
"200084_at" 7576 15498 12035 12735
"200085_s_at" 18262 10008 2458 13623
"200086_s_at" 12232 11025 12717 11166
"200087_s_at" 2894 12953 12443 14818
"200088_x_at" 14255 4025 4635 7264
"200089_s_at" 11938 9538 11325 11392
"200090_at" 11768 20227 12691 2462
"200091_s_at" 19748 9397 16931 7305
"200092_s_at" 18522 1329 2589 7432
"200093_s_at" 7197 12960 14447 5229
"200094_s_at" 9922 12552 13848 14953
"200095_x_at" 14422 4280 7647 7491
"200096_s_at" 3830 11562 1206 14765
"200097_s_at" 5675 13102 13180 12559
"200098_s_at" 10763 13766 11410 5439
"200099_s_at" 14384 4227 12400 7436
"200593_s_at" 9007 16003 15602 20331
"200594_x_at" 4913 14782 5287 14564
"200595_s_at" 7675 17199 16814 3574
"200596_s_at" 18316 15152 16460 13878
"200597_at" 7563 9182 18697 18456
"200598_s_at" 3208 17531 13052 19566
"200599_s_at" 2519 14927 13979 16806
"200600_at" 6056 8076 6302 7046
"200601_at" 2865 21252 20325 18613
"200602_at" 7751 21865 17559 19528
"200603_at" 9395 16525 14032 14473
"200604_s_at" 1355 14399 2290 17938
"200605_s_at" 2348 18867 13973 18157
"200606_at" 10886 11853 11436 13978
"200607_s_at" 18929 13996 3765 17874
"200608_s_at" 11154 15934 16520 15018
"200609_s_at" 2141 13756 16530 11096
"200610_s_at" 5681 9747 4815 14353
"200611_s_at" 9190 15017 4482 14361
"200612_s_at" 21929 11208 13236 19116
"200613_at" 7187 10835 12067 14582
"200614_at" 9837 9035 14965 7273
"200615_s_at" 4794 19172 11488 5364
"200616_s_at" 9372 18820 11711 17701
"200617_at" 2135 19458 14958 4837
"200618_at" 7809 15427 14431 4773
"200619_at" 18848 17257 11875 15213
"200620_at" 7077 14321 5379 4702
"200621_at" 11882 10049 11682 12978
"200622_x_at" 21480 14179 13248 12855
"200623_s_at" 20374 11297 20034 4391
"200624_s_at" 4293 13775 14998 13992
"200625_s_at" 10518 11982 15099 3740
"200626_s_at" 8928 16295 17227 13829
"200627_at" 10093 9729 14974 4992
"200628_s_at" 4326 18830 2224 13728
"200629_at" 6966 20214 13998 4877
"200630_x_at" 8777 1408 14095 16313
"200631_s_at" 7350 10632 13011 5474
"200632_s_at" 18924 1643 20215 11378
"200633_at" 19095 4136 7588 7357
"200634_at" 10240 9860 14072 4125
"200635_s_at" 15291 17847 18150 18519
"200636_s_at" 14157 14765 19883 11062
"200637_s_at" 14644 22150 14029 18507
"200638_s_at" 3592 10059 4392 13039
"200639_s_at" 9274 14040 14004 4097
"200640_at" 6560 10622 4397 5666
"200641_s_at" 4563 12950 5227 16766
"200642_at" 12060 11933 11466 5015
"200643_at" 18409 19332 18786 13819
"200644_at" 11501 14198 15544 11399
"200645_at" 11898 13745 12643 12138
"200646_s_at" 964 11120 13497 804
"200647_x_at" 8468 10408 2145 11348
"200648_s_at" 4609 11538 5523 13731
"200649_at" 3951 19643 4749 1109
"200650_s_at" 11488 8927 7512 3889
"200651_at" 18481 9295 5116 7470
"200652_at" 5413 18278 15033 20567
"200653_s_at" 10590 1902 16848 19934
"200654_at" 7673 10991 5781 4972
"200655_s_at" 8871 10795 6113 11646
"200656_s_at" 5566 18598 2891 15297
"200657_at" 10157 1592 4732 11679
"200658_s_at" 9221 19090 2622 20466
"200659_s_at" 3139 13776 1560 16221
"200660_at" 7763 9855 4773 5206
"200661_at" 6809 12217 14482 11393
"200662_s_at" 7593 16254 14370 5677
"200663_at" 5301 10577 14084 17603
"200664_s_at" 19145 12594 15951 17261
"200665_s_at" 13772 2272 9271 7100
"200666_s_at" 5038 16256 14825 18616
"200667_at" 10416 13380 14980 15852
"200668_s_at" 7311 15759 11237 13198
"200669_s_at" 5138 15629 11414 18743
"200670_at" 4378 12828 19436 3529
"200671_s_at" 215 1018 21698 22016
"200672_x_at" 1904 8741 3894 5190
"200673_at" 7095 11970 6242 14678
"200674_s_at" 19398 1370 4743 7442
"200675_at" 4824 12542 17717 13540
"200676_s_at" 4409 13755 1401 14097
"200677_at" 4731 10299 12747 11638
"200678_x_at" 10651 12004 13657 11312
"200679_x_at" 12305 10063 12572 14295
"200680_x_at" 18937 1709 7650 7497
"200681_at" 9356 12438 11609 11767
"200682_s_at" 18354 14303 5193 18074
"200683_s_at" 8384 16588 1864 4656
"200684_s_at" 3645 14354 4147 15114
"200685_at" 20146 21029 19762 17694
"200686_s_at" 11002 21588 17662 16873
"200687_s_at" 6488 18831 11737 15105
"200688_at" 22281 14618 6090 19817
"200689_x_at" 10068 8847 3997 13054
"200690_at" 5895 20799 13593 5571
"200691_s_at" 7551 14659 11645 14382
"200692_s_at" 8809 16130 4573 16722
"200693_at" 7402 15073 6270 15203
"200694_s_at" 18377 17114 13250 15042
"200695_at" 18112 12309 11709 18753
"200696_s_at" 11684 13121 17792 16582
"200697_at" 9860 20748 4408 17460
"200698_at" 2188 12722 12462 15286
"200699_at" 2292 12157 13429 20439
"200700_s_at" 8389 10451 11302 12990
"200701_at" 4244 10585 11666 16471
"200702_s_at" 20663 19358 18516 21703
"200703_at" 11384 10131 16504 11974
"200704_at" 8295 13760 14902 2620
"200705_s_at" 19004 9888 16038 11992
"200706_s_at" 1197 13270 13516 4200
"200707_at" 5101 11597 1834 3995
"200708_at" 8137 12807 12447 12100
"200709_at" 6072 10883 15401 4162
"200710_at" 6963 14588 15137 4245
"200711_s_at" 3304 16822 14995 4891
"200712_s_at" 11428 19987 1833 17714
"200713_s_at" 10311 15872 2841 14878
"200714_x_at" 8822 13280 14222 13825
"200715_x_at" 10539 9318 11205 14644
"200716_x_at" 14417 9016 5665 7483
"200717_x_at" 14326 4132 7586 7355
"200718_s_at" 9205 2002 5505 11757
"200719_at" 20376 16108 6176 3088
"200720_s_at" 5431 16841 18328 16351
"200721_s_at" 2356 13273 6293 18659
"200722_s_at" 3572 21539 17936 19184
"200723_s_at" 8370 16200 4306 12736
"200724_at" 1579 10928 751 21363
"200725_x_at" 12109 1132 15247 5368
"200726_at" 20036 16085 12712 11466
"200727_s_at" 5728 19300 6265 21342
"200728_at" 11160 14155 14759 20079
