"inst_2986" "inst_3326" "inst_4228" "inst_4812"
"1007_s_at" 987 16267 6920 3236
"1053_at" 6805 18885 3597 12729
"117_at" 17856 8975 551 9985
"121_at" 19526 21857 20062 3259
"1255_g_at" 14668 8207 11989 8957
"1294_at" 7095 21089 19695 20679
"1316_at" 11763 16923 20661 18912
"1320_at" 16729 1435 72 6049
"1405_i_at" 9261 5647 10408 9432
"1431_at" 18760 14343 18982 7292
"1438_at" 482 3393 19794 2665
"1487_at" 3837 21481 5482 12902
"1494_f_at" 22046 4057 20101 19288
"1598_g_at" 21628 4987 17571 16884
"160020_at" 4949 2073 20382 1802
"1729_at" 3345 2121 18803 458
"1773_at" 1757 21448 18147 600
"177_at" 21603 6756 19002 470
"179_at" 4612 20244 772 18088
"1861_at" 20342 21505 19895 4381
"200000_s_at" 6077 16865 16827 1382
"200001_at" 11859 13689 14463 2270
"200002_at" 17895 4432 5975 2822
"200003_s_at" 13694 13819 10511 1622
"200004_at" 9267 13173 6802 12177
"200005_at" 7238 13610 6382 3498
"200006_at" 8797 4783 5054 13299
"200007_at" 10565 2066 7081 15800
"200008_s_at" 3471 14840 17680 21453
"200009_at" 7883 4447 5277 18814
"200010_at" 18235 15268 6028 1727
"200011_s_at" 10447 16714 15698 3064
"200012_x_at" 19153 12992 17113 13388
"200013_at" 11014 13096 8228 3996
"200014_s_at" 5912 3225 4523 14815
"200015_s_at" 11731 15212 3664 14289
"200016_x_at" 11279 5269 8753 12284
"200017_at" 13778 7667 10561 3020
"200018_at" 13768 7651 10558 4076
"200019_s_at" 17863 4668 15051 3731
"200020_at" 3862 15123 5616 12751
"200021_at" 10752 7811 10605 13428
"200022_at" 18601 5241 8629 1963
"200023_s_at" 8184 13159 5358 15654
"200024_at" 11452 13773 9380 1939
"200025_s_at" 18172 12403 3573 4323
"200026_at" 13876 5403 8605 3069
"200027_at" 8307 2764 2571 17142
"200028_s_at" 4816 14461 5063 12877
"200029_at" 18418 2522 6188 4244
"200030_s_at" 8258 5391 14891 11773
"200031_s_at" 13759 7636 10554 3567
"200032_s_at" 13782 7670 8435 13767
"200033_at" 9867 12799 5606 13908
"200034_s_at" 11813 4481 15092 3970
"200035_at" 1907 20053 8614 2658
"200036_s_at" 8359 12239 5794 14074
"200037_s_at" 7832 12054 7328 13931
"200038_s_at" 13861 4146 6951 3230
"200039_s_at" 7535 13462 6552 13159
"200040_at" 9299 15854 8102 17545
"200041_s_at" 8247 15340 15030 3139
"200042_at" 9141 12544 15282 15423
"200043_at" 11008 3933 17449 4138
"200044_at" 11196 3191 5825 14826
"200045_at" 7878 13706 15788 11972
"200046_at" 5177 12591 6905 14335
"200047_s_at" 5171 3437 5167 15977
"200048_s_at" 5622 3344 5385 12588
"200049_at" 6183 14750 5233 4178
"200050_at" 18645 2298 3650 16411
"200051_at" 20067 20685 16556 15306
"200052_s_at" 6544 12270 4167 2587
"200053_at" 11993 21092 3844 13857
"200054_at" 18619 13371 8129 2891
"200055_at" 6444 14466 16008 14394
"200056_s_at" 18402 15364 5040 20751
"200057_s_at" 11269 2906 8967 12126
"200058_s_at" 9256 14956 4940 3762
"200059_s_at" 17835 13085 7178 16729
"200060_s_at" 5736 18657 16726 3677
"200061_s_at" 18379 12709 10553 999
"200062_s_at" 13681 7526 10503 6488
"200063_s_at" 13804 7710 10578 13738
"200064_at" 11363 15233 15501 3649
"200065_s_at" 4855 14599 7534 2898
"200066_at" 7341 13008 18986 16770
"200067_x_at" 10906 12296 4779 16178
"200068_s_at" 6815 12340 3780 13104
"200069_at" 6063 16786 4826 13772
"200070_at" 4695 15194 19146 13854
"200071_at" 1644 21590 6658 17546
"200072_s_at" 5808 16146 8392 13947
"200073_s_at" 10796 3887 3736 13465
"200074_s_at" 11713 13274 7080 1639
"200075_s_at" 3792 13950 8300 14183
"200076_s_at" 5103 17297 7593 14419
"200077_s_at" 18796 13421 9050 3409
"200078_s_at" 4862 14975 7887 16841
"200079_s_at" 5122 5314 16641 13178
"200080_s_at" 18386 5177 9369 1503
"200081_s_at" 11565 4303 14913 4416
"200082_s_at" 11995 4199 14986 2751
"200083_at" 4193 15860 5523 15439
"200084_at" 11986 13302 14632 19020
"200085_s_at" 8194 12563 8063 2457
"200086_s_at" 11378 5034 3710 13761
"200087_s_at" 7670 3865 6830 12739
"200088_x_at" 13690 12235 14757 6503
"200089_s_at" 11073 4073 3975 11851
"200090_at" 7849 14347 476 20700
"200091_s_at" 20206 14655 8779 3337
"200092_s_at" 18896 13543 16680 14799
"200093_s_at" 6118 4424 1433 17291
"200094_s_at" 18038 16021 8651 3054
"200095_x_at" 13868 7800 10601 6722
"200096_s_at" 10584 3739 4450 3029
"200097_s_at" 5447 13485 7167 14495
"200098_s_at" 8204 12333 2136 12061
"200099_s_at" 13815 7725 6146 3274
"200593_s_at" 18458 14965 19959 17351
"200594_x_at" 6453 17259 16798 12175
"200595_s_at" 18327 18675 18066 17229
"200596_s_at" 18364 18970 7938 13815
"200597_at" 8221 20585 4411 14077
"200598_s_at" 10237 3978 8291 17803
"200599_s_at" 5243 17123 15247 13699
"200600_at" 5328 10417 9231 6159
"200601_at" 18016 3002 5753 2991
"200602_at" 2046 20096 4179 18675
"200603_at" 8569 13729 2947 14447
"200604_s_at" 10724 18317 14512 16351
"200605_s_at" 18948 5225 14719 21981
"200606_at" 9000 2214 3498 12481
"200607_s_at" 7308 4552 18200 11918
"200608_s_at" 11915 15639 8134 16295
"200609_s_at" 3981 4934 5045 16858
"200610_s_at" 7327 12126 6088 13195
"200611_s_at" 3240 12243 6934 3416
"200612_s_at" 18471 18088 20389 1729
"200613_at" 6145 19059 16537 1738
"200614_at" 7870 5143 7743 12043
"200615_s_at" 6227 14160 16334 16976
"200616_s_at" 7842 3405 7006 11818
"200617_at" 6767 16706 6448 1932
"200618_at" 3753 14405 8506 4426
"200619_at" 4275 4451 4530 12317
"200620_at" 7243 12224 6667 13344
"200621_at" 10147 16512 7995 3451
"200622_x_at" 6045 15491 15747 13009
"200623_s_at" 8417 18425 20135 2828
"200624_s_at" 3741 16692 18726 19403
"200625_s_at" 8895 13753 18180 14845
"200626_s_at" 7881 12099 17668 15172
"200627_at" 10284 3830 18633 15715
"200628_s_at" 7268 3800 8202 21350
"200629_at" 8552 3911 17419 4046
"200630_x_at" 7211 13859 14523 3925
"200631_s_at" 10424 12267 7045 14756
"200632_s_at" 10871 21150 2600 1153
"200633_at" 11226 7634 10552 12624
"200634_at" 11332 13581 17259 2142
"200635_s_at" 16325 3211 15450 1301
"200636_s_at" 12822 12467 6541 13222
"200637_s_at" 12399 20746 9096 1708
"200638_s_at" 5916 14191 8347 15573
"200639_s_at" 8685 3881 5178 3928
"200640_at" 6662 13846 17255 4341
"200641_s_at" 11174 13183 18663 17024
"200642_at" 9226 12298 6397 13314
"200643_at" 7772 22073 15898 13372
"200644_at" 1228 4705 6665 4298
"200645_at" 8828 17099 17025 12216
"200646_s_at" 936 19903 22022 12426
"200647_x_at" 5090 5001 3382 2376
"200648_s_at" 11055 18638 18092 17116
"200649_at" 20278 21077 18393 3407
"200650_s_at" 18147 14083 10482 15999
"200651_at" 18343 15196 6995 1805
"200652_at" 7353 13949 7418 3084
"200653_s_at" 3063 4700 2956 2520
"200654_at" 8652 16554 14858 3774
"200655_s_at" 10427 5073 8648 17194
"200656_s_at" 7745 14751 8278 1750
"200657_at" 10155 3553 9358 12587
"200658_s_at" 5211 15789 6320 1730
"200659_s_at" 8671 19911 15835 3130
"200660_at" 18935 12778 7466 3738
"200661_at" 4860 14492 14501 2753
"200662_s_at" 7490 2655 5744 19327
"200663_at" 6610 5440 15363 3269
"200664_s_at" 18780 2432 8633 18826
"200665_s_at" 14661 5779 10021 9151
"200666_s_at" 10573 15273 7835 15532
"200667_at" 8599 15582 3704 16852
"200668_s_at" 6175 13091 16355 14652
"200669_s_at" 5327 17068 16181 15849
"200670_at" 17865 16382 4557 15989
"200671_s_at" 21633 897 9060 21687
"200672_x_at" 19580 16568 8367 21083
"200673_at" 4787 15136 5900 12238
"200674_s_at" 19644 15696 15342 13578
"200675_at" 5501 13869 7507 3997
"200676_s_at" 1599 20198 2619 1195
"200677_at" 3409 4286 8128 17572
"200678_x_at" 5852 18597 8098 3552
"200679_x_at" 11280 12002 6453 1925
"200680_x_at" 19283 13192 8903 3424
"200681_at" 7415 14533 8983 14958
"200682_s_at" 9925 15390 16397 12500
"200683_s_at" 7570 19822 18637 16934
"200684_s_at" 1023 5484 16180 14922
"200685_at" 17925 18298 3262 19487
"200686_s_at" 3191 3190 1167 20766
"200687_s_at" 9328 18591 7261 13606
"200688_at" 10150 19925 2247 14804
"200689_x_at" 10802 4600 8630 3640
"200690_at" 4236 14730 8196 16681
"200691_s_at" 4719 4319 7849 16615
"200692_s_at" 9770 19537 16453 12964
"200693_at" 5388 12347 6084 13893
"200694_s_at" 11914 17537 4748 11902
"200695_at" 10681 19389 4002 693
"200696_s_at" 10668 1632 15529 17262
"200697_at" 6888 14037 8567 12524
"200698_at" 7367 16860 15346 20360
"200699_at" 9654 16784 6173 12703
"200700_s_at" 11454 14293 15309 19352
"200701_at" 18141 20120 8422 4186
"200702_s_at" 19661 15292 5670 1942
"200703_at" 8576 12150 9036 14873
"200704_at" 6056 12787 14889 15162
"200705_s_at" 11173 12582 4321 13798
"200706_s_at" 7273 17875 19807 4461
"200707_at" 5951 19429 20178 2519
"200708_at" 3576 3239 8921 13072
"200709_at" 6263 2393 15927 14488
"200710_at" 7949 19830 16833 2074
"200711_s_at" 11666 15583 7410 19757
"200712_s_at" 7771 16646 7666 21776
"200713_s_at" 18544 4804 7205 2698
"200714_x_at" 11261 13911 15796 2721
"200715_x_at" 11448 4018 7685 14655
"200716_x_at" 13862 7791 16017 2455
"200717_x_at" 13753 7632 10550 6589
"200718_s_at" 5494 4430 17559 4273
"200719_at" 3877 2734 7007 14629
"200720_s_at" 9837 16609 15222 14519
"200721_s_at" 8622 3416 3952 3291
"200722_s_at" 8491 3087 20262 19011
"200723_s_at" 7743 14551 18382 20295
"200724_at" 16188 20269 1109 19256
"200725_x_at" 10666 4308 14554 14563
"200726_at" 11760 14844 5205 18769
"200727_s_at" 10211 12754 17564 17152
"200728_at" 10538 2267 7888 20506
"200729_s_at" 5346 15055 5621 13889
"200730_s_at" 3709 20401 7517 22164
"200731_s_at" 8887 12311 6992 21365
"200732_s_at" 6354 16580 3628 18217
"200733_s_at" 17810 20641 5481 19232
"200734_s_at" 10219 2506 17035 15406
"200735_x_at" 13810 7719 8751 3623
"200736_s_at" 9054 6189 2032 8540
"200737_at" 7790 20292 7594 18371
