"inst_2570" "inst_3432" "inst_3815" "inst_3898" "inst_4372" "inst_4550"
"1007_s_at" 12103 19331 5582 5471 3607 3639
"1053_at" 1728 6016 16198 6127 15842 3321
"117_at" 7063 7717 17706 13899 3122 11457
"121_at" 13421 4401 19443 19320 4420 4251
"1255_g_at" 17992 7558 7510 14167 9334 11414
"1294_at" 7826 11262 14561 12915 4387 19320
"1316_at" 9680 2754 18276 556 21705 20913
"1320_at" 15666 12069 18334 5438 661 14838
"1405_i_at" 3965 14257 4914 12885 14326 11912
"1431_at" 20635 13104 17817 3050 18013 2237
"1438_at" 17870 2255 17291 21891 15950 3587
"1487_at" 10162 5215 20008 2139 16062 6472
"1494_f_at" 22081 16068 15019 11472 710 18756
"1598_g_at" 1087 21607 3896 10191 3617 8805
"160020_at" 20239 9024 6389 20637 21729 7710
"1729_at" 3872 5227 16809 3017 9065 8403
"1773_at" 493 643 20681 12851 4220 7676
"177_at" 8200 8857 1614 11233 21733 9362
"179_at" 11275 22158 5371 11348 5177 219
"1861_at" 8783 3771 17435 5166 20508 7093
"200000_s_at" 9981 5641 18526 5722 16225 3702
"200001_at" 9287 5923 18049 11553 7541 19221
"200002_at" 12104 19237 13649 13275 15525 8513
"200003_s_at" 15267 6220 8537 15093 10798 11566
"200004_at" 7262 17495 6194 12452 6132 8001
"200005_at" 9118 6076 6017 10345 15093 17154
"200006_at" 7624 7028 13289 11335 15101 6295
"200007_at" 8967 6430 5901 12039 16624 5783
"200008_s_at" 3144 2540 2102 11134 8983 17927
"200009_at" 7467 16074 3626 12205 17243 17684
"200010_at" 13410 3236 4797 19797 8742 2978
"200011_s_at" 10462 5385 15345 8380 3753 9735
"200012_x_at" 20442 17340 7094 20095 18127 18847
"200013_at" 11076 6490 6314 13030 10702 8783
"200014_s_at" 8552 16946 7120 10708 20459 16245
"200015_s_at" 8906 17889 16359 7917 6543 3240
"200016_x_at" 15198 17517 8457 19401 10698 8571
"200017_at" 15364 16001 8638 15198 10934 11659
"200018_at" 15356 16037 8629 15182 10919 8395
"200019_s_at" 13301 16434 5552 12482 10882 16348
"200020_at" 9752 18271 4294 7956 15658 8408
"200021_at" 15474 19043 8747 15311 11069 11768
"200022_at" 15283 15498 16041 15104 10820 8497
"200023_s_at" 8108 16165 17509 10778 17560 9695
"200024_at" 12018 15617 6073 12236 8095 7943
"200025_s_at" 15355 16149 14327 20508 10917 8233
"200026_at" 15480 15355 8751 19587 11072 16415
"200027_at" 10169 17002 14633 10559 14869 7901
"200028_s_at" 12156 6383 15390 8054 4599 8401
"200029_at" 15318 6464 5168 20054 9171 18314
"200030_s_at" 11437 5858 7077 19493 8873 16058
"200031_s_at" 15348 15656 8618 15174 10908 11639
"200032_s_at" 15366 6438 8644 19336 10939 16051
"200033_at" 3631 15863 12729 12131 6871 3660
"200034_s_at" 11194 5319 5830 12589 15792 8636
"200035_at" 10773 17989 16461 3620 8744 4840
"200036_s_at" 12305 19855 13534 11177 15947 8873
"200037_s_at" 6830 4619 16104 12068 4637 4347
"200038_s_at" 15452 5983 5255 15291 11039 16404
"200039_s_at" 8145 7038 13851 10239 8896 9344
"200040_at" 9348 18167 13215 6861 8372 6000
"200041_s_at" 8866 6846 6777 10010 5741 18040
"200042_at" 11331 17017 16786 7757 6419 16498
"200043_at" 11304 18129 4847 19645 6089 3243
"200044_at" 8659 18953 12199 13203 8395 8725
"200045_at" 12132 5818 16381 6364 15977 8473
"200046_at" 4993 5344 15656 7650 4745 5762
"200047_s_at" 5932 20038 16338 8266 18098 6073
"200048_s_at" 8327 16514 15763 9816 14995 6885
"200049_at" 5180 4367 16111 19917 6371 18169
"200050_at" 8078 5810 5680 8066 4294 3500
"200051_at" 9120 18299 6977 3511 17077 9174
"200052_s_at" 4803 18274 15322 10177 14862 4981
"200053_at" 3684 19938 4619 21498 18958 1602
"200054_at" 8745 3110 17105 12168 18573 8565
"200055_at" 12303 19020 18369 9209 17283 17583
"200056_s_at" 6395 18886 16505 8852 6999 4549
"200057_s_at" 12222 16501 12911 12907 9083 9683
"200058_s_at" 10394 15889 14982 10826 9148 4999
"200059_s_at" 10939 4902 6253 9600 16525 5032
"200060_s_at" 7881 19819 16687 13191 17671 4273
"200061_s_at" 15346 15674 8617 15172 10906 11638
"200062_s_at" 15256 6751 8522 15076 10780 11548
"200063_s_at" 15397 15429 8673 15234 10970 11692
"200064_at" 8440 7039 14017 9352 15441 3826
"200065_s_at" 8273 6204 12745 19554 5769 9155
"200066_at" 11572 16970 2906 8786 16280 16023
"200067_x_at" 9096 5661 12877 7164 7240 16447
"200068_s_at" 11163 15338 4805 9527 7577 8567
"200069_at" 8718 6905 14535 10661 18073 7258
"200070_at" 19795 20753 20304 4957 3316 17150
"200071_at" 5734 17293 15124 6998 16347 3656
"200072_s_at" 8830 18970 12937 6343 8480 18458
"200073_s_at" 11074 16166 18078 11979 3970 9428
"200074_s_at" 10419 4861 15347 12330 16247 9142
"200075_s_at" 5268 19216 15585 8866 17237 7692
"200076_s_at" 10158 19742 15461 8956 5494 19940
"200077_s_at" 13459 4567 12809 19682 7841 9169
"200078_s_at" 8541 18724 14412 10579 16887 17122
"200079_s_at" 10035 5618 14862 6517 8237 18742
"200080_s_at" 13555 6385 14966 12339 7078 8687
"200081_s_at" 12013 6037 2218 12454 17519 7116
"200082_s_at" 15386 5047 8663 20011 10959 16904
"200083_at" 9691 17554 12536 6791 6957 6937
"200084_at" 9835 5671 5234 11522 16326 4381
"200085_s_at" 9740 5243 14984 13123 16408 9575
"200086_s_at" 7404 16036 14761 19438 15476 16047
"200087_s_at" 8616 17774 4334 20204 4445 3724
"200088_x_at" 15262 5692 8531 15089 10793 11562
"200089_s_at" 11842 6404 12523 10276 14991 6642
"200090_at" 5378 15290 7128 12548 16697 7587
"200091_s_at" 12906 16374 5870 9428 6123 2175
"200092_s_at" 20572 19370 13551 15239 10980 8417
"200093_s_at" 8006 17651 16646 4731 7539 17408
"200094_s_at" 9673 5340 12689 19832 6836 7887
"200095_x_at" 15461 16288 8736 15302 11053 11752
"200096_s_at" 2590 6130 5251 12935 18378 3157
"200097_s_at" 5923 5841 13057 19479 17015 5110
"200098_s_at" 9603 15882 14689 6968 15337 7870
"200099_s_at" 15406 16582 8683 15243 10984 9198
"200593_s_at" 9913 5274 1641 10384 18635 8365
"200594_x_at" 12528 15637 13014 9981 6200 6215
"200595_s_at" 11957 17664 5850 7187 15283 16165
"200596_s_at" 11742 20835 1990 5441 17692 16325
"200597_at" 5089 16990 2291 12588 16524 20404
"200598_s_at" 9990 15332 15637 13072 14807 4890
"200599_s_at" 10841 16861 4296 9129 5963 5774
"200600_at" 7696 9808 12731 15322 9600 4494
"200601_at" 11345 1696 19974 6382 18756 2752
"200602_at" 2108 21764 19617 7986 17107 6176
"200603_at" 6897 15399 13028 11500 6128 4747
"200604_s_at" 1322 5878 2296 12496 7643 6242
"200605_s_at" 5919 3408 2525 6461 5767 6652
"200606_at" 21341 5635 15184 9848 15882 5590
"200607_s_at" 7691 5526 4336 5470 19601 6740
"200608_s_at" 7193 16758 14696 8905 7015 3598
"200609_s_at" 6631 3701 18274 9787 8222 18682
"200610_s_at" 19741 15758 13506 8862 7748 3717
"200611_s_at" 5284 4646 18894 9217 8361 3226
"200612_s_at" 20870 21959 732 4140 1564 19590
"200613_at" 6491 16588 13412 19583 8380 6112
"200614_at" 10993 16827 12740 9714 10804 6563
"200615_s_at" 11792 4651 13306 10287 15183 9278
"200616_s_at" 8984 18517 3305 9408 8256 17507
"200617_at" 12882 3713 12503 7982 7459 6124
"200618_at" 7885 5397 17252 11485 9095 17045
"200619_at" 6602 4310 5496 8331 19551 3592
"200620_at" 6402 6615 12625 7882 6918 7002
"200621_at" 7883 17178 6962 10798 6835 6596
"200622_x_at" 3308 20004 14070 8929 18344 5056
"200623_s_at" 21596 21982 13351 3378 6235 19556
"200624_s_at" 9075 6996 4991 6407 8602 3649
"200625_s_at" 6451 19105 13489 7719 6760 9269
"200626_s_at" 11083 20455 13096 8857 5832 1794
"200627_at" 12077 6967 5986 13112 7144 5799
"200628_s_at" 2061 2789 4951 7464 8228 3153
"200629_at" 8964 19780 4641 8326 14729 20562
"200630_x_at" 11159 15499 12275 20071 4303 9380
"200631_s_at" 12567 18423 15924 7931 17740 17590
"200632_s_at" 3913 21126 14945 2889 3496 9618
"200633_at" 12322 6908 8616 15171 10905 11637
"200634_at" 11196 5849 4759 12365 8979 6677
"200635_s_at" 5117 4437 5657 4576 2925 2117
"200636_s_at" 16106 18697 14944 8309 16771 19504
"200637_s_at" 15574 1465 3892 7450 3161 19546
"200638_s_at" 7200 6930 5079 11570 8294 4977
"200639_s_at" 9633 15783 15200 11629 18269 6327
"200640_at" 11090 5389 5898 12004 7816 9254
"200641_s_at" 7027 1778 2070 20243 6457 7746
"200642_at" 12890 17038 6055 11666 15832 5927
"200643_at" 4530 19977 16924 8579 20313 16098
"200644_at" 6964 18546 6041 13035 5497 7259
"200645_at" 5441 4598 16966 12302 4938 8287
"200646_s_at" 13386 2984 19978 5217 19345 19225
"200647_x_at" 11062 16515 18810 11648 16139 18528
"200648_s_at" 3812 6217 3613 11044 18565 9766
"200649_at" 11158 720 18681 8403 4338 6072
"200650_s_at" 15221 5631 8478 12861 10731 11511
"200651_at" 15447 4791 5630 15283 11031 6665
"200652_at" 11496 18630 16873 11966 5582 9402
"200653_s_at" 5258 17217 14014 19901 3940 1022
"200654_at" 11436 6653 12430 8954 8439 8892
"200655_s_at" 8948 16350 12181 7228 15855 18263
"200656_s_at" 6919 4087 16013 6796 5704 2872
"200657_at" 10796 4931 12762 12207 10806 16828
"200658_s_at" 6126 4003 6401 9204 8094 6317
"200659_s_at" 8676 2386 7045 8267 15259 19452
"200660_at" 11494 4516 6542 11921 7981 5895
"200661_at" 6580 2935 12822 6616 17892 7398
"200662_s_at" 9816 5534 16154 5690 8295 6441
"200663_at" 5635 6886 12772 20134 3862 4672
"200664_s_at" 2031 3105 13986 7409 5618 17083
"200665_s_at" 16853 10622 9122 17222 3786 17967
"200666_s_at" 10402 5420 16218 8713 3631 7612
"200667_at" 9012 3742 15805 5374 19072 4881
"200668_s_at" 10572 15477 12580 12226 7655 9100
"200669_s_at" 8706 3729 3878 9998 6239 8056
"200670_at" 7916 18192 16259 8715 15810 4546
"200671_s_at" 19155 532 17109 20606 21881 20267
"200672_x_at" 630 304 1690 8015 8430 19594
"200673_at" 6873 15480 12618 9462 3543 2606
"200674_s_at" 15409 7069 8687 15248 10993 19476
"200675_at" 7397 4424 17292 10118 6377 4982
"200676_s_at" 10636 640 17926 525 3707 21648
"200677_at" 3055 2213 12718 10588 8449 5561
"200678_x_at" 9377 17139 13943 6724 15538 4034
"200679_x_at" 5723 18622 2338 12469 17258 4976
"200680_x_at" 13385 19040 8740 20244 11059 16641
"200681_at" 9366 6716 14924 13118 5551 16337
"200682_s_at" 8216 4324 4382 19512 5038 16831
"200683_s_at" 7499 16099 15688 7430 16469 6405
"200684_s_at" 1625 6366 14759 5266 8969 17193
