"inst_1744" "inst_2894" "inst_7479"
"1007_s_at" 1791 18050 19359
"1053_at" 21444 2186 21227
"117_at" 1306 9720 9425
"121_at" 20538 19609 18954
"1255_g_at" 10546 12572 15304
"1294_at" 2831 7426 14879
"1316_at" 2114 20583 273
"1320_at" 10658 20520 9772
"1405_i_at" 5430 11971 12375
"1431_at" 9615 5242 10497
"1438_at" 13591 828 1966
"1487_at" 18167 5864 1819
"1494_f_at" 5383 5842 1219
"1598_g_at" 7494 18670 20246
"160020_at" 1692 8265 16072
"1729_at" 1670 3651 5938
"1773_at" 15123 3877 21817
"177_at" 3489 1990 16200
"179_at" 6945 5656 456
"1861_at" 5082 4997 1434
"200000_s_at" 3892 7505 3941
"200001_at" 2803 5339 5759
"200002_at" 7546 6064 20832
"200003_s_at" 17466 10965 18435
"200004_at" 6916 8247 8905
"200005_at" 19393 15636 8595
"200006_at" 6962 6630 17680
"200007_at" 19216 19870 8664
"200008_s_at" 17992 8001 6505
"200009_at" 18465 6578 6998
"200010_at" 3987 6962 17563
"200011_s_at" 19665 16953 7619
"200012_x_at" 19126 8591 8783
"200013_at" 7588 7432 19411
"200014_s_at" 5342 6621 8281
"200015_s_at" 7348 7714 8137
"200016_x_at" 19186 16603 17849
"200017_at" 19038 8659 19663
"200018_at" 7379 6318 18144
"200019_s_at" 18881 6369 17347
"200020_at" 2208 17603 4207
"200021_at" 4156 18758 19898
"200022_at" 17650 15838 9146
"200023_s_at" 4517 4623 17888
"200024_at" 18782 6034 19827
"200025_s_at" 19707 15907 19355
"200026_at" 19691 8033 17797
"200027_at" 6381 4890 6365
"200028_s_at" 6018 18255 8861
"200029_at" 6454 16490 19002
"200030_s_at" 2536 7924 9221
"200031_s_at" 17565 11068 19616
"200032_s_at" 17813 7438 7538
"200033_at" 17508 4299 20299
"200034_s_at" 3699 5437 17623
"200035_at" 18090 4476 4649
"200036_s_at" 18586 7180 7766
"200037_s_at" 17311 16965 19443
"200038_s_at" 6152 7706 17669
"200039_s_at" 18366 7524 17793
"200040_at" 7626 18334 20854
"200041_s_at" 17609 5319 5876
"200042_at" 5337 3490 19194
"200043_at" 6317 15978 21641
"200044_at" 20794 6490 18146
"200045_at" 6112 17499 3415
"200046_at" 20870 6275 17909
"200047_s_at" 19456 6724 19216
"200048_s_at" 7415 7399 17890
"200049_at" 5171 1871 17817
"200050_at" 20053 3220 5946
"200051_at" 19044 17466 5321
"200052_s_at" 7239 16384 18679
"200053_at" 7315 16120 4671
"200054_at" 6803 19573 4646
"200055_at" 17313 8110 7133
"200056_s_at" 7638 17572 19679
"200057_s_at" 6587 17820 7448
"200058_s_at" 18053 8846 7351
"200059_s_at" 20094 2817 8220
"200060_s_at" 19015 4139 18209
"200061_s_at" 17833 11066 18842
"200062_s_at" 19031 10946 9128
"200063_s_at" 3973 11145 18414
"200064_at" 20261 6321 6777
"200065_s_at" 4033 7786 2929
"200066_at" 19378 3880 769
"200067_x_at" 18189 18023 8304
"200068_s_at" 1349 18833 19087
"200069_at" 6778 19179 9089
"200070_at" 22181 16908 1788
"200071_at" 21549 15629 20406
