"inst_3055" "inst_3392" "inst_4675" "inst_5270" "inst_5635"
"1007_s_at" 22196 3776 8144 6576 5626
"1053_at" 2792 7735 7182 8030 7538
"117_at" 17504 15270 4460 11726 13191
"121_at" 2834 4399 9328 3654 5571
"1255_g_at" 12020 13701 15905 13431 15752
"1294_at" 10201 11540 21052 3310 2199
"1316_at" 21487 9986 18533 18694 20544
"1320_at" 4897 3652 6617 1361 21408
"1405_i_at" 10551 14583 21428 5463 18101
"1431_at" 7041 22174 20122 22046 19147
"1438_at" 14306 1118 1417 7068 18721
"1487_at" 6059 4965 2030 5865 7954
"1494_f_at" 1288 21942 5077 3199 248
"1598_g_at" 20543 5963 19784 7531 18514
"160020_at" 4116 22043 1983 19583 19537
"1729_at" 9750 6368 8460 10420 12550
"1773_at" 1669 20620 5224 4744 2648
"177_at" 4463 3623 8176 839 2477
"179_at" 2154 6326 1408 1266 10734
"1861_at" 7729 5760 6890 1370 10605
"200000_s_at" 7112 8936 5162 6010 11853
"200001_at" 9981 11982 5111 6831 10221
"200002_at" 10543 9693 10772 8095 8066
"200003_s_at" 12961 14544 13457 12629 14571
"200004_at" 8357 8438 7485 8175 5564
"200005_at" 17379 10785 8699 16587 12245
"200006_at" 8420 11755 17808 9443 11653
"200007_at" 10771 11294 17729 18941 11413
"200008_s_at" 18199 11708 5052 20164 11573
"200009_at" 17470 10841 8851 16600 18879
"200010_at" 17931 9855 5159 7903 11704
"200011_s_at" 10801 10682 7565 5341 9900
"200012_x_at" 10850 20693 19683 19033 21002
"200013_at" 8917 10442 10093 9995 10325
"200014_s_at" 11141 11453 10638 17013 21570
"200015_s_at" 9024 5194 9504 16625 5049
"200016_x_at" 12904 18622 11215 17295 12371
"200017_at" 13045 14679 18190 12783 14674
"200018_at" 13035 14663 13552 12767 14669
"200019_s_at" 17840 12195 9956 10199 11863
"200020_at" 21046 6665 5133 17433 18585
"200021_at" 18038 20597 13665 12951 14804
"200022_at" 12976 19971 9376 9276 14589
"200023_s_at" 9904 10705 11280 16949 6700
"200024_at" 10825 19521 18278 7960 12158
"200025_s_at" 13034 10844 18733 8633 11157
"200026_at" 18203 19011 19050 17361 14807
"200027_at" 9817 9573 18331 18925 7365
"200028_s_at" 10814 10740 8700 19777 11649
"200029_at" 18276 18671 19441 16704 10759
"200030_s_at" 18941 18721 18237 17624 18493
"200031_s_at" 13027 14652 13537 12748 14662
"200032_s_at" 13048 14681 11400 12786 14679
"200033_at" 5952 8847 11001 7541 7343
"200034_s_at" 6911 12226 6536 8655 18727
"200035_at" 18896 6015 1511 6307 3145
"200036_s_at" 10719 18838 11019 7350 11002
"200037_s_at" 6846 8976 10228 8954 8163
"200038_s_at" 13124 18419 17824 9968 14779
"200039_s_at" 17806 18645 17924 9361 8442
"200040_at" 10071 9644 4994 7471 8860
"200041_s_at" 10280 10146 9531 6985 12809
"200042_at" 11401 8776 6026 10206 9080
"200043_at" 6414 9974 9890 19698 7584
"200044_at" 4794 10482 8081 5550 9839
"200045_at" 18642 18911 8686 17317 10655
"200046_at" 19085 5014 17579 16765 6592
"200047_s_at" 8729 8472 19181 9212 6658
"200048_s_at" 10502 12308 11401 7876 5262
"200049_at" 10773 3898 3539 3986 5643
"200050_at" 9188 3983 4585 16766 3863
"200051_at" 17442 9936 3134 4837 11192
"200052_s_at" 6369 7541 6007 6994 5194
"200053_at" 2501 7250 530 21267 4914
"200054_at" 7878 2639 10297 16621 11493
"200055_at" 18814 11019 21181 17576 12663
"200056_s_at" 5914 9013 9888 9870 2109
"200057_s_at" 17158 9762 11774 17934 12307
"200058_s_at" 5756 5640 6772 9746 7624
"200059_s_at" 11375 9694 8497 10403 8114
"200060_s_at" 9757 7866 8087 7667 9935
"200061_s_at" 17729 19987 13536 12745 14660
"200062_s_at" 12947 14531 13439 12610 14556
"200063_s_at" 13074 14727 11688 12837 14711
"200064_at" 7612 11588 7425 7104 11993
"200065_s_at" 18308 10666 8330 17493 9983
"200066_at" 6324 3701 422 17569 3785
"200067_x_at" 17971 18664 17769 17988 10022
"200068_s_at" 8656 9205 9581 7597 18687
"200069_at" 19273 4754 19852 7929 10393
"200070_at" 21165 7276 5498 9379 20029
"200071_at" 7618 3085 8801 10216 7118
"200072_s_at" 9857 6033 4838 9815 9414
"200073_s_at" 7210 11071 6422 17319 5428
"200074_s_at" 7667 12297 9965 6684 6483
"200075_s_at" 7645 11795 7346 6079 7582
"200076_s_at" 7799 20517 18406 9152 11494
"200077_s_at" 9127 12476 11201 10180 12607
"200078_s_at" 8005 10409 11494 5697 6438
"200079_s_at" 18752 20316 6997 17307 11933
"200080_s_at" 7427 18386 9589 12829 14706
"200081_s_at" 10987 10254 8417 10132 11596
"200082_s_at" 13068 18708 10901 17004 14699
"200083_at" 9396 6118 4976 4808 9163
"200084_at" 8137 8334 10159 17304 6841
"200085_s_at" 11409 18494 10858 8443 4920
"200086_s_at" 6714 18966 19866 10142 10555
"200087_s_at" 8978 6022 2521 5452 9233
"200088_x_at" 12958 14539 18922 12624 14569
"200089_s_at" 10139 11265 11459 10088 7374
"200090_at" 9562 20757 19616 20667 7345
"200091_s_at" 6505 11727 2914 7521 6205
"200092_s_at" 17984 18447 18441 12851 19906
"200093_s_at" 2583 9980 11564 10380 7451
"200094_s_at" 11010 8618 6126 19490 10313
"200095_x_at" 13132 14818 13651 12937 14792
"200096_s_at" 10745 19155 6801 17490 7210
"200097_s_at" 8072 5139 11209 7954 8767
"200098_s_at" 6458 7040 17709 9233 10339
"200099_s_at" 13081 14748 9685 12857 14726
"200593_s_at" 4035 4366 7776 8226 12408
"200594_x_at" 4671 6149 4309 17575 8695
"200595_s_at" 5496 4697 7765 4570 6204
"200596_s_at" 8942 4069 3957 6437 8298
"200597_at" 10622 5566 3989 6763 10442
"200598_s_at" 8422 9414 17780 6769 8310
"200599_s_at" 17404 3014 3333 5335 4958
"200600_at" 7168 19400 3771 13194 13406
"200601_at" 10434 1116 3934 1509 20259
"200602_at" 5394 2123 19402 5693 4518
"200603_at" 6223 5797 5537 7874 6360
"200604_s_at" 2741 8097 7202 18709 10964
"200605_s_at" 6681 4388 17876 20031 19937
"200606_at" 17676 11426 8764 7223 6155
"200607_s_at" 7308 9089 18402 20561 12103
"200608_s_at" 6325 6974 6826 9724 4185
"200609_s_at" 19078 6294 9418 17232 18718
"200610_s_at" 7035 5825 11244 8817 8483
"200611_s_at" 6666 9051 3807 6764 7991
"200612_s_at" 9183 6756 20683 6372 9183
"200613_at" 10732 10015 6688 4979 8624
"200614_at" 10266 9711 5025 17844 11505
"200615_s_at" 4354 12047 8433 9034 10673
"200616_s_at" 17933 11645 19548 20318 19643
"200617_at" 3983 4310 1806 6904 7777
"200618_at" 10687 7029 4159 6310 7928
"200619_at" 10716 6030 5818 18186 10754
"200620_at" 19574 9742 8238 20006 12248
"200621_at" 10602 11205 19701 7859 10478
"200622_x_at" 17594 7920 8774 9388 9042
"200623_s_at" 18256 5411 7064 18159 10345
"200624_s_at" 18220 3433 7094 17614 4278
"200625_s_at" 10870 12471 6998 8456 7700
"200626_s_at" 5823 10275 4027 17636 7401
"200627_at" 6645 10216 8813 17806 11883
"200628_s_at" 8784 8993 11491 5264 4569
"200629_at" 9262 10874 18480 8576 10854
"200630_x_at" 11285 8421 10061 7668 10788
"200631_s_at" 17568 7059 11414 10245 12129
"200632_s_at" 20297 3673 6988 19425 20962
"200633_at" 10960 14650 13534 10241 14659
"200634_at" 7803 12167 7931 7229 9904
"200635_s_at" 16505 11698 11470 3543 3871
"200636_s_at" 16277 7634 7619 3324 12608
"200637_s_at" 13713 18460 3005 4404 7216
"200638_s_at" 9152 7794 8944 9182 10129
"200639_s_at" 18664 10117 9891 9881 11632
"200640_at" 8426 7937 5055 16717 10992
"200641_s_at" 8222 9755 6935 20145 11295
"200642_at" 7737 8775 9085 9201 10118
"200643_at" 7354 1161 1561 5191 18547
"200644_at" 6185 7452 9549 17528 6379
"200645_at" 18853 11268 8472 10285 10263
"200646_s_at" 1709 3901 2645 2756 3405
"200647_x_at" 18130 12014 9754 18270 7773
"200648_s_at" 3802 6985 18910 2763 3458
"200649_at" 19635 18680 7686 8109 10836
"200650_s_at" 18443 12420 13399 16612 12828
"200651_at" 13117 12028 5698 7253 14773
"200652_at" 7251 3121 11277 2915 9452
"200653_s_at" 6514 4775 3868 5289 10798
"200654_at" 17409 7173 3937 7193 5613
"200655_s_at" 8764 9454 18186 5916 7881
"200656_s_at" 7298 4769 1340 5403 4647
