"inst_2462" "inst_2823" "inst_4385" "inst_4563"
"1007_s_at" 19581 17061 4893 16224
"1053_at" 15650 19490 16770 17159
"117_at" 2846 3 2 1
"121_at" 2582 21854 4202 3943
"1255_g_at" 5914 8227 8061 8176
"1294_at" 19430 2710 16793 2457
"1316_at" 17746 16092 1907 4647
"1320_at" 6454 442 15592 4271
"1405_i_at" 19672 12222 9934 8431
"1431_at" 13319 14886 15526 21646
"1438_at" 10069 304 2206 1147
"1487_at" 14458 19126 15059 18584
"1494_f_at" 19975 11403 4191 49
"1598_g_at" 17354 19291 4594 3837
"160020_at" 11951 21142 20903 21416
"1729_at" 18660 15822 12564 18675
"1773_at" 14656 13978 4281 14893
"177_at" 20185 10165 11162 4071
"179_at" 18950 589 14422 13493
"1861_at" 16341 18377 16109 18866
"200000_s_at" 13957 18378 13282 13534
"200001_at" 2946 15098 11398 14434
"200002_at" 4688 13909 12029 14955
"200003_s_at" 6697 14409 7391 12737
"200004_at" 13993 15643 15380 13017
"200005_at" 12789 14959 12861 14926
"200006_at" 4576 14450 5468 5838
"200007_at" 12880 4354 11671 6192
"200008_s_at" 15895 2453 17270 18809
"200009_at" 12362 4958 5588 5193
"200010_at" 6699 13298 13240 17743
"200011_s_at" 13095 17761 16209 12770
"200012_x_at" 11818 14588 5535 3761
"200013_at" 6606 14994 12160 12251
"200014_s_at" 16822 14132 13753 14026
"200015_s_at" 19741 16501 17842 17268
"200016_x_at" 6604 14292 12991 13264
"200017_at" 6830 13308 7517 14171
"200018_at" 6815 15532 7506 12739
"200019_s_at" 6779 4229 7472 6219
"200020_at" 16959 15653 17052 19030
"200021_at" 3778 4289 7639 8369
"200022_at" 6718 5560 7414 13982
"200023_s_at" 4599 14382 11637 4314
"200024_at" 6783 13493 14515 6258
"200025_s_at" 6812 4930 7504 13428
"200026_at" 6981 13954 7644 12488
"200027_at" 4701 5446 4199 4777
"200028_s_at" 14816 15746 15770 5672
"200029_at" 6760 4495 5472 5163
"200030_s_at" 4751 13751 5364 12956
"200031_s_at" 6802 5268 7498 8243
"200032_s_at" 6835 13770 7520 5962
"200033_at" 15753 15901 18618 15711
"200034_s_at" 13666 5302 5143 14088
"200035_at" 17953 19831 13237 19865
"200036_s_at" 3462 14692 5675 5651
"200037_s_at" 15750 18287 17790 15550
"200038_s_at" 6955 13434 7614 5281
"200039_s_at" 2138 2782 2547 3900
"200040_at" 12440 13903 14092 14232
"200041_s_at" 15250 15579 5522 15904
"200042_at" 3925 5007 4409 12463
"200043_at" 15320 14272 15499 13764
"200044_at" 13838 18521 16290 13529
"200045_at" 11940 13815 11591 12924
"200046_at" 17136 5256 12286 13541
"200047_s_at" 12628 15680 13414 15284
"200048_s_at" 14123 18734 13047 13465
"200049_at" 1703 15557 13463 13554
"200050_at" 19213 19713 20910 19092
"200051_at" 15566 19631 15667 16742
"200052_s_at" 4254 15153 12630 15549
"200053_at" 18770 5511 4090 21252
"200054_at" 3820 2483 17464 17094
"200055_at" 17638 19423 5139 14880
"200056_s_at" 4793 20521 16324 13679
"200057_s_at" 11791 4106 13098 6042
"200058_s_at" 14937 18501 11995 14362
"200059_s_at" 4581 4147 12439 16062
"200060_s_at" 4668 19049 15171 15302
"200061_s_at" 6800 5472 7496 8242
"200062_s_at" 6675 8182 7375 8150
"200063_s_at" 6873 8447 7554 8299
"200064_at" 3287 2144 2719 4023
"200065_s_at" 3090 3638 3716 6072
"200066_at" 14878 16114 15454 15007
"200067_x_at" 2462 2813 2490 2724
"200068_s_at" 14169 1853 2993 3769
"200069_at" 14623 2087 2696 3310
"200070_at" 14511 15085 3724 12930
"200071_at" 12059 15174 18996 13542
"200072_s_at" 14887 14006 16466 17444
"200073_s_at" 17398 16857 19494 14190
"200074_s_at" 4557 5515 15160 12886
"200075_s_at" 4549 19445 4770 5494
"200076_s_at" 17337 17875 17553 17104
"200077_s_at" 11634 14493 12830 14120
"200078_s_at" 4189 4152 3543 4342
"200079_s_at" 11828 15603 11268 12891
"200080_s_at" 12838 3422 13958 14862
"200081_s_at" 11926 14020 12191 14909
"200082_s_at" 6862 4955 7542 6016
"200083_at" 16615 17184 17698 16544
"200084_at" 15214 4581 13373 14906
"200085_s_at" 4472 13395 3939 12176
"200086_s_at" 11876 15518 11211 4780
"200087_s_at" 14172 2344 11935 14729
"200088_x_at" 6689 8197 7385 8158
"200089_s_at" 12154 15032 11332 12661
"200090_at" 18557 4124 5220 13627
"200091_s_at" 12246 17423 15686 15394
"200092_s_at" 6887 5474 7562 12275
"200093_s_at" 4774 17598 5434 16148
"200094_s_at" 4708 15286 4733 12552
"200095_x_at" 6965 13580 7625 8358
"200096_s_at" 2478 16605 16274 4358
"200097_s_at" 15831 18329 19254 13486
"200098_s_at" 4049 15312 14565 5531
"200099_s_at" 6892 8466 7568 13420
"200593_s_at" 1822 18252 20824 15453
"200594_x_at" 2558 14316 17226 14316
"200595_s_at" 16847 17475 17869 16894
"200596_s_at" 16141 16731 13951 18882
"200597_at" 12668 698 18001 20180
"200598_s_at" 1600 2324 2664 3054
"200599_s_at" 4361 4171 4831 3229
"200600_at" 13576 7032 9943 12401
"200601_at" 3663 13242 17325 18801
"200602_at" 17792 20926 11301 15292
"200603_at" 17774 19176 17445 16666
"200604_s_at" 21578 3938 12528 15583
"200605_s_at" 19096 2361 19320 16133
"200606_at" 17363 14656 12655 13989
"200607_s_at" 15907 15917 16363 19157
"200608_s_at" 13584 18719 18076 15121
"200609_s_at" 16287 13345 16550 3001
"200610_s_at" 15355 14077 13405 20119
"200611_s_at" 3537 15104 5027 16331
"200612_s_at" 15574 17354 4510 21126
"200613_at" 11812 14830 11465 14554
"200614_at" 3574 2888 7397 12399
"200615_s_at" 15380 15046 15610 17487
"200616_s_at" 1498 4097 3436 15513
"200617_at" 1673 1619 4439 5523
"200618_at" 13959 5312 12338 15228
"200619_at" 15261 4391 11174 13434
"200620_at" 3695 3777 5397 4556
"200621_at" 12198 15184 5182 3383
"200622_x_at" 1080 15789 12442 16043
"200623_s_at" 3992 3122 20300 5009
"200624_s_at" 19492 16030 19998 15681
"200625_s_at" 15781 16668 18087 5711
"200626_s_at" 16914 14133 20947 17821
"200627_at" 13922 3641 12403 12558
"200628_s_at" 19262 2958 3018 15306
"200629_at" 20119 4615 1856 14550
"200630_x_at" 13245 5432 16326 17201
"200631_s_at" 15815 14542 15665 13477
"200632_s_at" 15097 42 177 3461
"200633_at" 2514 2949 7495 8240
"200634_at" 13194 14186 12940 15787
"200635_s_at" 16807 17290 13584 21839
"200636_s_at" 1162 20624 16749 13897
"200637_s_at" 6219 15012 3537 14135
"200638_s_at" 14229 13989 13255 15327
"200639_s_at" 14531 16629 11580 3588
"200640_at" 14397 4172 14339 15926
"200641_s_at" 16031 5082 16162 13566
"200642_at" 2525 3213 4151 3719
"200643_at" 916 17329 13884 5097
"200644_at" 931 18737 17453 13229
"200645_at" 14336 14626 11402 14097
"200646_s_at" 2113 5190 2611 16390
"200647_x_at" 4401 4569 3352 4514
"200648_s_at" 1968 19003 16659 2968
"200649_at" 11969 19580 3006 4602
"200650_s_at" 11777 17038 14485 8110
"200651_at" 6946 14175 7605 14253
"200652_at" 1227 1153 3011 4911
"200653_s_at" 11855 17248 13761 14302
"200654_at" 11873 2539 3142 12771
"200655_s_at" 897 4617 13578 2428
"200656_s_at" 4151 14683 3770 15325
"200657_at" 11967 13854 7398 13073
"200658_s_at" 12690 16224 14694 19267
"200659_s_at" 4114 13481 15583 19316
"200660_at" 15112 17712 11492 13744
"200661_at" 4478 13529 4012 12573
"200662_s_at" 4559 5229 13252 4162
"200663_at" 11796 13776 12904 14678
"200664_s_at" 6 52 28 8
"200665_s_at" 9825 6439 5044 2940
"200666_s_at" 10 39 247 47
"200667_at" 3681 3797 4270 2139
"200668_s_at" 12951 14177 13125 4538
"200669_s_at" 13182 5146 14362 16445
"200670_at" 12199 20735 21110 4751
"200671_s_at" 9712 15926 21893 4321
"200672_x_at" 15415 2492 15679 5120
"200673_at" 762 13506 17317 12264
"200674_s_at" 6898 4696 7574 4725
"200675_at" 13558 14056 15246 15725
"200676_s_at" 488 978 12717 4773
"200677_at" 2976 14680 3590 5020
"200678_x_at" 16019 1755 3449 13480
"200679_x_at" 12263 4331 16032 19401
"200680_x_at" 4046 4584 7630 17023
"200681_at" 13293 13876 13696 4984
"200682_s_at" 13431 16311 15892 16704
"200683_s_at" 12865 14636 13882 5671
"200684_s_at" 4015 3464 4539 4108
"200685_at" 2501 14889 5312 1912
"200686_s_at" 2853 18414 15202 15213
"200687_s_at" 15194 18315 15078 17608
"200688_at" 21008 18195 14010 5600
"200689_x_at" 4339 5255 5164 12388
"200690_at" 20197 3759 4517 8320
"200691_s_at" 14835 13767 11623 4215
"200692_s_at" 17159 18745 17666 18621
"200693_at" 13675 15793 14489 13803
"200694_s_at" 14312 17847 18285 14139
"200695_at" 16746 3522 14581 16874
"200696_s_at" 17703 4903 11522 13191
"200697_at" 14617 17990 11148 13814
"200698_at" 18800 4358 4157 15246
"200699_at" 17346 2304 2797 14401
"200700_s_at" 14019 2962 12148 3029
"200701_at" 4204 1443 2418 14598
"200702_s_at" 4213 18210 14262 19967
"200703_at" 3264 14973 12661 12773
"200704_at" 14413 2438 2785 3295
"200705_s_at" 6703 16626 4845 5343
"200706_s_at" 15395 1796 11683 2022
"200707_at" 3261 13249 11540 3937
"200708_at" 4421 14007 12166 4800
"200709_at" 13337 2269 15637 17820
"200710_at" 15339 13618 4788 14349
"200711_s_at" 13694 15435 16038 4567
"200712_s_at" 14412 19975 16338 13448
"200713_s_at" 2565 3952 12371 5216
