"inst_5829" "inst_6146" "inst_7185"
"1007_s_at" 18443 10798 17454
"1053_at" 3175 12699 6153
"117_at" 13977 17202 12892
"121_at" 19453 1997 21447
"1255_g_at" 14262 7816 9430
"1294_at" 687 14441 11240
"1316_at" 16837 2091 10834
"1320_at" 10194 2159 14375
"1405_i_at" 19935 12593 11208
"1431_at" 6723 828 13790
"1438_at" 15149 11350 15670
"1487_at" 16276 20073 20249
"1494_f_at" 802 21509 8449
"1598_g_at" 5352 17476 20690
"160020_at" 21531 13046 10716
"1729_at" 16016 3199 20494
"1773_at" 1737 19484 16023
"177_at" 3190 14708 14798
"179_at" 63 13319 22135
"1861_at" 2146 1970 16887
"200000_s_at" 20042 17040 20939
"200001_at" 7714 14822 17699
"200002_at" 7184 11318 6285
"200003_s_at" 5828 4986 16959
"200004_at" 7637 16628 6046
"200005_at" 4373 13525 17306
"200006_at" 7506 14051 4696
"200007_at" 2320 16737 2257
"200008_s_at" 6676 18039 2724
"200009_at" 4248 13616 5290
"200010_at" 8206 4987 4467
"200011_s_at" 20842 18462 18621
"200012_x_at" 18504 4944 16505
"200013_at" 6682 12185 4248
"200014_s_at" 6634 19831 16645
"200015_s_at" 6132 17624 5436
"200016_x_at" 7850 4916 15639
"200017_at" 5778 5082 15596
"200018_at" 7705 5074 3697
"200019_s_at" 7527 9936 4980
"200020_at" 15948 16884 6233
"200021_at" 18759 5178 20212
"200022_at" 17308 5001 4693
"200023_s_at" 6037 15474 5464
"200024_at" 4541 5047 4689
"200025_s_at" 7409 5073 15663
"200026_at" 15917 5183 15683
"200027_at" 6955 14774 16191
"200028_s_at" 18103 13055 16965
"200029_at" 16087 5035 19246
"200030_s_at" 16664 14262 17137
"200031_s_at" 6878 5065 5909
"200032_s_at" 6450 5084 6033
"200033_at" 7510 14336 3719
"200034_s_at" 5502 10728 4348
"200035_at" 19877 22081 5995
"200036_s_at" 7706 11222 6436
"200037_s_at" 6113 13225 3201
"200038_s_at" 7136 5162 15867
"200039_s_at" 7659 14747 5459
"200040_at" 15983 14220 17022
"200041_s_at" 6986 18014 17517
"200042_at" 3376 12513 20279
"200043_at" 19252 13934 4944
"200044_at" 6066 15389 1505
"200045_at" 6944 13156 19598
"200046_at" 7837 17319 16708
"200047_s_at" 5760 16616 5332
"200048_s_at" 3777 12637 4095
"200049_at" 7357 10674 5034
"200050_at" 8299 2883 2175
"200051_at" 2771 11730 6466
"200052_s_at" 7761 15986 4249
"200053_at" 17525 16273 17701
"200054_at" 5038 2185 18665
"200055_at" 16074 15998 19206
"200056_s_at" 18175 18564 6140
"200057_s_at" 15807 12049 15895
"200058_s_at" 6322 15799 19958
"200059_s_at" 17056 12935 6509
"200060_s_at" 2102 16654 18118
"200061_s_at" 7620 5063 17025
"200062_s_at" 8066 4969 17549
"200063_s_at" 19664 5112 18893
"200064_at" 8265 10475 6235
"200065_s_at" 16238 19646 15410
"200066_at" 20131 15059 17966
"200067_x_at" 16721 17273 20241
"200068_s_at" 17193 12834 15869
"200069_at" 8261 20114 5714
"200070_at" 2294 16123 19160
"200071_at" 7686 18822 3827
"200072_s_at" 20472 13318 6042
"200073_s_at" 17359 10962 1604
"200074_s_at" 15817 10625 16369
"200075_s_at" 6162 14602 5928
"200076_s_at" 5603 16693 17180
"200077_s_at" 16770 3161 5175
"200078_s_at" 4528 12811 6558
"200079_s_at" 2164 15835 6498
"200080_s_at" 16377 10977 3846
"200081_s_at" 5632 10581 5455
"200082_s_at" 16730 5103 4898
"200083_at" 3681 13808 20005
"200084_at" 18699 14274 6514
"200085_s_at" 6934 14270 5851
"200086_s_at" 6476 15995 5617
"200087_s_at" 6950 14191 4643
"200088_x_at" 16345 4979 16623
"200089_s_at" 16657 5144 17424
"200090_at" 7081 19641 21283
"200091_s_at" 6579 5021 4345
"200092_s_at" 16151 5119 16260
"200093_s_at" 5819 15951 16533
"200094_s_at" 18381 11022 17821
"200095_x_at" 16070 5168 16663
"200096_s_at" 4945 18140 17728
"200097_s_at" 6919 17460 4111
"200098_s_at" 4263 16742 16717
"200099_s_at" 7704 5121 18072
"200593_s_at" 7849 12463 20941
"200594_x_at" 5118 14670 16437
"200595_s_at" 7883 16101 18343
"200596_s_at" 7287 14338 20499
"200597_at" 2367 14649 21628
"200598_s_at" 6082 13395 2710
"200599_s_at" 16222 11851 5599
"200600_at" 16083 14468 7579
"200601_at" 4076 20431 21797
"200602_at" 18761 9798 1401
"200603_at" 3710 16787 4003
"200604_s_at" 17457 9688 1701
"200605_s_at" 18119 12673 3167
"200606_at" 7223 19391 5365
"200607_s_at" 6473 16035 6108
"200608_s_at" 17706 14989 18057
"200609_s_at" 5275 14732 5880
"200610_s_at" 7717 14257 18464
"200611_s_at" 5893 16919 18124
"200612_s_at" 21443 16518 2493
"200613_at" 17995 12867 5327
"200614_at" 6163 16987 5125
"200615_s_at" 21479 19586 18633
"200616_s_at" 3321 11932 4976
"200617_at" 16615 10555 20084
"200618_at" 5625 17032 5750
"200619_at" 3683 18313 20419
"200620_at" 7701 15340 5735
"200621_at" 4628 9853 17124
"200622_x_at" 3635 18004 17086
"200623_s_at" 16105 3009 20569
"200624_s_at" 17214 16434 15461
"200625_s_at" 5214 14040 6122
"200626_s_at" 5154 13823 2277
"200627_at" 16793 12620 3204
"200628_s_at" 21465 14319 5913
"200629_at" 20145 13942 2269
"200630_x_at" 5737 10004 6146
"200631_s_at" 18720 14065 19605
"200632_s_at" 17804 11586 6211
"200633_at" 17733 12193 6115
"200634_at" 7787 15968 2388
"200635_s_at" 2157 7448 21382
"200636_s_at" 5638 7600 20663
"200637_s_at" 16558 4578 22094
"200638_s_at" 15816 17465 4325
"200639_s_at" 7764 18741 16022
"200640_at" 4884 15666 4121
"200641_s_at" 5121 14600 1715
"200642_at" 7534 11967 5712
"200643_at" 20799 19794 19078
"200644_at" 7984 12499 19750
"200645_at" 8028 15469 5196
"200646_s_at" 19461 3092 15870
"200647_x_at" 19897 11259 19851
"200648_s_at" 2672 12155 449
"200649_at" 6042 14211 21086
"200650_s_at" 8255 4929 5082
"200651_at" 5859 5161 17274
"200652_at" 3174 14622 6299
"200653_s_at" 17993 13281 983
"200654_at" 7233 12622 15695
"200655_s_at" 16826 13480 3561
"200656_s_at" 2328 14710 17810
"200657_at" 6842 11056 4429
"200658_s_at" 6159 12264 2898
"200659_s_at" 1642 19182 5499
"200660_at" 7195 10551 6408
"200661_at" 2201 3265 3931
"200662_s_at" 18961 13189 3981
"200663_at" 18505 16013 15515
"200664_s_at" 17608 19688 18080
"200665_s_at" 8991 3856 8993
"200666_s_at" 5338 14926 16541
"200667_at" 5136 11928 18577
"200668_s_at" 6035 16423 5908
"200669_s_at" 2627 15889 4921
"200670_at" 16210 19151 18032
"200671_s_at" 20784 11938 3472
"200672_x_at" 20570 10474 18513
"200673_at" 7688 15178 3762
"200674_s_at" 16408 5124 16897
"200675_at" 15809 19839 5868
"200676_s_at" 21301 21123 21449
"200677_at" 16616 15023 16688
"200678_x_at" 2277 3058 19939
"200679_x_at" 2331 13533 5172
"200680_x_at" 4967 10814 4751
"200681_at" 17645 13396 18485
"200682_s_at" 5901 14277 4312
