"inst_2931" "inst_4256" "inst_4838" "inst_7351"
"1007_s_at" 21255 7959 5522 6017
"1053_at" 18241 5699 4815 6007
"117_at" 4769 239 13432 9868
"121_at" 19256 5021 11835 21433
"1255_g_at" 7023 13234 17394 11193
"1294_at" 5039 3075 19728 3632
"1316_at" 1303 8323 6895 3609
"1320_at" 11345 3371 14524 8645
"1405_i_at" 5801 727 18772 192
"1431_at" 15919 20800 1100 16110
"1438_at" 3850 20401 1003 5050
"1487_at" 15706 3258 1590 19748
"1494_f_at" 9491 1049 21904 15116
"1598_g_at" 17060 18893 3093 19000
"160020_at" 17928 11608 21775 20681
"1729_at" 21936 11593 5187 18288
"1773_at" 17298 4831 659 2367
"177_at" 3667 11415 20978 15139
"179_at" 5883 75 6469 5195
"1861_at" 21609 8814 9733 6098
"200000_s_at" 3838 12527 2754 21390
"200001_at" 16833 2931 3085 17966
"200002_at" 13549 8186 10868 7062
"200003_s_at" 8287 13776 9283 8221
"200004_at" 5010 11735 4087 17345
"200005_at" 13277 10569 5179 7596
"200006_at" 5691 8959 11549 8255
"200007_at" 18160 12091 10404 8087
"200008_s_at" 14228 4351 552 5685
"200009_at" 15158 10657 11740 7955
"200010_at" 4680 5815 2288 5340
"200011_s_at" 3912 7717 7538 7166
"200012_x_at" 14409 19017 21355 6991
"200013_at" 4687 8960 9154 6388
"200014_s_at" 14511 7115 9987 16815
"200015_s_at" 15106 7062 9835 7536
"200016_x_at" 5495 17698 19722 17650
"200017_at" 5850 17570 11300 17044
"200018_at" 8418 13820 10638 6763
"200019_s_at" 3651 12039 10074 16883
"200020_at" 14690 5588 9391 16612
"200021_at" 18560 13871 21091 17891
"200022_at" 13372 9347 9377 7229
"200023_s_at" 16257 6093 10518 7120
"200024_at" 5645 19570 10182 5156
"200025_s_at" 13797 12068 19970 8019
"200026_at" 8588 18691 20462 7008
"200027_at" 15210 8326 11235 17899
"200028_s_at" 4841 6330 12104 17439
"200029_at" 14249 18391 21022 19234
"200030_s_at" 15182 18359 10100 17075
"200031_s_at" 8402 13815 20197 17069
"200032_s_at" 8435 18339 20759 6365
"200033_at" 5305 10315 6177 5605
"200034_s_at" 5000 11982 7302 4978
"200035_at" 19552 6031 5641 1698
"200036_s_at" 5753 8538 19724 16699
"200037_s_at" 4305 7246 10609 17148
"200038_s_at" 8554 9133 10919 8097
"200039_s_at" 5053 9588 9825 7333
"200040_at" 14235 11706 9292 8137
"200041_s_at" 15313 6945 5879 6770
"200042_at" 3011 9817 4843 6366
"200043_at" 16380 9143 4766 17477
"200044_at" 13216 7382 7978 19017
"200045_at" 14869 10100 6001 6240
"200046_at" 18685 4757 7333 6667
"200047_s_at" 17566 6434 10823 17096
"200048_s_at" 14091 5453 20322 17521
"200049_at" 16919 8252 3138 20382
"200050_at" 4485 8749 641 3519
"200051_at" 1812 7403 3296 17328
"200052_s_at" 17510 3926 3680 7631
"200053_at" 16740 2586 2407 18140
"200054_at" 19557 8950 5035 17083
"200055_at" 18786 17665 20540 7290
"200056_s_at" 21419 6484 12059 4829
"200057_s_at" 14090 12025 12596 7889
"200058_s_at" 4985 8142 3469 6111
"200059_s_at" 14939 17666 5789 16940
"200060_s_at" 16387 9238 6410 2726
"200061_s_at" 8401 19616 12008 17103
"200062_s_at" 5748 13769 14986 7564
"200063_s_at" 14866 13841 21499 16896
"200064_at" 3887 8132 3251 4941
"200065_s_at" 13628 11627 4933 7196
"200066_at" 1962 5760 1272 17067
"200067_x_at" 17411 10220 11627 16931
"200068_s_at" 5373 10301 20148 16670
"200069_at" 19881 9179 6863 18825
"200070_at" 15405 19199 12298 2080
"200071_at" 14399 3339 4899 19514
"200072_s_at" 13215 9111 2243 16490
"200073_s_at" 4811 10582 10695 17858
"200074_s_at" 5026 9769 6175 5698
"200075_s_at" 2820 10331 6701 6696
"200076_s_at" 3644 9129 3960 2793
"200077_s_at" 13354 12047 11704 16868
"200078_s_at" 18575 5789 9434 18249
"200079_s_at" 15613 10260 8679 18531
"200080_s_at" 14006 17573 10614 6404
"200081_s_at" 13796 9983 6403 7099
"200082_s_at" 3658 11950 8593 6516
"200083_at" 16863 7885 4128 5602
"200084_at" 14998 10086 5419 18897
"200085_s_at" 17246 8178 9793 6482
"200086_s_at" 5762 8016 11338 8007
"200087_s_at" 13323 8148 6841 7772
"200088_x_at" 8278 18479 19997 16744
"200089_s_at" 13653 11090 12237 18586
"200090_at" 19407 3449 20436 2658
"200091_s_at" 3703 10245 8612 5255
"200092_s_at" 5463 11442 20916 8230
"200093_s_at" 20399 3689 11490 16761
"200094_s_at" 13279 11870 8472 5138
"200095_x_at" 8568 13866 19812 8225
"200096_s_at" 17871 5448 569 4124
"200097_s_at" 3013 10237 10247 19704
"200098_s_at" 14695 6729 8561 5673
"200099_s_at" 8485 10271 20126 7495
"200593_s_at" 13561 8111 4894 3484
"200594_x_at" 13546 8744 7914 19404
"200595_s_at" 4755 5982 6476 6811
"200596_s_at" 2583 9105 1938 4208
"200597_at" 3837 11830 7775 20832
"200598_s_at" 17519 9896 11047 6767
"200599_s_at" 3374 4713 3914 5046
"200600_at" 5060 5990 16506 16194
"200601_at" 20047 3497 11466 21511
"200602_at" 19519 4833 12383 4936
"200603_at" 3610 5468 8777 6971
"200604_s_at" 13532 5563 3301 7665
"200605_s_at" 5205 11711 8772 8210
"200606_at" 1512 9192 9747 17404
"200607_s_at" 16936 9466 12226 5601
"200608_s_at" 16967 6751 4612 18752
"200609_s_at" 3789 11951 8234 17081
"200610_s_at" 17741 8163 7926 18608
"200611_s_at" 18474 4299 6409 17754
"200612_s_at" 14241 2671 1416 4704
"200613_at" 14733 4693 6124 7651
"200614_at" 3100 10985 7546 6369
"200615_s_at" 15122 9502 10339 7990
"200616_s_at" 19790 7061 12679 2507
"200617_at" 4952 6409 1249 16774
"200618_at" 3968 12197 4620 6634
"200619_at" 19121 3508 9387 17768
"200620_at" 4476 9022 3966 4590
"200621_at" 17297 4605 6769 6066
"200622_x_at" 15936 3945 6453 1928
"200623_s_at" 13781 20916 4810 4619
"200624_s_at" 15732 6289 4449 16507
"200625_s_at" 4165 11539 7441 20280
"200626_s_at" 2952 5716 1621 6605
"200627_at" 4817 18414 6351 17206
"200628_s_at" 19265 12093 1330 2649
"200629_at" 18438 10190 7461 5060
"200630_x_at" 17210 19051 20450 6857
"200631_s_at" 16327 11919 10107 17626
"200632_s_at" 14808 10281 7115 18204
"200633_at" 5431 13814 21072 17912
"200634_at" 5055 5973 2523 17109
"200635_s_at" 6102 3243 12211 5966
"200636_s_at" 12576 19369 5628 17995
"200637_s_at" 8434 2355 393 434
"200638_s_at" 16552 10000 4803 8208
"200639_s_at" 18415 11363 8051 18202
"200640_at" 14342 9895 4563 18451
"200641_s_at" 14152 11599 2213 4923
"200642_at" 14333 8844 8413 8153
"200643_at" 1390 11404 918 3102
"200644_at" 21013 6985 6406 18132
"200645_at" 15644 10754 8077 7660
"200646_s_at" 17254 2501 7389 19031
"200647_x_at" 13776 10098 10930 18347
"200648_s_at" 2381 1119 2506 19436
"200649_at" 13843 3825 495 1565
"200650_s_at" 14075 13745 10911 16809
"200651_at" 14061 7258 7191 17351
"200652_at" 14762 788 3499 7823
"200653_s_at" 3414 17987 4754 7851
"200654_at" 5241 9668 5626 8028
"200655_s_at" 15468 9494 20420 17951
"200656_s_at" 13420 5942 799 4398
"200657_at" 16753 12199 20666 8061
"200658_s_at" 19285 1780 1158 4670
"200659_s_at" 3445 7070 844 17447
"200660_at" 16141 4126 8037 6693
"200661_at" 17130 5507 10197 6222
"200662_s_at" 2684 9204 6450 7332
"200663_at" 20066 11730 8972 4449
"200664_s_at" 15529 8193 6634 2801
"200665_s_at" 8069 15606 14164 13334
"200666_s_at" 14803 9945 2075 19559
"200667_at" 16459 11244 12459 5815
"200668_s_at" 4796 11828 9363 7451
"200669_s_at" 16751 12255 6924 17107
"200670_at" 19958 1952 6666 18835
"200671_s_at" 341 17571 21690 5578
"200672_x_at" 16546 3155 7498 18626
"200673_at" 19036 6669 7612 16890
"200674_s_at" 4288 18946 21381 7007
"200675_at" 14683 5917 1851 19494
"200676_s_at" 920 1444 1894 19930
"200677_at" 13918 6201 11922 18194
"200678_x_at" 1749 4467 7969 2497
"200679_x_at" 3060 4763 7371 5247
"200680_x_at" 4954 18493 19949 7852
"200681_at" 14570 17908 9919 7372
"200682_s_at" 5725 8027 4631 6930
"200683_s_at" 18142 9548 4576 4707
"200684_s_at" 21734 18617 4772 19931
"200685_at" 18692 7351 10763 800
"200686_s_at" 20656 5459 8648 6954
"200687_s_at" 1345 9995 2101 6836
"200688_at" 14509 10316 7532 16435
"200689_x_at" 14548 17909 19984 18718
"200690_at" 19177 2653 10479 17471
"200691_s_at" 14691 7106 9905 8234
"200692_s_at" 17407 2353 5218 5704
"200693_at" 16161 8266 6664 17826
"200694_s_at" 3522 8004 4932 16568
"200695_at" 15347 6634 1001 3193
"200696_s_at" 14991 12348 1983 16512
"200697_at" 15682 6779 7438 20186
"200698_at" 17834 12507 6509 17201
"200699_at" 14180 8626 5152 5352
"200700_s_at" 3858 9332 11765 19042
"200701_at" 17395 9174 2782 18729
"200702_s_at" 19099 2818 7708 3230
"200703_at" 14239 6112 9776 4960
"200704_at" 18494 9115 6556 17817
"200705_s_at" 13825 17725 21014 16954
"200706_s_at" 2466 12674 9189 18404
"200707_at" 1892 1017 1103 7812
"200708_at" 18428 9956 6574 17877
"200709_at" 5427 5866 4593 16616
"200710_at" 3632 8670 2450 5107
"200711_s_at" 3625 11732 9790 8325
"200712_s_at" 20322 6596 3649 5320
"200713_s_at" 15178 18887 12803 17820
"200714_x_at" 15332 2162 1671 6436
"200715_x_at" 15434 10577 12563 16631
"200716_x_at" 8555 18045 11866 4077
"200717_x_at" 8397 13812 20885 17527
"200718_s_at" 17575 17946 19858 17210
"200719_at" 15638 4329 9161 16598
"200720_s_at" 1387 1966 1112 18971
"200721_s_at" 17909 6855 2100 3694
"200722_s_at" 20714 4158 851 2595
"200723_s_at" 5332 18539 4038 5119
"200724_at" 18536 21465 22241 17841
"200725_x_at" 14561 19159 21825 7704
"200726_at" 4605 9337 7647 18768
"200727_s_at" 17313 6995 20136 5118
"200728_at" 13275 5247 5814 4961
"200729_s_at" 4824 6309 8100 6843
"200730_s_at" 5784 7620 2591 8042
"200731_s_at" 1836 5458 2105 5333
"200732_s_at" 3663 11194 7780 17396
"200733_s_at" 20908 1321 1563 19156
"200734_s_at" 16135 6554 20323 5826
"200735_x_at" 8479 12656 9833 17017
"200736_s_at" 15200 11130 17384 13574
"200737_at" 16648 5336 3107 4589
"200738_s_at" 14912 18102 9891 17313
"200739_s_at" 13761 4825 5134 7934
"200740_s_at" 15814 9878 12192 18500
"200741_s_at" 8267 17761 20969 8317
"200742_s_at" 18974 7830 6881 20763
"200743_s_at" 17983 4956 4916 8140
"200744_s_at" 16605 6066 4493 18839
"200745_s_at" 14314 7175 8029 18646
"200746_s_at" 13196 7548 1813 16569
"200747_s_at" 2143 10159 1459 5383
"200748_s_at" 15691 11758 6806 17821
"200749_at" 14324 7576 6639 17310
"200750_s_at" 15545 12529 8942 5032
"200751_s_at" 17675 1965 299 6078
"200752_s_at" 2296 2373 5094 4912
"200753_x_at" 16243 7911 4646 17861
"200754_x_at" 13575 17939 5464 7641
"200755_s_at" 13772 9321 3640 19413
"200756_x_at" 18587 5912 2457 18757
"200757_s_at" 18855 10418 561 17645
"200758_s_at" 3709 3565 1526 4578
"200759_x_at" 2180 11401 4430 4756
"200760_s_at" 19415 8522 9418 4955
"200761_s_at" 17306 5920 8227 18279
"200762_at" 18539 9960 7896 17391
"200763_s_at" 8504 17957 20301 8035
"200764_s_at" 21885 15207 720 6096
"200765_x_at" 1276 13893 9235 6371
"200766_at" 1569 1577 743 20070
"200767_s_at" 20603 4606 3997 19602
"200768_s_at" 3424 3612 6420 5488
"200769_s_at" 18554 12376 5375 17239
"200770_s_at" 17350 11632 7228 2523
"200771_at" 3375 8222 6829 20292
"200772_x_at" 4926 12580 8943 5617
"200773_x_at" 2840 17894 11399 7980
"200774_at" 17450 7800 10113 16454
"200775_s_at" 3569 19662 9786 18634
"200776_s_at" 17514 11226 3673 4494
"200777_s_at" 4342 8098 9624 4997
"200778_s_at" 13586 8402 10325 2864
"200779_at" 14396 5452 7878 3583
"200780_x_at" 4327 18581 12229 6898
"200781_s_at" 4385 10833 21307 16539
"200782_at" 17598 17746 3188 19199
"200783_s_at" 13708 3060 6394 7510
"200784_s_at" 9300 4951 16929 10297
"200785_s_at" 10949 2550 17996 13462
"200786_at" 17464 8517 7894 7091
"200787_s_at" 16805 12378 3921 6683
"200788_s_at" 15674 6562 6383 1071
"200789_at" 2548 3700 4294 5265
"200790_at" 14730 12462 4043 17065
"200791_s_at" 5157 7381 2871 6207
"200792_at" 3380 10780 6178 17343
"200793_s_at" 3660 8490 6786 2417
"200794_x_at" 5027 6213 6659 16393
"200795_at" 10677 1398 2946 10568
"200796_s_at" 20916 1612 21843 19123
"200797_s_at" 13263 4949 3225 3090
"200798_x_at" 15403 8576 3288 5170
"200799_at" 9947 18505 20052 17721
"200800_s_at" 745 9988 214 2639
"200801_x_at" 5320 13748 20020 16882
"200802_at" 15666 6839 6919 6352
"200803_s_at" 14897 12567 9309 6657
"200804_at" 4357 6809 4661 6228
"200805_at" 3562 4149 6236 4542
"200806_s_at" 4768 12495 6472 17685
"200807_s_at" 3971 12540 12804 18499
"200808_s_at" 3960 10814 6288 3580
"200809_x_at" 13403 19398 20890 17359
"200810_s_at" 5864 3617 8957 4588
"200811_at" 5792 1694 5418 6980
"200812_at" 16264 3932 7112 18168
"200813_s_at" 2069 17634 1256 18244
"200814_at" 15520 5484 19786 17493
"200815_s_at" 4510 5436 2811 6296
"200816_s_at" 4020 10144 8104 18981
"200817_x_at" 8240 13759 14962 7573
"200818_at" 3911 11216 10038 7649
"200819_s_at" 8406 11871 10068 6256
"200820_at" 20093 4500 3607 8306
"200821_at" 15962 4542 4544 20381
"200822_x_at" 5535 11242 2890 17469
"200823_x_at" 4178 11999 8696 7583
"200824_at" 1739 2467 10901 451
"200825_s_at" 1439 7190 5054 20630
"200826_at" 3177 2952 6158 4061
"200827_at" 13351 6943 6748 17490
"200828_s_at" 13235 7379 6016 6710
"200829_x_at" 17752 9644 11375 19083
"200830_at" 14749 9021 8145 6343
"200831_s_at" 3606 18043 4135 8228
"200832_s_at" 1933 10500 4935 7890
"200833_s_at" 17335 5033 7263 19482
"200834_s_at" 8311 13784 19853 16839
"200835_s_at" 18467 17515 21598 3051
"200836_s_at" 2081 9335 11015 158
"200837_at" 13929 9753 6765 19702
"200838_at" 3558 12167 3918 3622
"200839_s_at" 19009 6310 9039 17762
"200840_at" 5814 12683 20756 16504
"200841_s_at" 20779 9553 5215 5475
"200842_s_at" 16147 8758 10810 8033
"200843_s_at" 14859 7425 10727 7512
"200844_s_at" 18679 12579 11124 5203
"200845_s_at" 15063 11710 9979 6841
"200846_s_at" 13860 4144 1924 7486
"200847_s_at" 20576 10596 12694 17655
"200848_at" 20082 6488 6371 2585
"200849_s_at" 15819 5593 5980 21046
"200850_s_at" 14099 9424 10536 5894
"200851_s_at" 14428 5269 6150 18356
"200852_x_at" 1114 10157 4153 17268
"200853_at" 16616 6283 12384 18197
"200854_at" 14538 8489 12354 18654
"200855_at" 3583 20424 20270 21921
"200856_x_at" 2927 5742 12184 17460
"200857_s_at" 15369 6428 2502 5573
"200858_s_at" 14358 9221 7391 6248
"200859_x_at" 4540 1485 1879 18702
"200860_s_at" 16361 7760 5245 18829
"200861_at" 5317 3514 3939 5522
"200862_at" 13276 7140 5568 8250
"200863_s_at" 14002 9907 12074 7011
"200864_s_at" 17476 4085 2589 21408
"200865_at" 13868 3882 17033 10562
"200866_s_at" 13315 8071 1506 16375
"200867_at" 15253 3654 2703 4211
"200868_s_at" 13388 9106 5818 7981
"200869_at" 8283 11541 20569 7254
"200870_at" 3043 19411 10871 6201
"200871_s_at" 4700 8325 9435 19364
"200872_at" 5237 18883 12428 17656
"200873_s_at" 5507 8562 9630 17043
"200874_s_at" 20513 1332 9296 16983
"200875_s_at" 2435 4496 8396 3924
"200876_s_at" 13935 8898 5926 17129
"200877_at" 4648 9670 10126 17612
"200878_at" 18224 7405 20520 21225
"200879_s_at" 7826 11256 17838 13945
"200880_at" 4703 5656 2861 18149
"200881_s_at" 13413 6999 3893 5638
"200882_s_at" 5152 10803 11645 4429
"200883_at" 5594 3383 1328 7985
"200884_at" 4295 7433 8453 21310
"200885_at" 17304 1814 5335 6565
"200886_s_at" 14191 11857 20228 17209
"200887_s_at" 16674 4811 3547 20771
"200888_s_at" 5424 9431 11302 6804
"200889_s_at" 18435 7369 9964 8188
"200890_s_at" 17977 9566 6462 2763
"200891_s_at" 14753 9343 20535 20671
"200892_s_at" 18763 5327 4741 16676
"200893_at" 14218 8065 8687 16779
"200894_s_at" 3418 2228 1540 19236
"200895_s_at" 3327 1464 2441 19461
"200896_x_at" 5335 6254 19932 17178
"200897_s_at" 22027 17941 5456 5837
"200898_s_at" 5626 8237 4753 3916
"200899_s_at" 5365 18298 8896 17559
"200900_s_at" 18113 2713 5690 7520
"200901_s_at" 2423 7367 439 18529
"200902_at" 4626 5096 6053 18843
"200903_s_at" 3198 19205 5996 7484
"200904_at" 5106 18170 4796 513
"200905_x_at" 18105 5000 5155 8158
"200906_s_at" 13828 19107 20908 4438
"200907_s_at" 546 6042 12159 16758
"200908_s_at" 15791 21845 22177 20298
"200909_s_at" 8332 12277 9962 6554
"200910_at" 4694 11658 4250 5271
"200911_s_at" 4293 12448 9475 8031
"200912_s_at" 15523 11508 10677 17693
"200913_at" 16739 2783 290 21513
"200914_x_at" 20305 5535 8107 7841
"200915_x_at" 17764 7502 11286 6519
"200916_at" 4593 11112 9823 20251
"200917_s_at" 21467 2754 22019 1868
"200918_s_at" 5694 10116 5242 7334
"200919_at" 4821 6189 2601 3634
"200920_s_at" 17957 8362 4595 3548
"200921_s_at" 5842 8471 3550 3591
"200922_at" 3175 10675 4159 4958
"200923_at" 10878 722 2126 19343
"200924_s_at" 15202 1558 1781 7311
"200925_at" 4146 10633 7877 5361
"200926_at" 8506 13850 15153 7264
"200927_s_at" 4779 9011 185 4943
"200928_s_at" 21777 14097 6117 12899
"200929_at" 18934 6618 8444 6880
"200930_s_at" 7712 19863 19330 8870
"200931_s_at" 16679 18532 5235 3491
"200932_s_at" 17992 9959 3709 6397
"200933_x_at" 8451 13831 12444 17292
"200934_at" 16928 2878 11207 7036
"200935_at" 1014 21595 9254 21531
