"inst_1500" "inst_1918" "inst_2000" "inst_4262" "inst_4844"
"1007_s_at" 6091 1996 2628 8420 3054
"1053_at" 6430 3941 18899 16426 20900
"117_at" 11448 6435 6495 11580 9866
"121_at" 8584 15144 5036 17098 15432
"1255_g_at" 14520 9927 15059 9640 11307
"1294_at" 21104 19201 6138 5955 20759
"1316_at" 20399 9364 4734 18574 20911
"1320_at" 13255 10686 11269 609 13695
"1405_i_at" 6625 8517 19452 1925 1360
"1431_at" 4078 11592 8050 4243 13764
"1438_at" 2707 4494 16272 7011 18493
"1487_at" 5547 19505 2564 6636 2999
"1494_f_at" 21627 21940 20350 633 20577
"1598_g_at" 21811 861 20996 7613 18673
"160020_at" 21588 18631 878 2045 15068
"1729_at" 9743 21187 166 6493 5291
"1773_at" 6614 2364 14745 15287 1152
"177_at" 16140 11879 2334 20762 1052
"179_at" 18165 22274 20015 2228 18900
"1861_at" 5477 3540 11176 16029 18698
"200000_s_at" 19257 1864 20270 18175 1573
"200001_at" 18735 4046 19990 8595 18203
"200002_at" 9812 3991 20754 14456 14968
"200003_s_at" 7345 15009 5847 10887 16894
"200004_at" 7163 15064 6972 14280 7185
"200005_at" 8995 2595 20568 8351 7598
"200006_at" 9657 17564 18286 15708 15379
"200007_at" 9268 14581 6681 7252 7495
"200008_s_at" 9606 16545 21885 13656 20893
"200009_at" 17868 3826 5749 16247 6349
"200010_at" 10234 1702 21580 6697 18109
"200011_s_at" 9413 3729 18014 13810 5615
"200012_x_at" 18512 875 19689 6921 16038
"200013_at" 6781 3816 19373 15671 15448
"200014_s_at" 7739 15481 4327 19460 6215
"200015_s_at" 5559 14714 5227 18070 16587
"200016_x_at" 8279 14934 2612 13446 7583
"200017_at" 17870 2578 4300 10923 6524
"200018_at" 8785 17562 7126 10922 15354
"200019_s_at" 9016 3370 7050 14090 5789
"200020_at" 9408 15575 19789 7737 4458
"200021_at" 13123 2851 4542 10954 10436
"200022_at" 19559 2151 18285 17007 16842
"200023_s_at" 6573 2061 6090 8872 5270
"200024_at" 19126 1193 19135 8634 6994
"200025_s_at" 8256 1362 6192 13745 7875
"200026_at" 19633 1773 2754 15197 18278
"200027_at" 6678 17902 5046 16997 5201
"200028_s_at" 17943 18392 18217 16121 5616
"200029_at" 6912 3272 5056 7934 5873
"200030_s_at" 9916 2363 19895 7590 6565
"200031_s_at" 9655 3217 18634 10919 14978
"200032_s_at" 19255 16348 4008 17005 17346
"200033_at" 18476 19751 5298 8535 7172
"200034_s_at" 19398 4041 7408 6561 17089
"200035_at" 18649 20423 6736 5447 3213
"200036_s_at" 7629 16579 5465 14580 4869
"200037_s_at" 18565 18180 2449 18086 7566
"200038_s_at" 9095 17047 5615 15828 15262
"200039_s_at" 9077 15032 19119 7780 15242
"200040_at" 9776 21860 2386 14304 16283
"200041_s_at" 18976 16826 7358 4890 15008
"200042_at" 7077 3102 21700 15085 15201
"200043_at" 8790 15697 21047 5297 17156
"200044_at" 6660 16602 6721 13772 15110
"200045_at" 5843 17476 20976 13954 15592
"200046_at" 6466 16058 20868 7599 6778
"200047_s_at" 18405 19924 1942 18775 15730
"200048_s_at" 18121 3246 17800 14473 7383
"200049_at" 7759 3476 17784 14081 2971
"200050_at" 5847 18525 6692 20984 5055
"200051_at" 17911 2579 4674 18217 16132
"200052_s_at" 5848 1315 19448 8306 17966
"200053_at" 847 20288 19858 3139 17973
"200054_at" 4881 15968 7403 14145 15376
"200055_at" 18971 2275 4223 7413 4070
"200056_s_at" 1384 20674 2025 18522 5814
"200057_s_at" 18599 18286 1716 14220 6888
"200058_s_at" 6748 16331 5709 7854 17135
