"inst_1437" "inst_2120" "inst_5454" "inst_6354"
"1007_s_at" 19390 4542 13671 6523
"1053_at" 4926 16568 17049 18603
"117_at" 17338 5912 11060 13013
"121_at" 4289 17160 6174 20003
"1255_g_at" 13889 8255 7500 10939
"1294_at" 17472 8367 21553 2144
"1316_at" 1417 8654 2098 2925
"1320_at" 8821 12813 10217 13638
"1405_i_at" 20174 9330 9675 13767
"1431_at" 8856 14832 19899 5492
"1438_at" 15456 17636 18701 15927
"1487_at" 3360 14255 3381 15586
"1494_f_at" 740 17043 2549 16057
"1598_g_at" 20946 20038 20734 2913
"160020_at" 4245 18905 21289 1250
"1729_at" 461 2106 4784 6942
"1773_at" 20296 18000 5445 2748
"177_at" 249 136 9028 14661
"179_at" 4650 21667 7366 2615
"1861_at" 1579 16180 18200 3390
"200000_s_at" 18466 15323 16914 16448
"200001_at" 1343 16944 15425 7393
"200002_at" 17925 15992 7371 16796
"200003_s_at" 17904 4529 9190 16367
"200004_at" 17464 15414 15509 18813
"200005_at" 17903 3274 13729 5899
"200006_at" 19232 15923 13582 15914
"200007_at" 4465 2803 15104 17241
"200008_s_at" 3066 17926 6203 21040
"200009_at" 2241 4425 5570 15262
"200010_at" 6088 13360 16541 17405
"200011_s_at" 5643 14658 14234 7288
"200012_x_at" 3301 3266 5499 6702
"200013_at" 2775 13877 13468 16889
"200014_s_at" 20695 16065 5217 15188
"200015_s_at" 3358 19160 18041 15459
"200016_x_at" 19773 13562 15642 15880
"200017_at" 20917 12923 9284 15494
"200018_at" 17605 3891 14558 7529
"200019_s_at" 6003 14159 6276 16564
"200020_at" 1630 21937 15197 17355
"200021_at" 21337 2444 9364 10234
"200022_at" 6447 14320 6264 16278
"200023_s_at" 19522 3580 4977 15526
"200024_at" 3530 16033 15715 7429
"200025_s_at" 18343 13338 14515 15628
"200026_at" 18648 3429 9369 16103
"200027_at" 18749 13235 4485 15669
"200028_s_at" 4910 18579 15121 4083
"200029_at" 5135 14715 5823 15848
"200030_s_at" 5587 13217 6585 16709
"200031_s_at" 18901 15432 9271 15490
"200032_s_at" 19770 14679 9286 6224
"200033_at" 21547 15962 6994 16388
"200034_s_at" 18355 13623 16850 4570
"200035_at" 2839 14598 20705 3315
"200036_s_at" 19666 14616 5523 16791
"200037_s_at" 19784 17736 15681 17212
"200038_s_at" 6294 12693 7385 15040
"200039_s_at" 3748 15812 5842 14923
"200040_at" 20163 15480 18551 15953
"200041_s_at" 6302 13806 15258 4578
"200042_at" 5307 18794 14270 18789
"200043_at" 5426 20450 17053 7382
"200044_at" 20762 16606 17330 6248
"200045_at" 3847 16687 14049 15272
"200046_at" 17179 12908 16050 17046
"200047_s_at" 19237 17334 15315 17250
"200048_s_at" 19562 4164 7388 7274
"200049_at" 2232 20801 7179 17487
"200050_at" 19869 15250 20898 1264
"200051_at" 1067 17351 17681 3353
"200052_s_at" 6677 18521 18806 6780
"200053_at" 3490 12647 4124 20386
"200054_at" 4477 2490 14140 5043
"200055_at" 20672 2630 6013 18186
"200056_s_at" 21750 18958 6494 19145
"200057_s_at" 4723 4065 14909 15231
"200058_s_at" 17833 13204 5771 16234
"200059_s_at" 18375 15348 13850 17843
"200060_s_at" 18657 13880 6954 18434
"200061_s_at" 7242 3184 9269 7488
"200062_s_at" 20076 4365 9178 9920
"200063_s_at" 18219 13492 9316 17894
"200064_at" 1500 14140 6770 17575
"200065_s_at" 17838 12916 13948 19255
"200066_at" 5476 18706 5317 19551
