"inst_1501" "inst_1919" "inst_2001" "inst_4221" "inst_4805"
"1007_s_at" 7142 16139 6300 8637 19458
"1053_at" 7596 20849 18982 7394 11815
"117_at" 16733 11118 15432 20570 16009
"121_at" 9430 18664 5598 19044 5647
"1255_g_at" 16494 7134 17821 13337 14604
"1294_at" 4128 19969 8047 2842 10333
"1316_at" 21313 11630 2323 2386 7246
"1320_at" 15612 6848 18629 994 8187
"1405_i_at" 13689 10488 6228 2665 1507
"1431_at" 5967 8377 9301 21733 10634
"1438_at" 2128 6325 17132 5335 20783
"1487_at" 8381 3285 3154 8409 6303
"1494_f_at" 21845 20948 6499 2655 21504
"1598_g_at" 1332 2580 5975 2904 3513
"160020_at" 21954 20340 1559 16582 1182
"1729_at" 10945 18307 1627 2209 11148
"1773_at" 11796 2464 18657 3695 1741
"177_at" 13757 8496 3564 19391 19200
"179_at" 6996 20133 4554 9601 1350
"1861_at" 6227 2300 7813 20975 10160
"200000_s_at" 11138 16244 20068 5011 20706
"200001_at" 8459 5707 20480 7503 8270
"200002_at" 10761 5326 20880 17207 11896
"200003_s_at" 11279 4439 19932 17988 11783
"200004_at" 9038 19234 5710 9651 3507
"200005_at" 6955 4405 19972 7671 7529
"200006_at" 10641 18278 6271 11911 19056
"200007_at" 7022 2575 19255 8502 6195
"200008_s_at" 11019 1499 21783 10931 141
"200009_at" 20215 4662 19520 11028 10039
"200010_at" 11380 4508 20781 8450 10790
"200011_s_at" 4113 21236 7739 6634 10558
"200012_x_at" 21040 18569 18869 18212 20177
"200013_at" 11520 3720 19521 18774 19313
"200014_s_at" 8418 3514 4058 17868 8007
"200015_s_at" 2920 17876 6003 11697 10597
"200016_x_at" 9068 20118 1550 11418 10323
"200017_at" 10555 2119 6351 14355 19528
"200018_at" 12139 16968 5942 17591 20174
"200019_s_at" 12185 3776 19508 17272 18764
"200020_at" 9039 4447 6906 9125 10989
"200021_at" 21044 2246 8218 14393 14383
"200022_at" 20055 1153 20313 20919 19826
"200023_s_at" 6867 3640 19203 8045 10569
"200024_at" 11280 793 20602 16807 19577
"200025_s_at" 10241 2996 6659 16662 19553
"200026_at" 11783 1718 680 19658 20035
"200027_at" 5974 5445 4666 17906 5838
"200028_s_at" 6334 20818 4288 16858 11206
"200029_at" 12145 3046 18703 17437 11968
"200030_s_at" 9756 18526 20277 9124 8654
"200031_s_at" 20466 1356 19074 14349 20197
"200032_s_at" 20078 4680 3190 17862 20683
"200033_at" 8220 19647 6345 9070 7612
"200034_s_at" 20198 2198 7258 7595 19984
"200035_at" 7552 20827 5083 6566 19962
"200036_s_at" 10787 2614 20463 17322 10095
"200037_s_at" 7096 18336 1083 18258 6733
"200038_s_at" 20570 4772 6430 17836 9614
"200039_s_at" 20589 4242 20772 9489 19772
"200040_at" 6622 17439 794 11510 9489
"200041_s_at" 8391 3238 7640 5899 11421
"200042_at" 8901 1627 20939 10302 10318
"200043_at" 2767 885 21621 7337 9634
"200044_at" 9138 3437 4597 10530 8253
"200045_at" 10688 18552 6994 8769 10658
"200046_at" 6578 5612 20293 7085 6940
"200047_s_at" 7068 20930 2149 11315 7151
