"inst_1754" "inst_2746" "inst_5808" "inst_7166"
"1007_s_at" 3584 12015 14846 2858
"1053_at" 5099 17444 5508 18206
"117_at" 20485 2545 12104 8453
"121_at" 5514 11443 18728 18054
"1255_g_at" 13163 4811 13197 5471
"1294_at" 18527 153 16539 4480
"1316_at" 19498 18360 2654 429
"1320_at" 13029 5340 10891 3939
"1405_i_at" 19588 4885 19426 4118
"1431_at" 10440 3392 264 9975
"1438_at" 10940 20404 8472 382
"1487_at" 17631 15564 2589 1909
"1494_f_at" 19601 10484 10806 10332
"1598_g_at" 1202 10055 19362 19971
"160020_at" 2886 13938 18852 1743
"1729_at" 2771 12939 16288 20460
"1773_at" 10114 12980 4314 21812
"177_at" 17810 7015 11416 473
"179_at" 18316 12159 11520 12623
"1861_at" 3335 12914 18208 12735
"200000_s_at" 5165 17666 17470 12859
"200001_at" 1556 15139 16358 14454
"200002_at" 6422 9860 19136 2420
"200003_s_at" 18632 953 5741 2811
"200004_at" 6502 11536 19023 12531
"200005_at" 5877 17115 16343 16067
"200006_at" 20532 12001 16069 12475
"200007_at" 4545 10814 3532 2840
"200008_s_at" 5981 18092 6864 13744
"200009_at" 4810 11326 5003 11982
"200010_at" 17809 9838 18800 11787
"200011_s_at" 6429 12933 3467 19548
"200012_x_at" 2033 717 18036 2135
"200013_at" 6251 9530 16101 12984
"200014_s_at" 6291 14420 6237 16995
"200015_s_at" 18343 15149 3372 14141
"200016_x_at" 18820 10062 6315 1957
"200017_at" 18854 3938 4439 2181
"200018_at" 19767 9584 17185 2875
"200019_s_at" 20330 11487 16429 13112
"200020_at" 18145 12824 18007 13727
"200021_at" 2980 1066 6267 13840
"200022_at" 21163 1312 3389 2219
"200023_s_at" 19210 12909 15345 14661
"200024_at" 5562 9898 15007 12136
"200025_s_at" 18664 9260 15021 2281
"200026_at" 5751 1213 6584 12148
"200027_at" 19377 17911 4348 13760
"200028_s_at" 4168 15220 20003 14244
"200029_at" 6972 1211 15921 11981
"200030_s_at" 6160 10463 5867 13868
"200031_s_at" 6444 3901 17881 13187
"200032_s_at" 18344 3942 18607 12349
"200033_at" 2678 11037 5199 2390
"200034_s_at" 19198 1302 5139 11946
"200035_at" 19560 11272 20191 18502
"200036_s_at" 7388 9916 16644 13039
"200037_s_at" 6742 12038 3144 13264
"200038_s_at" 6012 9278 16176 12751
"200039_s_at" 2483 16745 17317 15689
"200040_at" 20943 13052 15726 17071
"200041_s_at" 18824 15624 16355 13792
"200042_at" 7515 16516 5690 18712
"200043_at" 2520 10747 7088 13989
"200044_at" 18672 13789 4303 15289
"200045_at" 7353 15069 3528 18265
"200046_at" 7013 14076 5871 2739
"200047_s_at" 5863 12789 3065 12580
"200048_s_at" 6484 12188 6906 2715
"200049_at" 1628 19671 19466 15032
"200050_at" 19125 18074 17807 2456
"200051_at" 6681 18622 6897 16113
"200052_s_at" 5919 15971 6243 12500
"200053_at" 3346 17626 19326 18294
"200054_at" 4468 10607 4808 14938
"200055_at" 5183 14345 16889 13343
"200056_s_at" 22039 18994 4797 12855
"200057_s_at" 6018 11781 4842 13712
"200058_s_at" 3669 16561 5612 15144
"200059_s_at" 6884 12165 4914 13706
"200060_s_at" 17864 11195 16701 16739
"200061_s_at" 5598 3899 15648 1890
"200062_s_at" 19448 3759 15140 2403
"200063_s_at" 4028 3997 16932 12732
"200064_at" 19867 10469 15042 12088
"200065_s_at" 19007 16483 15571 14226
"200066_at" 18176 19519 16166 13689
"200067_x_at" 3159 16884 6188 18384
"200068_s_at" 7315 11649 17024 15091
"200069_at" 6580 19496 2423 12399
"200070_at" 1548 14501 20521 21508
"200071_at" 21469 17742 960 11928
"200072_s_at" 7489 12197 5564 15478
"200073_s_at" 19242 11876 6164 12002
"200074_s_at" 6702 11455 20340 14089
"200075_s_at" 5421 17301 19265 17199
"200076_s_at" 4686 16251 5858 17322
"200077_s_at" 6064 831 6092 2888
"200078_s_at" 17963 19034 19342 14996
"200079_s_at" 21180 17845 3859 14925
"200080_s_at" 18591 688 6347 1370
"200081_s_at" 6216 9888 17766 2726
"200082_s_at" 17715 1212 6229 12517
"200083_at" 6428 14917 4746 2215
"200084_at" 7197 14187 4942 14806
"200085_s_at" 18328 11080 17664 12915
"200086_s_at" 6940 10941 17214 11979
"200087_s_at" 19063 12208 17065 17756
"200088_x_at" 7694 1426 16390 12357
"200089_s_at" 7052 1579 6241 12923
"200090_at" 21419 21524 3753 16000
"200091_s_at" 20229 1223 6393 12973
"200092_s_at" 19114 988 15417 12311
"200093_s_at" 7021 13742 16180 14841
"200094_s_at" 6670 11833 19307 14036
"200095_x_at" 18388 1420 15352 12219
"200096_s_at" 1894 15752 17251 15537
"200097_s_at" 20237 14778 4362 2366
"200098_s_at" 7571 14629 6524 15135
"200099_s_at" 18908 4014 6663 1835
"200593_s_at" 3685 12752 18578 19170
"200594_x_at" 2944 11818 3154 15948
"200595_s_at" 18938 16802 17725 18667
"200596_s_at" 17552 12149 5087 20894
"200597_at" 21799 11764 876 17836
"200598_s_at" 7616 13268 4627 13067
"200599_s_at" 20890 11517 3476 12145
"200600_at" 7469 3144 19690 2301
"200601_at" 5845 924 4488 15460
"200602_at" 18561 21268 1454 13301
"200603_at" 4569 12130 5693 14860
"200604_s_at" 4798 20471 15619 18500
"200605_s_at" 17898 18510 2987 15412
"200606_at" 8643 15369 17104 1318
"200607_s_at" 6938 16453 16486 19568
"200608_s_at" 20677 12179 6323 13986
"200609_s_at" 3113 21654 15948 13784
"200610_s_at" 3226 10539 2746 12173
"200611_s_at" 4997 17136 15851 15546
"200612_s_at" 2563 15938 22042 20658
"200613_at" 5285 11897 16904 14596
"200614_at" 5596 10163 6133 13005
"200615_s_at" 6911 19552 16215 21703
"200616_s_at" 4400 19879 15824 17423
"200617_at" 2716 13048 21029 18145
"200618_at" 20715 17649 5719 18099
"200619_at" 18815 12204 5622 19608
"200620_at" 4108 16475 17348 15063
"200621_at" 3948 12872 19673 12384
"200622_x_at" 3317 18780 17905 20741
"200623_s_at" 5634 14715 3764 12483
"200624_s_at" 908 16611 1631 15981
"200625_s_at" 21175 14185 5970 18171
"200626_s_at" 20772 14859 3671 16759
"200627_at" 18943 10470 6898 2507
"200628_s_at" 5644 20583 1663 12318
"200629_at" 6481 15246 17799 12504
"200630_x_at" 6657 10035 4758 1644
"200631_s_at" 19227 11836 6227 16331
"200632_s_at" 19619 13607 5953 19065
"200633_at" 18201 1241 14909 2856
"200634_at" 5569 11248 15265 14639
"200635_s_at" 16557 17841 18479 17033
"200636_s_at" 5899 17087 15586 21015
"200637_s_at" 15236 20608 18522 15961
"200638_s_at" 4252 10609 17072 13285
"200639_s_at" 1072 11569 3192 15611
"200640_at" 2565 11130 6139 12641
"200641_s_at" 5755 13279 5760 2892
"200642_at" 2798 12134 18498 12388
"200643_at" 290 16581 18651 20451
"200644_at" 3126 17426 6854 19032
"200645_at" 21477 19276 15835 17694
"200646_s_at" 14874 10809 431 20925
"200647_x_at" 5350 13701 2767 11891
"200648_s_at" 17534 12874 4636 777
"200649_at" 757 19801 14805 21615
"200650_s_at" 18843 10104 4525 13260
"200651_at" 20058 1566 17225 2275
"200652_at" 17868 14768 19268 16461
"200653_s_at" 21458 11192 6745 14076
"200654_at" 18851 11850 15875 13431
"200655_s_at" 3998 11055 15175 15709
"200656_s_at" 3788 14190 5426 16108
"200657_at" 3400 1059 14861 1949
"200658_s_at" 7669 14747 17256 15799
"200659_s_at" 1438 18597 6896 12439
"200660_at" 21521 11058 17700 14912
"200661_at" 6258 17925 19656 14538
"200662_s_at" 19383 16874 5133 12541
"200663_at" 18476 9912 15939 1788
"200664_s_at" 1259 20633 5523 18278
"200665_s_at" 16253 8653 12785 5045
"200666_s_at" 1558 11550 15650 15348
"200667_at" 19564 15054 15309 21334
"200668_s_at" 18866 15618 16287 13691
"200669_s_at" 21344 20133 16595 16667
"200670_at" 2277 10763 1377 14151
"200671_s_at" 8836 22148 618 18413
"200672_x_at" 16944 715 16239 16839
"200673_at" 2574 12543 2884 13936
"200674_s_at" 19620 931 14808 12561
"200675_at" 18475 20159 6337 13993
"200676_s_at" 21717 12841 21774 21613
"200677_at" 2808 15553 3798 13914
"200678_x_at" 7018 20554 6309 2157
"200679_x_at" 20699 10477 18142 16291
"200680_x_at" 3038 1041 16479 2096
"200681_at" 3222 15749 3110 17355
"200682_s_at" 18421 14948 20154 15378
"200683_s_at" 2970 20394 16784 12640
"200684_s_at" 5873 20610 21124 19470
"200685_at" 3846 11670 4292 456
"200686_s_at" 21847 21969 2027 19752
"200687_s_at" 4728 21498 18553 19188
"200688_at" 20682 19089 1225 20090
"200689_x_at" 17574 9311 5752 12175
"200690_at" 20849 19095 20657 17934
"200691_s_at" 20808 16970 2314 17192
"200692_s_at" 20005 15891 6120 15090
"200693_at" 1281 12607 4423 11969
"200694_s_at" 7330 15673 17746 15273
"200695_at" 2997 9369 17910 11765
"200696_s_at" 20142 11280 21101 14517
"200697_at" 3284 19147 15970 15559
"200698_at" 6370 15275 2655 11927
"200699_at" 20887 17300 6566 13577
"200700_s_at" 4606 12795 17702 18922
"200701_at" 18800 17295 19353 16806
"200702_s_at" 1795 17189 17969 18176
"200703_at" 1809 11139 3573 13507
"200704_at" 4583 11322 17927 18297
"200705_s_at" 7217 10002 14941 12779
"200706_s_at" 6433 19483 15101 14206
"200707_at" 20491 14942 17640 18612
"200708_at" 19420 12231 18018 16153
"200709_at" 22237 13626 3693 17252
"200710_at" 6192 19673 15830 15417
"200711_s_at" 5619 18052 16203 15449
"200712_s_at" 1545 19934 17855 12112
"200713_s_at" 4862 14678 17721 14845
"200714_x_at" 18787 16869 15808 13490
"200715_x_at" 18566 10103 5181 2381
"200716_x_at" 7436 4091 17482 12261
"200717_x_at" 17530 3895 6801 2849
"200718_s_at" 6048 9448 4048 1808
"200719_at" 20838 14655 5031 19215
"200720_s_at" 18521 20072 16471 16990
"200721_s_at" 18313 13882 16445 14000
"200722_s_at" 2276 21290 18005 15408
"200723_s_at" 18127 15607 3851 15018
"200724_at" 13025 14104 1964 13876
"200725_x_at" 17944 1152 6797 2867
"200726_at" 3555 14488 5383 16316
"200727_s_at" 7025 14450 7176 13193
"200728_at" 6431 11448 6159 2772
"200729_s_at" 1584 18423 5987 14013
"200730_s_at" 4299 20916 3459 20170
"200731_s_at" 1807 15288 939 21237
"200732_s_at" 3276 16438 5080 16886
"200733_s_at" 21107 13229 2558 17482
"200734_s_at" 17628 21134 7006 1724
"200735_x_at" 19597 1382 5933 2686
"200736_s_at" 18386 2318 4775 7154
"200737_at" 18818 14692 2843 19238
"200738_s_at" 4159 11230 4451 14111
"200739_s_at" 19257 12859 18959 13549
"200740_s_at" 17650 12951 5967 12258
"200741_s_at" 4341 3761 18082 2320
"200742_s_at" 18429 12405 17338 13216
"200743_s_at" 6182 17983 4043 21110
"200744_s_at" 7191 17163 20662 14120
"200745_s_at" 6629 21274 6477 21198
"200746_s_at" 19916 14388 3996 1110
"200747_s_at" 22203 15949 17716 16495
"200748_s_at" 21293 9627 16522 15494
"200749_at" 7320 20576 5986 17849
"200750_s_at" 7095 9465 6889 13266
"200751_s_at" 6559 14313 18402 14311
"200752_s_at" 2553 18111 19493 18889
"200753_x_at" 4380 17563 5455 14140
"200754_x_at" 2428 11611 7036 12639
"200755_s_at" 3838 18840 16928 13982
"200756_x_at" 6596 16164 21699 15020
"200757_s_at" 4736 14666 16113 17286
"200758_s_at" 20063 21042 19327 21021
"200759_x_at" 21872 15929 17174 17970
"200760_s_at" 21655 16310 5252 12837
"200761_s_at" 2940 19855 6659 14991
"200762_at" 21751 19915 5414 19543
"200763_s_at" 6405 9271 5788 2651
"200764_s_at" 10203 16221 6826 11995
"200765_x_at" 16056 14862 9397 13627
"200766_at" 20438 15044 19999 19477
"200767_s_at" 5238 20506 4367 18962
"200768_s_at" 3887 13314 17136 17242
"200769_s_at" 1669 16932 2506 2774
"200770_s_at" 18549 20054 18978 11925
"200771_at" 20224 19619 4067 20438
"200772_x_at" 7326 9394 18520 14543
"200773_x_at" 4233 9303 15731 13305
"200774_at" 7403 13852 3478 14468
"200775_s_at" 21515 15943 5902 12849
"200776_s_at" 20413 13170 16325 12622
"200777_s_at" 6065 12468 16420 14868
"200778_s_at" 18062 19966 15189 13391
"200779_at" 18734 12494 18426 17969
"200780_x_at" 19023 10608 4814 14051
"200781_s_at" 5842 1320 16090 2932
"200782_at" 18523 15817 6471 11790
"200783_s_at" 22269 19409 6121 15571
"200784_s_at" 10245 2481 7956 11382
"200785_s_at" 17367 2301 13447 6936
"200786_at" 4934 12350 16931 2676
"200787_s_at" 18109 20688 20263 15633
"200788_s_at" 19896 17354 6219 18378
"200789_at" 2350 10569 21476 2360
