"inst_3136" "inst_6515" "inst_7475"
"1007_s_at" 7430 7669 5268
"1053_at" 4541 3382 8680
"117_at" 10264 14208 14412
"121_at" 9995 16955 21059
"1255_g_at" 14993 12503 15555
"1294_at" 7293 801 6074
"1316_at" 19607 1598 422
"1320_at" 12582 14443 15952
"1405_i_at" 9198 10422 12470
"1431_at" 19460 18722 9755
"1438_at" 17470 4919 802
"1487_at" 1644 6919 19555
"1494_f_at" 1530 745 15058
"1598_g_at" 35 20214 7012
"160020_at" 1371 21822 169
"1729_at" 1165 3965 19926
"1773_at" 2468 20878 6898
"177_at" 3610 21136 15787
"179_at" 744 20403 52
"1861_at" 2276 20290 9174
"200000_s_at" 4518 8281 8613
"200001_at" 6015 6637 6432
"200002_at" 18850 8534 17882
"200003_s_at" 14302 15161 17838
"200004_at" 6592 17501 6775
"200005_at" 6740 5611 8164
"200006_at" 7655 6446 8042
"200007_at" 7871 8152 6692
"200008_s_at" 10945 5627 8216
"200009_at" 11087 7359 18642
"200010_at" 18960 5471 8985
"200011_s_at" 6289 7258 6414
"200012_x_at" 19215 16398 19483
"200013_at" 18453 8043 8020
"200014_s_at" 8057 7034 6128
"200015_s_at" 7010 6219 8108
"200016_x_at" 11918 15686 18637
"200017_at" 14430 6532 17780
"200018_at" 14418 15558 19533
"200019_s_at" 10889 8491 8541
"200020_at" 5089 17932 5292
"200021_at" 19315 10713 6116
"200022_at" 11128 7720 18239
"200023_s_at" 4388 8261 18364
"200024_at" 10156 6217 19433
"200025_s_at" 12006 6002 8455
"200026_at" 14564 6372 17910
"200027_at" 7637 7009 5561
"200028_s_at" 6873 17493 7102
"200029_at" 12096 15523 8759
"200030_s_at" 6733 16175 18361
"200031_s_at" 14405 5605 18261
"200032_s_at" 14433 6272 19104
"200033_at" 9649 8559 18131
"200034_s_at" 18526 7655 19576
"200035_at" 19023 17278 8659
"200036_s_at" 11391 18940 7636
"200037_s_at" 8162 16783 7442
"200038_s_at" 14540 8303 18694
"200039_s_at" 9865 4748 19415
"200040_at" 6532 16169 5650
"200041_s_at" 8144 8243 17758
"200042_at" 7403 5946 4413
"200043_at" 4185 6222 2775
"200044_at" 19073 7695 6385
"200045_at" 4844 6240 8000
"200046_at" 11644 15867 6920
"200047_s_at" 10434 17329 4625
"200048_s_at" 6701 7901 8244
"200049_at" 7393 17023 2105
"200050_at" 6665 2735 2907
"200051_at" 4808 4158 18291
"200052_s_at" 9810 8139 9099
"200053_at" 4479 18196 4560
"200054_at" 6801 5887 5154
"200055_at" 5678 7651 19365
"200056_s_at" 7127 6297 3825
"200057_s_at" 9973 7014 8888
"200058_s_at" 6376 16316 6757
"200059_s_at" 18968 15795 6489
