"inst_2486" "inst_2846" "inst_4086" "inst_4165"
"1007_s_at" 21973 5706 4246 16443
"1053_at" 18949 7514 14134 14370
"117_at" 16907 12899 11209 10935
"121_at" 17232 21775 1120 4913
"1255_g_at" 10748 13757 9180 12109
"1294_at" 19154 615 21754 8699
"1316_at" 21663 20831 13551 1530
"1320_at" 12351 16755 1707 3005
"1405_i_at" 17990 13530 9298 426
"1431_at" 1089 20024 13524 6499
"1438_at" 14202 718 3621 4240
"1487_at" 8059 5273 2195 18996
"1494_f_at" 21022 14121 21953 16439
"1598_g_at" 4008 20998 19687 6269
"160020_at" 22006 21299 17184 19641
"1729_at" 15481 20531 2607 4917
"1773_at" 4951 8381 17623 4954
"177_at" 4673 15022 19243 2019
"179_at" 1264 8098 16232 2852
"1861_at" 4324 7507 16477 6382
"200000_s_at" 8494 8117 18374 16604
"200001_at" 7147 7360 2346 7972
"200002_at" 15916 18647 6608 17801
"200003_s_at" 10733 10551 8838 10644
"200004_at" 16724 8247 13425 16338
"200005_at" 6416 7386 7206 7527
"200006_at" 6688 8393 6026 7568
"200007_at" 15221 3269 14734 16951
"200008_s_at" 7432 19280 4057 4268
"200009_at" 6692 10613 5754 7156
"200010_at" 10735 8900 13072 8829
"200011_s_at" 18367 6696 17368 16786
"200012_x_at" 8224 20114 5290 7877
"200013_at" 15119 18731 5460 8681
"200014_s_at" 6249 8968 7584 16510
"200015_s_at" 15397 7022 4569 16473
"200016_x_at" 10651 9268 13047 15274
"200017_at" 10866 19121 8896 10753
"200018_at" 10850 19199 8894 10743
"200019_s_at" 15496 19094 15080 15163
"200020_at" 17023 4909 14897 15101
"200021_at" 20238 18951 8947 10880
"200022_at" 10750 19147 4035 10663
"200023_s_at" 15632 9287 15780 19308
"200024_at" 10821 19146 5060 14750
"200025_s_at" 10846 18704 14025 10740
"200026_at" 11003 18679 7158 10883
"200027_at" 15958 7075 5180 15347
"200028_s_at" 7775 10406 13163 18724
"200029_at" 10796 19653 14914 8139
"200030_s_at" 16516 10760 7470 14673
"200031_s_at" 10838 20488 8886 10732
"200032_s_at" 10868 20579 4994 10758
"200033_at" 16285 9121 12755 16698
"200034_s_at" 8369 20389 5050 10651
"200035_at" 19938 1177 15182 5516
"200036_s_at" 8017 10605 13505 14801
"200037_s_at" 15919 10602 16065 17209
"200038_s_at" 10977 19850 5091 10858
"200039_s_at" 15582 10554 4802 7269
"200040_at" 15600 7814 13496 7604
"200041_s_at" 7624 8648 13607 7875
"200042_at" 4114 18671 14265 15460
"200043_at" 18011 18762 14006 14631
"200044_at" 7397 10782 5951 14726
"200045_at" 2579 9369 13553 7456
"200046_at" 18461 19719 14043 17643
"200047_s_at" 15298 8607 16940 17951
"200048_s_at" 7827 5828 13027 17206
"200049_at" 15864 7047 17727 5355
"200050_at" 7904 4859 17165 20205
"200051_at" 7695 9555 14688 18097
"200052_s_at" 16231 8674 15300 17048
"200053_at" 20435 9764 1456 3027
"200054_at" 19110 7871 16552 18345
"200055_at" 15960 9410 14736 8670
"200056_s_at" 16742 7026 17580 19048
"200057_s_at" 16641 10259 13150 16494
"200058_s_at" 8430 4878 7408 4765
"200059_s_at" 16440 9848 15523 15493
