"inst_2307" "inst_2345" "inst_3678" "inst_4701" "inst_7377"
"1007_s_at" 15469 21971 16420 16507 18132
"1053_at" 17800 19824 4132 4816 16384
"117_at" 5222 19374 8599 11714 14371
"121_at" 10078 21094 4181 16202 17219
"1255_g_at" 6658 11722 10214 11599 8776
"1294_at" 20528 1139 21798 3629 16036
"1316_at" 21832 7126 19554 17451 4638
"1320_at" 4259 12026 17972 202 15033
"1405_i_at" 5994 3722 12079 6606 16163
"1431_at" 16452 10861 2417 18545 12720
"1438_at" 21864 12889 1458 21567 17144
"1487_at" 13312 18102 16358 2509 3996
"1494_f_at" 22008 12294 20664 8339 9068
"1598_g_at" 21602 113 6195 14488 3405
"160020_at" 963 157 16822 5960 1426
"1729_at" 2060 4836 1381 1900 736
"1773_at" 10598 17863 1832 1845 17718
"177_at" 11492 18964 1316 11617 1221
"179_at" 1360 688 17374 14073 1201
"1861_at" 10753 6245 19382 2248 5275
"200000_s_at" 13944 18117 4603 14445 19068
"200001_at" 12588 17387 5471 5423 7693
"200002_at" 11620 16014 16134 5451 5252
"200003_s_at" 4957 5981 9624 15464 16766
"200004_at" 12261 4830 14814 14070 2159
"200005_at" 10219 3466 13511 14038 17717
"200006_at" 10466 7075 7911 5001 6886
"200007_at" 11334 6228 15048 14332 6272
"200008_s_at" 15496 18643 16466 654 1992
"200009_at" 11755 17453 7404 4697 3227
"200010_at" 9489 6691 3241 4126 6120
"200011_s_at" 16420 6987 6176 15310 16379
"200012_x_at" 2326 16957 14758 3537 17593
"200013_at" 9605 6924 6791 6602 17198
"200014_s_at" 12811 6069 4557 6908 4841
"200015_s_at" 19002 5391 7150 14672 4820
"200016_x_at" 10564 15992 14784 16884 6559
"200017_at" 4847 17402 9727 6916 8222
"200018_at" 4789 16661 9713 16264 8045
"200019_s_at" 9840 6772 15829 14177 17529
"200020_at" 2112 3864 18496 13924 2633
"200021_at" 5026 3929 9823 16148 6393
"200022_at" 4819 16262 5106 2745 6814
"200023_s_at" 11592 7037 14848 15563 16937
"200024_at" 10112 16965 13931 14025 6934
"200025_s_at" 11811 16448 15888 15718 7545
"200026_at" 10179 10196 9828 16155 18186
"200027_at" 15215 16886 13747 15366 4424
"200028_s_at" 15829 3791 15283 3580 4005
"200029_at" 9886 16484 15102 4792 17906
"200030_s_at" 10508 6529 4180 14961 17576
"200031_s_at" 4824 9996 9706 5751 17174
"200032_s_at" 5016 10083 9730 14785 16969
"200033_at" 10291 7476 4922 6766 6472
"200034_s_at" 11151 17603 4036 15783 7019
"200035_at" 14180 1282 18814 15699 19752
"200036_s_at" 10380 17732 17556 6673 8101
"200037_s_at" 10730 3999 16168 6732 5922
"200038_s_at" 2934 10204 6712 15666 16441
"200039_s_at" 13410 16542 13734 14567 7144
"200040_at" 15023 6712 18393 6164 16967
"200041_s_at" 12901 5805 14094 15896 16558
"200042_at" 14643 18092 4899 16351 16817
"200043_at" 16760 17813 5136 6796 4705
"200044_at" 17136 17442 14451 15970 7447
"200045_at" 16083 5811 6863 14269 7893
"200046_at" 10097 4188 4670 3122 5602
"200047_s_at" 9838 17370 17373 4694 5014
"200048_s_at" 10099 4951 14053 15785 7211
"200049_at" 14564 19433 6706 15874 19758
"200050_at" 15803 18109 19848 2360 2846
"200051_at" 16484 17794 16865 16279 20937
"200052_s_at" 11316 17142 13529 2865 4071
"200053_at" 15314 19421 19892 20692 21238
"200054_at" 13453 426 13924 17216 19380
"200055_at" 2260 16055 4519 17018 17925
"200056_s_at" 14744 17298 14450 15995 2573
"200057_s_at" 9812 5955 17048 17032 7915
"200058_s_at" 16268 3275 4137 15451 8281
"200059_s_at" 10089 18851 4819 2229 5980
"200060_s_at" 2203 7276 5740 5782 7418
"200061_s_at" 4924 16512 9705 6482 16870
"200062_s_at" 4917 17360 9611 8985 17129
"200063_s_at" 4773 6326 9757 9181 17206
"200064_at" 10055 16797 2256 3140 7859
"200065_s_at" 11655 3888 3751 5792 4522
"200066_at" 14550 4055 14028 1842 18610
"200067_x_at" 15609 6376 18615 14418 7242
"200068_s_at" 10693 5382 14273 5962 7355
"200069_at" 19209 7206 6094 976 5618
"200070_at" 15987 19459 6617 14991 1515
"200071_at" 11007 3458 7441 18697 7794
"200072_s_at" 11782 4777 14795 3904 4811
"200073_s_at" 14976 18821 17993 2591 7012
"200074_s_at" 14809 16377 15175 6735 17044
"200075_s_at" 17561 17269 5378 15323 18157
"200076_s_at" 15688 16053 15797 4907 3499
"200077_s_at" 2710 16778 6674 6128 4570
"200078_s_at" 10371 5210 5361 13842 7587
"200079_s_at" 12987 6499 7019 14066 4630
"200080_s_at" 12166 18541 17537 5194 7970
"200081_s_at" 3075 6078 6929 3147 17882
"200082_s_at" 3032 16626 7779 5748 18178
"200083_at" 14295 5692 4419 13983 17697
"200084_at" 14368 17316 14265 4940 4089
"200085_s_at" 9985 6959 15024 2693 7377
"200086_s_at" 10921 5276 15287 4040 8193
"200087_s_at" 11171 4147 14869 20240 1983
"200088_x_at" 4975 7242 9620 8997 18415
"200089_s_at" 10024 16889 17530 6450 8147
"200090_at" 16178 6015 5543 5966 6923
"200091_s_at" 12057 18965 15467 14804 18671
"200092_s_at" 2822 7455 6069 5269 18333
"200093_s_at" 13045 20071 4466 16272 7106
"200094_s_at" 10447 6473 19175 1780 6952
"200095_x_at" 4890 7486 9815 9250 17883
"200096_s_at" 1766 17628 6516 2137 3946
"200097_s_at" 14192 6989 15127 18265 16462
"200098_s_at" 14427 4727 8091 14913 6332
"200099_s_at" 5018 10096 15321 15531 17187
"200593_s_at" 15786 6654 7387 5014 16770
"200594_x_at" 13654 3209 4117 14903 18026
"200595_s_at" 17092 4709 6622 19412 18374
"200596_s_at" 14700 6169 13667 3461 8132
"200597_at" 13683 16628 20221 18922 19945
"200598_s_at" 13740 16901 15044 6739 8390
"200599_s_at" 9739 1548 7075 14810 6926
"200600_at" 7301 3868 3802 13545 5865
"200601_at" 20894 18003 13535 6119 787
"200602_at" 10739 18608 20074 16221 957
"200603_at" 16541 7198 15288 17812 5637
"200604_s_at" 11640 21224 4498 2874 4800
"200605_s_at" 17920 16589 6154 1383 5409
"200606_at" 2463 9522 17175 15168 1797
"200607_s_at" 14810 18661 6649 14473 7718
"200608_s_at" 13974 17159 15436 15552 7872
"200609_s_at" 15452 18634 16982 14915 3466
"200610_s_at" 10373 17748 5413 6074 6974
"200611_s_at" 16214 6637 15262 5765 6375
"200612_s_at" 17919 16708 1861 3660 4553
"200613_at" 9950 5817 6931 6333 5914
"200614_at" 13024 17095 6774 6920 16911
"200615_s_at" 12460 19285 6135 5109 5423
"200616_s_at" 14950 3632 7959 17627 18306
"200617_at" 16644 4916 5366 19265 20170
"200618_at" 15575 2236 5768 5959 4168
"200619_at" 12979 2888 2215 5237 8107
"200620_at" 11356 18961 3176 6486 7247
"200621_at" 15028 1004 17029 17687 17086
"200622_x_at" 14612 16466 14943 14761 3610
"200623_s_at" 18417 17646 15005 20087 20465
"200624_s_at" 14613 6545 15977 2302 4677
"200625_s_at" 13004 6310 6968 17486 16943
"200626_s_at" 11668 2745 3171 15778 4150
"200627_at" 11497 7278 4267 5590 7583
"200628_s_at" 12837 20456 2660 3571 18809
"200629_at" 10328 18007 14122 17491 6416
"200630_x_at" 2430 5443 4814 17498 7003
"200631_s_at" 12235 5263 7980 6504 7265
"200632_s_at" 14124 1854 5710 19888 7080
"200633_at" 4794 6396 9704 14149 7574
"200634_at" 12653 7434 5398 15776 4517
"200635_s_at" 17074 7880 4750 4580 19391
"200636_s_at" 17601 10002 19262 16276 7721
"200637_s_at" 21021 10030 17952 4150 8123
"200638_s_at" 9600 5939 6566 3809 4262
"200639_s_at" 16359 18756 7610 17560 17020
"200640_at" 12457 6031 3519 14262 17094
"200641_s_at" 11555 19425 7743 1005 6641
"200642_at" 11657 17040 6498 3790 7299
"200643_at" 20238 3695 2661 4791 20602
"200644_at" 16490 3678 15278 18725 4903
"200645_at" 12337 3060 13592 16917 7663
"200646_s_at" 17543 22185 13977 15794 21670
"200647_x_at" 9656 1579 3415 4757 16919
"200648_s_at" 15779 20633 3967 1817 1868
"200649_at" 20491 2887 20443 18841 20023
"200650_s_at" 11839 18882 9581 5448 16871
"200651_at" 2523 17131 3566 5452 18225
"200652_at" 14798 6266 15215 2670 5540
"200653_s_at" 20105 6030 5140 6930 17067
"200654_at" 10746 4243 6160 14704 8156
"200655_s_at" 11212 6406 6454 16988 7290
"200656_s_at" 13942 19326 5565 14462 4836
"200657_at" 2081 4468 13951 6035 7825
"200658_s_at" 11912 6533 5519 1830 7305
"200659_s_at" 15078 19152 15334 1063 4851
"200660_at" 12431 3574 3998 17365 6825
"200661_at" 12733 6903 17461 3624 7459
"200662_s_at" 16087 6243 1606 4396 7742
"200663_at" 12210 16284 16732 5659 8210
"200664_s_at" 2952 21401 2712 3039 7540
"200665_s_at" 5498 10398 11160 13505 10512
"200666_s_at" 14318 6269 16947 4511 7478
"200667_at" 10327 4211 14431 3289 7405
"200668_s_at" 10936 4620 14409 15956 5760
"200669_s_at" 14615 16334 15716 16068 5203
"200670_at" 14083 17648 17647 17211 8189
"200671_s_at" 19823 12642 3000 20056 7089
"200672_x_at" 21042 813 21579 3578 18409
"200673_at" 10633 5666 13796 16075 6292
"200674_s_at" 3074 16746 7473 6306 19710
"200675_at" 16506 6833 16335 17188 17166
"200676_s_at" 2699 2162 13684 20557 6305
"200677_at" 11378 18527 7886 6843 5085
"200678_x_at" 9414 3089 4936 4578 7591
"200679_x_at" 10702 7228 14709 4982 18099
"200680_x_at" 2770 16116 7394 14264 2840
"200681_at" 10483 18607 7592 15243 17270
"200682_s_at" 14190 6770 4609 5493 3874
"200683_s_at" 13641 19758 6113 15013 17426
"200684_s_at" 15436 19207 18866 3799 5418
"200685_at" 19093 18437 14701 20821 7472
"200686_s_at" 15481 19010 6217 19188 1146
"200687_s_at" 18109 3879 5862 5610 2488
"200688_at" 20115 5850 3604 4202 19539
"200689_x_at" 2427 5147 14815 14417 18241
"200690_at" 16353 19044 14641 15566 3167
"200691_s_at" 10918 4619 5741 15742 17275
"200692_s_at" 10786 18510 4425 6191 7084
"200693_at" 10997 5229 4752 4378 5379
"200694_s_at" 16936 2773 6064 19580 6195
"200695_at" 16502 18032 17485 4364 20990
"200696_s_at" 15304 2848 17133 5245 18272
"200697_at" 18633 19892 5917 6906 7199
"200698_at" 16438 6267 5246 16499 7969
"200699_at" 11225 18105 5819 6852 17629
"200700_s_at" 12638 6386 17021 17001 5356
"200701_at" 16620 3697 7297 6148 7991
"200702_s_at" 18810 16715 15326 4559 5888
"200703_at" 13030 16604 16053 15979 16708
"200704_at" 13606 16806 6759 20119 16556
"200705_s_at" 10177 6272 3985 16342 18896
"200706_s_at" 12581 18867 3237 17006 21671
"200707_at" 13159 797 4273 16923 20444
"200708_at" 10761 17415 15399 17595 7737
"200709_at" 19062 3138 1517 14748 17180
"200710_at" 12996 4297 16646 3939 5031
"200711_s_at" 17223 16931 17502 14309 18196
"200712_s_at" 13244 20440 5275 2122 2053
"200713_s_at" 11298 3923 4563 5812 4589
"200714_x_at" 13760 3781 2612 15339 7310
"200715_x_at" 1720 3213 15071 6992 17938
"200716_x_at" 4999 16929 9810 14029 16650
"200717_x_at" 4980 16850 9700 9101 16408
"200718_s_at" 10000 5656 15083 17336 7313
"200719_at" 11303 751 7600 18829 3891
"200720_s_at" 20227 18927 2598 3462 5044
"200721_s_at" 20158 5586 19014 14373 4615
"200722_s_at" 17831 16573 837 1394 6656
"200723_s_at" 10806 17081 4977 3350 4469
"200724_at" 2513 13478 18569 20381 21044
"200725_x_at" 1733 4962 14275 14286 16444
"200726_at" 17941 19742 14831 14725 5539
"200727_s_at" 20970 20092 7324 17534 959
"200728_at" 1717 6716 3670 13749 4840
"200729_s_at" 13240 18064 6583 5821 2696
"200730_s_at" 19192 19794 1072 6472 7946
"200731_s_at" 16735 5088 16699 3469 1849
"200732_s_at" 17799 5112 6029 13705 17214
"200733_s_at" 15460 21028 4120 19454 8054
"200734_s_at" 16209 4358 16308 17297 4786
"200735_x_at" 4899 6315 9762 5619 17252
"200736_s_at" 7109 4388 6043 10779 18506
"200737_at" 17555 7145 5078 15385 8046
"200738_s_at" 9906 5437 6669 14628 17251
"200739_s_at" 14139 3655 18425 4116 8312
"200740_s_at" 10699 6465 4706 14697 2661
"200741_s_at" 4799 10126 9612 8987 8098
"200742_s_at" 17367 19562 18577 18348 4265
"200743_s_at" 17734 2221 7596 13935 7411
"200744_s_at" 13502 7057 4102 3750 5699
"200745_s_at" 13184 3762 14187 18295 5927
"200746_s_at" 12584 5079 6623 6760 17498
"200747_s_at" 16428 3804 16066 17866 21349
"200748_s_at" 11646 3254 9824 4035 18087
"200749_at" 19720 4246 15345 15500 3704
"200750_s_at" 9498 16068 9676 6478 8146
"200751_s_at" 14029 19671 4170 1269 4019
"200752_s_at" 17708 1300 20025 5690 18252
"200753_x_at" 13087 7257 13508 4622 4224
"200754_x_at" 9874 6488 7830 4089 18125
"200755_s_at" 18567 16790 14834 2283 16930
"200756_x_at" 16774 954 1870 647 6104
"200757_s_at" 16095 6651 6956 4321 5759
"200758_s_at" 19218 4642 7090 4336 16852
"200759_x_at" 19171 4613 15504 20502 6784
"200760_s_at" 12746 4261 6936 4381 2690
"200761_s_at" 12477 3743 7766 19388 2892
"200762_at" 16493 993 15562 6572 5526
"200763_s_at" 4995 17348 9772 14694 16576
"200764_s_at" 17700 16949 329 2310 13443
"200765_x_at" 13049 8083 8203 15844 10560
"200766_at" 11967 22041 8073 18340 19277
"200767_s_at" 19055 17612 14046 2567 20811
"200768_s_at" 15236 16125 19081 17827 19381
"200769_s_at" 9715 18846 18821 792 16839
"200770_s_at" 20794 4835 18880 6063 17866
"200771_at" 15197 4887 17107 3604 4323
"200772_x_at" 10434 17422 6831 4779 17348
"200773_x_at" 9779 16918 7326 13786 16461
"200774_at" 13007 19874 17677 16302 7681
"200775_s_at" 12433 3590 6230 3109 4669
"200776_s_at" 11600 20207 5763 1008 2061
"200777_s_at" 12554 17392 8032 15141 5908
"200778_s_at" 2614 6582 17842 1689 6569
"200779_at" 11951 16912 3754 4616 18032
"200780_x_at" 2444 2386 7467 17048 17585
"200781_s_at" 4870 18420 17302 6836 16698
"200782_at" 11583 3947 15222 16373 3623
"200783_s_at" 13695 7282 877 6230 6370
"200784_s_at" 6157 944 18929 11546 15122
"200785_s_at" 3188 8229 21884 12742 4658
"200786_at" 9943 3725 14317 6053 16445
"200787_s_at" 18653 16361 7796 16384 20451
"200788_s_at" 16628 3640 17860 5859 17243
"200789_at" 2586 19886 18210 2981 2298
"200790_at" 14676 18751 5832 5658 17375
"200791_s_at" 17161 16353 1721 3584 7162
"200792_at" 11957 7201 4487 6458 18682
"200793_s_at" 11226 19000 15484 19910 6280
"200794_x_at" 13645 16861 7562 4924 7425
"200795_at" 95 3627 12228 20510 9648
"200796_s_at" 1252 19295 15820 15569 3004
"200797_s_at" 17736 2920 5711 3562 18284
"200798_x_at" 14808 6960 15404 15007 3441
"200799_at" 2567 11397 7691 6529 2712
"200800_s_at" 2668 1469 5802 16315 5429
"200801_x_at" 4978 5863 9585 8948 17738
"200802_at" 11557 18340 15381 4077 4527
"200803_s_at" 9949 18893 14196 5378 3051
"200804_at" 11430 3438 7015 13927 6585
"200805_at" 16586 6642 3948 1686 7746
"200806_s_at" 2905 16962 14405 4365 5913
"200807_s_at" 10399 17554 9594 14204 7374
"200808_s_at" 21928 4576 17198 19020 20506
"200809_x_at" 4921 17174 6528 3111 17329
"200810_s_at" 15554 6004 15179 15927 16527
"200811_at" 11406 20041 16593 14237 4284
"200812_at" 10472 7102 16181 5511 4573
"200813_s_at" 15498 6819 20642 1021 19473
"200814_at" 17996 7290 6310 6428 7231
"200815_s_at" 16264 18118 4388 5834 17515
"200816_s_at" 16788 3906 15474 18300 6177
"200817_x_at" 4926 9954 9597 8960 18408
"200818_at" 1614 7130 14329 4324 16847
"200819_s_at" 5010 16069 5806 14716 7768
"200820_at" 13406 5463 6318 4091 7118
"200821_at" 17637 21190 16587 21045 3477
"200822_x_at" 13505 18517 4747 4436 20476
"200823_x_at" 9537 16782 16183 4238 6049
"200824_at" 298 6565 17073 19502 16786
"200825_s_at" 16579 7040 16700 14461 16521
"200826_at" 9876 6710 5466 5366 7171
"200827_at" 14044 1442 7507 19787 6820
"200828_s_at" 11266 5856 13611 2237 5209
"200829_x_at" 13016 18251 5250 14771 4620
"200830_at" 12005 17708 6612 6579 5051
"200831_s_at" 11174 614 16190 4523 21113
"200832_s_at" 13957 6626 7742 15978 4282
"200833_s_at" 15613 17251 16017 6848 4202
"200834_s_at" 4790 6105 9640 15506 5557
"200835_s_at" 20654 18407 3766 17163 6229
"200836_s_at" 13529 202 1730 566 18299
"200837_at" 2201 17072 14416 18658 18851
"200838_at" 14149 18055 17495 5697 5846
"200839_s_at" 16159 6277 15069 13880 8230
"200840_at" 10570 15980 14216 15057 4325
"200841_s_at" 12308 17186 2292 6227 6306
"200842_s_at" 15061 4146 13983 14776 16760
"200843_s_at" 16998 15997 17463 5559 19326
"200844_s_at" 9922 17018 13810 2863 6223
"200845_s_at" 11746 18454 14219 14207 7021
"200846_s_at" 13800 5735 5500 2056 5375
"200847_s_at" 9416 4818 16472 16325 2442
"200848_at" 12879 3255 18128 4999 19627
"200849_s_at" 13203 16775 2857 20768 16788
"200850_s_at" 11953 4293 6223 5013 4390
"200851_s_at" 16050 1241 2127 17294 1312
"200852_x_at" 19131 17433 20140 17207 20724
"200853_at" 2437 5351 7968 14381 16880
"200854_at" 20113 6898 19982 19174 19967
"200855_at" 21542 21943 1782 6797 20730
"200856_x_at" 15065 21661 20727 13910 21675
"200857_s_at" 20587 3289 7333 2556 7190
"200858_s_at" 13350 16819 15115 6473 7262
"200859_x_at" 16029 4032 14979 15499 3151
"200860_s_at" 11848 5191 7783 4291 5775
"200861_at" 18912 5379 14021 6437 6708
"200862_at" 15397 1964 16049 3559 5698
"200863_s_at" 11780 16574 15783 4095 4255
"200864_s_at" 13131 18202 4474 17817 1984
"200865_at" 16432 20584 13179 2418 9410
"200866_s_at" 15666 7354 4968 2243 3914
"200867_at" 16455 16831 19323 14036 17207
"200868_s_at" 11433 7454 7241 4670 4197
"200869_at" 4829 6219 7973 5088 17782
"200870_at" 11932 7193 13862 15041 4706
"200871_s_at" 11417 2151 6140 5335 4815
"200872_at" 11355 2342 6278 3554 7622
"200873_s_at" 10206 5853 7737 14669 5202
"200874_s_at" 16206 20656 18186 4625 6000
"200875_s_at" 17239 17455 15100 16390 19296
"200876_s_at" 11748 7236 13550 15607 6327
"200877_at" 10969 19200 5359 14880 16680
"200878_at" 17583 13453 5553 19533 3521
"200879_s_at" 8496 10878 8889 19801 17447
"200880_at" 16232 4182 20029 15943 6739
"200881_s_at" 14084 18637 6837 3921 5445
"200882_s_at" 12097 7272 18692 5775 17911
"200883_at" 14854 16228 3958 3306 5002
"200884_at" 12368 332 18326 5184 17715
"200885_at" 11281 4732 19511 18926 1700
"200886_s_at" 12533 17690 15441 14094 17045
"200887_s_at" 16052 6028 17892 14014 1236
"200888_s_at" 10793 16489 13552 4899 5262
"200889_s_at" 18870 19394 16195 14746 6221
"200890_s_at" 18212 20598 3272 14561 7196
"200891_s_at" 14496 19687 5602 18636 16560
"200892_s_at" 13488 17572 15469 2796 4238
"200893_at" 10805 17232 5316 14534 5998
"200894_s_at" 16884 16741 6840 4300 18190
"200895_s_at" 18719 6339 4565 13930 17137
"200896_x_at" 13158 3182 15752 16396 8336
"200897_s_at" 11018 11583 6253 17667 17246
"200898_s_at" 21101 21366 20308 4606 17403
"200899_s_at" 14388 16017 17743 19200 19771
"200900_s_at" 14465 6827 16298 4475 18913
"200901_s_at" 14486 4080 17408 3170 17776
"200902_at" 16395 19723 6733 14884 5692
"200903_s_at" 13351 5273 2955 16676 17335
"200904_at" 21401 16987 18124 16436 1264
"200905_x_at" 12761 2981 6488 4369 8412
"200906_s_at" 16323 16191 7422 15269 17607
"200907_s_at" 19414 13737 7988 4993 19352
"200908_s_at" 21105 16418 20044 19347 19457
"200909_s_at" 10592 7481 9655 5598 19502
"200910_at" 11728 17527 6855 6302 17500
"200911_s_at" 9584 5675 6348 5174 3720
"200912_s_at" 11012 6809 13998 4179 5541
"200913_at" 18822 18880 14129 15430 1653
"200914_x_at" 19937 18247 13899 20260 16948
"200915_x_at" 2566 3133 3808 17338 4858
"200916_at" 13273 5995 6979 14907 6826
"200917_s_at" 1481 19685 4122 5768 4013
"200918_s_at" 12238 2900 13802 5874 18704
"200919_at" 3021 7433 17468 16082 1006
"200920_s_at" 16828 2983 4095 13781 19007
"200921_s_at" 12693 1261 6358 19610 7439
"200922_at" 19540 6735 4753 18554 5750
"200923_at" 11352 14768 21355 19341 3145
"200924_s_at" 11106 5388 1704 2736 21475
"200925_at" 11326 7187 6653 14301 17312
"200926_at" 4834 10067 9773 9203 17974
"200927_s_at" 9875 5661 4635 2308 19681
"200928_s_at" 16298 5466 10390 20848 13605
"200929_at" 12271 18395 7668 17247 3366
"200930_s_at" 4027 14705 318 8562 10137
