"inst_2146" "inst_2802" "inst_4202" "inst_4787"
"1007_s_at" 70 16758 3318 12326
"1053_at" 1311 17704 17828 3716
"117_at" 18815 4426 19843 8211
"121_at" 20326 2136 6405 17036
"1255_g_at" 14355 6526 11763 5169
"1294_at" 21695 11252 20678 1879
"1316_at" 16326 1949 20352 1746
"1320_at" 9454 7472 10669 2212
"1405_i_at" 3014 8075 21597 7832
"1431_at" 2546 11677 15341 2474
"1438_at" 15653 18717 1413 16762
"1487_at" 20230 21165 15434 4279
"1494_f_at" 20250 11272 1579 1783
"1598_g_at" 22079 22037 7287 2878
"160020_at" 8490 10563 1653 483
"1729_at" 7684 11561 17759 13678
"1773_at" 8635 12768 4546 452
"177_at" 16153 2520 20536 1911
"179_at" 20913 321 589 13076
"1861_at" 2210 13989 6915 16117
"200000_s_at" 3108 14547 17627 14845
"200001_at" 18748 12755 16304 14404
"200002_at" 7390 12318 5702 13710
"200003_s_at" 11010 11608 9538 14180
"200004_at" 3315 15333 15045 4294
"200005_at" 16829 11405 6092 3288
"200006_at" 7832 11306 14051 14420
"200007_at" 6541 11244 5318 13823
"200008_s_at" 6111 11407 6519 4309
"200009_at" 16204 12720 16340 11818
"200010_at" 16753 12532 14487 18660
"200011_s_at" 5902 12521 17258 4641
"200012_x_at" 17805 1729 7272 3005
"200013_at" 7165 10881 7055 14568
"200014_s_at" 19505 12589 4332 16088
"200015_s_at" 8000 16043 7689 20117
"200016_x_at" 8554 2957 15158 12113
"200017_at" 10963 5761 15143 16200
"200018_at" 10818 10735 16243 13302
"200019_s_at" 7654 11976 6322 4052
"200020_at" 2963 19061 13494 15278
"200021_at" 6920 22008 9636 7210
"200022_at" 10711 2316 2677 4547
"200023_s_at" 5338 15336 7338 3755
"200024_at" 6777 3126 13474 13893
"200025_s_at" 8220 11432 6125 4871
"200026_at" 10942 2399 7910 14427
"200027_at" 8498 11182 5911 13189
"200028_s_at" 16917 12984 13829 13959
"200029_at" 10968 3131 5193 3842
"200030_s_at" 7324 10310 14894 12109
"200031_s_at" 10957 5721 9581 12903
"200032_s_at" 10860 5765 14878 12375
"200033_at" 2085 14324 14328 13853
"200034_s_at" 6375 10454 17432 4663
"200035_at" 8657 17636 19657 19295
"200036_s_at" 18183 12609 13626 4928
"200037_s_at" 5768 16224 8051 17948
"200038_s_at" 10909 11142 15368 4453
"200039_s_at" 6939 17388 16240 16702
"200040_at" 8682 16955 15533 16247
"200041_s_at" 16234 17538 18694 13460
"200042_at" 6265 14758 14393 17632
"200043_at" 2305 2134 16608 16783
"200044_at" 7907 16077 8018 12436
"200045_at" 18750 15456 7595 4558
"200046_at" 3278 14491 7762 14563
"200047_s_at" 5357 15649 6438 18077
"200048_s_at" 6870 13873 13731 15118
"200049_at" 6223 19106 16413 3401
"200050_at" 3195 15579 5974 18397
"200051_at" 17186 16475 17686 20196
"200052_s_at" 7150 16318 7954 16260
"200053_at" 19125 2808 18862 20858
"200054_at" 16349 14123 14823 4468
"200055_at" 19726 13100 4854 12861
"200056_s_at" 5685 21502 5997 19963
"200057_s_at" 7747 11577 13457 12882
