"inst_3004" "inst_3342" "inst_4083" "inst_4163"
"1007_s_at" 20788 11171 4533 3211
"1053_at" 11074 15477 19827 19689
"117_at" 20275 8413 6388 16
"121_at" 2593 15455 15490 14729
"1255_g_at" 14702 8349 8085 8665
"1294_at" 19808 12264 21626 4745
"1316_at" 4838 11888 1383 3995
"1320_at" 13532 9530 3706 15312
"1405_i_at" 5517 6727 6843 2653
"1431_at" 21423 1278 21997 5371
"1438_at" 14594 13584 10359 3973
"1487_at" 9863 20501 13851 6404
"1494_f_at" 9634 20221 16816 5080
"1598_g_at" 19489 18300 21319 5464
"160020_at" 8656 1013 10776 14682
"1729_at" 10793 16857 13931 12747
"1773_at" 20620 1398 20313 6274
"177_at" 21521 9250 10433 2585
"179_at" 758 11107 2048 6858
"1861_at" 4973 14806 12371 6704
"200000_s_at" 11072 18398 19513 6128
"200001_at" 6666 17182 13723 12670
"200002_at" 11198 10369 11280 13605
"200003_s_at" 13774 11451 6648 8780
"200004_at" 8767 13385 14728 15746
"200005_at" 11437 12928 16907 13702
"200006_at" 9039 11731 11371 6216
"200007_at" 9693 10467 12256 12661
"200008_s_at" 1224 11236 15306 17347
"200009_at" 7547 10772 13027 7154
"200010_at" 11863 3703 11132 15997
"200011_s_at" 7579 15450 19740 12949
"200012_x_at" 20173 2471 3757 4647
"200013_at" 10315 3548 4695 5330
"200014_s_at" 8253 11662 14687 14045
"200015_s_at" 8872 11994 15436 13405
"200016_x_at" 11276 2924 6598 12677
"200017_at" 13868 6053 6704 8894
"200018_at" 13856 6036 6701 8881
"200019_s_at" 18829 11909 11365 6725
"200020_at" 7017 16060 20711 18246
"200021_at" 18245 6196 6762 8994
"200022_at" 18005 3838 5045 8795
"200023_s_at" 8735 15590 13361 14094
"200024_at" 18252 10551 10305 12155
"200025_s_at" 18508 10326 11632 8880
"200026_at" 13966 3882 4290 8996
"200027_at" 9790 14093 10501 13244
"200028_s_at" 9944 19186 13587 14711
"200029_at" 18779 3339 3754 6238
"200030_s_at" 11187 11110 11391 13923
"200031_s_at" 13850 6020 6693 8870
"200032_s_at" 13872 6056 4152 8896
"200033_at" 8716 13216 13955 15905
"200034_s_at" 11457 3572 10569 8784
"200035_at" 19033 20804 18722 4848
"200036_s_at" 11783 3681 5358 12265
"200037_s_at" 9017 12688 16602 13884
"200038_s_at" 13949 3712 4548 8972
"200039_s_at" 9061 12489 12345 6552
"200040_at" 11531 15341 14929 14239
"200041_s_at" 4670 12151 13144 12989
"200042_at" 9977 15775 17809 14027
"200043_at" 8505 11696 13006 15396
"200044_at" 5030 11670 14902 14569
"200045_at" 19611 16495 16321 13617
"200046_at" 2796 13007 15537 15648
"200047_s_at" 7144 14382 15415 15807
"200048_s_at" 7757 10945 11942 15608
"200049_at" 9216 15613 17498 13356
"200050_at" 19150 15654 12601 19065
"200051_at" 7964 13108 15695 15261
"200052_s_at" 6713 12060 15071 15858
"200053_at" 2989 20620 1980 6656
"200054_at" 6184 17584 14828 17676
"200055_at" 8001 12105 15588 4066
"200056_s_at" 11309 15197 18426 18408
"200057_s_at" 10682 11166 11693 5731
"200058_s_at" 7829 13147 14106 4843
"200059_s_at" 8690 12895 11514 16350
"200060_s_at" 4370 15021 16130 14449
"200061_s_at" 13848 6018 6692 8867
"200062_s_at" 13763 5895 6640 8765
"200063_s_at" 13895 6100 6719 8928
"200064_at" 11158 3737 11171 14951
"200065_s_at" 6306 13775 4391 15017
"200066_at" 18987 16645 13854 14347
"200067_x_at" 9572 15288 12377 12475
"200068_s_at" 5075 12158 4092 5353
"200069_at" 18879 19956 20270 15945
"200070_at" 18462 21065 12130 4256
"200071_at" 2848 15825 18606 17612
"200072_s_at" 5157 14188 18705 16218
"200073_s_at" 10283 12966 17821 18102
"200074_s_at" 10112 3892 11273 16095
"200075_s_at" 7517 16939 5067 12299
"200076_s_at" 4811 18555 11971 13303
"200077_s_at" 11459 10685 10495 14084
"200078_s_at" 5221 12666 11558 5306
"200079_s_at" 10366 16431 16557 12848
"200080_s_at" 11655 3905 11594 12966
"200081_s_at" 11373 11353 3811 13766
"200082_s_at" 18159 3307 4871 8914
"200083_at" 7005 19106 17790 19783
"200084_at" 7055 12686 18748 17015
"200085_s_at" 11908 13250 11016 12356
"200086_s_at" 9732 11129 11019 6298
"200087_s_at" 3051 14684 10187 13742
"200088_x_at" 13770 5907 4491 8775
"200089_s_at" 10458 3361 5115 7157
"200090_at" 10065 16449 11995 2232
"200091_s_at" 18153 10394 4816 15625
"200092_s_at" 18850 11247 3056 8937
"200093_s_at" 7673 11260 15877 15618
"200094_s_at" 9602 10764 4649 5404
"200095_x_at" 13953 6181 6756 8983
"200096_s_at" 3133 15103 5112 5769
"200097_s_at" 6234 11096 15610 17008
"200098_s_at" 5690 14096 13906 12159
"200099_s_at" 13908 6116 4721 8939
"200593_s_at" 2419 14337 19241 20782
"200594_x_at" 5444 14671 18710 15687
"200595_s_at" 7915 15762 20607 18035
"200596_s_at" 7120 14663 16085 18770
"200597_at" 4710 12258 15866 19295
"200598_s_at" 6005 16472 1059 13527
"200599_s_at" 4747 13202 2779 6024
"200600_at" 7573 9700 16161 12051
"200601_at" 8577 21711 21745 20729
"200602_at" 10354 13663 16754 16079
"200603_at" 6719 14016 13437 15754
"200604_s_at" 365 15083 17003 18236
"200605_s_at" 3392 16151 15852 15177
"200606_at" 19555 12239 5061 15028
"200607_s_at" 9168 13121 4130 20808
"200608_s_at" 7566 13820 15457 17166
"200609_s_at" 4283 18208 20460 16710
"200610_s_at" 6781 11330 17663 17586
"200611_s_at" 8826 13351 16206 15375
"200612_s_at" 2160 1909 11856 19168
"200613_at" 4062 14704 12094 16431
"200614_at" 9726 11347 12659 12158
"200615_s_at" 2274 11416 11775 4515
"200616_s_at" 7613 13369 5269 17104
"200617_at" 18039 18761 14793 5920
"200618_at" 3693 10986 18605 5770
"200619_at" 8287 17628 18103 19458
"200620_at" 8563 11453 5344 6206
"200621_at" 6405 15910 14900 13232
"200622_x_at" 3160 11018 4006 14825
"200623_s_at" 8700 18857 19590 6989
"200624_s_at" 4016 20774 20748 20263
"200625_s_at" 11082 12619 12856 13707
"200626_s_at" 7830 13938 18650 20826
"200627_at" 6790 3644 12468 14151
"200628_s_at" 3190 3278 1479 5868
"200629_at" 8868 13064 12281 1716
"200630_x_at" 10515 3463 13312 16377
"200631_s_at" 8108 16190 14247 17360
"200632_s_at" 11029 15034 1008 272
"200633_at" 18087 6017 6691 8866
"200634_at" 8403 10615 13950 15593
"200635_s_at" 14159 16325 17647 20501
"200636_s_at" 14533 18886 19030 20253
"200637_s_at" 14045 18978 21284 18127
"200638_s_at" 4849 11990 5087 16742
"200639_s_at" 5532 2434 13821 6078
"200640_at" 6594 11348 13895 13357
"200641_s_at" 3295 11422 10355 20064
"200642_at" 5197 11805 10730 6422
"200643_at" 9624 21312 3577 13084
"200644_at" 10890 10406 17982 16398
"200645_at" 8928 15301 12014 5858
"200646_s_at" 104 19453 664 3186
"200647_x_at" 9508 11165 5267 5392
"200648_s_at" 6020 816 13755 16087
"200649_at" 8365 18633 14500 1592
"200650_s_at" 18260 2843 6615 13967
"200651_at" 18303 10365 11436 12839
"200652_at" 8604 15881 10811 5339
"200653_s_at" 2629 12196 16196 17575
"200654_at" 8427 14633 5039 5562
"200655_s_at" 8027 11894 10393 13441
"200656_s_at" 3698 12457 3711 15526
"200657_at" 11272 10355 10151 12142
"200658_s_at" 5251 15106 13985 16816
"200659_s_at" 3684 19563 20004 18878
"200660_at" 9657 10654 11382 4614
"200661_at" 4947 13233 12188 4512
"200662_s_at" 8297 16749 17873 19665
"200663_at" 10487 16896 4052 14400
"200664_s_at" 11891 15263 20713 1081
"200665_s_at" 17355 4088 9939 10031
"200666_s_at" 1933 13099 21045 3226
"200667_at" 7661 18609 4091 5255
"200668_s_at" 5763 13758 11922 5523
"200669_s_at" 4556 13183 12142 5607
"200670_at" 2610 12403 1359 6608
"200671_s_at" 74 1988 1125 5734
"200672_x_at" 1170 21797 11825 6611
"200673_at" 2198 14180 13372 12982
"200674_s_at" 19991 3230 4564 8944
"200675_at" 6372 16801 17999 18612
"200676_s_at" 18966 19782 15583 17378
"200677_at" 6015 11414 4971 6662
"200678_x_at" 8281 17699 11189 3175
"200679_x_at" 7739 10414 12798 18728
"200680_x_at" 20116 3438 10107 8987
"200681_at" 10585 14465 14024 14024
"200682_s_at" 9101 13513 12087 15481
"200683_s_at" 11569 17626 19315 17105
"200684_s_at" 2185 10550 19765 20162
"200685_at" 11448 20693 20002 14332
"200686_s_at" 7900 18736 13334 12813
"200687_s_at" 5301 17482 17773 15875
"200688_at" 19889 18568 11777 6575
"200689_x_at" 11185 3471 4255 5747
"200690_at" 19222 2387 16423 13577
"200691_s_at" 7600 14485 16004 16201
"200692_s_at" 11314 13711 15438 20796
"200693_at" 6620 14828 13884 16367
"200694_s_at" 19180 15006 19503 14801
"200695_at" 8652 17844 21555 18241
"200696_s_at" 8546 19558 15659 17638
"200697_at" 7802 2769 5343 5467
"200698_at" 1547 3080 14518 3061
