"inst_1465" "inst_1885" "inst_1965" "inst_3985"
"1007_s_at" 21067 15741 13093 6413
"1053_at" 17283 18926 1454 12774
"117_at" 5736 8807 7444 7496
"121_at" 12525 3076 20432 3350
"1255_g_at" 8603 15273 16023 10717
"1294_at" 14695 19498 21277 17823
"1316_at" 2374 14222 17014 20869
"1320_at" 12254 7518 16049 1046
"1405_i_at" 7002 7253 2690 18043
"1431_at" 6211 8706 5895 21307
"1438_at" 20969 13504 8662 1696
"1487_at" 4535 2957 4074 21036
"1494_f_at" 1050 17905 21968 18186
"1598_g_at" 12352 15843 21418 19688
"160020_at" 19680 3662 18009 4760
"1729_at" 12680 5062 3165 2794
"1773_at" 19956 2844 12594 2642
"177_at" 4866 7367 1420 21
"179_at" 17923 22104 21904 101
"1861_at" 20785 16846 10771 13746
"200000_s_at" 16803 21819 1864 1653
"200001_at" 16295 21518 21698 15785
"200002_at" 12552 3787 3558 5132
"200003_s_at" 14464 17345 16634 8076
"200004_at" 15337 4420 19465 12657
"200005_at" 13959 18501 3707 4681
"200006_at" 13626 4769 3735 14510
"200007_at" 3828 20753 19756 5073
"200008_s_at" 16877 21461 1641 17312
"200009_at" 14041 3655 18074 4469
"200010_at" 4596 21929 4222 4636
"200011_s_at" 16653 19595 18395 13854
"200012_x_at" 4361 16237 16524 13801
"200013_at" 12797 16937 5196 13772
"200014_s_at" 15047 2362 2389 6199
"200015_s_at" 15635 3856 19624 12234
"200016_x_at" 4445 3000 20315 5626
"200017_at" 14227 3561 4834 8164
"200018_at" 12314 3754 4144 8156
"200019_s_at" 3429 19707 16637 3672
"200020_at" 14502 20884 16687 12520
"200021_at" 7126 18248 20241 8243
"200022_at" 13765 17656 3537 5506
"200023_s_at" 14915 17720 17680 3069
"200024_at" 3723 3678 17184 14225
"200025_s_at" 3520 1282 16155 12175
"200026_at" 13832 2060 21084 6493
"200027_at" 14225 15637 16661 12207
"200028_s_at" 13403 3864 16414 12321
"200029_at" 3090 16151 16982 5713
"200030_s_at" 14046 19256 17092 14049
"200031_s_at" 4475 18509 17795 8150
"200032_s_at" 12751 2404 16609 16381
"200033_at" 17672 3176 17194 13718
"200034_s_at" 13595 2836 3176 13815
"200035_at" 15873 2029 19050 2071
"200036_s_at" 13472 4897 5114 3386
"200037_s_at" 18240 1675 17189 17134
"200038_s_at" 4200 18043 5053 5718
"200039_s_at" 19589 18003 16193 5357
"200040_at" 17180 4919 4620 12182
"200041_s_at" 3885 21607 4871 5432
"200042_at" 17633 18005 16627 4596
"200043_at" 16713 17398 19723 13715
"200044_at" 14184 5003 16260 14523
"200045_at" 15318 18937 1878 14874
"200046_at" 4158 17147 20303 4597
"200047_s_at" 16822 567 16127 14313
"200048_s_at" 15322 2048 3925 6389
"200049_at" 16532 17913 20371 13543
"200050_at" 20620 17427 18080 16893
"200051_at" 1706 4091 18971 15940
"200052_s_at" 15511 19171 17397 13451
"200053_at" 2840 4174 2883 16543
"200054_at" 3351 16704 2736 2239
"200055_at" 15422 21071 3654 2740
"200056_s_at" 13547 1318 20013 5121
"200057_s_at" 16536 3808 2460 4874
"200058_s_at" 12556 5598 2304 13497
"200059_s_at" 15346 17521 3678 12422
"200060_s_at" 2005 19827 19345 18789
"200061_s_at" 12423 4669 17111 8148
"200062_s_at" 7220 5577 3636 8062
"200063_s_at" 17016 64 2297 8187
"200064_at" 12564 20267 4206 13726
"200065_s_at" 13533 17137 2013 5519
