"inst_2309" "inst_2347" "inst_3619" "inst_3722" "inst_4280" "inst_4744"
"1007_s_at" 14799 20067 6028 5601 13687 4379
"1053_at" 15276 12582 5621 7839 13587 13384
"117_at" 709 13812 12338 1016 7508 12215
"121_at" 1871 21681 21229 7669 18541 18648
"1255_g_at" 8390 3765 10292 12735 9099 10775
"1294_at" 3518 15055 19543 1046 21341 19325
"1316_at" 15554 1778 20093 9358 22140 22049
"1320_at" 7376 8320 6623 11759 448 20433
"1405_i_at" 5008 16361 12994 13440 5260 13303
"1431_at" 3971 11382 2675 308 11723 20632
"1438_at" 15235 4226 22187 16746 1503 15316
"1487_at" 13941 15557 19693 5692 13042 1729
"1494_f_at" 17699 10158 21035 18999 14299 20963
"1598_g_at" 3143 14487 14504 19063 17234 3991
"160020_at" 338 78 21623 3912 15951 20314
"1729_at" 2557 988 14305 625 12361 4292
"1773_at" 13594 12029 19163 2574 12036 3911
"177_at" 13772 2535 14155 13144 21802 18663
"179_at" 20549 8734 16029 2270 21864 21051
"1861_at" 15752 21487 7962 7376 20039 4426
"200000_s_at" 12050 15332 6397 4722 18611 15049
"200001_at" 4599 14910 17539 17400 11227 5926
"200002_at" 17900 13382 8195 6513 11944 5705
"200003_s_at" 6722 12553 9862 11271 6844 8879
"200004_at" 13560 14046 6422 17235 13214 6028
"200005_at" 3992 13202 7382 8757 10997 6331
"200006_at" 12106 14129 7738 5198 11074 6338
"200007_at" 12876 16028 16149 7535 12332 17592
"200008_s_at" 14734 17191 17777 20996 1647 19342
"200009_at" 15509 16873 13956 18997 4584 16329
"200010_at" 11028 14405 15177 15874 12639 13810
"200011_s_at" 15445 20958 5694 17348 17125 13655
"200012_x_at" 3260 2381 6581 8855 11314 16935
"200013_at" 12270 14048 14507 8580 11150 6607
"200014_s_at" 13599 16554 18916 8130 12579 6250
"200015_s_at" 18725 19435 5861 7347 12698 17012
"200016_x_at" 14452 11875 17523 16014 5149 15991
"200017_at" 6854 12723 9953 11360 6950 9032
"200018_at" 6748 3257 9943 11353 6942 14581
"200019_s_at" 12405 14467 7452 9464 12293 13793
"200020_at" 2863 13447 5385 21699 13006 14168
"200021_at" 6866 1938 10053 11443 7067 9184
"200022_at" 12064 13625 9875 7037 12051 6484
"200023_s_at" 15614 14871 15698 6586 13645 6123
"200024_at" 3598 12799 8343 8815 3812 6550
"200025_s_at" 12331 12222 9942 6609 12287 13355
"200026_at" 6785 6330 10056 15521 3437 4856
"200027_at" 15419 15828 5045 6220 14407 13661
"200028_s_at" 14995 15326 15266 8790 12443 4471
"200029_at" 11379 3177 7131 6229 12205 13408
"200030_s_at" 11097 13200 7967 9056 4921 13659
"200031_s_at" 6859 6058 9937 11339 6932 9002
"200032_s_at" 6645 6225 9955 8997 3734 14509
"200033_at" 12972 14863 6135 18313 12509 13381
"200034_s_at" 13556 14886 9864 15602 2980 13366
"200035_at" 18285 12770 2622 3613 18689 6906
"200036_s_at" 12447 15280 14646 4915 15077 14846
"200037_s_at" 14956 14817 7826 8524 13410 4589
"200038_s_at" 12677 6149 10030 7761 4831 13692
"200039_s_at" 16199 17054 4875 5034 4770 16128
"200040_at" 17094 17714 15624 15529 15793 5281
"200041_s_at" 14374 18036 15483 17922 12126 13751
"200042_at" 13576 17904 7081 5062 14167 5272
"200043_at" 18000 16322 6282 17340 13938 19851
"200044_at" 14082 14427 16924 8293 3093 17428
"200045_at" 13001 14934 4290 17989 14337 6021
"200046_at" 17235 14865 6934 5473 16901 15058
"200047_s_at" 14424 19603 8205 7061 14492 15073
