"inst_1738" "inst_2887" "inst_5449" "inst_6351"
"1007_s_at" 1111 5893 14492 18801
"1053_at" 18009 1430 8087 5531
"117_at" 15648 12597 1165 5871
"121_at" 1647 19813 16729 20712
"1255_g_at" 8631 11046 10976 5758
"1294_at" 19564 21892 18891 17524
"1316_at" 2477 4488 15140 2896
"1320_at" 9539 20624 10818 6433
"1405_i_at" 20334 12321 11782 12468
"1431_at" 8925 15016 3189 18048
"1438_at" 4421 21057 15921 14277
"1487_at" 17612 21638 7930 18890
"1494_f_at" 792 12920 809 14401
"1598_g_at" 2968 4554 1561 2794
"160020_at" 2161 21847 3824 17641
"1729_at" 895 7725 1712 2428
"1773_at" 8563 8672 17205 21190
"177_at" 21855 14091 14101 12557
"179_at" 14080 21817 5403 18867
"1861_at" 390 19507 4608 5186
"200000_s_at" 17524 4263 17236 14257
"200001_at" 18010 17822 16627 15015
"200002_at" 16210 5723 14854 14538
"200003_s_at" 15474 16893 14487 14383
"200004_at" 18385 8915 7003 17494
"200005_at" 18663 18168 8196 17751
"200006_at" 14521 7148 5697 14096
"200007_at" 18484 9169 17183 17329
"200008_s_at" 18254 9201 7720 18125
"200009_at" 14455 16605 5665 18393
"200010_at" 3118 5644 7264 19537
"200011_s_at" 19747 7413 15256 18365
"200012_x_at" 2591 16940 14697 4535
"200013_at" 15326 3845 14777 3646
"200014_s_at" 17095 7747 16555 17487
"200015_s_at" 19986 7889 7501 15980
"200016_x_at" 2079 17485 15555 15020
"200017_at" 15273 9102 10113 4509
"200018_at" 2912 7931 10106 4571
"200019_s_at" 13586 6493 8293 14528
"200020_at" 16105 16461 5341 4769
"200021_at" 21424 19409 14733 8514
"200022_at" 14207 16572 14579 14667
"200023_s_at" 16760 8496 16036 15380
"200024_at" 13417 6226 7700 3571
"200025_s_at" 14835 8309 14522 13255
"200026_at" 3054 16584 10207 4942
"200027_at" 13964 6921 3253 13816
"200028_s_at" 2252 6924 18327 14052
"200029_at" 17245 18011 16947 14234
"200030_s_at" 16350 16221 14846 16371
"200031_s_at" 14522 11464 10100 4710
"200032_s_at" 13343 7984 10116 3719
"200033_at" 13506 6354 4342 15893
"200034_s_at" 16640 7550 17074 16652
"200035_at" 17983 1493 14324 17291
"200036_s_at" 19110 4765 6654 14922
"200037_s_at" 15405 7371 5690 17280
"200038_s_at" 1817 16069 6219 5020
"200039_s_at" 20091 5263 6262 14207
"200040_at" 20308 18456 14316 15799
"200041_s_at" 16874 7412 6007 15460
"200042_at" 15353 6377 14479 17514
"200043_at" 21423 18963 6113 2132
"200044_at" 21329 7928 14964 15605
"200045_at" 15059 18415 7519 17043
"200046_at" 19846 16492 14837 16686
"200047_s_at" 15295 3490 7541 15866
"200048_s_at" 17957 6964 8126 13783
"200049_at" 19855 17403 19983 14533
"200050_at" 17106 16527 14320 13877
"200051_at" 13911 20419 16420 14090
"200052_s_at" 14384 7661 6439 17686
"200053_at" 15762 6133 15299 19219
"200054_at" 16059 19828 15037 18396
"200055_at" 18994 8675 7131 15740
"200056_s_at" 21725 18182 6455 19308
"200057_s_at" 19446 5866 4490 14005
"200058_s_at" 17748 6531 15674 16206
"200059_s_at" 15078 4736 17234 18135
"200060_s_at" 20910 18096 7255 2101
"200061_s_at" 2580 11463 10098 5199
"200062_s_at" 15513 11347 10019 8182
"200063_s_at" 1050 11533 10141 14825
"200064_at" 14963 6976 14348 18376
"200065_s_at" 14706 16878 15858 17021
"200066_at" 19687 7527 4194 19015
"200067_x_at" 16682 7306 6720 17773
"200068_s_at" 2882 17761 15160 14161
"200069_at" 21705 6611 6699 19917
"200070_at" 16988 19444 20613 2386
"200071_at" 15031 18263 14420 21332
"200072_s_at" 3024 7509 6312 16231
"200073_s_at" 16710 17618 4405 16902
"200074_s_at" 16396 5064 14520 13769
"200075_s_at" 21100 7476 4493 13503
"200076_s_at" 13768 6523 6589 19093
"200077_s_at" 15057 7672 15642 4909
"200078_s_at" 16566 16381 7440 16272
"200079_s_at" 18339 8619 6183 18029
"200080_s_at" 14641 16480 4045 5147
"200081_s_at" 14910 8953 14700 14192
"200082_s_at" 17437 16720 14616 14565
"200083_at" 16158 18560 8246 15752
"200084_at" 20389 16421 16434 20300
"200085_s_at" 16282 7258 14415 4736
"200086_s_at" 15010 6965 7483 18699
"200087_s_at" 14810 16854 15837 5504
"200088_x_at" 1792 11359 10025 4582
"200089_s_at" 14003 6474 15465 13496
"200090_at" 17835 3334 21282 3977
"200091_s_at" 19088 6654 7507 3515
"200092_s_at" 13914 18477 6216 2539
"200093_s_at" 16452 4128 7345 16518
"200094_s_at" 16407 4680 7194 2416
"200095_x_at" 2869 11599 10195 8496
"200096_s_at" 18980 3203 552 18640
"200097_s_at" 16369 20130 2793 5637
"200098_s_at" 17685 5740 15907 14104
"200099_s_at" 3253 11548 10151 15199
"200593_s_at" 16679 19155 14869 3912
"200594_x_at" 15545 17625 17473 15551
"200595_s_at" 17283 16161 17567 16456
"200596_s_at" 19056 18143 16688 16412
"200597_at" 14791 18222 20323 13823
"200598_s_at" 19912 5801 17352 2464
"200599_s_at" 16309 8160 17920 18276
"200600_at" 19165 10456 11554 18787
"200601_at" 15282 5465 20843 5645
"200602_at" 21729 1157 6092 5189
"200603_at" 15584 17674 19467 17762
"200604_s_at" 21875 18585 15381 20355
"200605_s_at" 13614 8827 18451 20051
"200606_at" 6021 1508 5990 17974
"200607_s_at" 2432 3257 5538 13596
"200608_s_at" 16671 17244 16798 13329
"200609_s_at" 18109 18941 18362 14771
"200610_s_at" 14438 8207 17092 16925
"200611_s_at" 13220 17549 19586 19076
"200612_s_at" 18575 21730 3812 21984
"200613_at" 19495 7719 15226 14362
"200614_at" 18658 16814 8296 15809
"200615_s_at" 16544 2384 8245 5119
"200616_s_at" 15113 4613 3642 2176
"200617_at" 19405 7544 7973 17185
"200618_at" 2365 18508 17259 17952
"200619_at" 14256 19992 15216 4540
"200620_at" 14713 8681 8070 18362
"200621_at" 3254 8650 15469 2666
"200622_x_at" 939 6173 3297 1592
"200623_s_at" 14131 4958 8201 3387
"200624_s_at" 17057 18723 7545 20576
"200625_s_at" 16168 18817 6004 5000
"200626_s_at" 18165 7926 7010 20516
"200627_at" 17448 9180 17620 15381
"200628_s_at" 15806 6330 17947 18009
"200629_at" 18492 19336 4798 16485
"200630_x_at" 2759 16068 14926 13726
"200631_s_at" 14663 16571 14912 17262
"200632_s_at" 15955 1010 20951 13608
"200633_at" 14084 16036 10097 8313
"200634_at" 20025 7998 16894 19291
"200635_s_at" 6124 19192 8012 19160
"200636_s_at" 12830 3946 18398 3211
"200637_s_at" 7924 6966 2221 5005
"200638_s_at" 19316 7900 15687 19669
"200639_s_at" 19163 19388 5129 18289
"200640_at" 15969 16039 15031 15897
"200641_s_at" 1978 16259 7708 17039
"200642_at" 19271 7056 7871 16389
"200643_at" 21852 21050 20107 4905
