"inst_2430" "inst_3292" "inst_4997" "inst_6651"
"1007_s_at" 15446 1354 16171 3617
"1053_at" 16084 10066 21660 19524
"117_at" 698 15796 8800 8295
"121_at" 18002 6637 17193 4826
"1255_g_at" 9055 12198 5311 12991
"1294_at" 18687 5948 18906 16632
"1316_at" 22043 836 20748 15925
"1320_at" 8577 11643 10675 18031
"1405_i_at" 16700 10578 9076 12600
"1431_at" 1620 3687 9913 22022
"1438_at" 6244 2323 19510 21803
"1487_at" 15546 2330 5190 6782
"1494_f_at" 14041 21982 2391 4008
"1598_g_at" 22250 9944 14399 15668
"160020_at" 2171 6736 16895 22193
"1729_at" 1725 8732 21798 16725
"1773_at" 22128 4774 21705 20235
"177_at" 18743 10985 8191 19507
"179_at" 836 18715 1533 4538
"1861_at" 1145 20445 20347 4183
"200000_s_at" 17909 7769 20788 17321
"200001_at" 15934 5001 17515 5690
"200002_at" 13385 8805 4464 6209
"200003_s_at" 6825 12593 4401 10074
"200004_at" 15649 3491 3345 7564
"200005_at" 3850 4455 17114 6213
"200006_at" 12139 9040 14450 7032
"200007_at" 14617 6641 2917 4938
"200008_s_at" 1526 7189 2280 20890
"200009_at" 12710 7098 2704 18266
"200010_at" 12417 7336 3222 16184
"200011_s_at" 14027 4634 14641 5433
"200012_x_at" 3931 18596 4864 14158
"200013_at" 4145 8428 16497 8300
"200014_s_at" 13523 17522 14647 7862
"200015_s_at" 18406 9657 13416 5032
"200016_x_at" 6719 7688 13096 7264
"200017_at" 6998 12792 7772 7587
"200018_at" 6979 12761 13662 8403
"200019_s_at" 6934 17994 18703 8208
"200020_at" 15371 8011 1834 7760
"200021_at" 13259 13008 7989 10229
"200022_at" 6851 12629 2691 4699
"200023_s_at" 13507 8308 16292 4990
"200024_at" 4178 8298 12973 6602
"200025_s_at" 6976 12757 4324 6779
"200026_at" 7182 18338 21018 7124
"200027_at" 13984 17477 15275 7018
"200028_s_at" 13750 3459 4652 3166
"200029_at" 6906 18794 17978 16406
"200030_s_at" 11650 9825 13502 6682
"200031_s_at" 6964 12742 5008 10134
"200032_s_at" 6999 12796 4373 13992
"200033_at" 12809 7454 21202 7499
"200034_s_at" 3660 5956 1961 5457
"200035_at" 17068 3364 15738 5290
"200036_s_at" 12065 17527 16730 6054
"200037_s_at" 14343 8688 5104 14121
"200038_s_at" 7143 12969 13569 16524
"200039_s_at" 16182 7516 17300 8085
"200040_at" 17339 4544 15900 8388
"200041_s_at" 3546 18066 20872 8271
"200042_at" 12740 6124 15761 8280
"200043_at" 16115 3132 2846 3105
"200044_at" 15658 3628 3809 3799
"200045_at" 18000 3829 15668 6438
"200046_at" 15272 9430 4398 15258
"200047_s_at" 16154 7157 13074 6194
"200048_s_at" 14203 8409 16519 3516
"200049_at" 2834 5899 13221 5660
"200050_at" 875 9899 15256 17090
"200051_at" 13366 8768 15210 7984
"200052_s_at" 3918 9451 14652 15521
"200053_at" 20407 1414 20030 20751
"200054_at" 14103 1113 13361 7177
"200055_at" 16454 5600 18976 5570
"200056_s_at" 13851 5644 20965 8251
"200057_s_at" 13370 9511 17259 6797
"200058_s_at" 15556 2300 12554 7784
"200059_s_at" 12786 8729 16645 5210
"200060_s_at" 20514 3358 5000 8556
"200061_s_at" 6961 12740 5184 10132
"200062_s_at" 6804 12566 7584 10064
"200063_s_at" 7042 12860 7850 10171
"200064_at" 13099 6547 3777 17223
"200065_s_at" 12441 3757 3523 17287
"200066_at" 2604 4977 13378 18905
"200067_x_at" 15840 7327 21761 14222
"200068_s_at" 18324 7991 16145 5871
"200069_at" 15673 18687 21979 15854
"200070_at" 20921 19288 1024 16976
"200071_at" 18529 7041 5178 16052
"200072_s_at" 15129 4245 15821 16945
"200073_s_at" 14038 8280 3904 8509
"200074_s_at" 11897 7669 13854 8508
"200075_s_at" 13022 3537 20000 6506
"200076_s_at" 13351 2635 12546 5310
"200077_s_at" 12499 9821 13438 8486
"200078_s_at" 14945 6421 16366 17315
"200079_s_at" 4518 10183 14829 7076
"200080_s_at" 14585 18222 3059 8112
"200081_s_at" 3509 8761 3720 8009
"200082_s_at" 7025 8369 3155 14936
"200083_at" 15909 2587 16484 7567
"200084_at" 14566 2579 15804 7444
"200085_s_at" 15778 9615 13403 14330
"200086_s_at" 13521 7282 13603 5024
