"inst_161" "inst_1509" "inst_1927" "inst_2009" "inst_5387" "inst_6287"
"1007_s_at" 16421 3269 8102 2119 3798 14981
"1053_at" 15690 19782 8627 1164 15420 16803
"117_at" 3845 3810 10100 5268 12932 11745
"121_at" 1365 3344 5661 19943 1326 3343
"1255_g_at" 11367 13041 18152 10617 13106 10449
"1294_at" 1831 10455 8630 6078 2724 235
"1316_at" 3026 7254 5474 6599 20225 16898
"1320_at" 4878 13803 16272 8944 18742 12123
"1405_i_at" 8359 13106 13670 3576 14682 8475
"1431_at" 13576 15413 14585 16414 2538 11876
"1438_at" 21980 2772 16284 14370 18437 4606
"1487_at" 19667 9125 2352 20992 6024 17414
"1494_f_at" 3272 2204 19535 4791 1431 20051
"1598_g_at" 1017 11869 2732 5223 8072 1672
"160020_at" 2093 19725 5354 20876 157 1069
"1729_at" 18811 21211 8653 22038 6491 3500
"1773_at" 16069 3371 21172 19679 21669 3470
"177_at" 11525 17296 11318 6450 10955 10497
"179_at" 624 10919 22133 972 22100 18889
"1861_at" 1580 12612 8033 2269 15195 1995
"200000_s_at" 21100 12774 20237 21393 7798 4875
"200001_at" 16188 4038 7033 3836 15720 3597
"200002_at" 15361 9796 9071 5320 8494 2853
"200003_s_at" 17866 20468 8524 17751 8497 13925
"200004_at" 20077 9457 4399 17555 8729 4859
"200005_at" 21343 20153 20966 17427 8433 16190
"200006_at" 16013 6979 20220 3619 15854 14124
"200007_at" 16216 10506 5078 6199 6881 4286
"200008_s_at" 15477 5552 21836 2508 18336 20328
"200009_at" 19337 8889 20631 17918 15960 14168
"200010_at" 18796 12222 20254 5458 6226 13939
"200011_s_at" 19067 10670 2804 21069 6956 14122
"200012_x_at" 14801 11511 20644 4648 15351 4623
"200013_at" 15396 9838 19453 5219 8309 15848
"200014_s_at" 20173 6986 1849 4101 15806 14401
"200015_s_at" 17751 4320 2351 19738 4716 15466
"200016_x_at" 17596 19900 4597 2226 7953 4144
"200017_at" 3231 9984 7189 5659 10741 13960
"200018_at" 14888 12292 19747 4940 10728 13930
"200019_s_at" 15866 11045 7712 18123 7439 4993
"200020_at" 18760 10727 19804 19261 5439 13866
"200021_at" 1855 20378 4523 18127 10828 7791
"200022_at" 16054 19941 7583 17501 6662 3611
"200023_s_at" 18868 19551 19768 6691 7821 13564
"200024_at" 2401 8235 8603 5820 18508 12653
"200025_s_at" 2626 11296 4108 18017 15225 5044
"200026_at" 17940 10983 6758 2010 5544 4248
"200027_at" 16951 8194 5737 18584 17710 15096
"200028_s_at" 20691 8526 3801 19286 16138 3938
"200029_at" 2533 10264 8715 4889 6640 3108
"200030_s_at" 2507 10992 19829 3021 15810 3906
"200031_s_at" 1993 15227 19873 16918 10720 14092
"200032_s_at" 3767 19464 5764 16827 10743 4421
"200033_at" 17361 9495 4665 4071 7526 15749
"200034_s_at" 18465 10130 7234 18283 8176 12793
"200035_at" 14427 3473 3587 18438 6256 18495
"200036_s_at" 14662 12668 19653 4323 8781 13528
"200037_s_at" 17585 11693 4056 19863 16218 13379
"200038_s_at" 18408 20260 20661 5767 15639 12969
"200039_s_at" 14655 6836 6759 18737 18121 5079
"200040_at" 18845 7956 6424 21382 5813 14364
"200041_s_at" 20137 9374 7414 19245 19056 5046
"200042_at" 15008 11490 20308 1644 8084 16332
"200043_at" 17702 11557 3391 2581 17863 18135
"200044_at" 19763 9752 5669 20325 8480 4891
"200045_at" 20945 3566 9089 18302 7521 14650
"200046_at" 15498 9775 20916 2121 2977 4676
"200047_s_at" 19786 7750 3508 4512 15887 16007
"200048_s_at" 19266 8703 20703 19553 16833 4836
"200049_at" 14230 12815 358 19754 3835 2893
"200050_at" 17753 10072 3352 5106 2576 14936
"200051_at" 2252 12416 4773 20216 16742 17587
"200052_s_at" 20165 6270 19499 4013 7552 16966
"200053_at" 2586 6810 19891 17236 20344 4418
"200054_at" 2448 2812 3829 1432 8496 12964
"200055_at" 18356 9777 6761 6214 15889 3045
"200056_s_at" 1184 8898 259 3912 20315 16536
"200057_s_at" 14828 12464 6202 3960 8594 3947
"200058_s_at" 20302 6951 5445 18187 3247 4161
"200059_s_at" 14648 11747 7530 3270 7899 4853
"200060_s_at" 19818 8157 20091 21471 16649 14250
"200061_s_at" 3157 12204 7086 4517 10718 13562
"200062_s_at" 15818 15222 20116 17196 10642 7460
"200063_s_at" 16495 19531 7943 6840 10768 14479
"200064_at" 18015 12257 21904 4986 7081 15576
"200065_s_at" 3878 9590 21667 19082 7414 3197
"200066_at" 3645 20393 21679 2224 6391 12929
"200067_x_at" 14746 8144 6340 6112 7977 3958
"200068_s_at" 15736 7346 3807 21766 7193 4488
"200069_at" 20766 8046 7053 21571 3886 13102
"200070_at" 1823 3996 3333 573 3588 19330
"200071_at" 16119 11533 2988 20062 4343 18324
"200072_s_at" 19651 19600 21583 18542 6031 16553
"200073_s_at" 21981 12422 1802 3170 18847 14266
"200074_s_at" 15775 10291 5931 3111 17130 14820
"200075_s_at" 14468 6058 6103 2342 17871 15901
"200076_s_at" 17865 6513 20235 5828 16706 4550
"200077_s_at" 15425 11264 8814 19517 7286 4663
"200078_s_at" 20156 20003 8891 17978 17329 4460
"200079_s_at" 15552 9068 21749 3440 16470 19271
"200080_s_at" 19470 19800 1124 5139 8359 12910
"200081_s_at" 15176 12051 20548 4577 15766 15386
"200082_s_at" 17014 11951 6688 5762 7236 13282
"200083_at" 15108 19376 4504 19636 7943 12872
"200084_at" 16435 8174 6199 1503 17845 14316
"200085_s_at" 17440 11092 9168 6866 8140 4884
"200086_s_at" 16643 8277 5249 5779 7027 13512
"200087_s_at" 21067 9515 2095 19634 6041 14023
"200088_x_at" 17095 15164 20193 17536 10652 13913
"200089_s_at" 19746 11674 6910 4735 7704 13722
"200090_at" 3429 6133 20971 2031 16546 13654
"200091_s_at" 19579 12146 3645 5931 18140 18626
