"inst_2706" "inst_3445" "inst_5850" "inst_7203"
"1007_s_at" 22012 3566 13955 20505
"1053_at" 7322 16230 1775 14669
"117_at" 18098 13170 6200 10457
"121_at" 4725 1519 19973 2818
"1255_g_at" 14969 8036 5808 6531
"1294_at" 18584 8803 2959 11436
"1316_at" 3472 15161 21818 4047
"1320_at" 11583 8943 3833 4593
"1405_i_at" 7504 11014 1140 10106
"1431_at" 5577 10076 14343 4865
"1438_at" 8703 14070 9386 3794
"1487_at" 17885 1440 19960 22056
"1494_f_at" 18218 326 1805 11288
"1598_g_at" 4512 1189 13279 21712
"160020_at" 20136 13810 19033 16346
"1729_at" 10102 16211 3620 19908
"1773_at" 2610 2214 16954 2741
"177_at" 3802 6160 2672 5535
"179_at" 9320 246 3646 13848
"1861_at" 19340 15569 12670 14966
"200000_s_at" 4022 17842 17640 3567
"200001_at" 6501 15087 17458 3079
"200002_at" 10504 14958 14279 14294
"200003_s_at" 12532 5010 13896 4230
"200004_at" 8711 15443 17680 15769
"200005_at" 9166 13977 15414 13712
"200006_at" 10950 2813 13666 14062
"200007_at" 7726 14274 2923 3539
"200008_s_at" 4150 15578 16535 2872
"200009_at" 7109 3848 4195 2943
"200010_at" 12534 15873 19649 3509
"200011_s_at" 8921 13491 15868 19001
"200012_x_at" 12490 2375 3920 3249
"200013_at" 12451 4156 13195 14784
"200014_s_at" 7564 4031 16338 14781
"200015_s_at" 17082 17679 4942 19479
"200016_x_at" 12449 13636 5294 12554
"200017_at" 12646 5072 13632 15030
"200018_at" 12635 15359 15793 13008
"200019_s_at" 12602 14940 13864 12832
"200020_at" 10486 13640 5227 14906
"200021_at" 12755 3359 3768 2812
"200022_at" 12549 4883 18191 3337
"200023_s_at" 10056 2408 13062 14611
"200024_at" 12605 13892 13429 14369
"200025_s_at" 12633 3541 4225 13315
"200026_at" 12759 13861 4176 12299
"200027_at" 7017 2904 13347 14651
"200028_s_at" 7931 4337 15583 14427
"200029_at" 12585 2376 4669 1972
"200030_s_at" 8059 3418 4923 3727
"200031_s_at" 12625 14715 4816 3798
"200032_s_at" 12648 15818 16249 13040
"200033_at" 8955 13979 15263 16190
"200034_s_at" 12539 3228 4331 14397
"200035_at" 5110 19068 21248 17279
"200036_s_at" 12522 13561 13022 12417
"200037_s_at" 18850 13752 12947 17735
"200038_s_at" 12729 4128 13010 12365
"200039_s_at" 17215 3074 16392 13022
"200040_at" 10917 16080 16581 14399
"200041_s_at" 3456 2646 15390 3638
"200042_at" 9259 19060 15932 18877
"200043_at" 7025 14319 20764 12728
"200044_at" 10859 16185 13810 14169
"200045_at" 9800 2402 14730 16132
"200046_at" 6885 3403 4980 13547
"200047_s_at" 8209 13903 12776 17601
"200048_s_at" 9912 14886 17086 14564
"200049_at" 7827 3315 4235 19783
"200050_at" 19947 17029 17332 20137
"200051_at" 18242 16675 17571 21042
"200052_s_at" 9076 15970 17271 15796
"200053_at" 21978 22018 19244 2422
"200054_at" 5388 2714 4597 17787
"200055_at" 9079 2225 12514 2817
"200056_s_at" 19100 16682 19129 19862
"200057_s_at" 10721 13566 3402 4189
"200058_s_at" 17651 16770 15071 18277
"200059_s_at" 10300 4114 5090 12947
"200060_s_at" 10847 15532 14843 17333
"200061_s_at" 12623 4209 3279 3031
"200062_s_at" 12517 4648 4097 3084
"200063_s_at" 12679 15965 2339 15580
"200064_at" 17982 14209 15667 3657
"200065_s_at" 5607 15832 15943 13973
"200066_at" 6330 16946 13878 14255
"200067_x_at" 7699 2566 5006 12604
"200068_s_at" 17283 4377 4121 4040
"200069_at" 3878 2647 4921 17634
"200070_at" 4201 15287 14172 21859
"200071_at" 9272 15739 3951 19817
"200072_s_at" 10123 18757 15406 15810
"200073_s_at" 19108 13584 14148 15861
