"inst_2452" "inst_5415" "inst_6314"
"1007_s_at" 21134 20232 8581
"1053_at" 6083 3525 6486
"117_at" 9351 16013 12639
"121_at" 21768 7053 20917
"1255_g_at" 16985 14363 14012
"1294_at" 7167 21649 1359
"1316_at" 19942 8402 2344
"1320_at" 13774 9852 10076
"1405_i_at" 12646 14436 15115
"1431_at" 20482 4983 4376
"1438_at" 16146 11958 6601
"1487_at" 11183 5481 21086
"1494_f_at" 2981 17865 22119
"1598_g_at" 5489 20018 1276
"160020_at" 11850 2715 21136
"1729_at" 4834 1308 21566
"1773_at" 9772 9164 6514
"177_at" 6007 15099 12123
"179_at" 1477 3737 3300
"1861_at" 4234 5613 4446
"200000_s_at" 10589 9886 18702
"200001_at" 7759 11911 6477
"200002_at" 11485 9544 17043
"200003_s_at" 15031 11918 18760
"200004_at" 7233 5431 6619
"200005_at" 10341 9081 19242
"200006_at" 11817 9684 8088
"200007_at" 7757 8081 17418
"200008_s_at" 2713 8538 8841
"200009_at" 10714 18683 16527
"200010_at" 12478 11434 7294
"200011_s_at" 7901 9062 8352
"200012_x_at" 21116 21115 17864
"200013_at" 9483 7901 8489
"200014_s_at" 19569 8781 8583
"200015_s_at" 7955 3258 6729
"200016_x_at" 14928 10272 5577
"200017_at" 15198 14040 7899
"200018_at" 15185 14029 16397
"200019_s_at" 19833 11029 17368
"200020_at" 12313 7789 16020
"200021_at" 20466 18784 11486
"200022_at" 15060 19713 17855
"200023_s_at" 10339 9119 16764
"200024_at" 19583 11651 18377
"200025_s_at" 15182 10085 8702
"200026_at" 15385 19587 16052
"200027_at" 20609 8474 16128
"200028_s_at" 12631 8458 15969
"200029_at" 15110 19514 17884
"200030_s_at" 8707 18668 8302
"200031_s_at" 15171 14020 16463
"200032_s_at" 15202 18608 16130
"200033_at" 9890 4681 4466
"200034_s_at" 11584 18641 8639
"200035_at" 9648 8859 7075
"200036_s_at" 10519 10339 18033
"200037_s_at" 19815 4521 5036
"200038_s_at" 15349 18689 16702
"200039_s_at" 11744 18661 17768
"200040_at" 7236 7319 7132
"200041_s_at" 11827 10590 7821
"200042_at" 6903 19845 19528
"200043_at" 7231 19648 17573
"200044_at" 6950 6739 8281
"200045_at" 19912 9394 18249
"200046_at" 7851 7729 16315
"200047_s_at" 19722 2492 3541
"200048_s_at" 12791 8397 16523
"200049_at" 4648 6794 6072
"200050_at" 10903 20902 4214
"200051_at" 3902 9043 4763
"200052_s_at" 7881 9880 16195
"200053_at" 7812 949 4384
"200054_at" 10841 7882 17104
"200055_at" 10006 20879 19090
"200056_s_at" 9718 2971 3796
"200057_s_at" 11576 10100 7454
"200058_s_at" 5966 6270 6698
"200059_s_at" 9520 7851 6351
"200060_s_at" 10378 10925 18373
"200061_s_at" 15168 14018 16039
"200062_s_at" 15006 13945 11191
"200063_s_at" 15250 14066 11376
"200064_at" 7717 8371 6272
"200065_s_at" 8832 7709 17393
"200066_at" 5479 19406 17703
"200067_x_at" 19552 10249 16005
"200068_s_at" 11150 8791 8012
"200069_at" 11043 2900 2289
"200070_at" 8803 18839 5702
"200071_at" 8154 1227 2952
"200072_s_at" 4874 6720 18323
"200073_s_at" 8486 10755 8323
"200074_s_at" 10048 8699 7874
"200075_s_at" 6229 18903 19323
"200076_s_at" 10010 10546 17253
"200077_s_at" 11864 9487 16719
"200078_s_at" 10683 7752 8664
"200079_s_at" 8430 18922 19176
"200080_s_at" 11809 10543 5922
"200081_s_at" 12784 9866 17920
"200082_s_at" 15233 11668 18501
"200083_at" 6234 4501 5100
"200084_at" 8698 5189 5742
"200085_s_at" 8555 11049 17997
"200086_s_at" 10616 11906 17453
"200087_s_at" 6052 3385 5329
"200088_x_at" 15023 13955 19244
"200089_s_at" 11575 8658 16122
"200090_at" 19853 9300 16408
"200091_s_at" 10868 9794 19648
"200092_s_at" 15261 20087 8813
"200093_s_at" 11819 3461 16689
"200094_s_at" 9985 10345 4433
"200095_x_at" 15362 14114 11469
"200096_s_at" 20363 20535 18544
"200097_s_at" 9958 1770 4201
"200098_s_at" 10562 5406 4543
"200099_s_at" 15266 14076 8443
"200593_s_at" 6048 4956 17213
"200594_x_at" 6523 2302 2392
"200595_s_at" 8328 1864 6445
"200596_s_at" 8646 7321 17741
"200597_at" 8178 8715 2482
"200598_s_at" 7708 9576 16624
"200599_s_at" 9840 4788 6848
"200600_at" 7317 7227 18009
"200601_at" 825 229 17332
"200602_at" 10568 5399 20316
"200603_at" 3152 3488 5801
"200604_s_at" 132 7334 7112
"200605_s_at" 1712 4489 7895
"200606_at" 1258 7291 7466
"200607_s_at" 3692 10386 5007
"200608_s_at" 5674 4203 3369
"200609_s_at" 11388 20020 6741
"200610_s_at" 10019 4771 6137
"200611_s_at" 3629 7575 16744
"200612_s_at" 21928 21725 19731
"200613_at" 9982 11204 17223
"200614_at" 9519 10870 16403
"200615_s_at" 3563 20500 19389
"200616_s_at" 11931 20298 20154
"200617_at" 6540 19829 16773
"200618_at" 2899 6754 18026
"200619_at" 7486 18985 20085
"200620_at" 7793 10232 19445
"200621_at" 7515 8202 7829
"200622_x_at" 8163 20371 20191
"200623_s_at" 21160 5646 19473
"200624_s_at" 4034 2271 7457
"200625_s_at" 9678 5861 19431
"200626_s_at" 11331 4627 3916
"200627_at" 9556 11836 8135
"200628_s_at" 3955 11301 1373
"200629_at" 10082 11251 2251
"200630_x_at" 12386 5653 4465
"200631_s_at" 11045 5371 16330
"200632_s_at" 19832 3332 17847
"200633_at" 19654 14017 11297
"200634_at" 11524 9720 18589
"200635_s_at" 16361 9017 8804
"200636_s_at" 22105 1389 18813
"200637_s_at" 15200 7964 712
"200638_s_at" 6519 8064 4839
"200639_s_at" 5635 3690 6245
"200640_at" 4990 6685 8424
"200641_s_at" 1602 11460 4137
"200642_at" 10501 11908 17932
"200643_at" 1902 4292 8266
"200644_at" 12197 6046 19961
"200645_at" 9790 6740 8387
"200646_s_at" 1805 2692 3133
"200647_x_at" 11881 9257 2399
"200648_s_at" 1087 6367 17991
"200649_at" 7196 20102 1097
"200650_s_at" 19712 11324 6666
