"inst_1788" "inst_2781" "inst_6802" "inst_7154"
"1007_s_at" 955 5758 2732 9037
"1053_at" 2598 5167 15721 3639
"117_at" 607 14231 12143 17786
"121_at" 4356 3078 21421 21736
"1255_g_at" 13704 11877 10273 14959
"1294_at" 18159 505 65 12218
"1316_at" 19232 17508 17312 5541
"1320_at" 7128 5964 20122 13880
"1405_i_at" 17676 11790 14323 12079
"1431_at" 13941 11098 20895 12865
"1438_at" 8663 552 3891 10969
"1487_at" 20867 3237 21825 4788
"1494_f_at" 5986 3813 216 18733
"1598_g_at" 677 18708 3890 10415
"160020_at" 610 21376 570 11126
"1729_at" 21951 3741 2468 3987
"1773_at" 6711 5848 4055 11134
"177_at" 560 14827 9001 19491
"179_at" 21805 122 21965 1538
"1861_at" 10918 4291 7071 2357
"200000_s_at" 4815 18744 19301 4225
"200001_at" 4904 16494 6419 8897
"200002_at" 7064 7190 15459 8185
"200003_s_at" 18064 6581 7291 20436
"200004_at" 6983 6909 17256 11271
"200005_at" 5252 17388 6754 9011
"200006_at" 20904 15680 6158 10599
"200007_at" 17644 7348 6841 9067
"200008_s_at" 6527 17767 18535 5664
"200009_at" 5938 17693 17553 10335
"200010_at" 17753 5544 6705 20095
"200011_s_at" 5754 16459 18768 8451
"200012_x_at" 3896 16540 15415 20489
"200013_at" 18467 5564 6874 10269
"200014_s_at" 5248 16246 19899 4475
"200015_s_at" 18912 7419 19336 5463
"200016_x_at" 18022 15775 15292 11132
"200017_at" 5822 10852 9928 10326
"200018_at" 3987 16024 7431 20327
"200019_s_at" 19922 7012 6517 20100
"200020_at" 18256 19553 18606 9885
"200021_at" 6451 16000 10082 20404
"200022_at" 5566 15675 7124 10060
"200023_s_at" 18692 5821 6484 9468
"200024_at" 6464 16770 15692 20648
"200025_s_at" 6338 4502 5736 9275
"200026_at" 20124 7351 17356 20229
"200027_at" 18806 19202 5562 6500
"200028_s_at" 4211 16977 15521 6413
"200029_at" 6241 16537 16910 20774
"200030_s_at" 18653 17329 15347 10945
"200031_s_at" 6837 10810 9898 20556
"200032_s_at" 6387 10856 9932 20154
"200033_at" 6795 6232 5884 7814
"200034_s_at" 18828 5630 15093 9809
"200035_at" 5757 1786 17949 7954
"200036_s_at" 17526 5471 14699 9603
"200037_s_at" 5942 5479 4329 8232
"200038_s_at" 7248 16552 17015 20356
"200039_s_at" 5256 17515 15511 10375
"200040_at" 19159 15897 17478 8916
"200041_s_at" 3749 17466 15801 4848
"200042_at" 18439 16497 6521 8486
"200043_at" 6367 4545 6129 4866
"200044_at" 1970 5943 16749 7325
"200045_at" 4748 17451 14805 4293
"200046_at" 17548 16382 3846 6876
"200047_s_at" 7217 5109 5821 2743
"200048_s_at" 17206 7496 16175 7752
"200049_at" 3689 20020 2274 10539
"200050_at" 6081 3875 5325 9367
"200051_at" 18709 5420 17335 6095
"200052_s_at" 20088 17583 18107 5349
"200053_at" 2465 21574 14825 20658
"200054_at" 20274 4909 5948 1274
"200055_at" 7092 8184 6433 7698
"200056_s_at" 21719 2533 4067 4801
"200057_s_at" 17784 19268 17243 10689
"200058_s_at" 6566 16936 17835 8628
"200059_s_at" 17623 7341 16872 9981
"200060_s_at" 3910 6368 6783 9046
"200061_s_at" 5436 10808 9897 21195
"200062_s_at" 7174 10674 9756 20746
"200063_s_at" 7183 10907 9980 20807
"200064_at" 17586 7878 16644 11366
"200065_s_at" 5707 19566 18211 10191
"200066_at" 7311 19962 18457 7418
"200067_x_at" 21117 18544 16922 7564
"200068_s_at" 18255 16279 14843 10198
"200069_at" 22046 18145 15584 4992
"200070_at" 22225 7308 5444 9829
"200071_at" 21586 4430 7174 1916
"200072_s_at" 17788 6314 19012 8654
"200073_s_at" 20578 16318 18355 3679
