"inst_1000" "inst_1058" "inst_1161" "inst_1220" "inst_1645" "inst_2680" "inst_4444" "inst_5217" "inst_5580" "inst_6179" "inst_6939" "inst_6980"
"1007_s_at" 18464 18477 17128 17751 19326 390 18722 18157 19528 3373 18716 21105
"1053_at" 17060 16448 6464 16196 17117 4504 18054 16411 16207 7597 17902 4937
"117_at" 13786 12059 19327 8663 12393 18421 16781 13017 11729 20798 7052 12243
"121_at" 15906 5003 4636 5361 14817 18305 8599 3594 5908 4193 16597 16164
"1255_g_at" 10309 11411 7875 5429 6626 9660 11126 11150 8550 9527 9821 9538
"1294_at" 11432 15231 7238 8632 10408 16696 2754 6826 4196 19567 12335 11330
"1316_at" 10257 9189 7158 4355 12828 8526 15891 5906 4194 17491 2627 1079
"1320_at" 8461 14416 10072 6660 13494 9619 5669 11217 16470 11013 14442 11128
"1405_i_at" 13113 9629 18697 6482 10327 15530 14223 6311 7454 21041 8844 6121
"1431_at" 10946 7926 18512 17952 13876 8238 8387 2277 14551 19118 8049 12067
"1438_at" 620 1752 9539 56 1547 1756 291 724 523 319 1220 2421
"1487_at" 5342 4724 19131 18110 19208 20494 7700 15126 13418 17411 3275 16666
"1494_f_at" 13598 12989 17994 13176 12582 17556 6040 3256 19285 20113 5337 2853
"1598_g_at" 5404 2736 1759 20500 20769 21779 15578 21280 17612 20265 19135 1982
"160020_at" 10596 14575 5826 19812 11396 17766 20540 5515 3253 21167 8961 1325
"1729_at" 18210 19092 493 17268 17183 808 17587 3257 19860 1733 18800 18397
"1773_at" 20700 19151 19639 21773 20378 5708 19252 7914 21859 15345 14972 21574
"177_at" 7499 6919 6031 10221 6511 4816 16244 834 1103 17445 1939 11023
"179_at" 1577 7110 17417 21047 1253 3077 6433 2091 4088 17837 1125 20863
"1861_at" 18798 5230 1544 18647 16798 3520 9318 4275 2774 2520 17200 5162
"200000_s_at" 18125 17506 17598 16392 19564 17996 17348 18203 18482 18992 18918 16133
"200001_at" 15081 16917 17405 17021 16085 9378 9448 15631 14332 14559 15665 5836
"200002_at" 6178 16947 6648 13597 16145 8845 16330 15196 14631 13755 16068 15815
"200003_s_at" 9538 3602 6230 4570 5387 10994 11710 5990 6870 9623 15367 6060
"200004_at" 16728 18454 19819 13958 18144 17802 9297 16321 16477 19308 17351 17602
"200005_at" 19626 20452 17666 18061 19826 18479 19496 19966 19954 17059 19606 20293
"200006_at" 5951 5208 6251 14823 14705 6844 8651 15023 13676 13804 6445 6172
"200007_at" 15359 17867 5667 14217 14514 5183 10217 7649 7001 5794 6879 6356
"200008_s_at" 16343 5709 6978 13477 5099 7569 8325 15865 13037 14758 18824 15478
"200009_at" 5864 5619 5708 5013 14985 8392 7819 15124 13386 7762 15491 14993
"200010_at" 6037 4867 7151 14757 5366 10996 9184 7638 7096 9625 15867 6429
"200011_s_at" 5720 16634 17920 14235 15655 16884 9138 6453 13388 16201 3780 5540
"200012_x_at" 9743 16748 16187 14189 14569 10961 17011 15416 6758 13674 15302 5941
"200013_at" 5136 3768 6577 13472 15343 7521 15704 7375 13562 13754 15787 15599
"200014_s_at" 6146 5234 6421 14678 14540 6890 6436 6279 6137 13874 5624 6329
"200015_s_at" 16699 5555 6661 14400 15988 3281 7020 6323 12768 7604 6768 14955
"200016_x_at" 16423 19808 16392 14792 15819 10936 9901 15545 13053 9570 15876 15743
"200017_at" 9632 16970 16517 13207 15457 11081 11795 10822 8973 9716 16171 16537
"200018_at" 15257 17207 7482 13546 14753 11070 11789 6400 8962 9709 15177 6633
"200019_s_at" 15309 5184 16580 13003 5530 11044 15227 6365 13071 9682 6365 6187
"200020_at" 19134 19416 19116 14929 18203 8366 15715 18346 17772 16073 20002 18328
"200021_at" 15883 18380 16752 2606 3930 11171 11875 8110 9092 9809 15589 15331
"200022_at" 6155 16743 5875 14295 14676 11009 10036 15007 7071 9637 15740 6595
"200023_s_at" 17014 16787 6697 14165 15786 6696 9806 16285 15119 7997 16857 15158
"200024_at" 4957 3632 6009 4083 5703 11046 9800 6080 4700 9684 5699 5788
"200025_s_at" 6153 17690 16363 15017 15275 11069 15389 7272 13336 9706 15907 15236
"200026_at" 16489 17418 7319 13448 14537 11173 11880 6633 9096 9812 15897 15065
"200027_at" 16994 17167 17567 15435 16547 17023 7668 16788 16311 17660 6828 16087
"200028_s_at" 16475 19167 4357 13565 17353 5336 15761 8099 15593 4211 5779 16056
"200029_at" 5056 4872 16475 14574 5399 11034 17173 15976 12867 9670 17126 16465
"200030_s_at" 5701 5065 6162 13389 5539 6852 9487 7168 6365 6753 5708 6049
"200031_s_at" 9619 16565 16201 5357 14806 11062 11784 7312 8954 9701 15801 15366
"200032_s_at" 9187 4792 6857 4621 5368 11083 11798 7273 8976 9719 6792 5947
"200033_at" 17981 18834 6623 14433 19158 7102 9673 18698 16920 14444 17893 19041
"200034_s_at" 5944 3579 7582 13226 15560 9133 10123 14975 13522 14014 16674 16392
"200035_at" 20620 20028 18469 16666 20010 18752 19603 19606 19678 20509 21306 20133
"200036_s_at" 17585 4663 16806 13330 15167 9147 16257 15998 14462 15936 15430 6507
"200037_s_at" 17209 19073 19605 17098 16976 17412 17353 15946 15037 18242 17345 16851
"200038_s_at" 15962 4494 7505 3562 14992 11154 10186 15051 13803 9784 16332 15205
"200039_s_at" 5740 2115 5930 5070 16374 6006 17371 16372 16130 14106 16664 14956
"200040_at" 17135 17251 16435 14996 16247 7869 15560 7093 15407 14690 15168 16653
"200041_s_at" 18078 17774 21017 16540 18139 19709 17111 16731 17256 19389 18268 18811
"200042_at" 5158 4230 2366 14614 5657 1938 7998 6205 14016 2459 15158 15584
"200043_at" 15894 16675 6558 16024 16505 6503 9896 7637 13113 14815 16266 15303
"200044_at" 17668 17035 18571 16948 17236 17668 15869 15797 14550 16689 16109 16656
"200045_at" 18467 19404 6368 19880 18735 16920 17808 18979 19207 15425 19476 19418
"200046_at" 3311 3171 3362 13037 2935 1795 6277 3757 4491 2106 3721 2662
"200047_s_at" 20382 18442 19405 19612 20373 19966 20666 19476 19161 20155 20103 19945
"200048_s_at" 17325 17474 17344 14689 16304 15865 8912 16844 16298 17903 17487 17270
"200049_at" 20975 21645 21363 21797 21965 21476 21656 21309 21301 21368 21453 21731
