"inst_2713" "inst_3454" "inst_4479" "inst_6815"
"1007_s_at" 21297 17697 3063 17653
"1053_at" 19923 4569 16201 18562
"117_at" 13213 7119 6676 12004
"121_at" 15649 17485 18260 5886
"1255_g_at" 4234 7774 6659 9628
"1294_at" 11509 8388 1680 713
"1316_at" 703 2055 2471 646
"1320_at" 6726 10210 10790 3222
"1405_i_at" 15367 12699 7505 9806
"1431_at" 21763 6432 20880 20743
"1438_at" 4390 15773 3481 2017
"1487_at" 16421 20088 16275 21544
"1494_f_at" 3531 2741 16588 4740
"1598_g_at" 22147 21983 17357 16680
"160020_at" 14077 485 2735 1539
"1729_at" 10306 1005 11666 18987
"1773_at" 448 19376 17429 19604
"177_at" 19459 10089 2930 18201
"179_at" 12869 14702 9871 8086
"1861_at" 20403 13968 17032 20349
"200000_s_at" 12882 20806 15889 17788
"200001_at" 12975 14571 10877 16531
"200002_at" 12933 3620 13236 7076
"200003_s_at" 5432 3421 5299 10190
"200004_at" 14738 13918 11495 15609
"200005_at" 11453 14510 14315 16254
"200006_at" 12506 4581 12840 14900
"200007_at" 13370 3818 12636 5806
"200008_s_at" 9791 15105 14194 7915
"200009_at" 10655 4280 9547 15764
"200010_at" 5434 17302 16403 8117
"200011_s_at" 16094 13529 12416 18399
"200012_x_at" 5387 1904 2384 15429
"200013_at" 9941 16417 10288 15769
"200014_s_at" 10951 16781 10802 5920
"200015_s_at" 17333 19566 18230 4200
"200016_x_at" 5353 17165 12098 16214
"200017_at" 5545 19198 9506 10329
"200018_at" 5535 4671 5391 10318
"200019_s_at" 5501 2877 11508 16070
"200020_at" 11636 4462 18776 5650
"200021_at" 5654 16213 5503 10487
"200022_at" 5451 13711 12609 17440
"200023_s_at" 15434 4711 16029 7117
"200024_at" 5505 4371 9884 6284
"200025_s_at" 5533 14812 13672 6087
"200026_at" 5658 14227 10177 10494
"200027_at" 11837 15040 14134 6039
"200028_s_at" 15912 15394 11088 4055
"200029_at" 5487 13430 3015 5709
"200030_s_at" 11271 3987 9545 7986
"200031_s_at" 5523 4935 5381 10305
"200032_s_at" 5547 14610 9669 10334
"200033_at" 15620 16484 11425 17228
"200034_s_at" 5440 13226 9508 17858
"200035_at" 19691 15771 15183 21413
"200036_s_at" 5422 4848 12604 5960
"200037_s_at" 16776 1209 13899 7806
"200038_s_at" 5626 1390 9631 10465
"200039_s_at" 12932 2685 11810 5910
"200040_at" 14220 15930 17691 7503
"200041_s_at" 12619 16964 10221 16740
"200042_at" 13739 16625 11519 17364
"200043_at" 17204 15714 15335 5967
"200044_at" 11167 16215 16556 6503
"200045_at" 10153 3739 12437 18043
"200046_at" 11949 15239 13875 14979
"200047_s_at" 10240 13809 17019 17846
"200048_s_at" 15734 3176 13746 7929
"200049_at" 14331 15385 11872 19006
"200050_at" 18313 14169 15804 21250
"200051_at" 18324 13721 15403 20469
"200052_s_at" 13028 14122 13603 18331
"200053_at" 3795 20244 17279 1808
"200054_at" 10068 18379 12002 6449
"200055_at" 13677 16835 12305 5933
"200056_s_at" 17149 20206 17345 16234
"200057_s_at" 12178 4251 10280 7106
"200058_s_at" 15523 16628 12721 6250
"200059_s_at" 10341 15355 10206 14874
"200060_s_at" 11179 3723 13134 17536
"200061_s_at" 5521 3246 5380 10302
"200062_s_at" 5417 1899 5295 10169
"200063_s_at" 5574 15008 5431 10378
"200064_at" 11605 19360 3515 20611
"200065_s_at" 10439 14646 10195 7520
