"inst_1270" "inst_2625" "inst_5390" "inst_6290"
"1007_s_at" 20618 4099 4672 18336
"1053_at" 5858 20387 16016 20670
"117_at" 19860 1590 11105 4326
"121_at" 4259 17043 19449 19071
"1255_g_at" 10176 13224 11757 8416
"1294_at" 6184 19497 20552 8615
"1316_at" 3457 1725 15640 12732
"1320_at" 13723 5298 17476 1796
"1405_i_at" 5593 10176 12732 10342
"1431_at" 9490 21370 11657 10334
"1438_at" 13265 995 3876 12046
"1487_at" 1298 6065 6163 17070
"1494_f_at" 11574 631 1270 21748
"1598_g_at" 1604 20365 6222 19754
"160020_at" 423 1831 18746 18891
"1729_at" 3051 3613 2691 1484
"1773_at" 16481 16845 22038 10699
"177_at" 2535 15283 10249 9031
"179_at" 20198 17411 3429 71
"1861_at" 21377 18402 18972 14235
"200000_s_at" 18197 5100 6013 14242
"200001_at" 5514 6522 17179 12643
"200002_at" 17249 17956 13486 13183
"200003_s_at" 5380 7872 6690 11197
"200004_at" 16363 4868 5036 13086
"200005_at" 6154 8200 14846 16359
"200006_at" 17151 8643 14149 11645
"200007_at" 18383 4828 15442 14155
"200008_s_at" 20684 16058 15419 14386
"200009_at" 2709 6252 14760 11375
"200010_at" 18152 8627 6183 17736
"200011_s_at" 5140 8819 6017 18901
"200012_x_at" 4115 17425 4119 2046
"200013_at" 19439 8114 16493 11930
"200014_s_at" 16215 6221 14113 15402
"200015_s_at" 16119 6662 19179 12769
"200016_x_at" 16799 17121 14406 13204
"200017_at" 16648 17238 8811 3038
"200018_at" 18246 7349 8798 10943
"200019_s_at" 18066 17708 14798 3172
"200020_at" 19579 5424 4378 15177
"200021_at" 3732 19626 8893 6030
"200022_at" 6018 8965 13646 11684
"200023_s_at" 17746 17302 14485 12941
"200024_at" 4911 18428 15466 3382
"200025_s_at" 6394 8559 14707 11737
"200026_at" 4834 6034 4241 3041
"200027_at" 17292 16931 17266 15382
"200028_s_at" 17856 7726 6933 13385
"200029_at" 4863 17968 15883 10663
"200030_s_at" 5726 5525 6646 10652
"200031_s_at" 16276 16764 8793 2892
"200032_s_at" 16103 8656 8814 3330
"200033_at" 18365 7157 6498 13313
"200034_s_at" 5499 6871 13588 10912
"200035_at" 17313 5338 17357 20273
"200036_s_at" 19472 17342 17408 12185
"200037_s_at" 5509 8387 6385 13944
